,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,6.58497,-4.666386
CHEMBL10085,inactive,,4.29296,-6.856319
CHEMBL101686,active,,18.668406,0.597902
CHEMBL101690,active,,11.988856,7.015789
CHEMBL103479,inactive,,12.098344,7.315516
CHEMBL103503,active,,11.698815,7.863341
CHEMBL103550,inactive,,12.051824,7.267763
CHEMBL104158,inactive,,16.339167,10.705983
CHEMBL104720,inactive,,16.126688,9.904889
CHEMBL105091,inactive,,12.416989,7.340418
CHEMBL105369,active,,12.171404,7.125345
CHEMBL105556,active,,16.14509,10.753416
CHEMBL107487,active,,18.600548,3.624911
CHEMBL107617,active,,18.639284,3.537393
CHEMBL109360,active,,15.955064,9.77748
CHEMBL109839,active,,18.661802,3.55153
CHEMBL110318,active,,18.646263,3.428664
CHEMBL110601,active,,-0.089948,-4.918324
CHEMBL111150,active,,18.695887,3.846077
CHEMBL111283,active,,18.636822,3.700575
CHEMBL111284,active,,18.613272,3.73792
CHEMBL111316,active,,-17.719511,23.167669
CHEMBL111376,active,,18.378653,4.216187
CHEMBL111899,active,,14.783137,-12.800319
CHEMBL112507,active,,12.173473,-14.799521
CHEMBL112558,active,,13.627365,-14.074159
CHEMBL11262,inactive,,17.560591,5.318399
CHEMBL11265,inactive,,16.048927,-6.30251
CHEMBL113831,active,,14.632099,-13.111843
CHEMBL113868,active,,14.833532,-8.050541
CHEMBL113994,active,,11.744561,-15.096739
CHEMBL114012,inactive,,15.035697,-1.993258
CHEMBL11425,inactive,,15.409369,-5.659773
CHEMBL114303,active,,13.881382,-13.750852
CHEMBL114780,active,,9.94779,-3.847331
CHEMBL114877,active,,13.590629,-13.918724
CHEMBL115352,active,,14.519576,-13.216274
CHEMBL115663,active,,11.62882,-15.074746
CHEMBL115750,active,,11.964786,-15.307327
CHEMBL115941,active,,11.956282,-15.238906
CHEMBL115989,active,,14.499503,-13.173259
CHEMBL116031,active,,12.078884,-15.307206
CHEMBL116092,active,,16.768255,9.944775
CHEMBL116153,active,,12.141468,-15.087811
CHEMBL116161,active,,14.599109,-13.084715
CHEMBL116463,inactive,,6.904714,-10.923363
CHEMBL117046,active,,13.312884,-14.41204
CHEMBL117397,active,,10.967447,-14.88715
CHEMBL117579,active,,13.078996,-15.276886
CHEMBL117633,active,,12.289206,-15.061352
CHEMBL11787,inactive,,2.946187,-11.377458
CHEMBL118012,active,,13.605302,-14.072371
CHEMBL118360,active,,-4.151618,0.307604
CHEMBL1189234,inactive,,-33.481228,43.460152
CHEMBL119443,active,,26.806929,10.19291
CHEMBL119668,active,,12.10728,-15.026109
CHEMBL119800,active,,-4.225563,0.127719
CHEMBL1201356,active,,26.803196,10.186992
CHEMBL1201939,active,,-4.410319,-4.504008
CHEMBL12124,inactive,,13.584866,-4.94782
CHEMBL12264,inactive,,15.056821,-1.632392
CHEMBL12314,inactive,,17.51516,4.509625
CHEMBL1241547,active,,-1.345036,1.741844
CHEMBL1241548,active,,-1.432453,1.509872
CHEMBL1241737,active,,1.092836,-6.419724
CHEMBL1255837,active,,-0.3813,23.401922
CHEMBL1258452,inactive,,14.807155,2.235859
CHEMBL1258614,inactive,,1.622134,5.907304
CHEMBL1258671,inactive,,14.338036,1.87445
CHEMBL1258723,inactive,,1.594805,5.83844
CHEMBL1258843,inactive,,1.447568,5.932997
CHEMBL1259203,active,,4.781288,4.167289
CHEMBL12624,inactive,,15.048015,-1.654453
CHEMBL12713,active,,0.062919,-11.384963
CHEMBL1275630,inactive,,-3.874813,3.073549
CHEMBL1277104,inactive,,-1.957027,4.634892
CHEMBL1277105,inactive,,-4.23036,3.377196
CHEMBL1277837,inactive,,-3.971915,2.845468
CHEMBL1277917,inactive,,-0.961274,6.277831
CHEMBL1278,active,,16.547276,9.873987
CHEMBL1278001,inactive,,-3.845237,2.819615
CHEMBL1279,active,,-17.948481,23.122993
CHEMBL1289394,active,,-1.021864,2.670024
CHEMBL129813,active,,-0.384525,-5.248995
CHEMBL1306,inactive,,3.125564,-8.409164
CHEMBL132657,inactive,,1.317428,-3.019938
CHEMBL132878,inactive,,4.87063,4.226623
CHEMBL133375,inactive,,16.100483,-6.435195
CHEMBL133455,inactive,,18.179798,10.5849
CHEMBL133868,inactive,,18.211535,10.599489
CHEMBL133939,inactive,,17.65432,9.968276
CHEMBL135335,inactive,,11.435162,9.781654
CHEMBL135489,inactive,,17.04051,7.41138
CHEMBL135490,inactive,,19.265535,8.741606
CHEMBL135952,inactive,,15.978016,-6.055592
CHEMBL136072,inactive,,-19.482981,22.701361
CHEMBL13647,inactive,,9.534084,-4.139955
CHEMBL136962,inactive,,17.889301,4.466856
CHEMBL137478,inactive,,17.750547,6.153223
CHEMBL137486,inactive,,8.005247,-11.716832
CHEMBL137642,inactive,,11.425754,9.740991
CHEMBL137643,inactive,,-19.4028,22.322487
CHEMBL138509,inactive,,-19.621689,22.649796
CHEMBL1385840,active,,-0.503418,23.527964
CHEMBL138907,inactive,,16.094133,5.269529
CHEMBL139103,active,,-6.906093,-13.719318
CHEMBL139230,inactive,,16.307966,10.469842
CHEMBL139737,inactive,,-6.904966,-13.610594
CHEMBL1403281,active,,-0.550243,23.57288
CHEMBL140358,inactive,,16.074963,10.290438
CHEMBL1416204,active,,-17.163582,22.895035
CHEMBL141706,inactive,,19.116882,6.483908
CHEMBL143512,active,,-23.577845,2.510022
CHEMBL143767,active,,-23.523207,2.436604
CHEMBL143893,active,,13.555332,-14.175169
CHEMBL143947,active,,13.79548,-13.861959
CHEMBL143951,active,,13.634732,-15.70469
CHEMBL143952,active,,12.101323,-14.450998
CHEMBL143967,active,,19.705194,4.579204
CHEMBL145849,active,,13.742656,-13.832678
CHEMBL145982,active,,11.798564,-14.117111
CHEMBL145997,active,,13.351293,-14.537852
CHEMBL146023,active,,13.713606,-13.85045
CHEMBL146024,active,,12.022578,-14.471889
CHEMBL146131,active,,13.513367,-14.049764
CHEMBL146132,active,,13.612988,-14.029736
CHEMBL146265,active,,13.662094,-13.974167
CHEMBL146335,active,,13.781559,-14.007644
CHEMBL146338,active,,13.85643,-13.686142
CHEMBL146391,active,,13.717162,-13.967749
CHEMBL146396,active,,11.946557,-14.461879
CHEMBL146483,active,,13.948174,-13.610188
CHEMBL146502,active,,13.629451,-13.999704
CHEMBL146628,active,,13.715726,-13.880155
CHEMBL146729,active,,13.343478,-14.482262
CHEMBL146735,active,,-0.828005,-4.47581
CHEMBL146891,active,,13.411829,-14.362362
CHEMBL146991,active,,12.14043,-14.905072
CHEMBL147077,inactive,,9.687118,-13.929174
CHEMBL147148,active,,12.684468,-14.511901
CHEMBL147503,active,,-1.918279,-4.155392
CHEMBL147546,active,,14.010487,-13.566586
CHEMBL147555,active,,13.837884,-13.688009
CHEMBL147660,active,,14.030576,-13.455966
CHEMBL147818,active,,13.766372,-13.83461
CHEMBL147853,active,,13.761327,-13.860662
CHEMBL147901,active,,13.460221,-15.622369
CHEMBL147907,active,,13.589567,-14.085831
CHEMBL147940,active,,13.796925,-13.744288
CHEMBL147979,active,,13.700583,-13.91048
CHEMBL148022,active,,13.482573,-15.652396
CHEMBL148071,active,,13.682485,-13.854154
CHEMBL148087,active,,13.50975,-14.136348
CHEMBL148110,active,,12.598619,-14.540675
CHEMBL148194,active,,13.640518,-13.909906
CHEMBL148233,active,,14.417595,-13.338097
CHEMBL148325,active,,12.399157,-14.728631
CHEMBL149488,active,,13.876288,-13.703798
CHEMBL151894,active,,-15.117576,-1.167575
CHEMBL153136,active,,12.066103,-6.708444
CHEMBL157138,active,,26.748713,10.271421
CHEMBL15837,active,,3.190079,-10.728547
CHEMBL15855,active,,2.803775,-10.319894
CHEMBL158627,inactive,,6.515625,-5.491577
CHEMBL158638,active,,17.120852,10.106048
CHEMBL159278,active,,10.21207,-4.249078
CHEMBL15928,active,,-1.056088,-4.223785
CHEMBL159332,active,,16.855453,9.84382
CHEMBL159396,active,,1.176831,3.634187
CHEMBL159483,active,,13.357735,-14.966901
