,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,6.182918,-5.975502
CHEMBL101686,active,,18.858341,0.621657
CHEMBL101690,active,,11.764396,7.393684
CHEMBL103479,inactive,,12.094118,7.215515
CHEMBL103503,active,,11.671894,7.863252
CHEMBL103550,inactive,,12.173644,7.109085
CHEMBL104158,inactive,,16.344187,10.628615
CHEMBL104720,inactive,,16.171349,9.904366
CHEMBL105091,inactive,,12.544872,7.450503
CHEMBL105369,active,,12.167822,7.104801
CHEMBL105556,active,,16.159021,10.818501
CHEMBL107487,active,,18.661572,3.758635
CHEMBL107617,active,,18.702145,3.76031
CHEMBL109360,active,,15.672103,9.725097
CHEMBL109526,active,,-16.978052,22.693893
CHEMBL109839,active,,18.646788,3.53305
CHEMBL110317,active,,-17.18012,22.864275
CHEMBL110318,active,,18.633492,3.64363
CHEMBL110601,active,,-0.068283,-4.879352
CHEMBL111150,active,,18.592724,3.760261
CHEMBL111284,active,,18.608578,3.752639
CHEMBL111302,active,,0.209568,-5.029584
CHEMBL111316,active,,-17.779303,23.186602
CHEMBL111376,active,,18.36916,4.183594
CHEMBL111899,active,,14.722229,-12.890269
CHEMBL112507,active,,12.232482,-14.821999
CHEMBL112558,active,,13.646595,-14.089575
CHEMBL11262,inactive,,17.579281,5.551099
CHEMBL11265,inactive,,15.916883,-6.162783
CHEMBL113831,active,,14.467173,-13.248471
CHEMBL113868,active,,14.808599,-7.92688
CHEMBL113994,active,,9.736304,-4.006264
CHEMBL114012,inactive,,15.075008,-1.942426
CHEMBL11425,inactive,,14.646032,-5.089374
CHEMBL114303,active,,13.82327,-13.844621
CHEMBL114780,active,,9.996927,-3.999314
CHEMBL114877,active,,13.496009,-14.029085
CHEMBL115352,active,,14.590281,-13.093407
CHEMBL115663,active,,9.962747,-4.03993
CHEMBL115750,active,,12.024505,-15.232224
CHEMBL115941,active,,9.665709,-3.347024
CHEMBL115989,active,,14.495108,-13.160703
CHEMBL116031,active,,12.117803,-14.971556
CHEMBL116092,active,,16.750744,9.99868
CHEMBL116153,active,,6.212791,-5.285737
CHEMBL116161,active,,14.646509,-12.987115
CHEMBL116463,inactive,,5.324879,-8.93138
CHEMBL117046,active,,13.366714,-14.366196
CHEMBL117397,active,,10.977351,-14.859966
CHEMBL117579,active,,13.102263,-15.147829
CHEMBL117633,active,,12.009446,-15.31147
CHEMBL11787,inactive,,2.854902,-11.32698
CHEMBL118012,active,,13.638047,-14.030328
CHEMBL118360,active,,-4.167969,0.28449
CHEMBL1189234,inactive,,-33.485481,43.455788
CHEMBL119668,active,,11.929545,-15.285839
CHEMBL1201356,active,,26.803181,10.185581
CHEMBL1201939,active,,-4.374075,-4.554545
CHEMBL12264,inactive,,15.141559,-1.546016
CHEMBL1241548,active,,-1.38394,1.667379
CHEMBL1241640,active,,-4.229002,-2.814455
CHEMBL1241641,active,,-1.690353,-3.214434
CHEMBL1255837,active,,-0.410419,23.433147
CHEMBL125745,active,,3.796063,8.704351
CHEMBL1258452,inactive,,14.998077,2.37019
CHEMBL1258614,inactive,,1.55354,5.890335
CHEMBL1258671,inactive,,14.498735,1.929569
CHEMBL1258722,inactive,,1.546945,5.891572
CHEMBL1258723,inactive,,1.589383,5.856159
CHEMBL1258843,inactive,,1.411754,5.924632
CHEMBL12624,inactive,,15.166024,-1.558912
CHEMBL12713,active,,-2.03962,-2.0099
CHEMBL1277104,inactive,,-2.036762,4.533161
CHEMBL1277105,inactive,,-4.247339,3.348233
CHEMBL1277837,inactive,,-4.023995,2.93782
CHEMBL1278,active,,16.576483,9.980158
CHEMBL1279,active,,-17.995045,23.111006
CHEMBL128,active,,16.929377,10.027654
CHEMBL1289394,active,,-0.995554,3.042674
CHEMBL129813,active,,-0.38494,-5.577591
CHEMBL1306,inactive,,3.024683,-7.760846
CHEMBL132657,inactive,,1.339537,-2.961611
CHEMBL132878,inactive,,4.864247,4.399685
CHEMBL132970,inactive,,-18.136267,19.569721
CHEMBL133375,inactive,,15.96891,-6.285339
CHEMBL133455,inactive,,18.154881,10.560787
CHEMBL133868,inactive,,18.208126,10.580138
CHEMBL133939,inactive,,17.477221,9.950901
CHEMBL135335,inactive,,11.41347,9.782347
CHEMBL135489,inactive,,16.745842,7.360194
CHEMBL135490,inactive,,19.292652,8.73796
CHEMBL135952,inactive,,15.959513,-5.867434
CHEMBL136072,inactive,,-19.51786,22.697174
CHEMBL136108,inactive,,-9.581878,-14.946548
CHEMBL136236,active,,-6.898096,-13.687922
CHEMBL136311,inactive,,-19.86521,22.31102
CHEMBL136962,inactive,,17.893869,4.770923
CHEMBL137478,inactive,,14.968448,1.794085
CHEMBL137486,inactive,,8.344127,-11.408141
CHEMBL137621,inactive,,2.963916,5.733193
CHEMBL137642,inactive,,11.426889,9.733805
CHEMBL137643,inactive,,-19.417063,22.189444
CHEMBL138509,inactive,,-19.726158,22.825514
CHEMBL138907,inactive,,16.078735,5.437459
CHEMBL139230,inactive,,16.095659,10.412427
CHEMBL139737,inactive,,-6.866485,-13.648789
CHEMBL139976,inactive,,-19.595373,22.999453
CHEMBL1403281,active,,-0.50824,23.531431
CHEMBL140358,inactive,,16.215143,10.263889
CHEMBL1416204,active,,-17.195692,22.865328
CHEMBL141706,inactive,,19.756643,5.347359
CHEMBL143512,active,,-23.576794,2.505964
CHEMBL143767,active,,-23.529743,2.444551
CHEMBL143893,active,,13.521425,-14.205095
CHEMBL143947,active,,13.773724,-13.912524
CHEMBL143951,active,,13.621062,-15.675508
CHEMBL143952,active,,12.236465,-14.488438
CHEMBL143967,active,,19.718819,4.569857
CHEMBL145849,active,,13.795385,-13.808202
CHEMBL145982,active,,12.14116,-14.520704
CHEMBL145997,active,,13.313354,-14.541717
CHEMBL146023,active,,13.737307,-13.860549
CHEMBL146024,active,,11.996725,-14.476724
