,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,6.360054,-5.934013
CHEMBL100086,inactive,,6.58497,-4.666386
CHEMBL100086,inactive,,6.182918,-5.975502
CHEMBL10085,inactive,,4.29296,-6.856319
CHEMBL101686,active,,18.733303,0.587351
CHEMBL101686,active,,18.668406,0.597902
CHEMBL101686,active,,18.858341,0.621657
CHEMBL101690,active,,12.00462,7.217849
CHEMBL101690,active,,11.988856,7.015789
CHEMBL101690,active,,11.764396,7.393684
CHEMBL103479,inactive,,12.060737,7.27635
CHEMBL103479,inactive,,12.098344,7.315516
CHEMBL103479,inactive,,12.094118,7.215515
CHEMBL103503,active,,11.612038,7.741158
CHEMBL103503,active,,11.698815,7.863341
CHEMBL103503,active,,11.671894,7.863252
CHEMBL103550,inactive,,12.096935,7.214045
CHEMBL103550,inactive,,12.051824,7.267763
CHEMBL103550,inactive,,12.173644,7.109085
CHEMBL104,inactive,,9.874597,31.926188
CHEMBL104158,inactive,,16.434292,10.712359
CHEMBL104158,inactive,,16.339167,10.705983
CHEMBL104158,inactive,,16.344187,10.628615
CHEMBL104720,inactive,,16.122995,9.9105
CHEMBL104720,inactive,,16.126688,9.904889
CHEMBL104720,inactive,,16.171349,9.904366
CHEMBL105091,inactive,,12.517016,7.478549
CHEMBL105091,inactive,,12.416989,7.340418
CHEMBL105091,inactive,,12.544872,7.450503
CHEMBL105369,active,,12.117627,7.194945
CHEMBL105369,active,,12.171404,7.125345
CHEMBL105369,active,,12.167822,7.104801
CHEMBL105556,active,,16.167685,10.794122
CHEMBL105556,active,,16.14509,10.753416
CHEMBL105556,active,,16.159021,10.818501
CHEMBL107487,active,,18.672291,3.675697
CHEMBL107487,active,,18.600548,3.624911
CHEMBL107487,active,,18.661572,3.758635
CHEMBL107511,active,,-17.176691,22.93392
CHEMBL107617,active,,18.603945,3.555676
CHEMBL107617,active,,18.639284,3.537393
CHEMBL107617,active,,18.702145,3.76031
CHEMBL109360,active,,15.933284,9.799387
CHEMBL109360,active,,15.955064,9.77748
CHEMBL109360,active,,15.672103,9.725097
CHEMBL109526,active,,-16.978052,22.693893
CHEMBL109839,active,,18.691076,3.559848
CHEMBL109839,active,,18.661802,3.55153
CHEMBL109839,active,,18.646788,3.53305
CHEMBL110317,active,,-17.18012,22.864275
CHEMBL110318,active,,18.644356,3.474864
CHEMBL110318,active,,18.646263,3.428664
CHEMBL110318,active,,18.633492,3.64363
CHEMBL110601,active,,0.394579,-4.696608
CHEMBL110601,active,,-0.089948,-4.918324
CHEMBL110601,active,,-0.068283,-4.879352
CHEMBL111150,active,,18.649012,3.550684
CHEMBL111150,active,,18.695887,3.846077
CHEMBL111150,active,,18.592724,3.760261
CHEMBL111283,active,,18.603333,3.654132
CHEMBL111283,active,,18.636822,3.700575
CHEMBL111284,active,,18.657259,3.682506
CHEMBL111284,active,,18.613272,3.73792
CHEMBL111284,active,,18.608578,3.752639
CHEMBL111302,active,,-0.106093,-4.838026
CHEMBL111302,active,,0.209568,-5.029584
CHEMBL111316,active,,-17.794109,23.204941
CHEMBL111316,active,,-17.719511,23.167669
CHEMBL111316,active,,-17.779303,23.186602
CHEMBL111376,active,,18.378653,4.216187
CHEMBL111376,active,,18.36916,4.183594
CHEMBL111899,active,,14.719419,-12.809091
CHEMBL111899,active,,14.783137,-12.800319
CHEMBL111899,active,,14.722229,-12.890269
CHEMBL112507,active,,12.320713,-14.767122
CHEMBL112507,active,,12.173473,-14.799521
