,activity,extra_tooltip,x,y
CHEMBL101008,active,,-20.103617,21.340616
CHEMBL103479,inactive,,12.08589,7.111801
CHEMBL105261,inactive,,15.438014,8.2003
CHEMBL1067,inactive,,-11.260945,-18.98275
CHEMBL1078745,active,,2.91046,-7.001941
CHEMBL1078896,inactive,,1.731817,-6.753232
CHEMBL1079180,inactive,,-2.957055,3.724662
CHEMBL1082723,inactive,,-9.991769,-18.315395
CHEMBL1084617,inactive,,-2.527339,1.263384
CHEMBL1090757,inactive,,-12.081399,-11.009645
CHEMBL1091105,inactive,,15.399428,3.529084
CHEMBL1091452,inactive,,-4.97163,-4.449602
CHEMBL1092029,inactive,,17.686859,6.083648
CHEMBL1092241,active,,-2.120489,7.196161
CHEMBL1112,active,,-0.46134,1.68073
CHEMBL1113,active,,-11.634782,-11.979486
CHEMBL114012,inactive,,15.065066,-1.906601
CHEMBL116448,inactive,,14.884366,-1.66438
CHEMBL1170237,inactive,,-11.764523,23.015089
CHEMBL119443,active,,26.808239,10.18467
CHEMBL119709,inactive,,-11.8112,-14.717677
CHEMBL1201356,active,,26.724218,10.252152
CHEMBL1214830,active,,3.697318,4.497676
CHEMBL1214894,active,,3.772271,4.559362
CHEMBL1214961,active,,3.749826,4.95836
CHEMBL1214962,active,,4.68879,3.873696
CHEMBL1215036,active,,0.213179,-2.376364
CHEMBL1221,inactive,,10.126307,32.24593
CHEMBL1222554,inactive,,11.505844,-1.618664
CHEMBL1222623,inactive,,11.541333,-1.917043
CHEMBL1222692,active,,11.750868,-3.923413
CHEMBL1224036,inactive,,11.031055,10.093616
CHEMBL1224101,inactive,,11.241752,9.901204
CHEMBL1224102,inactive,,11.241768,9.84735
CHEMBL1224105,inactive,,11.251572,9.855938
CHEMBL1224106,inactive,,11.038355,10.104235
CHEMBL12264,inactive,,15.027804,-1.618416
CHEMBL12314,active,,17.538223,4.524974
CHEMBL1255834,active,,15.47344,9.969826
CHEMBL1255837,active,,-0.409482,23.429171
CHEMBL1258223,active,,14.281559,1.725081
CHEMBL1258452,inactive,,14.598511,2.189453
CHEMBL1258723,inactive,,1.634233,5.842553
CHEMBL12624,inactive,,15.290839,-1.598569
CHEMBL1275709,inactive,,17.451216,9.717902
CHEMBL1275791,inactive,,17.444298,9.790105
CHEMBL1276860,inactive,,23.099209,-5.455347
CHEMBL1276948,active,,23.128256,-5.019862
CHEMBL1277034,active,,23.152342,-5.464986
CHEMBL1277125,inactive,,23.159206,-5.519353
CHEMBL1277126,inactive,,23.177776,-5.536154
CHEMBL1277216,inactive,,23.243204,-5.590643
CHEMBL1277217,inactive,,23.170668,-5.530381
CHEMBL1277311,inactive,,23.037548,-5.300094
CHEMBL1277401,inactive,,22.893309,-5.303659
CHEMBL1277491,inactive,,22.92275,-5.321332
CHEMBL1277492,inactive,,26.898056,-3.074802
CHEMBL1277565,active,,-3.922474,3.073334
CHEMBL1277584,inactive,,23.206247,-5.564241
CHEMBL1277678,inactive,,23.17067,-5.541722
CHEMBL1277769,active,,23.259197,-5.607511
CHEMBL1277854,inactive,,23.126898,-5.504303
CHEMBL1277855,inactive,,23.08672,-5.463123
CHEMBL1277935,inactive,,22.954651,-5.377396
CHEMBL1278019,inactive,,22.905523,-5.338387
CHEMBL1278020,inactive,,8.637214,-1.857514
CHEMBL1278021,inactive,,23.180264,-5.552061
CHEMBL1278112,inactive,,23.204489,-5.563777
CHEMBL1278113,inactive,,22.997768,-5.394063
CHEMBL1278114,inactive,,22.843153,-5.093496
CHEMBL1278116,active,,9.133995,4.696307
CHEMBL1278202,active,,23.28104,-5.639124
CHEMBL131495,active,,10.256294,-2.627504
CHEMBL131736,active,,-20.598211,21.55555
CHEMBL133455,active,,18.240179,10.598709
CHEMBL133868,active,,18.169357,10.513241
CHEMBL135076,active,,18.196703,10.554882
CHEMBL1368005,inactive,,-10.964528,-20.823198
CHEMBL137781,active,,26.510033,10.476049
CHEMBL1385840,active,,-0.489054,23.511015
CHEMBL1403281,active,,-0.520089,23.544399
CHEMBL14345,active,,-12.992919,-21.824688
CHEMBL14606,active,,-12.977098,-21.76413
CHEMBL14652,active,,-12.994189,-21.8333
CHEMBL147434,active,,-7.311966,-18.510996
CHEMBL147656,active,,-7.492721,-18.677984
CHEMBL148091,active,,-7.229313,-18.427252
CHEMBL148463,active,,-16.956245,23.134106
CHEMBL149024,active,,-20.918415,21.705503
CHEMBL149564,active,,-16.826248,22.68428
CHEMBL15245,active,,18.455727,7.606806
CHEMBL157138,active,,26.716383,10.343401
CHEMBL1626,active,,10.078453,2.607162
CHEMBL1628227,active,,7.224461,7.947659
CHEMBL1631545,active,,-0.625918,-2.604709
CHEMBL1632174,inactive,,13.733936,-7.171815
CHEMBL1643900,inactive,,-33.663441,43.273518
CHEMBL1643902,inactive,,-33.659035,43.269821
CHEMBL1651091,inactive,,-14.486692,23.40535
