,activity,extra_tooltip,x,y
CHEMBL101008,active,,-20.123442,21.390203
CHEMBL103479,inactive,,12.147836,7.102907
CHEMBL105261,inactive,,15.312687,8.311909
CHEMBL1065,active,,26.921831,10.052294
CHEMBL1067,inactive,,-11.302989,-19.03689
CHEMBL1078745,active,,0.186057,-4.885923
CHEMBL1078896,inactive,,0.327799,-4.967312
CHEMBL1079180,inactive,,-4.459096,4.477629
CHEMBL1082723,inactive,,-9.969094,-18.306471
CHEMBL1084617,inactive,,-2.412558,1.350989
CHEMBL1090397,inactive,,2.441859,6.651886
CHEMBL1090399,inactive,,-19.119249,22.407764
CHEMBL1090757,inactive,,-12.119102,-11.006056
CHEMBL1091104,inactive,,-11.072658,-11.177068
CHEMBL1091105,inactive,,14.913199,2.214901
CHEMBL1091206,active,,-2.234087,7.117213
CHEMBL1091452,inactive,,-5.095289,-4.670821
CHEMBL1091919,active,,-2.082895,7.235322
CHEMBL1112,active,,-0.197291,1.441879
CHEMBL114012,inactive,,15.047031,-1.987172
CHEMBL116448,inactive,,14.904118,-1.676338
CHEMBL1170237,inactive,,-11.743908,22.977144
CHEMBL1172,active,,6.942093,9.635257
CHEMBL119443,active,,26.850483,10.145671
CHEMBL119709,inactive,,-11.787743,-14.90941
CHEMBL1201356,active,,26.845137,10.150269
CHEMBL1214830,active,,3.695548,4.585551
CHEMBL1214894,active,,3.64673,4.58565
CHEMBL1214961,active,,3.76617,4.316832
CHEMBL1214962,active,,1.089692,-1.675964
CHEMBL1215036,active,,1.366929,-2.466689
CHEMBL1221,inactive,,10.11261,32.228001
CHEMBL1222554,inactive,,11.501368,-1.588601
CHEMBL1222623,inactive,,11.617202,-1.864131
CHEMBL1222692,active,,11.818296,-3.93555
CHEMBL1222693,active,,11.484388,-1.547611
CHEMBL1222694,active,,11.472334,-1.631827
CHEMBL1222762,active,,11.499047,-1.646478
CHEMBL1224036,inactive,,11.026123,10.136151
CHEMBL1224101,inactive,,11.208126,9.901566
CHEMBL1224102,inactive,,11.248854,9.865869
CHEMBL1224105,inactive,,11.22598,9.850297
CHEMBL1224106,inactive,,11.027096,10.094014
CHEMBL12264,inactive,,15.044476,-1.647731
