,activity,extra_tooltip,x,y
CHEMBL101008,active,,-20.022484,21.370066
CHEMBL103479,inactive,,11.984709,7.282702
CHEMBL104,inactive,,9.863045,31.919592
CHEMBL105261,inactive,,15.516809,8.197036
CHEMBL1065,active,,26.914227,10.066222
CHEMBL1067,inactive,,-11.401225,-19.003197
CHEMBL1078896,inactive,,1.784961,-6.882127
CHEMBL1084617,inactive,,-2.454527,1.181093
CHEMBL1090397,inactive,,2.458821,6.721762
CHEMBL1090399,inactive,,-8.322475,-12.270002
CHEMBL1091104,inactive,,-10.927628,-11.233737
CHEMBL1091105,inactive,,14.857169,2.177866
CHEMBL1112,active,,-0.23706,0.141077
CHEMBL114012,inactive,,15.009803,-2.025847
CHEMBL116448,inactive,,14.858891,-1.663119
CHEMBL1170237,inactive,,-11.810066,23.046207
CHEMBL119443,active,,26.774309,10.238883
CHEMBL119709,inactive,,-11.761447,-14.986221
CHEMBL1201356,active,,26.757229,10.244308
CHEMBL1214830,active,,3.799826,4.590131
CHEMBL1214891,active,,1.31429,-2.654627
CHEMBL1214894,active,,3.722055,4.651395
CHEMBL1214961,active,,3.862327,4.315978
CHEMBL1214962,active,,3.616169,4.216255
CHEMBL1215036,active,,-0.542652,-2.688253
CHEMBL1221,inactive,,10.143429,32.260757
CHEMBL1222554,inactive,,11.499234,-1.611337
CHEMBL1222623,inactive,,11.476739,-1.847219
CHEMBL1222692,active,,11.750373,-4.00672
CHEMBL1222694,active,,11.472083,-1.606149
CHEMBL1222762,active,,11.498903,-1.609308
CHEMBL1224036,inactive,,11.042661,10.102302
CHEMBL1224101,inactive,,11.286275,9.800293
CHEMBL1224102,inactive,,11.234332,9.880252
CHEMBL1224105,inactive,,11.210594,9.832499
CHEMBL1224106,inactive,,11.018744,10.073354
CHEMBL12264,inactive,,15.129586,-1.534623
CHEMBL12314,active,,17.500628,4.49703
CHEMBL1255834,active,,15.549108,10.108017
CHEMBL1255837,active,,-0.437264,23.454575
CHEMBL1258223,active,,14.483417,1.980444
CHEMBL1258452,inactive,,15.094773,2.292782
CHEMBL12624,inactive,,15.068823,-1.646179
CHEMBL1275709,inactive,,17.481354,9.681237
CHEMBL1276860,inactive,,23.178539,-5.530403
CHEMBL1276948,active,,23.049809,-5.403375
CHEMBL1277034,active,,23.061537,-5.420255
CHEMBL1277125,inactive,,23.060196,-5.44441
CHEMBL1277126,inactive,,23.18947,-5.545404
CHEMBL1277216,inactive,,23.13571,-5.511631
CHEMBL1277217,inactive,,23.219576,-5.568013
CHEMBL1277311,inactive,,23.206171,-5.558016
CHEMBL1277401,inactive,,22.885279,-5.298543
CHEMBL1277491,inactive,,22.79328,-5.198742
CHEMBL1277492,inactive,,22.853373,-5.290648
CHEMBL1277565,active,,-4.021326,3.059245
CHEMBL1277584,inactive,,22.913801,-5.358291
CHEMBL1277678,inactive,,23.328648,-5.683174
CHEMBL1277769,active,,23.25919,-5.609245
CHEMBL1277854,inactive,,23.206631,-5.565649
CHEMBL1277855,inactive,,22.931412,-5.353762
CHEMBL1277935,inactive,,23.070749,-5.475757
CHEMBL1278019,inactive,,22.907862,-5.302083
CHEMBL1278020,inactive,,8.669612,-1.884048
CHEMBL1278021,inactive,,23.083904,-5.45719
CHEMBL1278112,inactive,,23.221891,-5.564469
CHEMBL1278113,inactive,,23.194134,-5.55712
CHEMBL1278115,inactive,,8.951742,4.707117
CHEMBL1278202,active,,23.314638,-5.662194
CHEMBL131736,active,,-20.650187,21.594643
CHEMBL133455,active,,18.206623,10.540791
CHEMBL1336,active,,-12.776299,-21.547037
CHEMBL133868,active,,18.217714,10.536263
CHEMBL135076,active,,18.216677,10.57528
CHEMBL1368005,inactive,,-11.152636,-20.801836
CHEMBL137781,active,,26.503586,10.477485
CHEMBL1385840,active,,-0.483206,23.508881
CHEMBL1403281,active,,-0.513959,23.536242
CHEMBL14255,active,,-12.972553,-21.840712
CHEMBL14276,active,,-13.00555,-21.796469
CHEMBL14368,active,,-13.063139,-21.910028
CHEMBL14401,active,,-13.041555,-21.824734
CHEMBL14469,active,,-12.962244,-21.768536
CHEMBL14606,active,,-12.987358,-21.82239
CHEMBL14652,active,,-13.004562,-21.831743
CHEMBL147434,active,,-7.278789,-18.481268
CHEMBL147656,active,,-7.442884,-18.615736
CHEMBL148091,active,,-7.202837,-18.404139
CHEMBL14841,active,,-12.855333,-21.682985
CHEMBL148463,active,,-16.970608,23.094086
CHEMBL14863,active,,-12.941243,-21.77853
CHEMBL149024,active,,-20.91783,21.667725
CHEMBL149564,active,,-16.839533,22.682037
CHEMBL15245,active,,26.252106,10.003851
CHEMBL157138,active,,26.717653,10.325925
CHEMBL157910,inactive,,-4.267848,4.568619
CHEMBL1626,active,,10.089252,2.788034
CHEMBL1631545,active,,-0.511094,-2.439112
CHEMBL1632174,inactive,,13.742756,-7.207889
CHEMBL1632223,inactive,,0.505624,-5.32447
CHEMBL1643900,inactive,,-33.651772,43.285656
CHEMBL1643902,inactive,,-33.671028,43.263058
CHEMBL1651090,inactive,,-14.535955,23.375227
CHEMBL1651092,inactive,,-14.590614,23.456833
CHEMBL1651093,inactive,,29.308462,-2.392257
CHEMBL1651096,inactive,,-14.488338,23.396727
CHEMBL17157,active,,9.791461,-10.025905
CHEMBL1729,active,,1.45519,-9.008442
CHEMBL1732,active,,-0.345916,23.368929
CHEMBL1788231,inactive,,15.000451,-2.020231
CHEMBL1794855,inactive,,19.568544,9.089131
