,activity,extra_tooltip,x,y
CHEMBL101008,active,,-19.990995,21.569864
CHEMBL103479,inactive,,11.948787,7.424797
CHEMBL105261,inactive,,15.56642,8.205746
CHEMBL1065,active,,26.942301,10.018967
CHEMBL1067,inactive,,-11.296796,-19.026575
CHEMBL1078745,active,,3.181548,-7.830029
CHEMBL1078896,inactive,,0.185472,-4.915736
CHEMBL1079180,inactive,,-2.758044,3.771912
CHEMBL1084617,inactive,,-2.507789,1.532151
CHEMBL1090397,inactive,,2.327349,6.613602
CHEMBL1090399,inactive,,-19.107767,22.352762
CHEMBL1090757,inactive,,-12.126311,-10.976799
CHEMBL1091104,inactive,,4.697863,6.089247
CHEMBL1091105,inactive,,14.832834,2.137398
CHEMBL1092029,inactive,,17.146969,5.595481
CHEMBL1112,active,,0.536054,-1.563228
CHEMBL114012,inactive,,15.034333,-1.99536
CHEMBL116448,inactive,,14.840328,-1.610023
CHEMBL119443,active,,26.747414,10.243423
CHEMBL1201356,active,,26.760571,10.269927
CHEMBL1214830,active,,3.636961,4.510308
CHEMBL1214891,active,,2.100331,1.249241
CHEMBL1214894,active,,3.688854,4.423227
CHEMBL1214961,active,,3.491154,5.361498
CHEMBL1214962,active,,4.075366,3.972046
CHEMBL1215036,active,,1.106064,-2.049283
CHEMBL1221,inactive,,10.116499,32.235516
CHEMBL1222554,inactive,,11.489122,-1.623456
CHEMBL1222623,inactive,,11.572962,-1.891314
CHEMBL1222692,active,,11.755413,-3.967661
CHEMBL1222762,active,,11.515772,-1.592968
CHEMBL1224036,inactive,,11.031951,10.114757
CHEMBL1224101,inactive,,11.253012,9.888977
CHEMBL1224102,inactive,,11.267979,9.825012
CHEMBL1224105,inactive,,11.226977,9.851248
CHEMBL1224106,inactive,,11.039561,10.075525
CHEMBL12264,inactive,,15.072336,-1.597728
CHEMBL12314,active,,17.549238,4.514096
CHEMBL1255834,active,,15.439061,10.005586
CHEMBL1258223,active,,14.32448,1.745124
CHEMBL1258452,inactive,,14.794527,2.207787
CHEMBL12624,inactive,,15.099607,-1.600531
CHEMBL1275709,inactive,,17.526283,9.618479
