,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,3.560837,-6.745538
CHEMBL101008,active,,-20.190079,21.442259
CHEMBL102268,active,,8.385201,6.473603
CHEMBL103479,inactive,,12.12365,7.253139
CHEMBL104102,active,,8.579048,6.318316
CHEMBL104308,active,,-14.986747,-1.639164
CHEMBL104636,active,,-14.459311,-1.578352
CHEMBL104709,active,,-15.899932,-0.460743
CHEMBL105292,active,,8.537122,6.296543
CHEMBL105372,active,,-15.020795,-1.695481
CHEMBL105381,active,,8.201587,6.669082
CHEMBL105580,active,,8.462423,6.398855
CHEMBL106176,active,,-9.605183,2.650938
CHEMBL1065,active,,26.925209,10.062201
CHEMBL106911,active,,-13.78856,2.550875
CHEMBL107847,active,,-15.076697,-1.322915
CHEMBL107912,active,,-15.167115,-1.472432
CHEMBL1080389,inactive,,0.525536,3.001844
CHEMBL1080522,active,,-1.12182,0.528582
CHEMBL1080555,active,,10.015479,-8.866417
CHEMBL1080556,inactive,,0.609909,2.632674
CHEMBL1080683,active,,-1.622181,2.244139
CHEMBL1080711,active,,-1.550614,0.015851
CHEMBL1080712,active,,6.745235,-4.912289
CHEMBL1080726,active,,-1.367064,0.539712
CHEMBL1080727,active,,-1.468134,0.294541
CHEMBL1080907,inactive,,0.548967,2.762975
CHEMBL1081036,active,,0.746743,-2.119579
CHEMBL1081212,inactive,,0.582758,2.806287
CHEMBL1081254,inactive,,0.592748,2.787879
CHEMBL1081644,active,,-1.379414,0.152642
CHEMBL1081648,inactive,,0.497975,2.757191
CHEMBL1081649,inactive,,0.326663,1.321917
CHEMBL108173,active,,8.40731,6.440341
CHEMBL1082210,inactive,,0.822876,2.950587
CHEMBL1082467,active,,-12.611428,-18.55899
CHEMBL1082473,inactive,,-2.388427,-0.017321
CHEMBL1082474,inactive,,-13.194591,-9.487438
CHEMBL1082723,inactive,,-9.869074,-18.331135
CHEMBL1082773,active,,-12.526845,-18.539122
CHEMBL1082822,inactive,,-2.528232,1.501356
CHEMBL1083449,inactive,,-12.987126,-21.808725
CHEMBL1083725,inactive,,-4.273533,-2.2341
CHEMBL1083750,inactive,,-2.54113,1.662301
CHEMBL1083751,inactive,,-2.545142,1.898047
CHEMBL1084618,inactive,,-2.85589,0.89014
CHEMBL1084721,active,,-12.61282,-18.537737
CHEMBL1084865,inactive,,7.419803,-18.874619
CHEMBL1085155,inactive,,-2.736673,-1.654878
CHEMBL1085615,inactive,,-2.527584,1.900488
CHEMBL1085627,inactive,,-2.478698,0.841244
CHEMBL1085628,inactive,,-2.294917,-0.281681
CHEMBL1085854,inactive,,-2.388227,0.700051
CHEMBL1086316,inactive,,-2.773229,0.987008
CHEMBL1086317,inactive,,-2.665886,1.310953
CHEMBL1086507,active,,-12.615839,-18.586468
CHEMBL1086555,inactive,,-2.746263,0.872203
CHEMBL1086613,active,,-1.392813,0.217109
CHEMBL1086755,active,,-1.498057,0.391884
CHEMBL1087182,active,,-0.982125,2.943835
CHEMBL1087773,active,,-1.817448,-0.71528
CHEMBL1088874,inactive,,-20.571341,0.645741
CHEMBL1089793,inactive,,-20.552341,0.690919
CHEMBL1089881,inactive,,-20.568716,0.689624
CHEMBL1090397,active,,2.451082,6.706858
CHEMBL1090398,active,,12.303432,8.922724
