,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,5.992367,-4.44558
CHEMBL101008,active,,-20.044199,21.331196
CHEMBL102268,active,,8.418716,6.527164
CHEMBL102274,active,,8.179317,6.659649
CHEMBL103479,inactive,,12.140063,7.127277
CHEMBL104,inactive,,9.784224,31.819735
CHEMBL104102,active,,8.647402,6.285122
CHEMBL104308,active,,-15.087792,-1.77679
CHEMBL104636,active,,3.985373,-2.615746
CHEMBL105292,active,,8.438387,6.380444
CHEMBL105372,active,,5.239005,-3.287394
CHEMBL105381,active,,8.177676,6.664861
CHEMBL105580,active,,8.52804,6.31567
CHEMBL106794,active,,1.970162,-9.108546
CHEMBL106911,active,,-24.130646,-2.788327
CHEMBL1076586,inactive,,0.497236,3.274711
CHEMBL107847,active,,-15.728678,-0.239528
CHEMBL1080155,inactive,,0.608466,2.71676
CHEMBL1080389,inactive,,0.678829,3.100909
CHEMBL1080522,active,,-0.836274,0.642737
CHEMBL1080555,active,,9.725387,-8.874422
CHEMBL1080711,active,,3.125685,-6.651934
CHEMBL1080712,active,,9.686838,-8.856099
CHEMBL1080727,active,,-1.592067,0.343024
CHEMBL1080907,inactive,,0.622796,2.811973
CHEMBL1080926,inactive,,0.558022,2.861856
CHEMBL1081036,active,,0.410425,-10.80934
CHEMBL1081212,inactive,,0.432475,2.59747
CHEMBL1081254,inactive,,0.372294,2.475122
CHEMBL1081648,inactive,,0.614116,3.067747
CHEMBL108173,active,,8.389774,6.516596
CHEMBL1082473,inactive,,-2.359574,-0.424641
CHEMBL1082474,inactive,,-5.233766,-2.99877
CHEMBL1082773,active,,-12.551384,-18.53656
CHEMBL1082795,inactive,,-12.990814,-11.280138
CHEMBL1082822,inactive,,-2.470536,1.463243
CHEMBL1083725,inactive,,-2.809763,0.889096
CHEMBL1083751,inactive,,-2.62692,1.32121
CHEMBL1084618,inactive,,-2.958164,0.589836
CHEMBL1084721,active,,-12.60957,-18.497246
CHEMBL1084865,inactive,,-3.078585,0.298332
CHEMBL1085155,inactive,,-2.849863,-1.440938
CHEMBL1085615,inactive,,-2.751486,0.93014
CHEMBL1085627,inactive,,-2.76275,0.443328
CHEMBL1085628,inactive,,-2.465571,0.622785
CHEMBL1085854,inactive,,-2.50706,0.901289
CHEMBL1086075,inactive,,-2.456781,1.194567
CHEMBL1086316,inactive,,-2.7785,1.037076
CHEMBL1086317,inactive,,-2.757253,1.061276
CHEMBL1086555,inactive,,-3.016382,-1.361778
CHEMBL1086613,active,,-1.42822,0.078112
CHEMBL1086755,active,,-1.481796,0.433921
CHEMBL1087773,active,,2.128846,-8.784038
CHEMBL1088874,inactive,,-20.502808,0.844433
CHEMBL1089793,inactive,,-20.5026,0.83315
CHEMBL1089881,inactive,,-20.579842,0.716174
CHEMBL1090398,active,,12.386926,8.893886
CHEMBL1091105,active,,15.285882,3.765274
CHEMBL1091452,active,,-4.952885,-4.422659
CHEMBL1092238,inactive,,-20.516075,0.697527
CHEMBL1092921,inactive,,-20.383265,0.910781
CHEMBL1092929,inactive,,-20.594549,0.700454
CHEMBL1093469,inactive,,-20.551321,0.643497
CHEMBL1093802,inactive,,-20.504011,0.80342
CHEMBL109548,inactive,,7.828121,0.375312
CHEMBL109589,active,,8.099716,6.48166
CHEMBL110740,active,,7.546005,6.682601
CHEMBL110802,active,,5.428432,8.147421
CHEMBL110847,active,,5.26212,1.542888
CHEMBL111061,active,,-11.806949,-12.419084
CHEMBL111184,active,,6.735181,9.858503
CHEMBL111352,active,,11.639465,-2.838821
CHEMBL111509,inactive,,7.992273,-3.033151
CHEMBL112590,active,,8.100207,6.658371
CHEMBL11262,inactive,,17.651443,5.547261
CHEMBL11265,inactive,,15.931187,-6.200041
CHEMBL113238,active,,6.637586,10.000978
CHEMBL113600,inactive,,-19.669231,23.637602
CHEMBL113624,inactive,,-19.426907,23.718449
CHEMBL114012,inactive,,15.043508,-1.993889
CHEMBL11409,inactive,,16.080307,-6.525606
CHEMBL11425,inactive,,15.220072,-5.440549
CHEMBL116209,active,,-20.205006,22.046701
CHEMBL1162962,inactive,,-12.569016,-18.531418
CHEMBL116448,inactive,,15.034079,-1.650344
CHEMBL116463,inactive,,5.203668,-8.860236
CHEMBL116940,active,,-20.478245,21.717093
CHEMBL1172812,inactive,,-11.722223,22.921923
CHEMBL1173334,active,,-11.801101,23.01034
CHEMBL1173408,inactive,,-11.670515,22.868324
CHEMBL1173820,inactive,,-11.771251,22.96426
CHEMBL117537,inactive,,5.411193,-5.282617
CHEMBL119323,active,,-20.207111,21.753187
CHEMBL119443,active,,26.786482,10.212882
CHEMBL119584,active,,-20.759794,22.038847
