,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,3.560837,-6.745538
CHEMBL100086,inactive,,5.992367,-4.44558
CHEMBL101008,active,,-20.190079,21.442259
CHEMBL101008,active,,-20.044199,21.331196
CHEMBL102268,active,,8.385201,6.473603
CHEMBL102268,active,,8.418716,6.527164
CHEMBL102274,active,,8.179317,6.659649
CHEMBL103479,inactive,,12.12365,7.253139
CHEMBL103479,inactive,,12.140063,7.127277
CHEMBL104,inactive,,9.784224,31.819735
CHEMBL104102,active,,8.579048,6.318316
CHEMBL104102,active,,8.647402,6.285122
CHEMBL104308,active,,-14.986747,-1.639164
CHEMBL104308,active,,-15.087792,-1.77679
CHEMBL104636,active,,-14.459311,-1.578352
CHEMBL104636,active,,3.985373,-2.615746
CHEMBL104709,active,,-15.899932,-0.460743
CHEMBL105292,active,,8.537122,6.296543
CHEMBL105292,active,,8.438387,6.380444
CHEMBL105372,active,,-15.020795,-1.695481
CHEMBL105372,active,,5.239005,-3.287394
CHEMBL105381,active,,8.201587,6.669082
CHEMBL105381,active,,8.177676,6.664861
CHEMBL105580,active,,8.462423,6.398855
CHEMBL105580,active,,8.52804,6.31567
CHEMBL106176,active,,-9.605183,2.650938
CHEMBL1065,active,,26.925209,10.062201
CHEMBL106794,active,,1.970162,-9.108546
CHEMBL106911,active,,-13.78856,2.550875
CHEMBL106911,active,,-24.130646,-2.788327
CHEMBL1076586,inactive,,0.497236,3.274711
CHEMBL107847,active,,-15.076697,-1.322915
CHEMBL107847,active,,-15.728678,-0.239528
CHEMBL107912,active,,-15.167115,-1.472432
CHEMBL1080155,inactive,,0.608466,2.71676
CHEMBL1080389,inactive,,0.525536,3.001844
CHEMBL1080389,inactive,,0.678829,3.100909
CHEMBL1080522,active,,-1.12182,0.528582
CHEMBL1080522,active,,-0.836274,0.642737
CHEMBL1080555,active,,10.015479,-8.866417
CHEMBL1080555,active,,9.725387,-8.874422
CHEMBL1080556,inactive,,0.609909,2.632674
CHEMBL1080683,active,,-1.622181,2.244139
CHEMBL1080711,active,,-1.550614,0.015851
CHEMBL1080711,active,,3.125685,-6.651934
CHEMBL1080712,active,,6.745235,-4.912289
CHEMBL1080712,active,,9.686838,-8.856099
CHEMBL1080726,active,,-1.367064,0.539712
CHEMBL1080727,active,,-1.468134,0.294541
