,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,11.292871,0.317834
CHEMBL10309,inactive,,11.276893,-0.194454
CHEMBL103529,inactive,,8.280539,-7.540212
CHEMBL104210,inactive,,6.782105,-3.82495
CHEMBL104574,inactive,,-2.503395,0.178251
CHEMBL104681,inactive,,-11.527246,-9.296667
CHEMBL104803,inactive,,1.714028,7.126349
CHEMBL105122,inactive,,4.661916,3.057295
CHEMBL105160,inactive,,10.779782,-7.128049
CHEMBL105457,inactive,,20.237577,17.333109
CHEMBL105674,inactive,,4.501199,3.1556
CHEMBL106082,inactive,,-6.623605,-1.427706
CHEMBL106247,inactive,,12.728558,-2.463533
CHEMBL106259,inactive,,3.636914,3.335774
CHEMBL106344,inactive,,-6.411998,-1.382729
CHEMBL106505,inactive,,4.457331,3.102746
CHEMBL106936,inactive,,-6.481828,-1.226439
CHEMBL107254,inactive,,-6.013231,-2.005122
CHEMBL107680,inactive,,4.629086,2.992864
CHEMBL1084993,inactive,,8.982456,2.35592
CHEMBL1085507,inactive,,7.263382,5.493236
CHEMBL1090097,inactive,,2.036749,3.848433
CHEMBL109051,active,,9.422195,-13.979588
CHEMBL109068,inactive,,17.631294,14.999172
CHEMBL109120,inactive,,-1.426727,-18.99564
CHEMBL1092,active,,17.385475,-0.449221
CHEMBL1092461,inactive,,2.564915,3.993541
CHEMBL1093933,inactive,,2.387246,5.32382
CHEMBL109593,inactive,,17.644392,14.955277
CHEMBL109597,inactive,,17.676466,14.941024
CHEMBL109647,inactive,,-1.447569,-18.989792
CHEMBL109727,inactive,,17.525658,15.132036
CHEMBL109815,active,,-3.31863,-17.731503
CHEMBL109866,inactive,,19.121279,15.728703
CHEMBL109985,inactive,,-1.390751,-19.025063
CHEMBL110744,active,,7.904299,-13.518975
CHEMBL110845,inactive,,-1.323771,-18.903177
CHEMBL111120,inactive,,-2.125825,-18.201017
CHEMBL111123,inactive,,17.571007,15.093726
CHEMBL111224,active,,19.176821,-2.050961
CHEMBL111229,inactive,,16.886473,13.842857
CHEMBL111369,inactive,,-1.411114,-19.009703
CHEMBL111615,inactive,,-1.443228,-18.957516
CHEMBL111679,inactive,,17.419695,15.369116
CHEMBL1123,active,,18.219862,-1.19416
CHEMBL113436,inactive,,10.813324,-10.613365
CHEMBL11527,active,,9.848837,-11.637041
CHEMBL115642,active,,8.084896,-12.885409
CHEMBL115681,active,,9.406507,-14.169889
CHEMBL115807,active,,9.37977,-14.134423
CHEMBL1162116,active,,-15.62013,21.345318
CHEMBL1162964,inactive,,9.964478,-6.828545
CHEMBL116404,active,,9.510305,-14.00317
CHEMBL116777,active,,7.831889,-13.733876
CHEMBL116781,active,,-15.502951,6.868625
CHEMBL11690,active,,9.79531,-13.157059
CHEMBL11710,inactive,,9.135742,-12.146255
CHEMBL117351,active,,7.56104,-13.698662
CHEMBL117414,active,,9.303523,-14.245257
CHEMBL11756,active,,9.83978,-13.401377
CHEMBL117797,active,,7.882151,-13.711383
CHEMBL117817,active,,9.32184,-14.422867
CHEMBL11794,active,,10.289951,-12.924648
CHEMBL11816,active,,9.850229,-12.784651
CHEMBL118391,active,,9.298751,-14.380826
CHEMBL118553,inactive,,16.020235,-0.482716
CHEMBL1187846,active,,11.61202,9.545217
CHEMBL11892,active,,9.675799,-13.120711
CHEMBL11893,active,,9.8192,-13.261055
CHEMBL119131,active,,9.188758,-14.269074
CHEMBL119168,active,,7.6927,-13.970425
CHEMBL119294,active,,9.267318,-14.216014
