,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,8.17112,3.710147
CHEMBL10309,inactive,,11.198552,-0.32543
CHEMBL103529,inactive,,4.700698,-1.842999
CHEMBL104,inactive,,9.8837,31.951719
CHEMBL104355,inactive,,-11.478424,-9.412992
CHEMBL104681,inactive,,-11.522326,-9.297541
CHEMBL105457,inactive,,20.230503,17.268106
CHEMBL106082,inactive,,-6.124409,-2.20427
CHEMBL106247,inactive,,12.755309,-2.474604
CHEMBL106344,inactive,,-6.122347,-2.566356
CHEMBL106782,inactive,,-10.764891,-9.272218
CHEMBL106932,inactive,,-11.54479,-9.220171
CHEMBL107254,inactive,,-5.947367,-1.960397
CHEMBL107680,inactive,,4.567302,3.01211
CHEMBL107892,inactive,,-11.68767,-9.279176
CHEMBL108163,inactive,,-5.931707,-2.166003
CHEMBL1083925,active,,7.232253,5.481533
CHEMBL1084993,inactive,,9.154566,2.369443
CHEMBL1085507,inactive,,7.299131,5.299919
CHEMBL1090097,inactive,,2.18623,3.78099
CHEMBL109051,active,,8.445517,-12.985859
CHEMBL109068,inactive,,17.67597,14.823376
CHEMBL109120,inactive,,-1.486681,-18.94817
CHEMBL1092,active,,18.351906,5.450111
CHEMBL1093933,inactive,,2.443034,3.966908
CHEMBL109593,inactive,,17.631023,14.770013
CHEMBL109597,inactive,,17.653316,14.693348
CHEMBL109727,inactive,,17.499832,15.005247
CHEMBL109815,active,,-3.292037,-17.744743
CHEMBL109866,inactive,,19.129303,15.757001
CHEMBL109985,inactive,,-1.452512,-18.981949
CHEMBL110744,active,,7.993765,-13.50137
CHEMBL110845,inactive,,-1.332931,-18.226706
CHEMBL111120,inactive,,-2.141562,-18.275488
CHEMBL111123,inactive,,17.456886,14.860699
CHEMBL111224,active,,19.132572,-2.091213
CHEMBL111229,inactive,,18.064638,14.283291
CHEMBL1113,inactive,,2.514801,6.497054
CHEMBL111369,inactive,,-2.32535,-18.181286
CHEMBL111679,inactive,,17.450294,15.341486
CHEMBL113436,inactive,,10.692373,-10.789515
CHEMBL11527,active,,9.654432,-11.85307
CHEMBL115280,inactive,,-0.715052,1.671253
CHEMBL115642,active,,9.427148,-14.139985
CHEMBL115681,active,,7.866109,-13.608935
CHEMBL115807,active,,8.578522,-12.681601
CHEMBL1162964,inactive,,9.921868,-6.74049
CHEMBL116404,active,,7.78867,-13.766769
CHEMBL116777,active,,7.786531,-13.880316
CHEMBL116781,active,,7.788973,-13.899994
CHEMBL11690,active,,9.236034,-12.295931
CHEMBL1169543,active,,11.582565,13.464258
CHEMBL11710,inactive,,9.324632,-12.244328
CHEMBL1172,active,,6.557327,10.287326
CHEMBL117351,active,,7.653035,-13.96651
CHEMBL117414,active,,8.516058,-14.275927
CHEMBL11756,active,,9.730854,-11.798242
CHEMBL117797,active,,7.758166,-13.768338
CHEMBL117817,active,,7.73781,-13.70743
CHEMBL11794,active,,9.734916,-11.664121
CHEMBL1180285,active,,0.628227,4.39353
CHEMBL1180343,inactive,,5.060813,2.151407
CHEMBL11816,active,,9.323282,-12.222491
CHEMBL118292,active,,-3.27178,-17.765673
CHEMBL118391,active,,7.717895,-13.924636
CHEMBL118553,inactive,,15.997237,-0.27263
CHEMBL11892,active,,9.286558,-12.259941
CHEMBL11893,active,,9.599111,-11.926443
CHEMBL118949,inactive,,-2.87286,-17.952318
CHEMBL119131,active,,7.739912,-13.347777
CHEMBL119168,active,,8.211354,-14.166352
CHEMBL119294,active,,7.890715,-13.640413
