,activity,extra_tooltip,x,y
CHEMBL10309,inactive,,10.997319,-0.43782
CHEMBL103529,inactive,,8.191646,-7.468604
CHEMBL104355,inactive,,12.618361,8.444173
CHEMBL104681,inactive,,-11.577174,-9.322741
CHEMBL105160,inactive,,13.815142,-7.365543
CHEMBL106082,inactive,,-6.485352,-1.09078
CHEMBL106344,inactive,,-6.519119,-1.159764
CHEMBL106782,inactive,,-4.933013,-4.215168
CHEMBL106936,inactive,,-5.632175,-2.37021
CHEMBL107254,inactive,,-5.962325,-2.068358
CHEMBL107680,inactive,,4.328429,3.179531
CHEMBL107892,inactive,,-11.444686,-9.238446
CHEMBL1083925,active,,7.757383,3.808882
CHEMBL1084993,inactive,,7.529714,5.472459
CHEMBL1090096,inactive,,2.198148,4.239638
CHEMBL1090097,inactive,,2.128656,3.844953
CHEMBL109051,active,,8.002406,-13.45765
CHEMBL109068,inactive,,17.589825,14.843051
CHEMBL109120,inactive,,-1.695752,-18.708435
CHEMBL1092,active,,17.130356,0.360646
CHEMBL1093933,inactive,,2.48316,3.972307
CHEMBL109593,inactive,,17.603699,14.859167
CHEMBL109597,inactive,,17.59399,14.807499
CHEMBL109647,inactive,,-1.47376,-18.959732
CHEMBL109727,inactive,,17.518496,15.020952
CHEMBL109815,active,,-3.299614,-17.716652
CHEMBL109866,inactive,,19.132435,15.719673
CHEMBL109985,inactive,,-1.454244,-18.980421
CHEMBL110744,active,,8.009535,-13.49127
CHEMBL110845,inactive,,-1.321499,-18.242838
CHEMBL111120,inactive,,-2.050821,-18.34878
CHEMBL111123,inactive,,17.498774,14.994358
CHEMBL111224,active,,19.162418,-2.051082
CHEMBL111229,inactive,,19.013552,13.971622
CHEMBL111369,inactive,,-2.142759,-18.324171
CHEMBL111679,inactive,,17.436396,15.313571
CHEMBL113436,inactive,,10.755701,-10.725988
CHEMBL11527,active,,9.879018,-11.639922
CHEMBL115642,active,,7.888067,-13.656539
CHEMBL115681,active,,7.871729,-13.698967
CHEMBL115807,active,,7.722505,-13.894326
CHEMBL1162116,active,,-15.658356,21.349833
CHEMBL1162964,inactive,,10.095254,-6.739583
CHEMBL116404,active,,9.338591,-13.820993
CHEMBL116777,active,,7.86649,-13.786931
CHEMBL116781,active,,7.967316,-12.625443
CHEMBL11690,active,,9.547789,-11.812222
CHEMBL1169543,active,,11.492804,13.214478
CHEMBL11710,inactive,,9.293033,-12.114615
CHEMBL1172,active,,6.481137,10.38704
CHEMBL117351,active,,7.655573,-13.955473
CHEMBL117414,active,,7.771871,-13.940649
CHEMBL11756,active,,10.139867,-11.362057
CHEMBL117797,active,,7.796017,-13.736582
CHEMBL117817,active,,7.775192,-13.805686
CHEMBL11794,active,,9.854361,-11.638008
CHEMBL1180343,inactive,,4.907696,2.042705
CHEMBL11816,active,,9.548775,-11.956115
CHEMBL118391,active,,7.880096,-14.081204
CHEMBL118553,inactive,,16.042828,-0.399773
CHEMBL11892,active,,9.24909,-12.430338
CHEMBL11893,active,,9.793922,-11.650487
CHEMBL119131,active,,7.796225,-14.001521
CHEMBL119168,active,,7.738528,-13.970205
CHEMBL119294,active,,7.767638,-13.865825
CHEMBL119985,inactive,,-2.933622,-17.904779
CHEMBL1200604,active,,9.476684,7.444986
CHEMBL120080,active,,17.769028,5.37443
CHEMBL120539,inactive,,-12.39725,-5.376277
CHEMBL12064,active,,9.777237,-11.765435
CHEMBL120706,inactive,,-2.872823,-17.945955
CHEMBL12085,active,,9.27871,-12.320472
CHEMBL12098,active,,8.928905,-12.582351
CHEMBL121298,inactive,,5.392421,1.680666
CHEMBL12150,active,,9.254063,-12.295649
CHEMBL12153,active,,9.571033,-12.227201
CHEMBL1221512,inactive,,15.027857,-5.63072
CHEMBL12228,active,,10.743887,-11.086907
CHEMBL123099,inactive,,4.847708,1.986637
CHEMBL12354,active,,9.184547,-12.308713
CHEMBL12419,active,,9.318032,-12.278632
CHEMBL12542,active,,9.466748,-12.101944
CHEMBL1258452,inactive,,14.768713,2.430327
CHEMBL1258671,inactive,,14.353381,1.872522
CHEMBL1289081,active,,12.458821,-0.538634
CHEMBL1289082,active,,12.548805,-0.594288
CHEMBL1289201,active,,12.348399,-0.572691
CHEMBL1289314,active,,7.242023,3.283442
CHEMBL1289315,active,,12.163574,-0.542251
CHEMBL1289544,active,,12.37415,-0.495066
CHEMBL1289545,active,,12.652459,-0.717636
CHEMBL1289653,active,,12.703941,-0.747739
CHEMBL1289654,active,,12.680247,-0.695689
CHEMBL1289758,active,,12.660293,-0.787995
CHEMBL1289865,active,,12.737981,-0.901697
CHEMBL1289982,active,,12.876134,-0.900993
CHEMBL1290294,active,,8.154363,2.876163
CHEMBL1290409,active,,8.044597,5.077329
CHEMBL1290410,active,,8.254127,2.728095
CHEMBL1290634,active,,8.121007,2.483595
CHEMBL1290635,active,,12.346189,-0.55541
CHEMBL1290752,active,,4.670033,-3.675826
CHEMBL1290753,active,,12.401748,-0.595665
CHEMBL12980,active,,11.535007,13.359067
CHEMBL1319362,active,,14.802064,7.156987
CHEMBL135645,active,,17.121588,15.587357
CHEMBL138502,inactive,,11.005077,-10.28865
CHEMBL139311,active,,7.945151,-13.543365
CHEMBL140490,inactive,,10.783842,-10.787057
CHEMBL140827,inactive,,10.598445,-10.521648
CHEMBL143469,active,,15.422799,-12.839898
CHEMBL144247,inactive,,14.457317,14.814257
CHEMBL144493,inactive,,-8.024579,-19.107103
CHEMBL144580,inactive,,14.156017,14.395538
CHEMBL145301,inactive,,14.056426,14.572539
CHEMBL145533,inactive,,14.028931,14.512925
CHEMBL14580,inactive,,17.388063,18.583811
CHEMBL1459098,inactive,,-13.677131,-19.806705
CHEMBL145913,active,,8.613247,-5.207765
