,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,11.292871,0.317834
CHEMBL10272,inactive,,8.17112,3.710147
CHEMBL10309,inactive,,11.276893,-0.194454
CHEMBL10309,inactive,,11.198552,-0.32543
CHEMBL10309,inactive,,10.997319,-0.43782
CHEMBL103529,inactive,,8.280539,-7.540212
CHEMBL103529,inactive,,4.700698,-1.842999
CHEMBL103529,inactive,,8.191646,-7.468604
CHEMBL104,inactive,,9.8837,31.951719
CHEMBL104210,inactive,,6.782105,-3.82495
CHEMBL104355,inactive,,-11.478424,-9.412992
CHEMBL104355,inactive,,12.618361,8.444173
CHEMBL104574,inactive,,-2.503395,0.178251
CHEMBL104681,inactive,,-11.527246,-9.296667
CHEMBL104681,inactive,,-11.522326,-9.297541
CHEMBL104681,inactive,,-11.577174,-9.322741
CHEMBL104803,inactive,,1.714028,7.126349
CHEMBL105122,inactive,,4.661916,3.057295
CHEMBL105160,inactive,,10.779782,-7.128049
CHEMBL105160,inactive,,13.815142,-7.365543
CHEMBL105457,inactive,,20.237577,17.333109
CHEMBL105457,inactive,,20.230503,17.268106
CHEMBL105674,inactive,,4.501199,3.1556
CHEMBL106082,inactive,,-6.623605,-1.427706
CHEMBL106082,inactive,,-6.124409,-2.20427
CHEMBL106082,inactive,,-6.485352,-1.09078
CHEMBL106247,inactive,,12.728558,-2.463533
CHEMBL106247,inactive,,12.755309,-2.474604
CHEMBL106259,inactive,,3.636914,3.335774
CHEMBL106344,inactive,,-6.411998,-1.382729
CHEMBL106344,inactive,,-6.122347,-2.566356
CHEMBL106344,inactive,,-6.519119,-1.159764
CHEMBL106505,inactive,,4.457331,3.102746
CHEMBL106782,inactive,,-10.764891,-9.272218
CHEMBL106782,inactive,,-4.933013,-4.215168
CHEMBL106932,inactive,,-11.54479,-9.220171
CHEMBL106936,inactive,,-6.481828,-1.226439
CHEMBL106936,inactive,,-5.632175,-2.37021
CHEMBL107254,inactive,,-6.013231,-2.005122
CHEMBL107254,inactive,,-5.947367,-1.960397
CHEMBL107254,inactive,,-5.962325,-2.068358
CHEMBL107680,inactive,,4.629086,2.992864
CHEMBL107680,inactive,,4.567302,3.01211
CHEMBL107680,inactive,,4.328429,3.179531
CHEMBL107892,inactive,,-11.68767,-9.279176
CHEMBL107892,inactive,,-11.444686,-9.238446
CHEMBL108163,inactive,,-5.931707,-2.166003
CHEMBL1083925,active,,7.232253,5.481533
CHEMBL1083925,active,,7.757383,3.808882
CHEMBL1084993,inactive,,8.982456,2.35592
CHEMBL1084993,inactive,,9.154566,2.369443
CHEMBL1084993,inactive,,7.529714,5.472459
CHEMBL1085507,inactive,,7.263382,5.493236
CHEMBL1085507,inactive,,7.299131,5.299919
CHEMBL1090096,inactive,,2.198148,4.239638
CHEMBL1090097,inactive,,2.036749,3.848433
CHEMBL1090097,inactive,,2.18623,3.78099
CHEMBL1090097,inactive,,2.128656,3.844953
CHEMBL109051,active,,9.422195,-13.979588
CHEMBL109051,active,,8.445517,-12.985859
CHEMBL109051,active,,8.002406,-13.45765
CHEMBL109068,inactive,,17.631294,14.999172
CHEMBL109068,inactive,,17.67597,14.823376
CHEMBL109068,inactive,,17.589825,14.843051
CHEMBL109120,inactive,,-1.426727,-18.99564
CHEMBL109120,inactive,,-1.486681,-18.94817
CHEMBL109120,inactive,,-1.695752,-18.708435
CHEMBL1092,active,,17.385475,-0.449221
CHEMBL1092,active,,18.351906,5.450111
CHEMBL1092,active,,17.130356,0.360646
CHEMBL1092461,inactive,,2.564915,3.993541
CHEMBL1093933,inactive,,2.387246,5.32382
CHEMBL1093933,inactive,,2.443034,3.966908
CHEMBL1093933,inactive,,2.48316,3.972307
CHEMBL109593,inactive,,17.644392,14.955277
CHEMBL109593,inactive,,17.631023,14.770013
CHEMBL109593,inactive,,17.603699,14.859167
CHEMBL109597,inactive,,17.676466,14.941024
CHEMBL109597,inactive,,17.653316,14.693348
CHEMBL109597,inactive,,17.59399,14.807499
CHEMBL109647,inactive,,-1.447569,-18.989792
CHEMBL109647,inactive,,-1.47376,-18.959732
