,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,11.39057,-0.513939
CHEMBL10309,inactive,,11.216352,-0.042908
CHEMBL103529,inactive,,8.088549,-7.357747
CHEMBL104804,inactive,,0.881817,3.889117
CHEMBL105674,inactive,,4.566505,2.978508
CHEMBL106219,active,,0.273095,-10.401843
CHEMBL106224,active,,3.352577,-2.26221
CHEMBL106505,inactive,,4.267926,2.960727
CHEMBL107680,inactive,,4.496029,3.148531
CHEMBL1080155,inactive,,0.538934,2.735831
CHEMBL1080389,inactive,,0.528912,2.819685
CHEMBL1080735,inactive,,1.023585,3.526713
CHEMBL1081648,inactive,,1.07835,4.131238
CHEMBL1082209,inactive,,0.87734,3.254387
CHEMBL1083402,active,,9.025806,2.269776
CHEMBL1083618,inactive,,7.29895,6.135834
CHEMBL1084850,active,,9.078168,2.371118
CHEMBL1085507,inactive,,7.392274,5.458839
CHEMBL1090094,inactive,,-14.998702,-8.225245
CHEMBL1090095,inactive,,2.462695,4.342742
CHEMBL1090096,inactive,,2.307804,3.845728
CHEMBL1090097,inactive,,2.08896,3.831742
CHEMBL109068,inactive,,17.621536,14.974634
CHEMBL109120,inactive,,-1.501173,-18.914015
CHEMBL1092,active,,17.238092,-0.596895
CHEMBL1092460,inactive,,2.530118,3.841651
CHEMBL1092461,inactive,,2.586915,3.832778
CHEMBL1093775,inactive,,2.638652,3.811953
CHEMBL1093933,inactive,,2.381593,4.46613
CHEMBL109593,inactive,,17.56192,14.923699
CHEMBL109597,inactive,,17.677216,14.925303
CHEMBL109647,inactive,,-2.059807,-18.318966
CHEMBL109727,inactive,,17.57321,15.189243
CHEMBL109866,inactive,,19.09556,15.763439
CHEMBL109985,inactive,,-1.482422,-18.947113
CHEMBL110339,active,,11.710027,2.060761
CHEMBL110808,active,,11.341273,2.324219
CHEMBL110845,inactive,,-1.441541,-18.989845
CHEMBL111120,inactive,,-1.507985,-18.926188
CHEMBL111123,inactive,,17.599785,15.174899
CHEMBL111229,inactive,,16.962797,13.801423
CHEMBL111369,inactive,,-1.401809,-18.997923
CHEMBL111529,inactive,,18.924391,15.539589
CHEMBL111615,inactive,,-1.436518,-18.991737
CHEMBL111679,inactive,,17.336624,15.44117
CHEMBL1169543,active,,11.260899,13.193581
