,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,11.25039,-0.218642
CHEMBL10309,inactive,,11.375044,-0.381524
CHEMBL103529,inactive,,8.202632,-7.496478
CHEMBL104574,inactive,,-2.345394,0.371683
CHEMBL104804,inactive,,0.844155,4.046225
CHEMBL105593,inactive,,4.412232,3.163298
CHEMBL105674,inactive,,4.637785,3.038074
CHEMBL106219,active,,0.253707,-10.400767
CHEMBL106224,active,,3.468193,-2.428658
CHEMBL106505,inactive,,4.270351,2.917886
CHEMBL107680,inactive,,4.680208,2.946972
CHEMBL1080155,inactive,,0.597042,2.732135
CHEMBL1080907,inactive,,0.978609,4.029052
CHEMBL1082210,inactive,,0.935143,3.929101
CHEMBL1083002,inactive,,9.078772,2.431106
CHEMBL1083317,inactive,,-12.762319,-6.370324
CHEMBL1083402,active,,8.937512,2.22014
CHEMBL1083618,inactive,,7.560128,6.515754
CHEMBL1083926,inactive,,8.719834,2.013424
CHEMBL1084804,active,,9.091479,2.379404
CHEMBL1084850,active,,9.055353,2.450484
CHEMBL1084851,active,,7.24327,5.691584
CHEMBL1090095,inactive,,2.445546,3.638717
CHEMBL1090096,inactive,,2.369809,3.778795
CHEMBL1090097,inactive,,2.120864,3.781612
CHEMBL109068,inactive,,17.649168,14.955241
CHEMBL1090759,inactive,,2.067288,3.828352
CHEMBL109120,inactive,,-1.436466,-18.982639
CHEMBL1092,active,,17.501078,-0.570849
CHEMBL1092460,inactive,,2.565751,3.861519
CHEMBL1092461,inactive,,2.671608,3.9923
CHEMBL1093775,inactive,,2.532846,3.959301
CHEMBL1093933,inactive,,2.460645,4.025634
CHEMBL109593,inactive,,17.594244,14.878826
CHEMBL109597,inactive,,17.69853,14.886467
CHEMBL109647,inactive,,-1.464436,-18.977827
CHEMBL109727,inactive,,17.580748,15.073776
CHEMBL109866,inactive,,19.14089,15.717323
CHEMBL109985,inactive,,-1.430414,-18.998634
CHEMBL110339,active,,11.57219,2.201689
CHEMBL110808,active,,11.461482,2.080069
CHEMBL110845,inactive,,-2.185289,-18.109854
CHEMBL111120,inactive,,-1.372753,-19.058243
CHEMBL111123,inactive,,17.537655,15.053997
CHEMBL111229,inactive,,16.81238,13.855016
CHEMBL111369,inactive,,-1.398532,-19.041653
CHEMBL111529,inactive,,18.928473,15.503117
CHEMBL111615,inactive,,-1.478633,-18.947628
CHEMBL111679,inactive,,17.318262,15.458405
CHEMBL1123,active,,18.351261,-1.350102
CHEMBL1180284,inactive,,-12.429992,-5.364088
CHEMBL1180343,inactive,,0.020876,4.163055
CHEMBL1182657,active,,14.349591,8.124888
CHEMBL118553,inactive,,16.152388,-0.514557
CHEMBL1187846,active,,11.454885,9.516761
CHEMBL1200406,active,,7.618697,7.501595
CHEMBL1200604,active,,9.455802,7.476673
CHEMBL120080,active,,16.050707,-0.534954
CHEMBL1200803,active,,11.21703,13.269654
CHEMBL1201027,active,,18.074554,1.282745
CHEMBL120109,inactive,,-12.432981,-5.37813
CHEMBL1201203,active,,10.542832,3.47107
CHEMBL1201335,active,,18.078779,1.299482
CHEMBL120135,inactive,,17.247322,-0.71181
CHEMBL120539,inactive,,-12.399427,-5.375156
CHEMBL121298,inactive,,5.36039,1.764295
CHEMBL121385,inactive,,15.881298,-0.483456
CHEMBL1221,inactive,,10.112393,32.231472
CHEMBL122353,inactive,,-12.358176,-5.369958
CHEMBL123099,inactive,,0.045697,4.068643
CHEMBL1231,active,,17.386309,-0.20385
CHEMBL1242950,inactive,,17.445614,-0.661815
CHEMBL1258452,inactive,,14.63829,2.405589
CHEMBL1258671,inactive,,14.311255,1.908387
CHEMBL1262,inactive,,10.11485,32.227295
CHEMBL1289082,active,,12.645886,-0.416679
CHEMBL1289201,active,,5.239658,3.509215
CHEMBL1289202,active,,12.133674,-0.086819
CHEMBL1289544,active,,12.631288,-0.196166
CHEMBL1289545,active,,12.657195,-0.743373
CHEMBL1289654,active,,12.674896,-0.514001
CHEMBL1289758,active,,12.863979,-0.649421
CHEMBL1289865,active,,12.754404,-0.912615
CHEMBL1289866,active,,12.982725,-1.04132
CHEMBL1289982,active,,12.903808,-0.919107
CHEMBL1289983,active,,12.926138,-0.926656
CHEMBL1290183,active,,8.157262,2.84134
CHEMBL1290752,active,,5.264155,-0.293863
CHEMBL1290753,active,,12.309697,-0.533478
CHEMBL1306,inactive,,2.848943,-8.0602
CHEMBL1319362,active,,14.437283,7.071849
CHEMBL132698,inactive,,18.756702,16.013639
CHEMBL1346,active,,6.600927,-8.728724
CHEMBL134641,active,,0.226432,-16.958233
CHEMBL135645,active,,17.12026,15.653097
CHEMBL136027,active,,15.300524,-12.870033
CHEMBL1382,active,,9.94165,3.400618
CHEMBL1424807,inactive,,-19.77976,23.961458
CHEMBL143228,active,,10.692051,2.551804
CHEMBL143469,active,,15.485819,-12.830057
CHEMBL1459098,inactive,,-13.818366,-19.792645
CHEMBL145913,active,,8.620799,-5.031359
CHEMBL146249,active,,15.721065,-5.195361
CHEMBL146291,active,,16.571047,-5.822647
CHEMBL146307,active,,6.232785,-5.360015
CHEMBL146351,active,,15.465137,-5.085536
CHEMBL146359,active,,16.19537,-5.984805
CHEMBL146464,active,,9.066748,-5.724442
CHEMBL146567,active,,8.871673,-5.194723
CHEMBL147105,active,,8.646322,-4.965446
CHEMBL147554,active,,8.673925,-5.139924
CHEMBL147653,active,,8.593177,-4.879329
CHEMBL147672,active,,15.385015,-3.827062
CHEMBL147695,active,,15.072422,-4.133884
CHEMBL147778,active,,8.806484,-5.228348
CHEMBL148129,active,,16.299271,-6.035356
