,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,3.453773,-6.613501
CHEMBL10105,active,,6.286351,-4.270449
CHEMBL101535,active,,7.623448,-5.892791
CHEMBL101593,active,,0.687381,-8.149678
CHEMBL102175,active,,-1.679993,-8.184744
CHEMBL102414,inactive,,10.538521,9.730198
CHEMBL102582,active,,18.614681,7.934823
CHEMBL10289,active,,17.66596,7.772117
CHEMBL10316,inactive,,-20.910133,23.152576
CHEMBL10327,active,,2.398147,-3.829228
CHEMBL103441,inactive,,18.524632,5.358528
CHEMBL10355,inactive,,9.943706,-3.717183
CHEMBL103622,active,,19.642262,6.568521
CHEMBL103857,active,,19.632439,6.755799
CHEMBL103912,inactive,,19.473541,6.125476
CHEMBL103983,active,,-14.722035,2.016617
CHEMBL104063,inactive,,2.40694,0.039252
CHEMBL104092,inactive,,5.767445,3.790662
CHEMBL104135,inactive,,19.551821,5.925892
CHEMBL104155,inactive,,8.145914,-1.350506
CHEMBL104256,inactive,,7.418168,-1.400764
CHEMBL104273,active,,8.230232,-1.322171
CHEMBL104321,inactive,,5.341455,-6.310229
CHEMBL104399,inactive,,7.465349,-1.172029
CHEMBL104497,inactive,,8.005017,-1.264433
CHEMBL104498,inactive,,6.650687,-0.899819
CHEMBL104515,active,,1.693685,-1.395617
CHEMBL104578,active,,-0.451771,5.68433
CHEMBL104700,inactive,,14.903982,14.853507
CHEMBL104716,active,,8.199817,-1.200806
CHEMBL104719,active,,8.155663,-1.289387
CHEMBL104751,active,,5.155149,-1.612743
CHEMBL104788,active,,8.019794,-1.081836
CHEMBL104800,inactive,,6.738435,0.81895
CHEMBL104805,active,,-0.899959,4.525457
CHEMBL104832,active,,8.033489,-1.113626
CHEMBL104911,active,,9.363128,4.753113
CHEMBL104987,inactive,,17.098831,7.616307
CHEMBL105345,active,,2.679165,-1.053082
CHEMBL105454,inactive,,5.280317,-6.24606
CHEMBL105509,inactive,,18.245064,5.892976
CHEMBL105595,inactive,,6.924644,-1.049102
CHEMBL105747,active,,-0.92469,3.31933
CHEMBL106007,inactive,,6.765307,-0.249827
CHEMBL106047,inactive,,18.362572,5.857309
CHEMBL106208,inactive,,4.743876,-6.883379
CHEMBL10623,inactive,,-1.023503,4.713908
CHEMBL106283,active,,-1.853936,-7.957787
CHEMBL10658,inactive,,9.087579,-3.728692
CHEMBL106622,inactive,,7.520657,11.803525
CHEMBL106660,active,,6.830791,-9.281319
CHEMBL106751,inactive,,6.764788,-0.905964
CHEMBL106886,active,,7.476279,11.71898
CHEMBL106917,inactive,,6.764176,-1.542867
CHEMBL10692,inactive,,-0.433742,4.041849
CHEMBL107041,active,,7.455277,11.900214
CHEMBL107141,active,,9.500443,-3.63292
CHEMBL107151,inactive,,1.482464,2.122525
CHEMBL107338,inactive,,8.767016,-1.688622
CHEMBL107351,inactive,,7.93137,-1.103907
CHEMBL107391,inactive,,6.610115,-2.283155
CHEMBL107492,inactive,,18.215742,7.112356
CHEMBL107503,inactive,,5.652652,-3.026721
CHEMBL107529,inactive,,5.848422,5.113196
CHEMBL107755,inactive,,14.72454,-5.019389
CHEMBL107804,inactive,,7.111839,-1.166484
CHEMBL1078595,inactive,,-2.784709,3.231377
CHEMBL1079497,inactive,,8.065356,-19.424974
CHEMBL1079577,inactive,,8.085944,-19.544563
CHEMBL107973,inactive,,-2.605422,-0.089867
CHEMBL1079822,active,,9.991226,-19.592035
CHEMBL1079824,active,,10.040373,-19.687107
CHEMBL107988,inactive,,-12.566954,-19.005066
CHEMBL1079938,active,,9.537153,-19.341143
CHEMBL1080293,inactive,,8.318504,-19.365139
CHEMBL1080755,inactive,,0.611356,2.770072
CHEMBL1080846,active,,9.702377,-19.403427
CHEMBL1080907,inactive,,0.492541,2.97291
CHEMBL1081237,inactive,,8.021825,-19.532841
CHEMBL108186,active,,3.841363,4.179729
CHEMBL1081868,active,,9.479708,-19.359392
CHEMBL1081957,active,,9.448656,-19.380093
CHEMBL108229,active,,15.676352,2.969132
CHEMBL1082723,inactive,,-9.938225,-18.306433
CHEMBL108480,inactive,,10.064333,-0.59381
CHEMBL108564,inactive,,-12.622491,-19.281872
CHEMBL1086754,inactive,,-1.325595,0.704803
CHEMBL1086756,inactive,,-1.547026,0.146609
CHEMBL108678,inactive,,-3.494598,5.798035
CHEMBL1086790,inactive,,18.085005,8.863143
CHEMBL1086958,inactive,,-0.674735,4.967007
CHEMBL1087182,inactive,,-0.854786,3.924493
CHEMBL1087452,active,,-2.144015,3.353534
CHEMBL1087585,active,,9.397429,-7.735917
CHEMBL108764,inactive,,10.077783,-0.615096
CHEMBL1087743,active,,2.85648,-7.964313
CHEMBL1087745,active,,2.758121,-7.446938
CHEMBL1087817,active,,9.533483,-7.490866
CHEMBL108790,active,,0.282994,6.552988
CHEMBL1088000,active,,9.465707,-7.608424
CHEMBL1088073,inactive,,0.310252,7.917345
CHEMBL1088874,inactive,,-20.567482,0.666634
CHEMBL1089793,inactive,,-20.497869,0.677748
CHEMBL1089881,inactive,,-20.591732,0.635093
CHEMBL10907,inactive,,-1.451131,2.387144
CHEMBL109173,inactive,,6.447907,5.582795
CHEMBL109179,inactive,,-12.560116,-18.685987
CHEMBL1092238,inactive,,-20.528284,0.599749
CHEMBL109263,inactive,,6.01844,-3.31322
CHEMBL1092921,inactive,,-20.613125,0.593594
CHEMBL1092929,inactive,,-20.564829,0.649124
CHEMBL1093469,inactive,,-20.513607,0.588518
CHEMBL1093802,inactive,,-20.533138,0.56661
CHEMBL109472,inactive,,-1.546984,-1.131596
CHEMBL109532,active,,3.012611,-0.232881
CHEMBL1096275,inactive,,-0.120827,3.988102
CHEMBL10963,inactive,,9.790214,-4.485714
CHEMBL1096620,inactive,,0.441468,2.749234
CHEMBL109684,active,,9.518744,3.263087
CHEMBL109787,active,,3.864306,-5.732889
CHEMBL1098609,inactive,,-0.189201,4.000431
CHEMBL1098614,inactive,,0.175284,2.571313
CHEMBL110032,inactive,,19.954941,5.173172
CHEMBL110136,inactive,,-0.190758,6.035887
CHEMBL110435,inactive,,10.321199,1.718877
CHEMBL110774,inactive,,-3.504236,5.853829
CHEMBL110793,active,,3.147467,-0.362681
CHEMBL110821,inactive,,-23.410948,2.301484
CHEMBL110843,inactive,,-0.118815,6.148765
CHEMBL110888,active,,18.349943,6.181201
CHEMBL110968,active,,9.081167,-7.96788
CHEMBL111006,inactive,,-3.502401,5.758744
CHEMBL111054,active,,-12.604732,-19.118086
CHEMBL1112,active,,-0.532126,1.048496
CHEMBL111532,active,,9.259572,3.126169
CHEMBL111749,active,,1.25638,-1.132292
