,activity,extra_tooltip,x,y
CHEMBL100461,inactive,,-11.794607,-12.310646
CHEMBL10085,active,,7.011057,-4.028218
CHEMBL102414,active,,10.534314,9.680834
CHEMBL102490,active,,-22.901091,-9.561449
CHEMBL102582,active,,18.305553,7.602292
CHEMBL1036,inactive,,8.195106,0.775652
CHEMBL103622,active,,19.557413,6.744188
CHEMBL103772,inactive,,0.388478,6.251536
CHEMBL103857,active,,19.670486,6.784767
CHEMBL103912,active,,19.537321,5.935531
CHEMBL104092,inactive,,6.105308,3.541077
CHEMBL104201,inactive,,6.183048,3.863064
CHEMBL105512,active,,19.489447,6.034966
CHEMBL105977,active,,18.626064,6.563603
CHEMBL1065,active,,26.954683,10.012947
CHEMBL106622,inactive,,7.484293,11.906975
CHEMBL106635,inactive,,10.771557,5.296229
CHEMBL106660,active,,6.756393,-9.11409
CHEMBL107529,inactive,,5.984213,4.837309
CHEMBL1077189,inactive,,18.094664,8.850622
CHEMBL1077344,active,,16.437708,5.672585
CHEMBL1079461,active,,9.613185,-19.349852
CHEMBL1079475,active,,9.240182,-19.107975
CHEMBL1079480,active,,9.32062,-19.186872
CHEMBL1079481,active,,9.435813,-19.238752
CHEMBL1079497,active,,8.155701,-19.485716
CHEMBL1079577,active,,8.118292,-19.856894
CHEMBL1079578,active,,8.200901,-19.917593
CHEMBL1079639,active,,9.611421,-19.437536
CHEMBL1079640,active,,9.174421,-19.100071
CHEMBL1079667,active,,9.646457,-19.528618
CHEMBL1079822,active,,10.092631,-19.743439
CHEMBL1079823,active,,10.19243,-19.78125
CHEMBL1079824,active,,10.059628,-19.71932
CHEMBL1079837,active,,9.702593,-19.47002
CHEMBL1079938,active,,9.562267,-19.378139
CHEMBL1080046,active,,3.012187,0.012817
CHEMBL1080117,active,,8.08712,-19.452703
CHEMBL1080126,active,,9.585198,-19.400019
CHEMBL1080165,active,,8.190726,-19.409246
CHEMBL1080189,active,,9.476435,-19.286184
CHEMBL1080293,active,,8.356417,-19.268822
CHEMBL1080556,inactive,,0.564532,3.196925
CHEMBL1080735,inactive,,0.694491,2.762267
CHEMBL1080755,inactive,,0.603408,2.853889
CHEMBL1080846,active,,9.661771,-19.358694
CHEMBL1080907,inactive,,0.663171,2.816169
CHEMBL1080926,inactive,,0.705604,2.966443
CHEMBL1081023,active,,9.565122,-19.358343
CHEMBL1081212,inactive,,0.270189,2.658051
CHEMBL1081237,active,,8.068377,-19.429968
CHEMBL1081311,active,,16.871799,5.568697
CHEMBL1081401,active,,8.201185,-20.052965
CHEMBL1081408,active,,9.62685,-19.249331
CHEMBL1081409,active,,9.478171,-19.301262
CHEMBL1081487,active,,15.171072,3.551237
CHEMBL1081489,active,,16.850391,5.584103
CHEMBL1081490,active,,16.634794,5.62999
CHEMBL1081580,active,,9.524913,-19.238018
CHEMBL1081587,active,,9.604219,-19.292347
CHEMBL1081649,inactive,,0.452149,2.735358
CHEMBL1081685,active,,8.340548,-19.294554
CHEMBL1081686,active,,9.239188,-19.171722
CHEMBL1081687,active,,9.344311,-19.245235
CHEMBL1081746,active,,9.578782,-19.342913
CHEMBL1081867,active,,9.339605,-19.210041
CHEMBL1081868,active,,9.562124,-19.393753
CHEMBL1081869,active,,9.600601,-19.534464
CHEMBL1081934,active,,9.565533,-19.368458
CHEMBL1081957,active,,9.539396,-19.449333
CHEMBL1081966,active,,9.559491,-19.306131
CHEMBL1082106,active,,9.545353,-19.314188
CHEMBL1082111,active,,9.536466,-19.353279
CHEMBL108463,active,,0.228429,6.83668
