,activity,extra_tooltip,x,y
CHEMBL102162,inactive,,-7.693945,-19.100058
CHEMBL103900,active,,3.556134,5.564623
CHEMBL104035,active,,0.882557,-0.569525
CHEMBL104041,active,,-1.861649,4.088041
CHEMBL104063,active,,6.116255,3.303063
CHEMBL104079,active,,-1.334159,2.990166
CHEMBL104089,active,,-1.899101,3.910907
CHEMBL104092,inactive,,6.203101,3.822178
CHEMBL104099,inactive,,-1.799647,4.005132
CHEMBL104155,active,,8.063478,-1.236258
CHEMBL104160,active,,8.662382,-1.903762
CHEMBL104216,active,,-1.638034,3.777173
CHEMBL104251,inactive,,6.581319,-0.852245
CHEMBL104256,active,,7.340615,-1.549109
CHEMBL104273,active,,8.202067,-1.357635
CHEMBL104307,active,,-1.843074,3.941518
CHEMBL104321,active,,6.729518,-2.045355
CHEMBL104378,active,,-1.531071,4.161618
CHEMBL104399,active,,6.863713,-0.640603
CHEMBL104431,active,,-1.895161,3.834977
CHEMBL104453,active,,5.971735,4.950408
CHEMBL104476,active,,-1.42286,3.524292
CHEMBL104485,active,,-1.753592,3.929531
CHEMBL104497,active,,7.886809,-1.41528
CHEMBL104514,inactive,,6.770602,0.245452
CHEMBL104550,active,,-1.889922,4.043893
CHEMBL104579,active,,7.950537,-1.448031
CHEMBL104614,active,,7.597028,-1.53845
CHEMBL104716,active,,8.263915,-1.934307
CHEMBL104719,active,,8.004009,-1.348392
CHEMBL104788,active,,8.241274,-1.236644
CHEMBL104800,active,,6.958672,0.906836
CHEMBL104801,active,,1.751018,-0.624913
CHEMBL104832,active,,8.093145,-1.154858
CHEMBL104873,active,,-1.985162,3.770527
CHEMBL105011,active,,8.320689,-1.636893
CHEMBL105172,active,,6.911979,-0.624753
CHEMBL105181,active,,1.356704,-0.94435
CHEMBL105234,active,,-0.501014,4.379611
CHEMBL105304,active,,7.579331,-1.520164
CHEMBL105317,active,,6.319186,-1.888909
CHEMBL105354,active,,6.976054,-1.339448
CHEMBL105601,active,,7.630236,-1.230869
CHEMBL105686,active,,0.487247,-0.409592
CHEMBL105696,active,,-1.845371,3.533111
CHEMBL105745,active,,6.007537,-1.897111
CHEMBL106007,active,,7.120024,-0.612226
CHEMBL106169,active,,7.641528,-1.535149
CHEMBL106170,inactive,,8.210745,-1.226043
CHEMBL106208,active,,4.773185,-6.825322
CHEMBL106599,active,,-1.468378,3.88166
CHEMBL106635,inactive,,10.675889,5.317273
CHEMBL106665,active,,-0.781826,4.333246
CHEMBL106742,active,,8.414116,-1.395344
CHEMBL106751,active,,7.830573,-1.251736
CHEMBL106827,inactive,,-22.004526,-8.25662
CHEMBL106897,active,,7.743835,-1.253717
CHEMBL106914,active,,8.398405,-1.005733
CHEMBL106916,active,,6.432339,-0.817676
CHEMBL107019,active,,-1.608969,3.574436
CHEMBL107020,active,,6.792856,-0.865024
CHEMBL107068,active,,1.781479,-0.565426
CHEMBL107151,active,,6.11828,-0.542373
CHEMBL107338,active,,8.679507,-1.518094
CHEMBL107391,active,,8.160365,-1.084028
CHEMBL107691,active,,1.634272,-0.654996
CHEMBL1077189,inactive,,18.107193,8.811959
CHEMBL107742,active,,7.032299,-1.285108
CHEMBL107793,active,,7.555825,-1.164371
CHEMBL107804,active,,7.210737,-1.193817
CHEMBL108122,active,,-1.894125,3.951388
CHEMBL1086789,inactive,,7.24615,9.691522
CHEMBL1086790,inactive,,18.051857,8.937309
CHEMBL1087300,active,,10.751832,7.724823
CHEMBL1088073,inactive,,0.276583,7.895417
CHEMBL1088874,inactive,,-20.597822,0.751458
CHEMBL1089793,inactive,,-20.46509,0.976317
CHEMBL1089881,inactive,,-20.53496,0.754128
CHEMBL1092238,inactive,,-20.533405,0.759675
CHEMBL1092921,inactive,,3.200933,-11.537776
CHEMBL1092929,inactive,,-20.614399,0.709355
CHEMBL1093469,inactive,,-20.541716,0.673031
CHEMBL1093802,inactive,,-20.480886,0.951852
CHEMBL109472,inactive,,-1.68645,-1.147898
CHEMBL109684,active,,9.564939,3.289211
CHEMBL109912,active,,-0.221663,3.539644
CHEMBL110120,inactive,,0.429851,2.663499
CHEMBL110411,inactive,,1.53579,-8.903359
CHEMBL110435,inactive,,10.144705,1.713199
CHEMBL1112,active,,-0.53011,1.969921
CHEMBL112065,active,,4.118349,-5.379405
CHEMBL112833,active,,0.099285,-0.75793
CHEMBL113238,active,,6.480958,10.273781
CHEMBL1169895,active,,6.142406,2.639428
CHEMBL1169904,inactive,,0.810406,8.352578
CHEMBL1171249,active,,10.656243,5.370027
CHEMBL1172213,active,,4.766609,5.807907
CHEMBL1173436,inactive,,3.494574,3.146484
CHEMBL118636,inactive,,16.727949,6.421952
CHEMBL118637,inactive,,10.225148,10.896097
CHEMBL1200986,active,,11.47915,-11.842124
CHEMBL1202202,active,,6.216739,2.51996
CHEMBL1202204,active,,3.056385,3.675888
CHEMBL1202205,active,,3.799408,3.992296
CHEMBL1202211,active,,4.942634,0.719761
CHEMBL1202216,active,,4.895539,4.276344
CHEMBL1202220,active,,5.350997,3.88446
CHEMBL1202222,active,,5.299288,3.833546
CHEMBL1202224,active,,4.334657,5.495618
CHEMBL1204116,active,,6.313973,2.460934
CHEMBL1204122,active,,-1.03662,-14.516984
CHEMBL122140,active,,2.577951,6.283538
CHEMBL1221449,inactive,,1.959677,-3.117911
CHEMBL1221497,inactive,,-3.432509,2.566549
CHEMBL1222138,inactive,,6.48113,-0.982891
CHEMBL1222362,inactive,,-3.372717,2.423006
CHEMBL1222363,inactive,,-3.269167,2.175423
CHEMBL122427,active,,2.40779,6.219626
CHEMBL122597,active,,-11.99349,-11.260246
CHEMBL1242950,active,,17.065359,-0.659675
CHEMBL125763,active,,2.774832,4.384281
CHEMBL1257688,active,,7.537173,-6.146134
CHEMBL1257689,active,,8.496147,-0.46717
CHEMBL1257810,active,,7.427204,-6.191642
CHEMBL1257811,active,,8.436031,1.953191
CHEMBL1257927,active,,9.019323,-1.443263
CHEMBL1258037,active,,-0.214246,4.462397
CHEMBL1258155,active,,8.96338,-0.732712
CHEMBL1258223,active,,14.319933,1.723873
CHEMBL1258270,active,,9.111275,-1.338536
CHEMBL1258452,inactive,,15.29987,2.472177
CHEMBL1259071,inactive,,9.747708,5.725825
CHEMBL126340,inactive,,2.768265,3.488604
CHEMBL1270013,active,,-1.814496,2.872936
CHEMBL1270227,active,,-1.29274,5.080722
CHEMBL1270322,active,,-0.700967,5.135387
CHEMBL1270423,active,,-1.121177,5.248486
CHEMBL12713,active,,0.03933,-11.335686
CHEMBL127411,inactive,,4.103356,8.584455
CHEMBL128222,active,,4.75895,6.125564
CHEMBL128232,active,,5.095117,6.339353
CHEMBL128276,active,,4.96961,6.302829
CHEMBL128281,active,,5.354534,6.456468
CHEMBL128313,active,,5.118115,6.399393
CHEMBL128524,active,,4.988747,6.392079
CHEMBL128647,active,,5.086721,6.346269
CHEMBL129534,active,,4.94863,6.310037
CHEMBL129757,active,,-11.778381,-11.350425
CHEMBL129927,active,,5.328676,6.540103
CHEMBL129931,active,,5.684168,6.561116
CHEMBL1303,active,,18.307886,5.10044
CHEMBL130347,active,,5.341307,6.58948
CHEMBL130370,active,,5.165155,6.363968
CHEMBL130402,active,,5.812737,6.647548
CHEMBL131299,active,,5.098906,6.41213
CHEMBL131357,active,,5.011796,6.275087
CHEMBL131396,active,,5.020035,6.307252
CHEMBL131484,active,,4.846481,6.354576
CHEMBL131851,inactive,,18.214876,6.936339
CHEMBL131997,active,,5.075323,6.336934
CHEMBL132455,active,,-12.383623,-10.946718
CHEMBL132884,active,,-11.722878,-11.415515
CHEMBL133830,inactive,,-19.179087,22.723093
CHEMBL134326,inactive,,18.689127,6.970498
CHEMBL134571,inactive,,19.375198,8.915707
CHEMBL134747,active,,9.612315,3.240737
CHEMBL134759,inactive,,18.737333,8.747964
CHEMBL135357,active,,-11.734257,-12.199611
CHEMBL135954,active,,18.334658,5.033799
CHEMBL137781,active,,26.540386,10.451342
CHEMBL138989,active,,26.494429,10.499832
CHEMBL139600,active,,-3.945603,-2.952014
CHEMBL139722,active,,-1.396441,3.63061
CHEMBL139926,inactive,,-0.959048,-1.837248
CHEMBL140099,active,,0.288198,6.792122
CHEMBL140594,active,,3.345989,5.594943
CHEMBL140612,active,,-1.505329,2.456669
CHEMBL140968,active,,-3.14602,-5.508859
CHEMBL141035,active,,3.511741,5.837564
CHEMBL143355,active,,0.271085,7.823754
CHEMBL144811,active,,-0.958233,1.920457
CHEMBL144835,active,,6.223898,3.907871
CHEMBL146757,active,,2.814962,0.892266
CHEMBL147011,active,,2.051522,2.042385
CHEMBL147059,active,,6.765952,2.402021
CHEMBL147130,active,,2.464613,6.222608
CHEMBL147159,active,,8.425721,4.35244
CHEMBL147483,active,,-0.600741,5.002335
CHEMBL149497,active,,2.449515,0.52015
CHEMBL149596,active,,6.839463,2.410033
CHEMBL150173,active,,2.760235,4.403706
CHEMBL151286,active,,6.754504,2.526655
CHEMBL151533,active,,2.340615,2.089647
CHEMBL152159,active,,1.192252,-4.364725
CHEMBL152576,active,,-1.433782,3.245344
CHEMBL152679,active,,-0.415544,4.171365
CHEMBL152869,active,,2.051966,-4.380362
CHEMBL154286,active,,4.537357,7.261424
CHEMBL154482,active,,5.334253,4.317433
CHEMBL155207,active,,6.494658,3.719239
CHEMBL156732,active,,6.560208,3.90483
CHEMBL156845,active,,-0.838595,4.600688
CHEMBL156896,active,,4.517628,7.24421
CHEMBL157222,active,,-0.912492,4.653298
CHEMBL157388,active,,-1.748617,3.471763
CHEMBL159022,active,,-0.216517,3.716435
CHEMBL15928,inactive,,-0.940097,-4.412504
CHEMBL159742,active,,7.513786,-2.007097
CHEMBL159903,active,,7.631036,2.87211
CHEMBL160536,active,,3.17687,-6.707732
CHEMBL160952,active,,3.415472,6.178106
CHEMBL161982,active,,7.694791,-0.070604
CHEMBL162265,active,,7.907771,2.939563
CHEMBL1627,active,,6.536007,-8.308676
CHEMBL1627305,inactive,,-2.027584,-2.54474
CHEMBL1627306,inactive,,-2.110627,-2.557315
CHEMBL1627307,inactive,,-2.015563,-2.575881
CHEMBL1627308,inactive,,-4.230132,-2.890029
CHEMBL1627310,inactive,,-1.867558,-2.508164
CHEMBL1627312,inactive,,-6.567808,9.242172
CHEMBL1627314,inactive,,-1.368717,-6.818866
CHEMBL1627315,inactive,,1.45197,-8.338966
CHEMBL1627316,inactive,,-1.564796,-2.279128
CHEMBL1627317,inactive,,-4.156856,-2.82068
CHEMBL1627318,inactive,,-6.595425,9.319965
CHEMBL1627319,inactive,,-0.76251,-2.536078
CHEMBL1627321,inactive,,-1.997392,0.972682
CHEMBL163009,active,,7.531976,2.917854
CHEMBL1632158,inactive,,13.913084,-7.411422
CHEMBL1632174,inactive,,13.719584,-7.163216
CHEMBL1642118,inactive,,1.989756,-2.600427
CHEMBL1642126,inactive,,2.008269,-2.513673
CHEMBL1642128,inactive,,1.893585,-2.472236
CHEMBL164631,inactive,,19.747416,6.487934
CHEMBL165171,inactive,,9.057552,-2.177948
CHEMBL165504,active,,7.806247,3.109192
CHEMBL166269,active,,7.848612,2.993354
CHEMBL166321,active,,7.629069,0.008692
CHEMBL166325,inactive,,18.259809,5.882177
CHEMBL166587,active,,2.22951,1.024158
CHEMBL168372,inactive,,1.392723,-0.801622
CHEMBL168611,active,,5.969708,-6.75155
CHEMBL1688992,inactive,,1.518354,-6.140796
CHEMBL1688994,inactive,,2.663342,-9.469666
CHEMBL169193,active,,1.389762,-1.098583
CHEMBL169222,active,,1.239946,-1.286317
CHEMBL169631,inactive,,1.511942,-1.09076
CHEMBL175734,inactive,,-0.775882,-1.576302
CHEMBL1765629,active,,10.887301,-9.32071
CHEMBL1765631,inactive,,10.846268,-9.433242
CHEMBL1771106,active,,2.845994,-4.522338
CHEMBL1771109,active,,1.70611,-4.363573
CHEMBL1771111,active,,9.805086,-8.589356
CHEMBL1771112,active,,3.089267,-9.483106
CHEMBL1771114,active,,2.671025,-4.238432
CHEMBL1774384,inactive,,-0.484181,-1.361181
CHEMBL1774386,inactive,,-1.343182,-2.021576
CHEMBL1774534,inactive,,-4.344811,-2.841662
CHEMBL1774535,inactive,,-1.207615,-1.947753
CHEMBL1774536,inactive,,2.547131,-7.282104
CHEMBL1794855,inactive,,19.75016,9.236621
CHEMBL179757,inactive,,4.215234,-10.685143
CHEMBL1803030,active,,-13.743105,-4.098969
CHEMBL1803049,active,,2.251949,-7.891557
CHEMBL1803050,active,,2.521981,-5.667719
CHEMBL1803052,active,,2.917057,-7.998201
CHEMBL180606,inactive,,3.51374,8.256014
CHEMBL1813586,inactive,,4.228559,-7.607994
CHEMBL1813587,inactive,,5.841158,-7.709142
CHEMBL1813588,inactive,,5.61242,-7.793793
CHEMBL1813593,active,,2.397376,-4.0565
CHEMBL1813594,active,,-1.567467,-3.758375
CHEMBL1813595,active,,-0.344938,-8.459809
CHEMBL18174,inactive,,-7.743066,-18.890751
CHEMBL182075,active,,-0.398336,-0.485282
CHEMBL182652,active,,-5.973376,-5.332874
CHEMBL183160,active,,-0.505552,-0.318733
CHEMBL184073,inactive,,-0.787868,2.559319
CHEMBL184388,active,,-0.330207,-0.202456
CHEMBL184551,active,,-0.504913,-0.376185
CHEMBL184724,inactive,,-0.48847,4.543113
CHEMBL184993,active,,-0.495721,-2.352785
CHEMBL185156,active,,-0.343565,-0.313794
CHEMBL185875,inactive,,6.100003,5.503006
CHEMBL186558,active,,1.763896,3.327505
CHEMBL186720,inactive,,7.371742,7.58531
CHEMBL187113,active,,1.726318,2.906796
CHEMBL187122,active,,1.830221,2.585035
CHEMBL187236,active,,1.87555,3.120321
CHEMBL187367,inactive,,6.975679,4.794848
CHEMBL187804,active,,-0.487512,-0.450073
CHEMBL19068,inactive,,-15.130657,-14.303542
CHEMBL190821,inactive,,4.55993,-11.563269
CHEMBL1910140,active,,8.847261,-6.45697
CHEMBL1910141,active,,8.943402,-5.331717
