,activity,extra_tooltip,x,y
CHEMBL103871,active,,0.141035,5.543149
CHEMBL103900,active,,4.61053,6.750611
CHEMBL103951,active,,-11.74609,-12.298364
CHEMBL104,inactive,,9.711646,31.753212
CHEMBL104035,active,,0.93726,-0.471673
CHEMBL104041,active,,-1.884316,4.032577
CHEMBL104063,active,,6.275562,3.054412
CHEMBL104079,active,,-1.571739,3.323127
CHEMBL104089,active,,-1.822986,4.156322
CHEMBL104092,inactive,,6.071816,3.971618
CHEMBL104155,active,,8.178279,-1.381419
CHEMBL104160,active,,4.408872,-10.253761
CHEMBL104216,active,,-1.716638,3.868336
CHEMBL104238,active,,1.875564,-0.026815
CHEMBL104251,inactive,,6.925628,-1.006792
CHEMBL104256,active,,7.366086,-1.340939
CHEMBL104273,active,,8.210842,-1.504344
CHEMBL104307,active,,-1.816972,3.853086
CHEMBL104321,active,,7.254499,-1.565202
CHEMBL104378,active,,-1.455076,4.617539
CHEMBL104399,active,,7.114075,-1.172453
CHEMBL104431,active,,-1.794896,4.110736
CHEMBL104453,active,,6.114761,4.74026
CHEMBL104476,active,,-1.383845,3.504572
CHEMBL104485,active,,-1.652339,4.062507
CHEMBL104497,active,,7.993533,-1.947173
CHEMBL104579,active,,8.010156,-1.724288
CHEMBL104614,active,,6.728036,-1.125436
CHEMBL104716,active,,8.280251,-1.541672
CHEMBL104719,active,,8.118066,-1.301433
CHEMBL104751,active,,7.326367,-1.765301
CHEMBL104788,active,,8.33719,-1.158134
CHEMBL104801,active,,1.785734,-0.863248
CHEMBL104832,active,,8.191206,-1.167168
CHEMBL104873,active,,-2.165487,3.611565
CHEMBL105011,active,,8.303835,-1.607397
CHEMBL105181,active,,1.480223,-0.880871
CHEMBL105234,active,,-0.468173,4.148623
CHEMBL105304,active,,7.874466,-1.625528
CHEMBL105317,active,,6.268288,-1.653529
CHEMBL105354,active,,7.442271,-1.41543
CHEMBL105454,active,,7.138406,-1.632299
CHEMBL105601,active,,6.574371,-0.811678
CHEMBL105686,active,,-1.654423,2.449069
CHEMBL105696,active,,-1.747556,3.730083
CHEMBL105745,active,,4.877124,-8.026619
CHEMBL106007,active,,6.743149,-0.185901
CHEMBL106169,active,,7.65394,-1.771864
CHEMBL106170,inactive,,8.24723,-1.174377
CHEMBL106208,active,,4.859837,-6.844116
CHEMBL106599,active,,-1.542048,3.711302
CHEMBL106635,inactive,,10.745415,5.309893
CHEMBL106665,active,,-0.824953,4.473884
CHEMBL106742,active,,8.278697,-1.446537
CHEMBL106751,active,,7.761259,-1.296365
CHEMBL106827,inactive,,0.987739,2.615221
CHEMBL106897,active,,5.985929,2.657126
CHEMBL106914,active,,8.230094,-1.122069
CHEMBL106916,active,,7.114007,-0.931031
CHEMBL107019,active,,-1.690729,3.223889
CHEMBL107020,active,,7.089452,-0.993138
CHEMBL107068,active,,1.620779,-0.603287
CHEMBL107338,active,,8.700851,-1.569118
CHEMBL107391,active,,8.236854,-1.088855
CHEMBL107691,active,,1.689739,-0.621414
CHEMBL1077189,inactive,,18.174513,8.792032
CHEMBL107742,active,,7.456044,-1.358552
CHEMBL107793,active,,6.494582,-1.115513
CHEMBL107804,active,,7.282203,-1.167136
CHEMBL108011,active,,7.867434,-1.681309
CHEMBL108122,active,,-1.863377,4.004498
CHEMBL108157,active,,2.126493,3.320188
CHEMBL108282,active,,6.839143,-0.376132
CHEMBL1086789,inactive,,7.190519,9.720833
CHEMBL1086790,inactive,,18.060087,8.995936
CHEMBL1087300,active,,10.746143,7.728026
CHEMBL1088073,inactive,,0.301381,7.900639
CHEMBL1088874,inactive,,-20.593283,0.7023
CHEMBL1089793,inactive,,-20.496006,0.571259
CHEMBL1089881,inactive,,-20.479906,0.864402
CHEMBL1092238,inactive,,-20.487322,0.923818
CHEMBL1092921,inactive,,-20.595261,0.706589
CHEMBL1092929,inactive,,-20.606386,0.668854
CHEMBL1093469,inactive,,-20.548403,0.828854
CHEMBL1093802,inactive,,-20.512791,0.900287
CHEMBL109472,inactive,,-1.610214,-1.06317
CHEMBL109684,active,,9.555209,3.264361
CHEMBL110120,inactive,,0.455486,4.111006
CHEMBL110411,inactive,,2.316231,-5.373379
CHEMBL110435,inactive,,10.340599,1.816117
CHEMBL1112,active,,-0.357521,1.629123
CHEMBL111749,active,,1.774552,-0.122921
CHEMBL112833,active,,0.02161,-0.697834
CHEMBL113238,active,,6.66652,10.02804
CHEMBL1169895,active,,6.072424,2.802968
CHEMBL1171249,active,,10.71614,5.386726
CHEMBL1172213,active,,4.744551,5.719051
CHEMBL1173287,active,,10.751099,5.411014
CHEMBL1173436,inactive,,3.459932,3.176465
CHEMBL118636,inactive,,16.785765,6.442064
CHEMBL118637,inactive,,10.2223,10.905639
CHEMBL1200986,active,,11.575601,-11.749425
CHEMBL1202203,inactive,,5.819013,5.439373
CHEMBL1202204,active,,3.415895,6.672975
CHEMBL1202205,active,,1.68404,0.432231
CHEMBL1202209,active,,6.859845,4.619309
CHEMBL1202210,active,,6.463927,4.958043
CHEMBL1202212,active,,3.568471,6.785169
CHEMBL1202217,active,,4.641385,4.519537
CHEMBL1202219,active,,3.734632,4.147758
CHEMBL1202223,active,,6.542405,4.346377
CHEMBL1202224,active,,4.286008,5.698939
CHEMBL1204116,active,,6.124053,5.616808
CHEMBL1204122,active,,-1.033572,-14.528503
CHEMBL121993,active,,2.466407,6.117718
CHEMBL122116,active,,2.464819,6.049205
CHEMBL1221497,inactive,,-3.449544,2.679611
CHEMBL1222138,inactive,,6.377827,-0.496533
CHEMBL122427,active,,-11.762873,-11.763611
CHEMBL122531,active,,2.336419,5.991346
CHEMBL122597,active,,-11.813333,-11.601421
CHEMBL123031,active,,2.423018,5.321213
CHEMBL125455,active,,6.853135,3.69272
CHEMBL125763,active,,2.483811,5.889014
CHEMBL1257689,active,,8.386793,-0.566265
CHEMBL1257810,active,,7.393192,-6.117496
CHEMBL1257811,active,,8.750974,-0.153298
CHEMBL1257927,active,,9.095213,-1.264796
CHEMBL1258037,active,,-0.274785,4.520339
CHEMBL1258155,active,,8.983521,-0.582773
CHEMBL1258223,active,,14.305692,1.707705
CHEMBL1258270,active,,9.211957,-1.373575
CHEMBL1258452,inactive,,14.996927,2.268151
CHEMBL126340,inactive,,2.739004,3.471589
CHEMBL1270120,active,,-1.013854,4.370204
CHEMBL1270121,active,,-0.878837,5.043325
CHEMBL1270227,active,,-1.053526,5.266986
CHEMBL1270322,active,,-0.613177,5.19321
CHEMBL1270422,active,,-0.847446,5.222795
CHEMBL1270423,active,,-0.874037,5.861292
CHEMBL1270516,active,,-1.225043,5.220613
CHEMBL12713,active,,0.032265,-11.383832
CHEMBL127257,active,,0.330602,6.086405
CHEMBL128222,active,,4.748621,6.136944
CHEMBL128232,active,,5.039439,6.349373
CHEMBL128276,active,,4.990606,6.292825
CHEMBL128281,active,,5.22832,6.423545
CHEMBL128313,active,,5.071833,6.369163
CHEMBL128524,active,,5.121967,6.442599
CHEMBL128647,active,,5.031522,6.322153
CHEMBL129534,active,,5.062288,6.294853
CHEMBL129757,active,,-11.780469,-11.326517
CHEMBL129927,active,,5.197967,6.330266
CHEMBL129931,active,,5.809337,6.54137
CHEMBL1303,active,,18.367105,5.206723
CHEMBL130347,active,,5.321835,6.511027
CHEMBL130370,active,,5.245474,6.385986
CHEMBL131299,active,,5.096843,6.358245
CHEMBL131357,active,,4.905695,6.298244
CHEMBL131396,active,,5.033419,6.33633
CHEMBL131484,active,,5.089225,6.436407
CHEMBL131495,active,,10.306375,-2.363999
CHEMBL131851,inactive,,18.437189,7.272221
CHEMBL131997,active,,5.041914,6.262203
CHEMBL132455,active,,-12.079967,-11.325005
CHEMBL132884,active,,4.932068,6.342515
CHEMBL133830,inactive,,-19.162056,22.766783
CHEMBL134326,inactive,,18.715395,6.844491
CHEMBL134571,inactive,,19.38014,8.859869
CHEMBL134747,active,,9.561962,3.282033
CHEMBL134759,inactive,,18.681644,8.698744
CHEMBL134807,active,,-11.956356,-12.32074
CHEMBL135954,active,,18.341782,5.049966
CHEMBL137781,active,,26.52529,10.475125
CHEMBL138989,active,,26.451841,10.521129
CHEMBL139722,active,,-1.582612,2.702372
CHEMBL139926,inactive,,-0.916694,-1.938727
CHEMBL140006,active,,3.207733,6.28591
CHEMBL140872,active,,-0.198407,5.649258
CHEMBL140968,active,,-3.19888,-2.927955
CHEMBL141035,active,,3.474632,5.647069
CHEMBL141845,active,,-1.502852,2.673891
CHEMBL143352,active,,3.887643,-3.510657
CHEMBL143355,active,,0.244849,7.682457
CHEMBL144811,active,,-0.951418,1.815287
CHEMBL146757,active,,2.832132,0.962664
CHEMBL147059,active,,6.773599,2.642975
CHEMBL147130,active,,2.376099,6.110569
CHEMBL147159,active,,8.503082,4.28616
CHEMBL149497,active,,2.497107,0.984163
CHEMBL149596,active,,6.724492,2.5043
CHEMBL150181,active,,2.296398,2.532524
CHEMBL151286,active,,6.752024,2.588387
CHEMBL152159,active,,1.962564,0.918852
CHEMBL152391,active,,1.30255,-1.128809
CHEMBL15242,active,,5.954026,6.882903
CHEMBL152869,active,,2.898777,-4.432756
CHEMBL154286,active,,4.6869,7.314648
CHEMBL154482,active,,5.031382,4.386343
CHEMBL155207,active,,6.690175,4.340174
CHEMBL156732,active,,6.720268,3.68716
CHEMBL156896,active,,4.450126,7.315573
CHEMBL157222,active,,-0.693505,4.587196
CHEMBL157388,active,,-1.405281,4.278371
CHEMBL15928,inactive,,-1.075945,-4.243421
CHEMBL159742,active,,7.450265,-2.315168
CHEMBL159903,active,,7.73018,2.721947
CHEMBL160536,active,,3.210903,-6.723335
CHEMBL160749,active,,2.766081,4.498023
CHEMBL160952,active,,3.435079,6.2132
CHEMBL161507,inactive,,18.376011,7.725718
CHEMBL161982,active,,7.79765,2.171877
CHEMBL162265,active,,7.921059,2.811785
CHEMBL1627,active,,6.508629,-8.247761
CHEMBL1627305,inactive,,-0.940533,-2.149999
CHEMBL1627306,inactive,,-0.903293,-2.193544
CHEMBL1627307,inactive,,-0.92494,-2.136585
CHEMBL1627308,inactive,,-3.549767,-2.831664
CHEMBL1627310,inactive,,-1.437099,-2.419068
CHEMBL1627312,inactive,,-0.644146,-2.001652
CHEMBL1627314,inactive,,-1.455161,-6.88984
CHEMBL1627315,inactive,,1.750568,-8.224032
CHEMBL1627316,inactive,,-1.479103,-2.339385
CHEMBL1627317,inactive,,-3.95737,-2.849798
CHEMBL1627318,inactive,,-0.827388,-2.377988
CHEMBL1627319,inactive,,-1.105507,-2.478189
CHEMBL1627321,inactive,,-1.982473,0.725968
CHEMBL163009,active,,7.478531,2.881919
CHEMBL1632158,inactive,,13.909405,-7.455733
CHEMBL1632174,inactive,,13.690191,-7.119386
CHEMBL163863,active,,5.082748,7.383545
CHEMBL1642116,inactive,,2.051188,-2.391756
CHEMBL1642118,inactive,,-3.103799,2.332524
CHEMBL1642123,inactive,,-3.26668,2.210459
CHEMBL1642126,inactive,,1.969888,-2.456276
CHEMBL164631,inactive,,19.730406,6.583234
CHEMBL164950,inactive,,19.486994,6.053138
CHEMBL165022,inactive,,19.353809,6.278213
CHEMBL165171,inactive,,8.133221,-3.109843
CHEMBL165504,active,,7.774511,2.936145
CHEMBL166269,active,,7.727528,2.792447
CHEMBL166321,active,,7.561982,0.041207
CHEMBL166325,inactive,,18.277414,5.7344
CHEMBL166587,active,,1.693546,-0.383088
CHEMBL1672288,inactive,,-9.724865,-18.120895
CHEMBL168372,inactive,,1.267522,-1.140194
CHEMBL168611,active,,5.984816,-6.793536
CHEMBL1688992,inactive,,-5.148926,-3.108102
CHEMBL169193,active,,1.321574,-1.4088
CHEMBL169222,active,,1.211869,-0.764725
CHEMBL169631,inactive,,1.548381,-1.152511
CHEMBL175734,inactive,,0.992315,0.737783
CHEMBL1765629,active,,10.955978,-9.301452
CHEMBL1765631,inactive,,10.731153,-9.648882
CHEMBL1771106,active,,5.400578,-2.689446
CHEMBL1771109,active,,2.439986,-5.311863
CHEMBL1771110,active,,3.001067,-6.470617
CHEMBL1771111,active,,9.729326,-8.834489
CHEMBL1771112,active,,3.0019,-9.404557
CHEMBL1774384,inactive,,-0.619038,-1.349411
CHEMBL1774386,inactive,,-1.32242,-2.196863
CHEMBL1774534,inactive,,-4.159278,-2.935705
CHEMBL1774535,inactive,,-1.440574,-2.252929
CHEMBL1774536,inactive,,2.393906,-7.048245
CHEMBL1794855,inactive,,19.529369,9.055378
CHEMBL179757,inactive,,4.276277,-10.566143
CHEMBL1803049,active,,2.811611,-9.551869
CHEMBL1803050,active,,2.966196,-7.222906
CHEMBL1803051,active,,1.121191,-4.898704
CHEMBL1803052,active,,1.250679,-5.141218
CHEMBL180606,inactive,,3.532706,8.317845
CHEMBL1813586,inactive,,10.544774,0.353592
CHEMBL1813587,inactive,,5.56299,-7.278143
CHEMBL1813588,inactive,,5.451679,-7.838161
CHEMBL1813593,active,,2.256694,-5.972507
CHEMBL1813594,active,,-0.522662,-3.548957
CHEMBL1813596,active,,-0.850247,3.053109
CHEMBL18174,inactive,,-7.710263,-18.924866
CHEMBL182075,active,,-0.316896,-0.578925
CHEMBL182652,active,,9.710271,-19.275698
CHEMBL183160,active,,-0.458543,-0.248799
CHEMBL184073,inactive,,-0.807718,2.756072
CHEMBL184388,active,,-0.382227,-0.21976
CHEMBL184551,active,,-0.451294,-0.429572
CHEMBL184724,inactive,,-0.553372,4.57319
CHEMBL184853,active,,0.721773,-0.28382
CHEMBL184993,active,,-0.499812,-2.339956
CHEMBL185156,active,,-0.370707,-0.240528
CHEMBL185875,inactive,,6.392004,6.892855
CHEMBL187113,active,,1.772067,2.629801
CHEMBL187122,active,,1.967196,2.398923
CHEMBL187236,active,,2.240934,2.345258
CHEMBL187367,inactive,,6.856606,5.77901
CHEMBL187804,active,,-0.469998,-0.244319
CHEMBL188486,inactive,,4.278241,-7.138655
CHEMBL19068,inactive,,-15.158495,-14.367946
CHEMBL190821,inactive,,4.36208,-11.61566
CHEMBL1910139,active,,9.515297,-6.044359
CHEMBL1910140,active,,8.837892,-5.458996
CHEMBL1910141,active,,8.906483,-5.289892
CHEMBL1916551,active,,13.681767,-12.771399
CHEMBL191894,inactive,,10.037886,-11.237995
CHEMBL192138,inactive,,5.197484,-4.086946
CHEMBL1923292,active,,2.983989,4.101907
CHEMBL1923416,active,,2.681275,6.645658
CHEMBL1928133,active,,-3.590786,-2.325445
CHEMBL1928134,active,,1.835976,-9.01783
CHEMBL1928135,active,,1.235576,-4.975361
CHEMBL1928247,inactive,,0.355439,-4.038204
CHEMBL193040,inactive,,4.1227,-10.832581
CHEMBL193300,inactive,,9.870839,-11.246922
CHEMBL193337,inactive,,19.341324,6.763861
CHEMBL19344,inactive,,-15.109659,-14.421089
CHEMBL1940402,active,,8.342093,0.987824
CHEMBL1940403,active,,8.051744,1.315565
CHEMBL1940404,active,,8.292423,0.780568
CHEMBL1940405,active,,8.393716,1.090807
CHEMBL1940406,active,,7.864535,2.966178
CHEMBL1940407,active,,8.591004,0.713505
CHEMBL1940408,active,,7.238023,4.298904
CHEMBL1940409,active,,-1.220804,4.983998
CHEMBL1940410,active,,7.375732,0.967476
CHEMBL1940411,active,,-1.276846,4.768178
CHEMBL1940413,active,,-0.743465,4.864906
CHEMBL1940414,active,,-0.574181,4.76953
CHEMBL1940415,active,,0.004552,5.335721
CHEMBL1940416,active,,-0.154437,5.972831
CHEMBL1940417,active,,-0.119648,5.946918
CHEMBL1940419,active,,-0.496136,5.376196
CHEMBL1946122,active,,10.485353,0.852454
CHEMBL1946123,active,,10.896466,0.657191
CHEMBL1946124,active,,7.508942,0.870127
CHEMBL1946125,active,,7.638372,1.261403
CHEMBL1946254,active,,7.852001,0.814887
CHEMBL1946257,inactive,,7.906562,0.722898
CHEMBL194727,active,,1.387593,-3.301451
CHEMBL194755,active,,1.379052,-2.736251
CHEMBL1949725,active,,10.78612,7.52118
CHEMBL1949726,inactive,,10.503147,7.548597
CHEMBL1949727,inactive,,10.225174,7.098991
CHEMBL1949729,inactive,,9.939839,7.305915
CHEMBL195247,active,,1.684259,-0.695444
CHEMBL195927,inactive,,-0.304752,-4.468554
CHEMBL196169,inactive,,-0.661399,-4.327789
CHEMBL196514,active,,0.100979,1.943262
CHEMBL196598,inactive,,-0.111551,-4.969359
CHEMBL196866,active,,1.817679,2.763945
CHEMBL196928,active,,19.348015,6.551959
CHEMBL197159,inactive,,19.283401,6.702501
CHEMBL197195,active,,0.999555,0.538285
CHEMBL197214,active,,2.886793,-1.189289
CHEMBL197225,active,,-2.401005,-1.351223
CHEMBL197381,active,,1.509995,2.431392
CHEMBL197408,inactive,,-0.454828,-4.881854
CHEMBL197796,inactive,,-0.806231,-4.164595
CHEMBL198125,inactive,,19.236404,6.245777
CHEMBL198174,inactive,,19.203787,6.415498
CHEMBL198303,inactive,,15.930053,8.924088
CHEMBL198580,active,,1.55668,2.948299
CHEMBL199186,active,,1.553154,2.321374
CHEMBL199824,active,,1.570697,-2.98977
CHEMBL201093,active,,9.726712,7.788784
CHEMBL201170,active,,-1.048561,-14.543079
CHEMBL201432,inactive,,10.431946,7.1348
CHEMBL201483,inactive,,-0.929661,-14.479775
CHEMBL20204,active,,15.573364,-1.248925
CHEMBL2022272,active,,-1.125607,2.766575
CHEMBL20251,active,,15.200019,2.361519
CHEMBL202924,inactive,,7.197316,9.067134
CHEMBL2031737,inactive,,3.589224,2.33233
CHEMBL2037430,active,,-0.997099,4.725595
CHEMBL2037431,active,,6.309666,3.054452
CHEMBL2037518,active,,8.271687,0.364211
CHEMBL2037519,active,,-0.235256,5.495051
CHEMBL2037520,inactive,,10.967752,-4.334876
CHEMBL2037522,active,,7.820381,4.413133
CHEMBL20444,active,,16.563587,2.131881
CHEMBL20493,active,,16.120647,1.82426
CHEMBL20725,active,,16.289478,4.685744
CHEMBL207488,active,,3.658833,5.26887
CHEMBL208018,active,,3.535997,4.90044
CHEMBL208274,active,,-2.337981,-1.464715
CHEMBL20854,active,,15.786486,1.2569
CHEMBL2092961,active,,9.172541,2.82848
CHEMBL209876,active,,6.023366,-5.867811
CHEMBL20996,active,,16.319603,4.564705
CHEMBL21011,active,,16.468128,2.480566
CHEMBL210232,active,,-1.515904,2.205597
CHEMBL210404,active,,3.491539,4.342686
CHEMBL210514,inactive,,0.265438,-5.380271
CHEMBL210551,active,,-2.245232,-1.64699
CHEMBL210567,active,,3.118377,-9.363132
CHEMBL210578,active,,11.101861,0.53901
CHEMBL21059,active,,15.510069,0.93066
CHEMBL211026,active,,0.495936,5.905715
CHEMBL2111525,active,,1.278793,-10.174828
CHEMBL2112285,active,,7.744018,2.380516
CHEMBL2112375,active,,6.161981,-3.265234
CHEMBL2112905,active,,0.449048,4.809801
CHEMBL2112912,active,,5.207807,5.551161
CHEMBL2112913,active,,5.301632,4.437547
CHEMBL2113718,active,,4.196168,6.482167
CHEMBL211539,active,,2.037539,4.929015
CHEMBL212292,active,,-0.131947,3.682732
CHEMBL21252,inactive,,16.204887,5.4061
CHEMBL212782,active,,-0.174649,4.879135
CHEMBL212969,active,,-0.497729,5.40672
CHEMBL21343,inactive,,26.781403,10.233529
CHEMBL213492,inactive,,-3.571788,-0.793091
CHEMBL215705,active,,-0.377122,4.842097
CHEMBL216258,active,,10.162449,7.357318
CHEMBL2164348,active,,-1.888507,1.119658
CHEMBL217981,active,,2.675544,-6.840448
CHEMBL218318,active,,1.077685,0.242982
CHEMBL218444,active,,-3.525929,-2.751049
CHEMBL218638,active,,-2.524792,-2.868364
CHEMBL220700,active,,-3.613027,-2.885468
CHEMBL2207635,active,,3.770601,4.572396
CHEMBL2207639,active,,3.669534,-3.259762
CHEMBL2207641,active,,1.97556,-7.856471
CHEMBL2207643,active,,3.40947,6.074815
CHEMBL221129,active,,1.887012,-9.698259
CHEMBL221600,active,,6.195809,4.081552
CHEMBL221640,active,,2.503288,-6.094014
CHEMBL221652,active,,1.115182,-4.077823
CHEMBL221681,active,,-4.085877,-2.81662
CHEMBL22242,inactive,,14.016647,5.137852
CHEMBL229024,active,,3.959079,-5.097047
CHEMBL2298808,active,,4.103452,7.99941
CHEMBL2298809,active,,4.003716,7.883344
CHEMBL2298810,active,,4.030748,7.894876
CHEMBL2298811,active,,-11.151628,-12.869571
CHEMBL2303762,inactive,,-14.318102,-7.162378
CHEMBL2308105,active,,6.661347,-9.38767
CHEMBL233578,active,,-0.733149,3.94448
CHEMBL2336893,active,,5.797527,-4.960148
CHEMBL234647,active,,-0.967232,4.079714
CHEMBL23537,active,,6.407834,3.795171
CHEMBL2373204,active,,1.573865,-1.968083
CHEMBL2373205,active,,-1.044496,3.154219
CHEMBL2373207,active,,5.692032,1.23014
CHEMBL2373210,active,,2.647165,-4.216499
CHEMBL2391541,inactive,,-10.760329,27.923164
CHEMBL2396663,active,,10.997286,-8.934949
CHEMBL2397389,active,,10.906098,-9.028445
CHEMBL2397390,active,,12.078616,-2.77312
CHEMBL2397392,active,,12.135422,-2.765248
CHEMBL2397476,active,,12.125802,-2.698093
CHEMBL2397477,active,,14.046702,-13.028264
CHEMBL2397479,active,,12.207445,-2.587684
CHEMBL2397480,active,,12.282019,-2.60002
CHEMBL24051,active,,6.27819,3.878691
CHEMBL24052,active,,6.20503,3.814519
CHEMBL2413153,active,,1.7985,-3.32566
CHEMBL2413154,active,,1.725941,-2.487607
CHEMBL2414358,inactive,,4.039219,-4.423382
CHEMBL24170,active,,6.483593,4.336905
CHEMBL2420770,active,,4.336579,7.242582
CHEMBL2420774,active,,-19.370014,19.191391
CHEMBL2420777,active,,4.079075,7.021289
CHEMBL2420890,active,,2.165616,2.688584
CHEMBL2420895,active,,0.171107,7.715355
CHEMBL242218,inactive,,2.312258,-9.371939
CHEMBL242644,inactive,,2.34096,-8.646442
CHEMBL2430439,inactive,,1.352268,-4.695746
CHEMBL2432048,inactive,,-33.655502,43.278656
CHEMBL2432049,inactive,,-33.679691,43.256222
CHEMBL2443005,active,,-2.228788,1.308893
CHEMBL2443007,active,,-4.26229,-2.913783
CHEMBL2443009,active,,0.198736,1.69231
CHEMBL244990,inactive,,1.361078,-8.948608
CHEMBL24539,active,,6.380762,4.390129
CHEMBL245815,inactive,,0.797407,8.369333
CHEMBL245816,inactive,,0.705312,8.210199
CHEMBL246020,inactive,,0.737359,8.35176
CHEMBL24603,inactive,,6.381461,3.791102
CHEMBL246231,inactive,,0.845009,8.379933
CHEMBL246232,inactive,,1.03012,8.543145
CHEMBL246437,inactive,,0.839285,8.381612
CHEMBL246439,inactive,,8.102529,1.630098
CHEMBL246637,inactive,,0.665888,8.227468
CHEMBL246849,inactive,,0.604623,7.997362
CHEMBL246855,inactive,,6.51156,-4.280564
CHEMBL246856,inactive,,7.009796,2.173792
CHEMBL250699,inactive,,-11.456299,-20.224356
CHEMBL25236,active,,0.088658,-3.73772
CHEMBL253096,inactive,,-3.090366,5.125882
CHEMBL253708,inactive,,-11.09014,-18.349001
CHEMBL255163,active,,1.653989,0.542121
CHEMBL256637,active,,0.964855,-1.384847
CHEMBL25772,active,,6.173835,3.96209
CHEMBL25887,active,,6.352814,3.645414
CHEMBL26120,active,,6.342941,3.656864
CHEMBL26135,active,,1.612168,-2.976746
CHEMBL263162,active,,6.586607,3.022791
CHEMBL263700,inactive,,4.733043,9.139879
CHEMBL263881,active,,26.603973,10.400797
CHEMBL26426,active,,2.550098,-3.982751
CHEMBL26677,active,,-0.67151,3.837998
CHEMBL268799,active,,0.298399,7.751156
CHEMBL269004,active,,18.512732,6.382196
CHEMBL269202,active,,3.597738,5.90032
CHEMBL26929,active,,6.880585,-4.091339
CHEMBL270406,active,,-2.297518,-3.616648
CHEMBL271513,active,,1.601245,-1.231589
CHEMBL272073,active,,2.51762,4.061574
CHEMBL273860,active,,3.968649,6.4243
CHEMBL273921,inactive,,4.528408,-3.846081
CHEMBL277669,active,,16.077349,2.087783
CHEMBL27979,inactive,,3.574373,-4.637725
CHEMBL28063,active,,2.618753,-4.286743
CHEMBL281195,active,,9.308389,0.616538
CHEMBL282008,active,,16.304861,4.666343
CHEMBL28209,active,,10.39334,-7.929496
CHEMBL282323,active,,3.284958,-1.427466
CHEMBL282424,active,,0.493018,6.725332
CHEMBL282829,active,,0.523175,6.449577
CHEMBL283142,active,,15.706984,1.972954
CHEMBL283211,active,,2.683187,-4.330395
CHEMBL283353,active,,16.275827,4.652153
CHEMBL28355,active,,4.082728,-5.892484
CHEMBL28458,active,,3.830101,-5.461787
CHEMBL284892,active,,8.418271,0.153505
CHEMBL285577,active,,0.04672,0.116073
CHEMBL285802,active,,6.246574,7.287306
CHEMBL28596,active,,4.508712,-5.826315
CHEMBL28605,active,,3.693366,-5.523663
CHEMBL286177,active,,2.033461,-4.641969
CHEMBL287078,active,,-0.176938,4.238842
CHEMBL287217,active,,6.375457,4.595451
CHEMBL28833,active,,0.458683,6.373847
CHEMBL28953,active,,3.910124,-5.945356
CHEMBL290351,active,,-0.633922,4.725434
CHEMBL29087,active,,2.900359,-4.555682
CHEMBL29098,active,,7.950117,-0.132761
CHEMBL291380,active,,2.236883,5.742281
CHEMBL291824,active,,1.645442,5.054114
CHEMBL29206,active,,8.221444,0.420436
CHEMBL292186,active,,3.957074,-4.666203
CHEMBL292943,active,,2.503104,4.41062
CHEMBL293956,active,,3.585369,5.826834
CHEMBL294459,active,,4.316872,6.463822
CHEMBL296419,inactive,,3.346251,-6.68384
CHEMBL296506,active,,-0.707981,3.716572
CHEMBL297302,active,,5.149933,-7.249344
CHEMBL298166,active,,-1.297232,5.042652
CHEMBL298406,inactive,,8.306046,10.095389
