,activity,extra_tooltip,x,y
CHEMBL1000,active,,7.88594,0.09686
CHEMBL100454,active,,3.541601,7.782523
CHEMBL101634,inactive,,-4.361458,-7.74133
CHEMBL101691,inactive,,8.062366,-3.583732
CHEMBL101748,inactive,,8.317748,-3.404114
CHEMBL102331,inactive,,2.312428,0.907711
CHEMBL102384,inactive,,8.247327,-3.450934
CHEMBL102390,inactive,,13.246486,-6.637495
CHEMBL102452,inactive,,6.592163,2.480052
CHEMBL102840,inactive,,8.199,-3.295868
CHEMBL102925,inactive,,8.117023,-3.855119
CHEMBL102929,inactive,,8.198703,-3.580846
CHEMBL102984,inactive,,8.137243,2.953828
CHEMBL103027,inactive,,8.231394,-3.501208
CHEMBL103828,inactive,,14.887521,-5.434776
CHEMBL104344,inactive,,8.22934,-3.431006
CHEMBL104618,inactive,,8.178494,-3.512421
CHEMBL104669,inactive,,2.330357,1.088653
CHEMBL104808,inactive,,8.218402,-3.419648
CHEMBL104809,inactive,,8.259531,-3.475035
CHEMBL104947,inactive,,0.684372,4.81213
CHEMBL104994,inactive,,14.219571,2.01189
CHEMBL105515,inactive,,8.164598,-0.699091
CHEMBL105594,inactive,,3.387627,6.229601
CHEMBL105967,inactive,,2.607684,0.960003
CHEMBL106596,inactive,,6.599335,0.515879
CHEMBL107162,inactive,,8.132894,-3.499297
CHEMBL107293,inactive,,8.364764,-3.566633
CHEMBL1082036,inactive,,3.07426,-7.001878
CHEMBL1084132,inactive,,16.236568,6.339089
CHEMBL1085672,inactive,,12.293411,8.239813
CHEMBL1087089,active,,6.890215,3.657603
CHEMBL1090175,active,,23.859631,6.040449
CHEMBL1090432,active,,22.803669,6.389263
CHEMBL1091790,inactive,,22.828485,6.389945
CHEMBL1091792,active,,23.051399,6.242449
CHEMBL1091793,active,,22.770147,6.416018
CHEMBL1092118,active,,22.526348,6.569078
CHEMBL1092767,active,,22.494928,6.542334
CHEMBL1093044,inactive,,7.876561,7.759645
CHEMBL1093623,active,,23.643246,5.917044
CHEMBL1094510,active,,6.363549,2.207629
