,activity,extra_tooltip,x,y
CHEMBL104,inactive,,9.712948,31.771364
CHEMBL104076,inactive,,-18.766788,11.463982
CHEMBL104127,inactive,,-6.548282,3.214288
CHEMBL104180,inactive,,-8.729351,3.364388
CHEMBL104193,active,,-16.276741,13.385991
CHEMBL104377,inactive,,-6.192148,2.816094
CHEMBL10453,active,,-21.341497,18.502895
CHEMBL104551,inactive,,-9.156636,3.178305
CHEMBL10494,inactive,,-21.273798,18.373337
CHEMBL104981,inactive,,-10.963332,3.389645
CHEMBL105434,inactive,,-19.431801,19.170708
CHEMBL105968,inactive,,-8.518527,3.488784
CHEMBL106487,inactive,,-16.435852,8.152118
CHEMBL107681,inactive,,-9.964222,1.736391
CHEMBL1077199,inactive,,-9.40416,-4.104602
CHEMBL1077238,inactive,,-10.05017,-0.120747
CHEMBL1077273,inactive,,-10.595013,-2.78475
CHEMBL1078395,inactive,,-9.842758,-2.076678
CHEMBL1078465,inactive,,-11.944007,-1.261706
CHEMBL1078495,inactive,,-11.597648,-0.801299
CHEMBL1078496,inactive,,-11.234992,-3.115694
CHEMBL1078576,inactive,,-10.851211,-2.550313
CHEMBL1078696,inactive,,3.104728,-7.080336
CHEMBL1078749,inactive,,-11.551117,-1.192463
CHEMBL1078876,inactive,,-3.623471,-6.572482
CHEMBL1082500,active,,3.700729,-7.933659
CHEMBL1082501,active,,5.577742,-6.333604
CHEMBL1082827,active,,4.569493,-6.9485
CHEMBL1082828,active,,3.258856,-9.048915
CHEMBL1083216,inactive,,-11.914263,-1.304789
CHEMBL1083363,active,,2.855857,-13.563763
CHEMBL1083364,inactive,,3.70567,-11.578104
CHEMBL1083368,active,,3.255866,-11.736404
CHEMBL1083668,active,,-0.687961,8.740725
CHEMBL1083670,active,,19.281048,0.832528
CHEMBL1083831,inactive,,-11.090684,-0.57758
CHEMBL1083832,inactive,,5.549831,-5.628382
CHEMBL1083995,inactive,,-16.299486,0.234179
CHEMBL1084136,inactive,,-9.131847,-7.101762
CHEMBL1084138,inactive,,-11.168343,-1.607731
CHEMBL1084144,inactive,,-10.644586,0.220562
CHEMBL1084145,inactive,,-9.441253,-8.479148
CHEMBL1084274,inactive,,4.370052,-13.135107
CHEMBL1084527,inactive,,3.089908,-11.891556
CHEMBL1084667,inactive,,-7.436104,-6.225197
CHEMBL1084707,active,,3.456999,-13.730271
CHEMBL1084772,active,,3.028102,-13.202203
CHEMBL1085441,inactive,,-9.161333,-2.295441
CHEMBL1085442,inactive,,-10.51926,-2.714616
CHEMBL1085694,inactive,,-11.478841,-2.19923
CHEMBL1085897,inactive,,-9.243251,-3.889969
CHEMBL1085898,inactive,,-9.07221,-3.177068
CHEMBL1085929,inactive,,-9.868191,-1.715317
CHEMBL1086005,active,,3.81922,-12.115549
CHEMBL1086411,inactive,,-8.526604,-6.786781
CHEMBL1086542,active,,5.056023,-7.3032
CHEMBL1088076,inactive,,-13.558304,0.400588
CHEMBL1089053,inactive,,1.044316,0.371279
CHEMBL1089386,inactive,,-10.369192,-2.148213
CHEMBL1089387,inactive,,-10.550695,-1.914171
CHEMBL1089395,inactive,,-12.4493,-0.202311
CHEMBL1089396,inactive,,-11.665257,-0.943974
CHEMBL1089735,inactive,,-4.558913,-7.003086
CHEMBL1090416,inactive,,-9.064474,-5.769918
CHEMBL1090424,inactive,,-9.526411,-6.692296
CHEMBL1090425,inactive,,-8.856431,-7.617058
CHEMBL1091478,inactive,,-9.102661,-5.662989
CHEMBL1091479,inactive,,-8.502784,-5.624158
CHEMBL1091816,inactive,,-9.379851,-6.968729
CHEMBL1092502,inactive,,-9.664015,-2.126478
CHEMBL1093086,inactive,,-9.696191,-6.8765
CHEMBL1093385,inactive,,-9.334952,-5.767299
CHEMBL1093387,inactive,,-9.683811,-6.944719
CHEMBL1094715,inactive,,-8.897749,-6.695081
CHEMBL1095042,inactive,,-9.03569,-5.820021
CHEMBL1095777,active,,-3.41577,-8.445417
CHEMBL111201,inactive,,-18.001974,12.384027
CHEMBL115280,inactive,,-0.609125,1.941717
CHEMBL11629,inactive,,-6.763574,-1.509281
CHEMBL117405,active,,15.37937,10.207128
CHEMBL1192069,inactive,,-6.746624,-1.570131
CHEMBL11944,inactive,,-6.581232,-1.628067
CHEMBL1204416,inactive,,-9.249094,-5.938208
CHEMBL1221542,active,,4.530484,20.874596
CHEMBL1221543,active,,4.906333,20.351822
CHEMBL1221590,active,,-23.119734,-8.924916
CHEMBL1221636,active,,-23.635908,-9.026565
CHEMBL1221637,active,,-23.090036,-10.163683
CHEMBL1221679,active,,4.328495,20.710503
CHEMBL1221732,active,,-23.909355,-8.265916
CHEMBL1221733,inactive,,-23.182177,-7.497058
CHEMBL1221803,active,,-23.18964,-9.923694
CHEMBL1221804,active,,-23.714134,-8.92093
CHEMBL1221862,active,,-20.61215,-6.547157
CHEMBL124584,inactive,,-11.126565,0.532973
CHEMBL124929,active,,-16.058456,6.04391
CHEMBL1257204,inactive,,-19.029957,2.980328
CHEMBL1257438,inactive,,-16.569654,-0.246772
CHEMBL1257554,inactive,,-15.539728,-1.272013
CHEMBL1257674,inactive,,-6.486535,-4.649315
CHEMBL1257798,inactive,,-17.298988,-0.059464
CHEMBL1258025,active,,-16.525116,-2.501456
CHEMBL1258143,inactive,,-16.906961,-2.300898
CHEMBL1258223,inactive,,14.597019,2.03546
CHEMBL1258260,inactive,,-16.464735,0.209945
CHEMBL1258452,inactive,,15.586155,2.970078
CHEMBL1258485,inactive,,-7.065975,-4.100778
CHEMBL1258486,active,,-6.225776,-4.778111
CHEMBL1258598,inactive,,-6.576866,-4.581487
CHEMBL1258599,active,,-6.21421,-4.782054
CHEMBL1258671,inactive,,14.345561,1.819478
CHEMBL1258706,inactive,,-6.448275,-4.635108
CHEMBL1258707,inactive,,-6.647639,-4.449758
CHEMBL1258825,inactive,,-15.809251,-0.256577
CHEMBL1258940,inactive,,-16.417364,0.075473
CHEMBL125963,inactive,,-16.704933,12.426529
CHEMBL12633,active,,-14.783221,-12.191573
CHEMBL12674,active,,-11.142118,2.30109
CHEMBL12762,active,,-14.491647,-11.354084
CHEMBL12945,inactive,,-9.534351,2.782271
CHEMBL12994,active,,-15.132628,-12.006924
CHEMBL13132,active,,-19.191004,11.480893
CHEMBL140908,active,,13.649839,9.546304
CHEMBL142995,inactive,,-2.423896,-4.755663
CHEMBL143463,active,,4.576534,-13.049931
CHEMBL143865,inactive,,-21.643837,25.748241
CHEMBL162095,inactive,,-4.883409,2.493157
CHEMBL162182,inactive,,-4.942908,2.422867
CHEMBL162513,active,,-4.850055,2.504791
CHEMBL163153,inactive,,-4.941233,2.343823
CHEMBL1632158,inactive,,13.966808,-7.466406
CHEMBL1632174,inactive,,13.693154,-7.134558
CHEMBL163363,inactive,,-2.488786,4.106048
CHEMBL164401,inactive,,-11.552831,3.673276
CHEMBL165015,inactive,,-16.890574,7.772776
CHEMBL165175,inactive,,-19.654236,23.873859
CHEMBL166013,inactive,,-17.082745,7.466827
CHEMBL166188,inactive,,-15.577069,13.837115
CHEMBL1684581,inactive,,-16.729958,11.167068
CHEMBL1684585,inactive,,-7.899851,-8.379414
CHEMBL177442,active,,-19.870979,1.646646
CHEMBL1788270,active,,4.591465,9.240657
CHEMBL1794855,inactive,,19.552912,9.089055
CHEMBL1800934,inactive,,-15.718662,-10.95426
CHEMBL1800935,inactive,,12.398237,-12.047754
CHEMBL1800936,inactive,,-14.801655,-12.600412
CHEMBL1800960,inactive,,-15.49037,-12.969685
CHEMBL1800961,inactive,,-15.752967,-10.964548
CHEMBL1800962,inactive,,-15.670507,-10.906798
CHEMBL1807817,active,,-23.919947,-4.990429
CHEMBL1807820,active,,-23.792276,-5.121666
CHEMBL1807821,active,,-23.417442,-6.216455
CHEMBL1807822,active,,-23.710047,-5.241445
CHEMBL1807825,active,,-24.414001,-4.05409
CHEMBL1807827,active,,-24.115479,-4.509781
CHEMBL1807829,active,,-23.723461,-4.968983
CHEMBL1807832,active,,-24.007044,-4.686461
CHEMBL1807871,active,,-23.68416,-5.034987
CHEMBL1807872,active,,-23.540333,-4.914908
CHEMBL1807873,active,,-24.201803,-4.453036
CHEMBL1824263,active,,-2.505788,-4.034238
CHEMBL1824264,inactive,,-2.789854,-3.98052
CHEMBL1824266,inactive,,-2.976981,-4.055416
CHEMBL183460,inactive,,0.1955,-8.377226
CHEMBL186247,active,,-8.116367,6.240159
CHEMBL1902627,inactive,,-18.56671,20.698832
CHEMBL1944690,active,,-23.899523,-3.430775
CHEMBL1944691,active,,-23.287062,-3.185737
CHEMBL1945031,active,,-23.967478,-2.82173
CHEMBL1945035,active,,-22.856102,-3.474251
CHEMBL1945037,active,,-23.676233,-3.221124
