,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.027857,-1.3459
CHEMBL104076,inactive,,-18.913622,11.284849
CHEMBL104127,inactive,,-6.567797,3.196794
CHEMBL104180,inactive,,-8.31459,3.436338
CHEMBL104193,active,,-18.705732,11.633348
CHEMBL104222,inactive,,-11.136342,3.841907
CHEMBL104377,inactive,,-6.198721,2.850249
CHEMBL10453,active,,-21.158306,18.484686
CHEMBL104551,inactive,,-9.545259,3.502746
CHEMBL10494,inactive,,-21.311995,18.455109
CHEMBL104981,inactive,,-10.567822,3.587937
CHEMBL105434,inactive,,-19.639969,19.196566
CHEMBL105968,inactive,,-8.875093,3.515137
CHEMBL106487,inactive,,-13.823977,5.618536
CHEMBL107681,inactive,,-10.057858,2.312558
CHEMBL1077199,inactive,,-9.236527,-3.914805
CHEMBL1077238,inactive,,-9.50278,-1.285945
CHEMBL1077273,inactive,,-9.628278,-2.253961
CHEMBL1078394,inactive,,-10.760045,-2.409961
CHEMBL1078395,inactive,,-11.314651,-3.040816
CHEMBL1078465,inactive,,-12.576881,-1.207629
CHEMBL1078495,inactive,,-12.181994,-0.212679
CHEMBL1078496,inactive,,-11.067947,-2.959177
CHEMBL1078576,inactive,,-9.991591,-2.595716
CHEMBL1078696,inactive,,-4.262283,-6.989599
CHEMBL1078876,inactive,,-4.464612,-6.998742
CHEMBL1082500,active,,3.025156,-9.252904
CHEMBL1082501,active,,4.795302,-8.120376
CHEMBL1082827,active,,4.460184,-7.990236
CHEMBL1082828,active,,3.138426,-9.237513
CHEMBL1083216,inactive,,-12.37005,-1.123065
CHEMBL1083363,active,,2.994329,-13.573038
CHEMBL1083364,inactive,,3.57704,-11.635941
CHEMBL1083368,active,,3.097092,-11.889939
CHEMBL1083668,active,,-0.735591,8.738268
CHEMBL1083670,active,,19.318333,0.836627
CHEMBL1083831,inactive,,-11.15341,-0.5049
CHEMBL1083832,inactive,,5.584013,-4.934643
CHEMBL1083995,inactive,,-16.377207,-0.210226
CHEMBL1084136,inactive,,-9.090656,-7.207392
CHEMBL1084138,inactive,,-10.956697,-1.974021
CHEMBL1084144,inactive,,-9.828729,-0.392713
CHEMBL1084145,inactive,,-9.335057,-8.594718
CHEMBL1084274,inactive,,4.26252,-13.048839
CHEMBL1084527,inactive,,3.108128,-11.940464
CHEMBL1084667,inactive,,-7.437116,-6.219909
CHEMBL1084707,active,,3.445994,-13.870426
CHEMBL1084772,active,,3.120071,-13.338364
CHEMBL1085441,inactive,,-10.326716,-2.634138
CHEMBL1085442,inactive,,-10.646321,-2.658978
CHEMBL1085693,inactive,,-9.914972,-1.686599
CHEMBL1085694,inactive,,-12.142433,-2.079698
CHEMBL1085897,inactive,,-9.434191,-4.060873
CHEMBL1085898,inactive,,-9.532224,-3.933023
CHEMBL1085929,inactive,,-8.648304,-5.292941
CHEMBL1086005,active,,3.976425,-12.424338
