,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.046611,-1.109264
CHEMBL102194,active,,-14.503745,6.55795
CHEMBL104076,inactive,,-16.431789,13.881992
CHEMBL104127,inactive,,-6.259501,2.865992
CHEMBL104180,inactive,,-8.372576,3.455931
CHEMBL104193,active,,-18.405176,12.021367
CHEMBL104222,inactive,,-11.648972,3.873268
CHEMBL104377,inactive,,-6.484612,3.286453
CHEMBL10453,active,,-21.142649,18.559509
CHEMBL104551,inactive,,-12.438626,3.149402
CHEMBL10494,inactive,,-21.304783,18.424271
CHEMBL104981,inactive,,-9.867062,3.805512
CHEMBL105434,inactive,,-19.413517,19.347498
CHEMBL105968,inactive,,-8.588138,3.621659
CHEMBL106487,inactive,,-13.41916,3.059524
CHEMBL107681,inactive,,-9.97306,1.638479
CHEMBL1077199,inactive,,-8.941264,-3.339097
CHEMBL1077238,inactive,,-11.497933,0.57826
CHEMBL1077273,inactive,,-9.56975,-2.232137
CHEMBL1078394,inactive,,-10.122111,-2.533593
CHEMBL1078395,inactive,,-11.045184,-2.852934
CHEMBL1078465,inactive,,-11.658824,-1.139707
CHEMBL1078495,inactive,,-13.318792,0.379585
CHEMBL1078496,inactive,,-11.354053,-3.094348
CHEMBL1078576,inactive,,-10.695602,-1.316519
CHEMBL1078696,inactive,,-4.148678,-6.839259
CHEMBL1078749,inactive,,-13.108503,-0.153353
CHEMBL1078876,inactive,,-4.022734,-6.741104
CHEMBL1082500,active,,3.564945,-6.50302
CHEMBL1082501,active,,5.099423,-5.593468
CHEMBL1082827,active,,4.42539,-7.245523
CHEMBL1082828,active,,2.656816,-7.713772
CHEMBL1083216,inactive,,-12.549789,-0.846862
CHEMBL1083363,active,,3.001135,-13.569016
CHEMBL1083364,inactive,,3.426737,-11.454596
CHEMBL1083368,active,,3.001358,-11.849775
CHEMBL1083668,active,,-0.731192,8.780707
CHEMBL1083670,active,,19.294119,0.818485
CHEMBL1083832,inactive,,5.258198,-5.960114
CHEMBL1083995,inactive,,-16.295694,-0.285401
CHEMBL1084136,inactive,,-9.532716,-6.674917
CHEMBL1084138,inactive,,-10.414658,-1.793692
CHEMBL1084144,inactive,,-10.085194,-0.31505
CHEMBL1084145,inactive,,-9.204148,-8.303772
CHEMBL1084274,inactive,,4.257409,-13.126543
CHEMBL1084527,inactive,,3.001187,-11.815429
CHEMBL1084667,inactive,,-7.630563,-5.960665
CHEMBL1084707,active,,3.515804,-13.839374
CHEMBL1084772,active,,2.881873,-13.356749
CHEMBL1085441,inactive,,-10.185075,-2.905155
CHEMBL1085442,inactive,,-10.325619,-2.643258
CHEMBL1085693,inactive,,-10.112475,-2.016724
CHEMBL1085694,inactive,,-11.266472,-2.33696
CHEMBL1085897,inactive,,-9.077679,-4.146743
CHEMBL1085898,inactive,,-9.358748,-3.713634
CHEMBL1085929,inactive,,-10.60384,-2.71349
CHEMBL1086005,active,,3.846103,-12.410824
CHEMBL1086149,inactive,,-10.451022,-1.910773
CHEMBL1086411,inactive,,-9.240346,-6.301785
CHEMBL1086542,active,,5.549473,-4.84636
CHEMBL1088076,inactive,,-12.24673,-1.123432
CHEMBL1089053,inactive,,-8.330415,-7.82568
CHEMBL1089386,inactive,,-10.414105,-2.004812
CHEMBL1089395,inactive,,-11.730786,-0.930322
CHEMBL1089396,inactive,,-11.81666,-0.79469
CHEMBL1089735,inactive,,-4.253755,-6.856675
CHEMBL1090416,inactive,,-9.487,-6.130833
CHEMBL1090424,inactive,,-9.12724,-7.023098
CHEMBL1090425,inactive,,-9.097111,-7.650208
CHEMBL1091478,inactive,,-8.951591,-6.248899
CHEMBL1091479,inactive,,-8.585528,-5.635231
CHEMBL1091816,inactive,,-9.233369,-7.464553
CHEMBL1092502,inactive,,-10.445405,-2.321037
CHEMBL1093086,inactive,,-9.727017,-6.203128
CHEMBL1093385,inactive,,-9.422865,-6.020053
CHEMBL1093387,inactive,,-9.713728,-6.922041
CHEMBL1094715,inactive,,-9.53087,-6.173038
CHEMBL1095042,inactive,,-9.310312,-6.083448
CHEMBL111201,inactive,,-17.558041,12.703268
CHEMBL11629,inactive,,-6.739881,-1.516291
CHEMBL117405,active,,15.382664,10.280025
CHEMBL1192069,inactive,,-6.626676,-1.815044
CHEMBL11944,inactive,,-6.184399,-1.616178
CHEMBL1204416,inactive,,-9.339225,-5.974421
CHEMBL1214999,inactive,,4.036361,-1.7008
CHEMBL1215,inactive,,-22.953062,21.995338
CHEMBL1221587,active,,-23.387138,-9.724711
CHEMBL1221636,active,,-23.935936,-8.460359
CHEMBL1221637,active,,-23.060509,-10.236657
CHEMBL1221733,inactive,,-22.743368,-7.608824
CHEMBL1221734,inactive,,5.18672,20.440079
CHEMBL1221803,active,,-23.264952,-9.951718
CHEMBL1221804,active,,-23.356316,-9.083812
CHEMBL1221862,active,,-20.567692,-6.521354
CHEMBL124584,inactive,,-11.325532,0.580507
CHEMBL124929,active,,-15.744542,6.525563
CHEMBL125246,inactive,,-9.382444,2.06169
CHEMBL1257204,inactive,,-16.780172,0.081513
CHEMBL1257438,inactive,,-16.807287,-0.000745
CHEMBL1257554,inactive,,-16.608564,-0.156344
CHEMBL1257674,inactive,,-6.523372,-4.611768
CHEMBL1257798,inactive,,-17.072227,-0.452289
CHEMBL1258025,active,,-16.591063,-2.590011
CHEMBL1258143,inactive,,-16.969624,-2.14966
CHEMBL1258223,inactive,,14.299521,1.724267
CHEMBL1258260,inactive,,-16.557213,0.523853
CHEMBL1258452,inactive,,15.095899,2.566412
CHEMBL1258485,inactive,,-6.918479,-4.255795
CHEMBL1258486,active,,-6.011996,-5.104971
CHEMBL1258598,inactive,,-6.779571,-4.351544
CHEMBL1258599,active,,-5.843405,-5.182778
CHEMBL1258671,inactive,,14.391997,1.846593
CHEMBL1258706,inactive,,-6.449641,-4.608329
CHEMBL1258707,inactive,,-6.58933,-4.49458
CHEMBL1258825,inactive,,-16.329432,-0.028007
CHEMBL1258940,inactive,,-16.210611,-0.305358
CHEMBL125963,inactive,,-16.328863,12.802843
CHEMBL12633,active,,-15.5229,-12.653234
CHEMBL12674,active,,-12.057122,2.179253
CHEMBL12718,active,,-10.639364,1.923135
CHEMBL12762,active,,-14.07337,-11.118485
CHEMBL12939,active,,-17.646137,7.861624
CHEMBL12945,inactive,,-9.319337,2.62156
CHEMBL12994,active,,-14.118742,-11.332561
CHEMBL13102,active,,-14.299438,-11.158057
CHEMBL13132,active,,-15.716885,14.792953
CHEMBL13238,active,,-6.151983,2.371695
CHEMBL140908,active,,13.709562,9.523732
CHEMBL142995,inactive,,-2.423589,-5.041512
CHEMBL143463,active,,4.453513,-13.017812
CHEMBL143865,inactive,,-21.639727,25.763823
CHEMBL162095,inactive,,-4.840161,2.555464
CHEMBL162182,inactive,,-4.687987,2.576265
CHEMBL162513,active,,-4.785605,2.538286
CHEMBL163153,inactive,,-4.686429,2.539824
CHEMBL1632158,inactive,,13.956451,-7.442266
CHEMBL1632174,inactive,,13.78138,-7.158339
CHEMBL163363,inactive,,-2.702837,3.832988
CHEMBL164401,inactive,,-12.316603,3.542723
CHEMBL165015,inactive,,-17.603535,8.137495
CHEMBL165513,inactive,,-15.673116,6.806655
CHEMBL166188,inactive,,-15.625068,8.571699
CHEMBL166330,inactive,,-19.65276,23.901117
CHEMBL1684581,inactive,,-17.655025,10.808593
CHEMBL1684585,inactive,,-7.22292,-8.674283
CHEMBL177442,active,,-19.908682,1.81943
CHEMBL1794855,inactive,,19.748135,9.217969
CHEMBL1800934,inactive,,-15.651649,-10.947816
CHEMBL1800935,inactive,,12.425019,-12.101719
CHEMBL1800936,inactive,,-14.796536,-12.596859
CHEMBL1800960,inactive,,-15.900223,-13.514531
CHEMBL1800961,inactive,,-15.802311,-11.171376
CHEMBL1800962,inactive,,-15.813885,-11.120926
CHEMBL1807817,active,,-23.572161,-5.855492
CHEMBL1807820,active,,-23.826662,-5.158817
CHEMBL1807825,active,,-24.145084,-4.300702
CHEMBL1807827,active,,-24.275845,-4.324497
CHEMBL1807829,active,,-24.382954,-4.280735
CHEMBL1807832,active,,-23.219387,-4.814588
CHEMBL1807871,active,,-24.041996,-4.674634
CHEMBL1807872,active,,-23.183371,-5.255904
CHEMBL1807873,active,,-24.270508,-4.10262
CHEMBL1824263,active,,-2.340366,-4.007368
CHEMBL1824264,inactive,,-2.319263,-4.011848
CHEMBL1824266,inactive,,-2.735441,-4.0322
CHEMBL183460,inactive,,0.032859,-8.446159
CHEMBL186247,active,,-8.154749,6.255033
CHEMBL1944690,active,,-23.76026,-3.405761
CHEMBL1944691,active,,-23.469566,-3.289702
CHEMBL1945031,active,,-24.056143,-2.806584
CHEMBL1945033,active,,-22.817745,-3.491449
CHEMBL1945037,active,,-23.139351,-3.151065
CHEMBL1945038,active,,-22.980968,-3.311079
CHEMBL1945039,active,,-23.435316,-3.234207
CHEMBL1945041,active,,-23.929604,-3.48761
CHEMBL1945042,active,,-23.033289,-3.456827
CHEMBL1945289,active,,-22.607185,-3.522787
CHEMBL1945290,active,,-22.221888,-3.614815
CHEMBL1945291,active,,-23.416933,-3.238844
CHEMBL1945292,active,,-22.733995,-5.536636
CHEMBL1945296,active,,-24.105001,-3.698326
CHEMBL1945297,active,,-23.554432,-3.820702
CHEMBL1945298,active,,-23.519295,-3.183831
CHEMBL1945299,active,,-23.375578,-3.399336
CHEMBL1945300,inactive,,-11.991821,1.80885
CHEMBL1945503,inactive,,-12.319751,1.476988
CHEMBL200234,active,,-19.034174,24.085062
CHEMBL2011213,active,,-13.028049,-8.998475
CHEMBL2011214,active,,-13.02054,-9.13169
CHEMBL2011215,active,,-12.901982,-9.20258
CHEMBL2011216,active,,-12.739249,-8.687673
CHEMBL2011217,active,,-12.880411,-8.722439
CHEMBL2011218,active,,-12.247558,-8.173035
CHEMBL2011219,active,,-5.644376,-2.914382
CHEMBL2011220,active,,-13.571961,-8.292028
CHEMBL2011221,active,,-13.681263,-8.30372
CHEMBL2011222,active,,-13.491989,-8.203947
CHEMBL2011223,active,,-12.896643,-8.659233
CHEMBL2011224,active,,-12.408479,-8.385756
CHEMBL2011226,active,,-12.806114,-9.116199
CHEMBL2011227,active,,-12.923738,-9.200992
CHEMBL2011228,active,,-12.931104,-9.217651
CHEMBL2011229,active,,-12.690454,-9.231892
CHEMBL2011230,active,,-12.370041,-8.448595
CHEMBL2011231,active,,1.136687,-13.915528
CHEMBL2011232,active,,-8.318447,-12.119326
CHEMBL2011233,active,,-12.987607,-9.415976
CHEMBL2011234,active,,-13.183609,-9.780621
CHEMBL2011236,active,,-5.557612,3.879549
CHEMBL2012522,active,,-17.694683,2.587124
CHEMBL201878,inactive,,3.239562,-24.234364
CHEMBL201946,inactive,,3.313327,-24.147049
CHEMBL202434,inactive,,4.056257,-23.227798
CHEMBL2031737,inactive,,3.567821,2.348087
CHEMBL2088195,inactive,,-3.4291,-8.535398
CHEMBL21343,inactive,,26.749336,10.250917
CHEMBL2204360,active,,5.764484,7.631317
CHEMBL22317,inactive,,-17.032957,7.126284
CHEMBL22386,inactive,,-15.40481,7.391808
CHEMBL2261429,inactive,,20.927246,-3.614367
CHEMBL226292,inactive,,14.525458,11.04711
CHEMBL226293,inactive,,-21.282072,-10.153912
CHEMBL228417,inactive,,-13.771015,-11.288756
CHEMBL228996,inactive,,-14.394961,-12.105239
CHEMBL228998,inactive,,-14.596174,-12.09726
CHEMBL229388,inactive,,-15.775405,-13.483376
CHEMBL229390,inactive,,-15.242818,-13.12435
CHEMBL229391,inactive,,-15.729044,-13.428632
CHEMBL229400,inactive,,-14.814438,-12.80941
CHEMBL229401,inactive,,-15.849599,-11.111815
CHEMBL229443,inactive,,-14.855372,-12.887723
CHEMBL229477,inactive,,-15.508091,-13.183816
CHEMBL229614,inactive,,-15.763964,-11.037066
CHEMBL229615,inactive,,2.464456,19.252504
CHEMBL236514,active,,19.930616,-5.592377
CHEMBL238732,inactive,,-0.153817,-8.889524
CHEMBL2436555,inactive,,-21.707829,24.318207
CHEMBL2448165,inactive,,31.188347,22.211479
CHEMBL248548,inactive,,-12.093835,2.01702
CHEMBL249359,inactive,,-9.507595,2.819458
CHEMBL250760,active,,-12.975609,-0.207893
CHEMBL251580,inactive,,-10.581722,2.587676
CHEMBL251581,inactive,,-11.500326,2.132807
CHEMBL251764,inactive,,-13.811733,1.624111
CHEMBL266290,inactive,,-19.021574,18.443634
CHEMBL268881,inactive,,-18.225986,19.598186
CHEMBL26917,active,,16.052568,6.058812
CHEMBL269538,inactive,,-8.094773,-19.140409
CHEMBL275291,active,,-13.841483,1.138304
CHEMBL276257,active,,-6.953264,10.283703
CHEMBL276659,active,,-10.505236,0.051895
CHEMBL28405,inactive,,-16.603083,13.933671
CHEMBL284782,inactive,,-21.615765,-9.573018
CHEMBL284965,inactive,,-16.823406,7.927383
CHEMBL285240,inactive,,-16.568985,13.638868
CHEMBL285242,inactive,,-17.312162,7.850149
CHEMBL285499,inactive,,-17.898237,12.934326
CHEMBL285881,inactive,,-18.685335,-0.566366
CHEMBL286139,inactive,,-15.869011,7.804417
CHEMBL286231,inactive,,-17.982574,13.040605
CHEMBL286438,inactive,,-19.146616,11.207419
CHEMBL286800,inactive,,-16.700228,8.35606
CHEMBL286859,inactive,,-17.637955,13.017123
CHEMBL287561,inactive,,-15.974345,13.993648
CHEMBL287562,inactive,,-18.523243,12.370126
CHEMBL287880,inactive,,-17.045532,13.647526
CHEMBL288418,inactive,,-13.352654,2.780602
CHEMBL289248,inactive,,-19.441963,12.679187
CHEMBL289249,inactive,,-16.862284,13.40709
CHEMBL289250,inactive,,-18.117645,12.65471
CHEMBL289390,active,,-7.358617,6.07816
CHEMBL289689,inactive,,-17.658381,13.431838
CHEMBL290053,inactive,,-18.842537,11.492596
CHEMBL290153,inactive,,19.600058,13.999662
CHEMBL290313,active,,-7.422201,6.117078
CHEMBL291115,inactive,,19.552374,13.81194
CHEMBL291246,inactive,,-18.674683,11.724792
CHEMBL291306,inactive,,-16.36161,12.432108
CHEMBL29141,active,,-15.213973,23.831961
CHEMBL291516,inactive,,-16.624571,12.07171
CHEMBL291992,inactive,,-16.12163,7.835201
CHEMBL292598,inactive,,-15.104621,13.806567
CHEMBL293577,inactive,,-17.25729,11.81548
CHEMBL293818,inactive,,-17.798069,7.751312
CHEMBL294172,inactive,,-16.49618,7.47495
CHEMBL294492,inactive,,-16.74819,12.534041
CHEMBL294849,inactive,,-17.473989,8.385107
CHEMBL295651,inactive,,-23.768772,21.502934
CHEMBL296380,inactive,,4.182689,0.060654
CHEMBL301594,inactive,,-0.082043,1.111303
CHEMBL302451,inactive,,-23.48036,21.717039
CHEMBL304298,inactive,,-18.208197,12.388205
CHEMBL304991,inactive,,-17.126041,13.994786
CHEMBL305558,inactive,,-18.436037,12.030334
CHEMBL305891,inactive,,-18.818892,5.933999
CHEMBL30713,inactive,,-17.090765,22.996872
CHEMBL308860,inactive,,-19.050745,5.612675
CHEMBL309673,inactive,,-15.879248,7.468522
CHEMBL3104091,inactive,,5.038398,11.939974
CHEMBL3104092,inactive,,5.022967,11.913455
CHEMBL3104093,inactive,,4.998139,11.894952
CHEMBL312364,inactive,,-16.28318,7.595755
CHEMBL3128177,inactive,,-5.752622,-9.10396
CHEMBL3128178,inactive,,-5.55094,-9.289111
CHEMBL3128179,inactive,,-5.015444,-9.543638
CHEMBL3128180,inactive,,-5.074763,-9.528978
CHEMBL3128181,inactive,,11.914416,-15.174259
CHEMBL3128182,inactive,,-5.010049,-9.529178
CHEMBL3128186,inactive,,-7.077968,-7.062444
CHEMBL3128187,inactive,,-7.744995,-7.028318
CHEMBL3128189,inactive,,-7.229392,-8.728775
CHEMBL3128190,inactive,,-6.987573,-8.890679
CHEMBL3128191,inactive,,-7.765235,-8.2576
