,activity,extra_tooltip,x,y
CHEMBL102194,active,,-15.718514,6.371914
CHEMBL104076,inactive,,-18.571991,11.773441
CHEMBL104127,inactive,,-6.132466,2.728647
CHEMBL104180,inactive,,-8.294371,3.108402
CHEMBL104377,inactive,,-6.34459,2.912129
CHEMBL10453,active,,-21.241043,18.535658
CHEMBL104551,inactive,,-10.563072,3.490984
CHEMBL10494,inactive,,-21.298088,18.442652
CHEMBL104981,inactive,,-10.477602,3.871457
CHEMBL105383,inactive,,-23.271263,22.011339
CHEMBL105434,inactive,,-19.494865,19.234121
CHEMBL105968,inactive,,-8.396701,3.498324
CHEMBL107681,inactive,,-9.778179,1.769284
CHEMBL1077199,inactive,,-9.495234,-3.901832
CHEMBL1077238,inactive,,-9.587386,-0.274793
CHEMBL1078394,inactive,,-9.850179,-2.153185
CHEMBL1078465,inactive,,-12.631942,-0.945925
CHEMBL1078495,inactive,,-10.985053,-0.768092
CHEMBL1078496,inactive,,-11.197186,-3.129466
CHEMBL1078576,inactive,,-9.826112,-2.377811
CHEMBL1078696,inactive,,-3.982985,-6.777867
CHEMBL1078749,inactive,,-11.997102,-1.197833
CHEMBL1082500,active,,3.222276,-8.349878
CHEMBL1082501,active,,5.222359,-6.822117
CHEMBL1082827,active,,4.793803,-4.065291
CHEMBL1082828,active,,2.968958,-8.788641
CHEMBL1083216,inactive,,-12.33503,-1.115068
CHEMBL1083363,active,,2.974194,-13.584313
CHEMBL1083364,inactive,,3.606491,-11.485143
CHEMBL1083368,active,,3.060921,-11.914936
CHEMBL1083668,active,,-0.796605,8.71569
CHEMBL1083670,active,,19.233986,0.795417
CHEMBL1083831,inactive,,-12.92063,-0.090667
CHEMBL1083832,inactive,,5.151594,-5.948618
CHEMBL1083995,inactive,,-15.983544,-0.194382
CHEMBL1084136,inactive,,-8.976014,-7.058161
CHEMBL1084138,inactive,,-11.051497,-2.211502
CHEMBL1084144,inactive,,-11.786044,1.003013
CHEMBL1084145,inactive,,-9.239665,-8.667542
CHEMBL1084274,inactive,,4.40039,-13.063224
CHEMBL1084527,inactive,,3.058501,-11.858987
CHEMBL1084667,inactive,,-7.509005,-6.062087
CHEMBL1084707,active,,3.538803,-13.845468
CHEMBL1084772,active,,2.994569,-13.291649
CHEMBL1085442,inactive,,-11.102479,-2.608228
CHEMBL1085693,inactive,,-9.80858,-2.123575
CHEMBL1085694,inactive,,-10.627611,-2.381776
CHEMBL1085897,inactive,,-9.365339,-4.209875
CHEMBL1085898,inactive,,-9.62505,-4.229815
CHEMBL1086005,active,,3.965559,-12.400946
CHEMBL1086149,inactive,,-10.428815,-2.436803
CHEMBL1086542,active,,4.72614,-6.887974
CHEMBL1088076,inactive,,-13.500133,0.246416
CHEMBL1089386,inactive,,-9.829638,-2.108477
CHEMBL1089387,inactive,,-9.685466,-1.630323
CHEMBL1089395,inactive,,-11.475385,-0.938828
CHEMBL1089396,inactive,,-11.707052,-0.94224
CHEMBL1089735,inactive,,-4.322413,-6.601551
CHEMBL1090416,inactive,,-9.012779,-5.88678
CHEMBL1090424,inactive,,-9.10656,-7.230966
CHEMBL1090425,inactive,,-9.007678,-7.659106
CHEMBL1091479,inactive,,-8.562293,-5.668223
CHEMBL1091816,inactive,,-8.967633,-7.543889
CHEMBL1093385,inactive,,-8.395302,-6.609215
CHEMBL1093387,inactive,,-9.501376,-7.155705
CHEMBL1094715,inactive,,-9.013171,-6.559377
CHEMBL1095042,inactive,,-9.102557,-5.715832
CHEMBL1095777,active,,-3.501711,-8.551055
CHEMBL111201,inactive,,-18.02323,11.385016
CHEMBL11629,inactive,,-6.572233,-1.676652
CHEMBL117405,active,,15.416924,10.030147
CHEMBL1192069,inactive,,-6.622747,-1.704938
CHEMBL11944,inactive,,-6.441394,-1.683084
CHEMBL1204416,inactive,,-8.347213,-6.510135
CHEMBL1215,inactive,,-22.940571,22.062298
CHEMBL1221541,active,,4.501439,20.717499
CHEMBL1221543,active,,4.969032,20.311371
CHEMBL1221587,active,,-23.418652,-9.563705
CHEMBL1221589,active,,-23.231844,-9.605828
CHEMBL1221590,active,,-23.821402,-9.080517
CHEMBL1221635,active,,-23.491821,-8.833611
CHEMBL1221636,active,,-23.581081,-8.632656
CHEMBL1221637,active,,-23.027136,-10.224217
CHEMBL1221679,active,,4.344966,20.750082
CHEMBL1221680,active,,-23.005823,-7.557957
CHEMBL1221733,inactive,,-23.911303,-8.337927
CHEMBL1221803,active,,-23.22562,-9.990214
CHEMBL1221804,active,,-23.322966,-8.907591
CHEMBL1221862,active,,-20.552683,-6.502747
CHEMBL123745,active,,-17.793291,7.900997
CHEMBL124584,inactive,,-10.183843,-0.057933
CHEMBL124929,active,,-16.182127,6.00494
CHEMBL125246,inactive,,-9.658215,2.593737
CHEMBL1257204,inactive,,-16.674946,0.07964
CHEMBL1257438,inactive,,-16.648993,0.038873
CHEMBL1257554,inactive,,-16.584719,-0.043205
CHEMBL1257674,inactive,,-6.42723,-4.729143
CHEMBL1257798,inactive,,-17.215775,-0.054364
CHEMBL1258025,active,,-16.514551,-2.624352
CHEMBL1258143,inactive,,-16.943321,-2.28236
CHEMBL1258223,inactive,,14.278551,1.817527
CHEMBL1258260,inactive,,-16.520329,0.241333
CHEMBL1258452,inactive,,15.581088,3.042082
CHEMBL1258485,inactive,,-7.05337,-4.134938
CHEMBL1258486,active,,-6.07397,-4.885524
CHEMBL1258598,inactive,,-6.844403,-4.159933
CHEMBL1258599,active,,-6.114425,-4.966656
CHEMBL1258671,inactive,,14.430773,1.883061
CHEMBL1258706,inactive,,-6.462016,-4.513853
CHEMBL1258707,inactive,,-6.740182,-4.336625
CHEMBL1258825,inactive,,-16.256521,0.38798
CHEMBL1258940,inactive,,-16.388105,-0.065795
CHEMBL12633,active,,-14.689031,-12.392434
CHEMBL12674,active,,-13.176295,1.700265
CHEMBL12718,active,,-10.762988,1.901457
CHEMBL12762,active,,-14.22685,-11.417111
CHEMBL12939,active,,-17.205019,7.031862
CHEMBL12945,inactive,,-9.340495,2.87539
CHEMBL12994,active,,-14.193172,-11.366412
CHEMBL13102,active,,-13.984381,-11.300386
CHEMBL13132,active,,-19.241373,11.67968
CHEMBL13238,active,,-6.357642,2.405433
CHEMBL13467,active,,-17.92083,7.341504
CHEMBL140908,active,,13.671203,9.617383
CHEMBL142995,inactive,,-2.450814,-4.887002
CHEMBL143463,active,,4.470789,-13.039762
CHEMBL143865,inactive,,-21.643875,25.752613
CHEMBL162095,inactive,,-4.839889,2.454646
CHEMBL162182,inactive,,-4.704864,2.592129
CHEMBL162513,active,,-4.81605,2.542932
CHEMBL163153,inactive,,-4.923515,2.466707
CHEMBL1632158,inactive,,13.990111,-7.481022
CHEMBL1632174,inactive,,13.677556,-7.132128
CHEMBL163363,inactive,,-2.506016,4.139108
CHEMBL164401,inactive,,-10.991478,3.035541
CHEMBL165015,inactive,,-14.743245,6.76646
CHEMBL165513,inactive,,-14.06864,6.922865
CHEMBL166013,inactive,,-14.557076,6.547082
CHEMBL166188,inactive,,-15.10495,8.333383
CHEMBL1684577,inactive,,-16.795273,11.322695
CHEMBL1684585,inactive,,-7.229302,-8.655143
CHEMBL177442,active,,-19.898647,1.782117
CHEMBL1788270,active,,4.683926,9.310735
CHEMBL1794855,inactive,,19.742189,9.217456
CHEMBL1800934,inactive,,-13.886512,-10.415417
CHEMBL1800935,inactive,,12.452976,-12.087823
CHEMBL1800936,inactive,,-14.365386,-12.317241
CHEMBL1800960,inactive,,-14.894862,-12.654448
CHEMBL1800961,inactive,,-15.835774,-11.039815
CHEMBL1800962,inactive,,-15.786065,-10.942433
CHEMBL1800963,inactive,,-15.682151,-10.940804
CHEMBL1807817,active,,-23.665571,-5.591742
CHEMBL1807820,active,,-23.87809,-4.953583
CHEMBL1807821,active,,-23.51577,-5.839803
CHEMBL1807825,active,,-23.787537,-4.12693
CHEMBL1807827,active,,-24.366293,-4.19494
CHEMBL1807832,active,,-24.164148,-3.968288
CHEMBL1807871,active,,-23.993216,-4.650058
CHEMBL1807872,active,,-23.869524,-4.535523
CHEMBL1824263,active,,-2.422931,-4.025871
CHEMBL1824264,inactive,,-2.724656,-4.080895
CHEMBL1824266,inactive,,-2.974304,-3.995671
CHEMBL183460,inactive,,0.199663,-8.298866
CHEMBL186247,active,,-8.107862,6.26597
CHEMBL1902627,inactive,,-18.541805,20.706211
CHEMBL1944690,active,,-23.646589,-3.565502
CHEMBL1944691,active,,-22.746019,-3.708352
CHEMBL1945031,active,,-24.076969,-2.714207
CHEMBL1945033,active,,-23.572556,-3.473803
CHEMBL1945037,active,,-23.272575,-3.081577
CHEMBL1945038,active,,-23.651344,-3.255071
CHEMBL1945039,active,,-23.461342,-3.129008
CHEMBL1945041,active,,-23.854,-3.39404
CHEMBL1945042,active,,-23.751232,-3.49331
CHEMBL1945043,active,,-22.662941,-3.613399
CHEMBL1945044,active,,-23.091335,-3.262035
CHEMBL1945289,active,,-23.182318,-3.11215
CHEMBL1945291,active,,-23.698248,-3.279227
CHEMBL1945292,active,,-22.751816,-5.621131
CHEMBL1945296,active,,-23.415298,-3.785994
CHEMBL1945297,active,,-24.114872,-3.644431
CHEMBL1945299,active,,-23.466774,-3.083321
CHEMBL1945503,inactive,,-11.23949,0.967273
CHEMBL1947157,active,,-24.072775,-3.699125
CHEMBL200234,active,,-18.926216,24.118065
CHEMBL2011213,active,,-12.686193,-8.861798
CHEMBL2011214,active,,-12.984666,-9.139039
CHEMBL2011215,active,,-12.839514,-9.209044
CHEMBL2011216,active,,-5.474356,-2.953694
CHEMBL2011217,active,,-6.092221,-2.430476
CHEMBL2011218,active,,-12.069166,-7.914723
CHEMBL2011219,active,,-5.72752,-2.506461
CHEMBL2011220,active,,-13.595945,-8.376522
CHEMBL2011222,active,,-13.512552,-8.186436
CHEMBL2011224,active,,-12.46583,-8.456707
CHEMBL2011226,active,,-12.564655,-8.889707
CHEMBL2011227,active,,-12.752054,-9.142817
CHEMBL2011228,active,,-12.683421,-8.988143
CHEMBL2011229,active,,-12.664229,-9.190866
CHEMBL2011230,active,,-12.673608,-8.961623
CHEMBL2011231,active,,1.11738,-13.922021
CHEMBL2011232,active,,-8.329638,-12.128626
CHEMBL2011233,active,,-12.915083,-9.442705
CHEMBL2011234,active,,-13.06208,-9.37408
CHEMBL2011236,active,,-5.733084,3.720463
CHEMBL2012522,active,,-17.649242,2.541905
CHEMBL201878,inactive,,3.22693,-24.248974
CHEMBL201946,inactive,,3.324197,-24.134771
CHEMBL202434,inactive,,3.974132,-23.328691
CHEMBL2031737,inactive,,3.609919,2.364354
CHEMBL2088195,inactive,,-3.427009,-8.512206
CHEMBL2088201,active,,-3.38886,-8.462089
CHEMBL21343,inactive,,26.694799,10.298597
CHEMBL22317,inactive,,-15.475826,6.408638
CHEMBL2261429,inactive,,20.920082,-3.614287
CHEMBL226292,inactive,,14.53763,11.0448
CHEMBL228417,inactive,,-15.189393,-12.523602
CHEMBL228992,inactive,,-15.084576,-12.241353
CHEMBL228996,inactive,,-15.584211,-12.899812
CHEMBL228998,inactive,,-15.353216,-12.454279
CHEMBL229388,inactive,,-14.765844,-13.058426
CHEMBL229390,inactive,,-15.318502,-13.359191
CHEMBL229391,inactive,,-15.292221,-12.807289
CHEMBL229442,inactive,,-14.733638,-12.740967
CHEMBL229443,inactive,,-15.079522,-12.97695
CHEMBL229476,inactive,,-15.417756,-13.170964
CHEMBL229477,inactive,,-14.882565,-12.97459
CHEMBL229615,inactive,,2.470213,19.260061
CHEMBL229616,inactive,,2.450007,19.27029
CHEMBL229620,inactive,,-14.803315,-13.158218
CHEMBL236514,active,,19.900269,-5.596479
CHEMBL238732,inactive,,-0.171021,-8.855626
CHEMBL2391541,inactive,,-10.752617,27.933945
CHEMBL2436555,inactive,,-21.705395,24.340933
CHEMBL2448165,inactive,,31.188766,22.211802
CHEMBL249359,inactive,,-9.264644,2.695475
CHEMBL250760,active,,-11.016894,-2.289818
CHEMBL251580,inactive,,-13.234513,1.49453
CHEMBL251581,inactive,,-11.474197,2.04946
CHEMBL251764,inactive,,-11.873245,2.316319
CHEMBL266290,inactive,,-19.008949,18.471504
CHEMBL268881,inactive,,-18.293612,19.604435
CHEMBL26917,active,,15.949522,6.054963
CHEMBL269538,inactive,,-8.143991,-19.170311
CHEMBL275291,active,,-13.757874,3.343191
CHEMBL276257,active,,-6.925135,10.273235
CHEMBL276659,active,,-10.763153,0.349728
CHEMBL28405,inactive,,-16.392965,14.133432
CHEMBL284782,inactive,,-21.551943,-9.893717
CHEMBL284965,inactive,,-14.496734,7.408253
CHEMBL285001,inactive,,-16.626652,14.031838
CHEMBL285240,inactive,,-18.526873,12.037175
CHEMBL285242,inactive,,-16.310017,7.961854
CHEMBL285458,inactive,,-14.870744,7.329135
