,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-6.881125,-1.455431
CHEMBL102194,active,,-14.937938,6.428133
CHEMBL104076,inactive,,-17.9086,13.288434
CHEMBL104127,inactive,,-6.108169,2.654863
CHEMBL104180,inactive,,-8.40132,3.073499
CHEMBL104193,active,,-18.76683,11.147775
CHEMBL104222,inactive,,-12.022353,2.464602
CHEMBL104377,inactive,,-6.290758,2.563118
CHEMBL10453,active,,-21.176233,18.528999
CHEMBL10494,inactive,,-21.231287,18.470133
CHEMBL104981,inactive,,-9.846205,3.729386
CHEMBL105383,inactive,,-23.246723,22.026886
CHEMBL105434,inactive,,-19.476042,19.344889
CHEMBL105968,inactive,,-8.454728,3.585076
CHEMBL106487,inactive,,-10.984879,3.419174
CHEMBL107681,inactive,,-10.337521,1.573099
CHEMBL1077199,inactive,,-9.802474,-4.107283
CHEMBL1077238,inactive,,-10.034153,-0.863544
CHEMBL1077273,inactive,,-9.436811,-2.108043
CHEMBL1078394,inactive,,-9.915212,-2.375613
CHEMBL1078395,inactive,,-11.287672,-2.965712
CHEMBL1078465,inactive,,-11.186889,-1.016354
CHEMBL1078495,inactive,,-12.520228,0.262953
CHEMBL1078576,inactive,,-12.180202,-1.902066
CHEMBL1078696,inactive,,-4.097536,-6.829169
CHEMBL1082500,active,,3.173957,-6.70403
CHEMBL1082501,active,,4.770988,-6.991883
CHEMBL1082827,active,,4.399994,-7.643081
CHEMBL1082828,active,,2.875143,-8.075888
CHEMBL1083216,inactive,,-12.197968,-1.370097
CHEMBL1083363,active,,2.947945,-13.59837
CHEMBL1083364,inactive,,3.441576,-11.391135
CHEMBL1083368,active,,3.08247,-11.904136
CHEMBL1083668,active,,-0.688231,8.742032
CHEMBL1083670,active,,19.310335,0.827979
CHEMBL1083831,inactive,,-11.119329,-0.90908
CHEMBL1083832,inactive,,4.967713,-5.804979
CHEMBL1083995,inactive,,-16.110867,-0.161889
CHEMBL1084136,inactive,,-9.039386,-7.160237
CHEMBL1084144,inactive,,-11.379354,0.039457
CHEMBL1084145,inactive,,-9.240906,-8.685205
CHEMBL1084274,inactive,,4.303887,-13.069089
CHEMBL1084527,inactive,,3.010918,-11.89545
CHEMBL1084667,inactive,,-7.645326,-5.949846
CHEMBL1084707,active,,3.61763,-13.964149
CHEMBL1084772,active,,3.036852,-13.345012
CHEMBL1085441,inactive,,-9.986523,-2.252055
CHEMBL1085442,inactive,,-10.153989,-2.14709
CHEMBL1085694,inactive,,-10.297757,-2.192836
CHEMBL1085897,inactive,,-8.798125,-3.462745
CHEMBL1085898,inactive,,-9.359415,-3.628327
CHEMBL1085929,inactive,,-10.554309,-2.737806
CHEMBL1086005,active,,3.933172,-12.539076
CHEMBL1086411,inactive,,-8.664721,-6.428179
CHEMBL1086542,active,,4.817224,-7.252293
CHEMBL1088076,inactive,,-12.329693,-1.036583
CHEMBL1089053,inactive,,-8.876471,-6.840101
CHEMBL1089386,inactive,,-10.216243,-1.763303
CHEMBL1089387,inactive,,-9.274358,-2.045775
CHEMBL1089395,inactive,,-11.274697,-1.030998
CHEMBL1089396,inactive,,-12.534172,-0.351839
CHEMBL1089735,inactive,,-4.622025,-2.962406
CHEMBL1090416,inactive,,-8.117849,-6.816014
CHEMBL1090424,inactive,,-8.83061,-7.717242
CHEMBL1090425,inactive,,-9.258892,-7.450419
CHEMBL1091478,inactive,,-7.67451,-6.626872
CHEMBL1091479,inactive,,-8.853819,-5.846375
CHEMBL1091816,inactive,,-8.81115,-7.67361
CHEMBL1092502,inactive,,-10.246469,-2.109966
CHEMBL1093086,inactive,,-9.717083,-7.401673
CHEMBL1093385,inactive,,-8.807786,-5.963337
CHEMBL1093387,inactive,,-9.750131,-6.702357
CHEMBL1094715,inactive,,-9.249309,-6.337351
CHEMBL1095042,inactive,,-7.949643,-7.230421
CHEMBL1095777,active,,-3.503469,-8.502068
CHEMBL11629,inactive,,-6.758609,-1.518384
CHEMBL117405,active,,14.984168,9.608181
CHEMBL1192069,inactive,,-6.875849,-1.418776
CHEMBL11944,inactive,,-6.393384,-1.567293
CHEMBL1204416,inactive,,-8.845316,-5.879712
CHEMBL1214998,inactive,,3.691592,-2.143318
CHEMBL1215,inactive,,-23.050751,22.029421
CHEMBL1221542,active,,4.662296,20.919384
CHEMBL1221543,active,,4.984002,20.32935
CHEMBL1221587,active,,-23.237305,-9.502892
CHEMBL1221589,active,,-23.2829,-9.384647
CHEMBL1221636,active,,-23.446451,-8.374242
CHEMBL1221638,active,,-23.026377,-10.178451
CHEMBL1221680,active,,-23.124786,-7.794716
CHEMBL1221683,active,,5.475657,21.368443
CHEMBL1221732,active,,-23.116812,-7.704022
CHEMBL1221803,active,,-23.217865,-9.941069
CHEMBL1221804,active,,-22.924114,-8.649099
CHEMBL1221861,active,,-23.291767,-10.035287
CHEMBL1221862,active,,-20.541157,-6.493306
CHEMBL124584,inactive,,-10.420339,0.029165
CHEMBL125246,inactive,,-9.258093,2.068265
CHEMBL1257204,inactive,,-16.697371,0.091653
CHEMBL1257438,inactive,,-16.7561,-0.008566
CHEMBL1257554,inactive,,-16.607922,0.00691
CHEMBL1257674,inactive,,-6.38551,-4.666332
CHEMBL1257798,inactive,,-17.305391,-0.09234
CHEMBL1258025,active,,-16.493841,-2.589917
CHEMBL1258143,inactive,,-16.78455,-2.399854
CHEMBL1258223,inactive,,14.279482,1.766228
CHEMBL1258260,inactive,,-16.483572,0.372377
CHEMBL1258452,inactive,,14.745191,2.193559
CHEMBL1258485,inactive,,-6.924363,-4.186327
CHEMBL1258486,active,,-6.129653,-4.893294
CHEMBL1258598,inactive,,-6.547291,-4.53721
CHEMBL1258599,active,,-5.915697,-5.0284
CHEMBL1258671,inactive,,14.371066,1.831913
CHEMBL1258706,inactive,,-6.445635,-4.610496
CHEMBL1258707,inactive,,-6.674159,-4.411935
CHEMBL1258825,inactive,,-16.079161,0.165811
CHEMBL1258940,inactive,,-16.221582,0.052114
CHEMBL125963,inactive,,-15.538595,13.263008
CHEMBL12633,active,,-14.027266,-11.556577
CHEMBL12674,active,,-11.905069,1.961903
CHEMBL12762,active,,-15.169296,-11.911629
CHEMBL12939,active,,-15.213449,7.286813
CHEMBL12945,inactive,,-9.296657,2.486331
CHEMBL12994,active,,-14.175758,-11.418634
CHEMBL13102,active,,-15.200027,-11.885376
CHEMBL13238,active,,-5.999218,2.424822
CHEMBL13467,active,,-16.064493,6.675198
CHEMBL140908,active,,13.663104,9.516656
CHEMBL142995,inactive,,-2.38606,-5.077994
CHEMBL143463,active,,4.501164,-13.057812
CHEMBL143865,inactive,,-21.636328,25.745649
CHEMBL162095,inactive,,-4.786526,2.51774
CHEMBL162182,inactive,,-4.879932,2.463322
CHEMBL162513,active,,-4.923563,2.550426
CHEMBL163153,inactive,,-4.630703,2.625029
CHEMBL1632158,inactive,,13.927512,-7.458873
CHEMBL1632174,inactive,,13.737198,-7.166706
CHEMBL163363,inactive,,-2.501892,4.173373
CHEMBL164401,inactive,,-11.756706,3.499283
CHEMBL165015,inactive,,-17.186476,7.955424
CHEMBL166013,inactive,,-16.676105,7.749384
CHEMBL166188,inactive,,-15.642051,13.259899
CHEMBL1672288,inactive,,-9.743185,-18.128252
CHEMBL1684577,inactive,,-16.927601,11.307196
CHEMBL1684581,inactive,,-16.930134,11.218124
CHEMBL1684583,inactive,,-16.891582,11.365344
CHEMBL1684585,inactive,,-6.689915,-9.22213
CHEMBL177442,active,,-19.905058,1.797385
CHEMBL1788270,active,,4.626858,9.192456
CHEMBL1794855,inactive,,19.783154,9.244713
CHEMBL1800934,inactive,,-15.52449,-10.898726
CHEMBL1800935,inactive,,12.105189,-11.697549
CHEMBL1800936,inactive,,-14.266146,-12.871045
CHEMBL1800960,inactive,,-15.04481,-12.671063
CHEMBL1800961,inactive,,-15.625609,-11.070709
CHEMBL1800962,inactive,,-15.515721,-10.847364
CHEMBL1800963,inactive,,-15.619798,-10.802562
CHEMBL1807817,active,,-23.778225,-4.958111
CHEMBL1807820,active,,-23.634621,-5.579205
CHEMBL1807821,active,,-23.826626,-4.735228
CHEMBL1807825,active,,-22.86833,-5.697536
CHEMBL1807827,active,,-23.678596,-4.932208
CHEMBL1807829,active,,-23.968626,-4.619236
CHEMBL1807832,active,,-23.875355,-4.593629
CHEMBL1807871,active,,-24.032194,-4.65484
CHEMBL1807872,active,,-23.773058,-4.432687
CHEMBL1807873,active,,-23.912964,-4.619102
CHEMBL1824263,active,,-2.436452,-3.988406
CHEMBL1824264,inactive,,-2.622859,-4.005851
CHEMBL1824266,inactive,,-2.950319,-4.00505
CHEMBL183460,inactive,,0.189203,-8.469746
CHEMBL186247,active,,-8.149132,6.265373
CHEMBL1902627,inactive,,-18.559282,20.685371
CHEMBL1944690,active,,-24.142448,-3.620027
CHEMBL1944691,active,,-21.876619,-4.018452
CHEMBL1945031,active,,-23.947901,-2.814175
CHEMBL1945033,active,,-21.960325,-3.962046
CHEMBL1945037,active,,-23.669279,-2.993013
CHEMBL1945038,active,,-21.859592,-4.052104
CHEMBL1945039,active,,-23.357666,-3.187403
CHEMBL1945041,active,,-23.928579,-3.596695
CHEMBL1945042,active,,-23.324965,-3.230204
CHEMBL1945043,active,,-22.408205,-3.671212
CHEMBL1945044,active,,-23.148119,-3.373292
CHEMBL1945289,active,,-23.726786,-3.309263
CHEMBL1945290,active,,-22.743046,-3.285868
CHEMBL1945291,active,,-22.863586,-3.169943
CHEMBL1945292,active,,-23.425453,-4.46042
CHEMBL1945296,active,,-23.772396,-3.589612
CHEMBL1945297,active,,-24.040764,-3.664808
CHEMBL1945298,active,,-23.810825,-3.511157
CHEMBL1945299,active,,-23.55191,-3.12366
CHEMBL1945300,inactive,,-12.374336,1.762255
CHEMBL1945503,inactive,,-12.303191,1.372936
CHEMBL1947157,active,,-22.212524,-3.894232
CHEMBL200234,active,,-18.87602,24.097113
CHEMBL2011213,active,,-12.594955,-8.619199
CHEMBL2011214,active,,-12.888502,-9.291973
CHEMBL2011215,active,,-12.869416,-9.292053
CHEMBL2011216,active,,-4.749104,-3.39032
CHEMBL2011217,active,,-12.532808,-8.41087
CHEMBL2011218,active,,-4.773032,-3.011598
CHEMBL2011219,active,,-5.309271,-2.918711
CHEMBL2011221,active,,-13.595378,-8.347391
CHEMBL2011222,active,,-13.601186,-8.326762
CHEMBL2011223,active,,-12.467203,-8.448208
CHEMBL2011224,active,,-12.382749,-8.402427
CHEMBL2011225,active,,-12.647828,-9.161918
CHEMBL2011226,active,,-12.576632,-9.019744
CHEMBL2011228,active,,-12.7385,-9.101436
CHEMBL2011229,active,,-12.566522,-9.13514
CHEMBL2011230,active,,-12.860182,-9.169458
CHEMBL2011231,active,,1.113611,-13.915874
CHEMBL2011232,active,,-8.169314,-12.148892
CHEMBL2011233,active,,-13.022717,-9.62057
CHEMBL2011234,active,,-12.643032,-9.255363
CHEMBL2011235,active,,-12.814977,-9.972495
CHEMBL2011236,active,,-12.060763,-9.816702
CHEMBL2012522,active,,-17.509312,2.529864
CHEMBL201878,inactive,,3.262591,-24.209482
CHEMBL201946,inactive,,3.350805,-24.104553
CHEMBL202434,inactive,,4.016201,-23.283735
CHEMBL2031737,inactive,,3.592944,2.327353
CHEMBL2088195,inactive,,-3.563111,-8.568921
CHEMBL2088201,active,,-3.274278,-8.402401
CHEMBL21343,inactive,,26.73525,10.254424
CHEMBL22317,inactive,,-16.439619,6.923701
CHEMBL22375,inactive,,-16.598635,7.237648
CHEMBL22386,inactive,,-14.667006,6.977056
CHEMBL2261429,inactive,,20.927273,-3.612653
CHEMBL226292,inactive,,14.515528,11.081405
CHEMBL228417,inactive,,-15.66576,-12.84172
