,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.019277,-1.221575
CHEMBL104127,inactive,,-6.463545,3.066575
CHEMBL104180,inactive,,-8.999985,3.064305
CHEMBL104222,inactive,,-11.747136,3.845003
CHEMBL104377,inactive,,-6.557206,3.296772
CHEMBL10453,active,,-21.215015,18.442764
CHEMBL104551,inactive,,-12.717931,2.232731
CHEMBL10494,inactive,,-21.29438,18.463623
CHEMBL104981,inactive,,-10.466471,4.017051
CHEMBL105383,inactive,,-23.509491,21.74164
CHEMBL105434,inactive,,-19.444572,19.270107
CHEMBL107681,inactive,,-10.045017,1.907059
CHEMBL1077199,inactive,,-9.655788,-3.826553
CHEMBL1077238,inactive,,-10.476186,0.279933
CHEMBL1077273,inactive,,-10.126325,-3.85716
CHEMBL1078394,inactive,,-10.995533,-3.360159
CHEMBL1078465,inactive,,-12.317281,-1.213018
CHEMBL1078495,inactive,,-12.881184,-0.16151
CHEMBL1078496,inactive,,-11.485703,-2.997997
CHEMBL1078576,inactive,,-9.326282,-2.147764
CHEMBL1078696,inactive,,-4.182446,-6.869421
CHEMBL1078749,inactive,,-11.511674,-1.126839
CHEMBL1078876,inactive,,-3.789067,-6.652299
CHEMBL1082500,active,,3.524421,-6.503989
CHEMBL1082501,active,,5.113753,-5.80838
CHEMBL1082827,active,,4.269897,-7.909928
CHEMBL1082828,active,,2.88742,-9.032482
CHEMBL1083216,inactive,,-12.226895,-1.225755
CHEMBL1083363,active,,2.940846,-13.60486
CHEMBL1083364,inactive,,3.72042,-11.533044
CHEMBL1083368,active,,3.100085,-11.86239
CHEMBL1083668,active,,-0.698634,8.727166
CHEMBL1083670,active,,19.196724,0.794145
CHEMBL1083831,inactive,,-11.14721,-0.75546
CHEMBL1083832,inactive,,5.250757,-5.536901
CHEMBL1083995,inactive,,-15.939862,-0.819888
CHEMBL1084136,inactive,,-9.143198,-7.044445
CHEMBL1084138,inactive,,-11.504188,-2.26433
CHEMBL1084144,inactive,,-10.650928,-0.207871
CHEMBL1084145,inactive,,-9.35136,-8.728079
CHEMBL1084274,inactive,,4.277853,-13.112002
CHEMBL1084527,inactive,,3.079194,-11.905216
CHEMBL1084667,inactive,,-7.553788,-5.955937
CHEMBL1084707,active,,3.473568,-13.911695
CHEMBL1084772,active,,3.044632,-13.383848
CHEMBL1085441,inactive,,-10.351702,-2.652739
CHEMBL1085442,inactive,,-10.19367,-2.450321
CHEMBL1085693,inactive,,-10.787413,-2.080036
CHEMBL1085694,inactive,,-10.775309,-2.603651
CHEMBL1085897,inactive,,-9.265472,-4.009038
CHEMBL1085898,inactive,,-9.627946,-3.935124
CHEMBL1085929,inactive,,-10.229536,-2.392772
CHEMBL1086005,active,,4.086441,-12.528519
CHEMBL1086149,inactive,,-10.235853,-2.510984
CHEMBL1086411,inactive,,-9.156208,-5.847361
CHEMBL1086542,active,,5.013334,-5.647309
CHEMBL1088076,inactive,,-12.204268,-1.306492
CHEMBL1089053,inactive,,-8.14258,-7.008296
CHEMBL1089386,inactive,,-10.097159,-1.74829
CHEMBL1089387,inactive,,-9.76801,-1.963144
CHEMBL1089395,inactive,,-11.563587,-1.089416
CHEMBL1089396,inactive,,-11.261457,-1.004933
CHEMBL1089735,inactive,,-4.051207,-6.560343
CHEMBL1090416,inactive,,-8.272345,-6.424699
CHEMBL1090424,inactive,,-8.973238,-7.291049
CHEMBL1090425,inactive,,-9.435296,-7.538707
CHEMBL1091478,inactive,,-9.001157,-5.754102
CHEMBL1091479,inactive,,-8.503524,-5.731874
CHEMBL1091816,inactive,,-9.240546,-7.35139
CHEMBL1092502,inactive,,-10.283622,-2.672632
CHEMBL1093086,inactive,,-9.584956,-6.654521
CHEMBL1093385,inactive,,-8.744477,-5.671321
CHEMBL1093387,inactive,,-9.79054,-6.611233
CHEMBL1094715,inactive,,-9.28331,-6.759082
CHEMBL1095042,inactive,,-9.371668,-5.630959
CHEMBL1095777,active,,-3.481298,-8.522794
CHEMBL11629,inactive,,-6.614155,-1.694196
CHEMBL117405,active,,15.416797,10.067792
