,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.12917,-1.197629
CHEMBL102194,active,,-17.1474,6.984764
CHEMBL104076,inactive,,-16.26597,14.125384
CHEMBL104127,inactive,,-6.044421,2.816809
CHEMBL104180,inactive,,-8.436416,3.329808
CHEMBL104193,active,,-18.504007,11.946841
CHEMBL104222,inactive,,-13.070195,2.447084
CHEMBL104377,inactive,,-6.132812,2.498898
CHEMBL10453,active,,-21.233715,18.488497
CHEMBL104551,inactive,,-10.689322,3.489073
CHEMBL10494,inactive,,-21.301077,18.473061
CHEMBL104981,inactive,,-10.373466,3.649175
CHEMBL105434,inactive,,-19.419098,19.30612
CHEMBL105968,inactive,,-8.420519,3.582422
CHEMBL106487,inactive,,-13.272264,4.993185
CHEMBL107681,inactive,,-11.126749,0.739253
CHEMBL1077199,inactive,,-9.274911,-3.692677
CHEMBL1077238,inactive,,-11.454279,0.702182
CHEMBL1077273,inactive,,-10.139477,-2.533532
CHEMBL1078394,inactive,,-10.002521,-2.471593
CHEMBL1078395,inactive,,-11.160805,-3.056577
CHEMBL1078465,inactive,,-13.000213,-0.033487
CHEMBL1078495,inactive,,-12.770953,-0.16933
CHEMBL1078496,inactive,,-11.458069,-2.904229
CHEMBL1078576,inactive,,-10.534548,-2.452846
CHEMBL1078696,inactive,,-4.018273,-6.734489
CHEMBL1078876,inactive,,-3.93625,-6.798908
CHEMBL1082500,active,,3.419332,-6.457126
CHEMBL1082501,active,,5.329299,-5.008078
CHEMBL1082827,active,,3.768399,-5.480887
CHEMBL1082828,active,,2.750131,-8.616973
CHEMBL1083216,inactive,,-11.566291,-0.974091
CHEMBL1083363,active,,2.99158,-13.63673
CHEMBL1083364,inactive,,3.387883,-11.565337
CHEMBL1083368,active,,2.950604,-11.722759
CHEMBL1083668,active,,-0.715278,8.744164
CHEMBL1083670,active,,19.141613,0.775926
CHEMBL1083831,inactive,,-10.7873,-0.8825
CHEMBL1083832,inactive,,5.266654,-6.03877
CHEMBL1083995,inactive,,-16.333799,0.339155
CHEMBL1084136,inactive,,-8.947846,-7.071343
CHEMBL1084138,inactive,,-13.466025,1.266084
CHEMBL1084144,inactive,,-10.84206,-0.100964
CHEMBL1084145,inactive,,-9.497646,-8.166116
CHEMBL1084274,inactive,,4.268551,-13.090836
CHEMBL1084527,inactive,,2.886783,-11.704951
CHEMBL1084667,inactive,,-7.59882,-6.056075
CHEMBL1084707,active,,3.480858,-13.884379
CHEMBL1084772,active,,3.06049,-13.339271
CHEMBL1085441,inactive,,-10.349014,-2.921735
CHEMBL1085442,inactive,,-10.753865,-3.055821
CHEMBL1085693,inactive,,-10.741146,-2.755448
CHEMBL1085694,inactive,,-10.365957,-2.639625
CHEMBL1085897,inactive,,-9.162615,-3.889223
CHEMBL1085898,inactive,,-9.386983,-3.77036
CHEMBL1085929,inactive,,-10.385715,-3.185898
CHEMBL1086005,active,,3.853097,-12.229074
CHEMBL1086149,inactive,,-10.756285,-2.227115
CHEMBL1086411,inactive,,-9.108022,-6.450916
CHEMBL1086542,active,,5.073243,-6.1883
CHEMBL1089053,inactive,,-9.006558,-6.877282
CHEMBL1089386,inactive,,-10.38094,-2.006686
CHEMBL1089387,inactive,,-11.844188,-0.192479
CHEMBL1089396,inactive,,-12.030195,-0.931628
CHEMBL1089735,inactive,,-4.147092,-6.748924
CHEMBL1090416,inactive,,-8.846862,-5.624262
CHEMBL1090424,inactive,,-8.985766,-7.323348
CHEMBL1090425,inactive,,-9.04524,-7.615347
CHEMBL1091478,inactive,,-8.863433,-5.982486
CHEMBL1091479,inactive,,-8.562961,-5.688196
CHEMBL1091816,inactive,,-9.534675,-6.986999
CHEMBL1092502,inactive,,-10.831678,-2.51392
CHEMBL1093385,inactive,,-9.054437,-5.805655
CHEMBL1093387,inactive,,-10.001417,-6.38491
CHEMBL1094715,inactive,,-8.769143,-6.650791
CHEMBL1095042,inactive,,-9.249376,-5.646917
CHEMBL1095777,active,,-3.48876,-8.477347
CHEMBL11629,inactive,,-6.742166,-1.498288
CHEMBL117405,active,,15.258566,9.976492
CHEMBL1192069,inactive,,-7.06985,-1.243258
CHEMBL11944,inactive,,-6.422445,-1.539986
CHEMBL1204416,inactive,,-9.116673,-5.807891
CHEMBL1214998,inactive,,3.443981,-1.491631
CHEMBL1214999,inactive,,3.924007,-1.678251
CHEMBL1221541,active,,4.426886,20.674786
CHEMBL1221542,active,,4.576174,20.829035
CHEMBL1221587,active,,-23.383324,-9.562481
CHEMBL1221589,active,,-23.900299,-9.112351
CHEMBL1221636,active,,-23.704567,-8.471351
CHEMBL1221682,active,,5.326198,21.265221
CHEMBL1221732,active,,-22.96343,-7.47603
CHEMBL1221734,inactive,,5.320987,20.400877
CHEMBL1221803,active,,-23.211452,-9.989293
CHEMBL1221804,active,,-23.16061,-8.675835
CHEMBL1221861,active,,-23.337666,-10.108743
CHEMBL1221862,active,,-20.545408,-6.477926
CHEMBL123745,active,,-17.873474,7.556297
CHEMBL124584,inactive,,-10.778564,0.374494
CHEMBL125246,inactive,,-9.514551,2.20261
CHEMBL1257204,inactive,,-16.711716,0.119965
CHEMBL1257438,inactive,,-16.74608,-0.070976
CHEMBL1257554,inactive,,-16.642033,0.005789
CHEMBL1257674,inactive,,-6.410107,-4.675171
CHEMBL1257798,inactive,,-17.264505,-0.360589
CHEMBL1258025,active,,-16.380358,-2.632511
CHEMBL1258143,inactive,,-16.846899,-2.328902
CHEMBL1258223,inactive,,14.290936,1.730627
CHEMBL1258260,inactive,,-16.620764,0.448884
CHEMBL1258452,inactive,,15.283107,2.727407
CHEMBL1258485,inactive,,-7.013046,-4.181832
CHEMBL1258486,active,,-6.094527,-4.924011
CHEMBL1258598,inactive,,-6.933352,-4.23295
CHEMBL1258599,active,,-6.028517,-5.083023
CHEMBL1258671,inactive,,14.444651,1.892612
CHEMBL1258706,inactive,,-6.511969,-4.55969
CHEMBL1258707,inactive,,-6.664209,-4.379801
CHEMBL1258825,inactive,,-16.28569,-0.128504
CHEMBL1258940,inactive,,-16.01857,-0.321292
CHEMBL12633,active,,-14.847532,-12.623178
CHEMBL12674,active,,-11.665637,1.915487
CHEMBL12718,active,,-12.662292,2.048349
CHEMBL12762,active,,-14.052287,-11.230237
CHEMBL12939,active,,-16.584379,6.36614
CHEMBL12945,inactive,,-9.456503,2.754093
CHEMBL12994,active,,-14.17717,-11.741281
CHEMBL13102,active,,-14.184397,-11.423667
CHEMBL13132,active,,-19.084431,11.776553
CHEMBL13238,active,,-6.449883,1.984441
CHEMBL140908,active,,13.749424,9.499657
CHEMBL142995,inactive,,-2.152101,-5.129041
CHEMBL143463,active,,4.570233,-13.029502
CHEMBL143865,inactive,,-21.629093,25.737501
CHEMBL162095,inactive,,-4.782138,2.599253
CHEMBL162182,inactive,,-4.948692,2.451256
CHEMBL162513,active,,-4.704551,2.335196
CHEMBL163153,inactive,,-5.007515,2.336912
CHEMBL1632158,inactive,,13.926222,-7.467299
CHEMBL1632174,inactive,,13.758775,-7.242898
CHEMBL163363,inactive,,-2.529264,4.141256
CHEMBL164401,inactive,,-11.457443,3.736209
CHEMBL165015,inactive,,-17.269045,7.64101
CHEMBL166013,inactive,,-15.300462,7.014542
CHEMBL1684577,inactive,,-17.389263,11.196827
CHEMBL1684581,inactive,,-17.791691,10.854569
CHEMBL1684585,inactive,,-7.609938,-8.510357
CHEMBL177442,active,,-19.918808,1.725356
CHEMBL1794855,inactive,,19.723207,9.213766
CHEMBL1800934,inactive,,-15.557284,-10.841971
CHEMBL1800935,inactive,,12.387841,-12.055004
CHEMBL1800936,inactive,,-15.533415,-13.159616
CHEMBL1800960,inactive,,-15.051509,-12.656776
CHEMBL1800961,inactive,,-13.412444,-10.336129
CHEMBL1800962,inactive,,-15.654897,-10.953238
CHEMBL1800963,inactive,,-15.72428,-10.903341
CHEMBL1807817,active,,-23.903692,-4.87553
CHEMBL1807820,active,,-23.706512,-5.350052
CHEMBL1807821,active,,-23.564112,-5.624587
CHEMBL1807822,active,,-23.488527,-5.482623
CHEMBL1807825,active,,-23.884827,-4.861881
CHEMBL1807827,active,,-24.099682,-4.326384
CHEMBL1807829,active,,-23.738575,-4.75014
CHEMBL1807832,active,,-23.811359,-4.526211
CHEMBL1807871,active,,-24.057743,-4.73264
CHEMBL1807872,active,,-23.895239,-4.470638
CHEMBL1807873,active,,-24.258324,-4.444227
CHEMBL1824263,active,,-2.385344,-3.973588
CHEMBL1824264,inactive,,-2.594253,-4.05635
CHEMBL1824266,inactive,,-2.528338,-3.942946
CHEMBL183460,inactive,,-0.150106,-8.577143
CHEMBL186247,active,,-8.163711,6.254934
