,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.227447,-1.218097
CHEMBL102194,active,,-14.46039,6.612275
CHEMBL104076,inactive,,-17.789255,12.049991
CHEMBL104127,inactive,,-6.554579,3.156096
CHEMBL104180,inactive,,-8.687048,3.353193
CHEMBL104222,inactive,,-11.981704,3.523294
CHEMBL104377,inactive,,-6.619612,3.360414
CHEMBL10453,active,,-21.165594,18.539345
CHEMBL104551,inactive,,-9.489526,3.522916
CHEMBL10494,inactive,,-21.36072,18.523178
CHEMBL104981,inactive,,-9.822105,3.672403
CHEMBL105383,inactive,,-23.268026,22.006832
CHEMBL105434,inactive,,-19.535923,19.244711
CHEMBL105968,inactive,,-8.538452,3.481699
CHEMBL107681,inactive,,-10.059816,1.655947
CHEMBL1077199,inactive,,-9.325814,-4.403956
CHEMBL1077238,inactive,,-12.399469,0.846205
CHEMBL1077273,inactive,,-10.119614,-2.586061
CHEMBL1078394,inactive,,-10.633052,-2.889826
CHEMBL1078395,inactive,,-11.295823,-2.749171
CHEMBL1078465,inactive,,-13.655136,0.380011
CHEMBL1078495,inactive,,-11.298786,-0.603301
CHEMBL1078496,inactive,,-11.126644,-3.142891
CHEMBL1078576,inactive,,-11.412844,-2.437338
CHEMBL1078696,inactive,,-4.545171,-7.035039
CHEMBL1078876,inactive,,2.802883,-6.6
CHEMBL1082500,active,,3.5749,-5.933407
CHEMBL1082501,active,,5.171263,-5.562024
CHEMBL1082827,active,,4.405004,-6.3488
CHEMBL1082828,active,,2.252469,-6.793149
CHEMBL1083216,inactive,,-12.068745,-1.203358
CHEMBL1083363,active,,2.992379,-13.530228
CHEMBL1083364,inactive,,3.503797,-11.680832
CHEMBL1083368,active,,2.968349,-11.63611
CHEMBL1083668,active,,-0.610496,8.768439
CHEMBL1083670,active,,19.278601,0.874547
CHEMBL1083831,inactive,,-11.803454,0.002814
CHEMBL1083832,inactive,,5.451096,-4.622485
CHEMBL1083995,inactive,,-16.033817,-0.0619
CHEMBL1084136,inactive,,-8.895422,-7.535283
CHEMBL1084138,inactive,,-11.625341,-2.227683
CHEMBL1084144,inactive,,-10.112721,-0.471978
CHEMBL1084274,inactive,,4.284155,-13.156498
