,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-6.969333,-1.444461
CHEMBL102194,active,,-15.910705,6.4094
CHEMBL104076,inactive,,-15.524618,14.130393
CHEMBL104127,inactive,,-6.384542,3.079189
CHEMBL104180,inactive,,-8.197031,3.151177
CHEMBL104193,active,,-17.015244,12.953835
CHEMBL104222,inactive,,-13.164545,2.719992
CHEMBL104377,inactive,,-6.209629,2.842978
CHEMBL10453,active,,-21.216864,18.475199
CHEMBL104551,inactive,,-8.541002,2.467734
CHEMBL10494,inactive,,-21.166615,18.535204
CHEMBL104981,inactive,,-7.236981,2.049858
CHEMBL105434,inactive,,-19.459938,19.288422
CHEMBL105968,inactive,,-8.507097,3.518698
CHEMBL106487,inactive,,-13.540291,5.288097
CHEMBL107681,inactive,,-10.01381,0.833641
CHEMBL1077199,inactive,,-9.408545,-4.000679
CHEMBL1077273,inactive,,-10.067321,-2.828671
CHEMBL1078394,inactive,,-9.602773,-2.320252
CHEMBL1078395,inactive,,-10.632768,-2.815023
CHEMBL1078465,inactive,,-13.180232,-0.015162
CHEMBL1078495,inactive,,-11.437388,-0.368049
CHEMBL1078576,inactive,,-10.796323,-1.877007
CHEMBL1078696,inactive,,-4.381712,-6.860658
CHEMBL1078749,inactive,,-11.493834,-1.259209
CHEMBL1078876,inactive,,-4.21022,-6.818472
CHEMBL1082500,active,,3.58192,-6.926808
CHEMBL1082501,active,,4.814164,-5.529648
CHEMBL1082827,active,,4.592441,-7.518221
CHEMBL1082828,active,,2.843039,-7.844887
CHEMBL1083363,active,,3.016216,-13.567921
CHEMBL1083364,inactive,,3.692261,-11.365793
CHEMBL1083368,active,,3.062048,-11.851689
CHEMBL1083668,active,,-0.740515,8.72535
CHEMBL1083670,active,,19.260103,0.835216
CHEMBL1083831,inactive,,-12.841397,-0.147644
CHEMBL1083832,inactive,,5.582277,-6.449771
CHEMBL1083995,inactive,,-16.014971,-0.19862
CHEMBL1084136,inactive,,-9.003321,-7.221838
CHEMBL1084144,inactive,,-10.862732,-0.022616
CHEMBL1084145,inactive,,-9.367615,-8.2697
CHEMBL1084274,inactive,,4.263449,-13.047215
CHEMBL1084527,inactive,,3.102868,-11.900377
CHEMBL1084667,inactive,,-7.536026,-6.089246
CHEMBL1084707,active,,3.522827,-13.913727
CHEMBL1084772,active,,2.763461,-13.264854
CHEMBL1085441,inactive,,-10.637885,-3.028075
CHEMBL1085442,inactive,,-10.443844,-2.83939
CHEMBL1085693,inactive,,-10.864059,-1.892135
CHEMBL1085694,inactive,,-10.535162,-2.038622
CHEMBL1085897,inactive,,-9.771663,-3.896657
CHEMBL1085898,inactive,,-9.648433,-4.227507
CHEMBL1085929,inactive,,-10.768191,-2.648717
CHEMBL1086005,active,,3.960152,-12.51086
CHEMBL1086149,inactive,,-10.010442,-1.868433
CHEMBL1086411,inactive,,-9.321478,-6.156625
CHEMBL1086542,active,,4.937008,-5.620653
CHEMBL1088076,inactive,,-12.078202,-1.201478
CHEMBL1089053,inactive,,-8.894444,-7.036769
CHEMBL1089386,inactive,,-10.514173,-2.267519
CHEMBL1089387,inactive,,-9.727892,-1.952582
CHEMBL1089395,inactive,,-11.20967,-1.002072
CHEMBL1089396,inactive,,-11.475936,-0.986907
CHEMBL1089735,inactive,,-4.557572,-6.877416
CHEMBL1090416,inactive,,-8.806206,-5.667375
CHEMBL1090424,inactive,,-8.66788,-7.698539
CHEMBL1091478,inactive,,-8.892475,-5.855248
CHEMBL1091479,inactive,,-8.5729,-5.713918
CHEMBL1091816,inactive,,-9.077106,-7.455484
CHEMBL1092502,inactive,,-10.514776,-2.089962
CHEMBL1093086,inactive,,-9.801212,-6.648782
CHEMBL1093385,inactive,,-9.250079,-5.626779
CHEMBL1093387,inactive,,-9.373548,-6.489727
CHEMBL1094715,inactive,,-9.641609,-5.945909
CHEMBL1095777,active,,-3.52381,-8.53005
CHEMBL117405,active,,15.243164,9.796526
CHEMBL1192069,inactive,,-7.315993,-1.111465
CHEMBL11944,inactive,,-6.820505,-1.408467
CHEMBL1201237,active,,17.104603,7.05817
CHEMBL1204416,inactive,,-9.454915,-5.639307
CHEMBL1221541,active,,4.473537,20.697151
CHEMBL1221636,active,,-23.932192,-8.737295
CHEMBL1221638,active,,-23.035828,-10.262556
CHEMBL1221733,inactive,,-23.119528,-7.608344
CHEMBL1221734,inactive,,5.26926,20.446035
CHEMBL1221803,active,,-23.247425,-9.982215
CHEMBL1221862,active,,-20.56415,-6.543857
CHEMBL123745,active,,-15.862723,6.400192
CHEMBL124584,inactive,,-11.298877,0.365098
CHEMBL125246,inactive,,-9.435894,2.460787
CHEMBL1257204,inactive,,-16.472885,0.045002
CHEMBL1257438,inactive,,-16.814064,0.025111
CHEMBL1257554,inactive,,-15.597503,-1.321597
CHEMBL1257798,inactive,,-17.026846,-0.560405
CHEMBL1258025,active,,-16.368013,-2.807918
CHEMBL1258143,inactive,,-16.874678,-2.24676
CHEMBL1258223,inactive,,14.283799,1.726974
CHEMBL1258260,inactive,,-16.598631,0.316714
CHEMBL1258452,inactive,,14.852285,2.243815
CHEMBL1258485,inactive,,-6.992805,-4.195809
CHEMBL1258486,active,,-6.162613,-4.870993
CHEMBL1258598,inactive,,-6.857242,-4.235979
CHEMBL1258599,active,,-5.981994,-4.982497
CHEMBL1258671,inactive,,14.359505,1.84146
CHEMBL1258706,inactive,,-6.425927,-4.705734
CHEMBL1258707,inactive,,-6.796517,-4.153402
CHEMBL1258825,inactive,,-16.40464,0.355219
CHEMBL1258940,inactive,,-16.099388,0.03884
CHEMBL125963,inactive,,-17.688709,12.25287
CHEMBL12633,active,,-14.390814,-12.153688
CHEMBL12674,active,,-12.636984,1.985687
CHEMBL12718,active,,-10.627287,2.429046
CHEMBL12762,active,,-13.809899,-10.89395
CHEMBL12945,inactive,,-9.21807,2.6845
CHEMBL12994,active,,-14.58003,-11.581209
CHEMBL13102,active,,-14.379045,-11.247153
CHEMBL13238,active,,-14.930981,-11.489208
CHEMBL140908,active,,13.697528,9.4877
CHEMBL142995,inactive,,-2.3621,-5.096259
CHEMBL143463,active,,4.524192,-13.110044
CHEMBL143865,inactive,,-21.646721,25.741056
CHEMBL162095,inactive,,-4.963464,2.532595
CHEMBL162182,inactive,,-4.590383,2.663633
CHEMBL162513,active,,-4.840877,2.526461
CHEMBL163153,inactive,,-4.715137,2.567346
CHEMBL1632158,inactive,,13.951004,-7.452719
CHEMBL1632174,inactive,,13.776276,-7.206693
CHEMBL163363,inactive,,-2.330029,4.105943
CHEMBL164401,inactive,,-11.350801,3.826706
CHEMBL165015,inactive,,-15.906651,7.117924
CHEMBL165462,inactive,,-19.581509,23.898085
CHEMBL165513,inactive,,-17.820932,8.2059
CHEMBL166013,inactive,,-16.741291,8.042826
CHEMBL166188,inactive,,-18.287567,11.74666
CHEMBL1672288,inactive,,-9.703556,-18.116947
CHEMBL1684577,inactive,,-17.56147,10.86799
CHEMBL1684585,inactive,,-8.310699,-7.772698
CHEMBL177442,active,,-19.845518,1.548829
CHEMBL1788270,active,,4.712797,9.162457
CHEMBL1794855,inactive,,19.534189,9.070805
CHEMBL1800935,inactive,,12.444684,-12.142589
CHEMBL1800936,inactive,,-14.600147,-12.640572
CHEMBL1800960,inactive,,-14.604342,-12.664147
CHEMBL1800961,inactive,,-15.751108,-11.102986
CHEMBL1800962,inactive,,-15.79971,-11.11397
CHEMBL1807817,active,,-23.59206,-5.507596
CHEMBL1807820,active,,-23.256523,-6.547959
CHEMBL1807821,active,,-23.48591,-5.673527
CHEMBL1807822,active,,-23.041508,-5.926279
CHEMBL1807825,active,,-24.114868,-3.734277
CHEMBL1807827,active,,-23.737194,-5.1373
CHEMBL1807829,active,,-23.815651,-4.890737
CHEMBL1807832,active,,-23.216698,-4.972104
CHEMBL1807871,active,,-23.720118,-4.966486
CHEMBL1807872,active,,-24.033455,-4.538012
CHEMBL1807873,active,,-24.064787,-4.551039
CHEMBL1824263,active,,-2.353263,-3.995276
CHEMBL1824264,inactive,,-2.759557,-4.118738
CHEMBL1824266,inactive,,-2.922357,-4.101071
CHEMBL183460,inactive,,-0.108248,-8.157622
CHEMBL186247,active,,-8.141459,6.286531
