,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.120796,-1.212275
CHEMBL104076,inactive,,-18.105877,12.177053
CHEMBL104127,inactive,,-6.316372,2.964261
CHEMBL104180,inactive,,-8.485671,3.279891
CHEMBL104193,active,,-17.80024,12.094472
CHEMBL104222,inactive,,-11.849494,3.251624
CHEMBL104377,inactive,,-5.843759,2.386345
CHEMBL10453,active,,-21.242649,18.479801
CHEMBL104551,inactive,,-9.238073,3.745582
CHEMBL10494,inactive,,-21.212578,18.500746
CHEMBL104981,inactive,,-9.957714,3.732555
CHEMBL105434,inactive,,-19.722113,19.236509
CHEMBL105968,inactive,,-8.366954,3.555576
CHEMBL106487,inactive,,-12.963701,4.526022
CHEMBL107681,inactive,,-12.345358,1.392561
CHEMBL1077199,inactive,,-9.668276,-3.916154
CHEMBL1077238,inactive,,-10.011905,-0.147254
CHEMBL1077273,inactive,,-11.06052,-2.777978
CHEMBL1078394,inactive,,-10.159893,-2.399241
CHEMBL1078395,inactive,,-10.830669,-2.908799
CHEMBL1078465,inactive,,-11.932192,-1.250182
CHEMBL1078495,inactive,,-13.105632,0.168467
CHEMBL1078496,inactive,,-11.001293,-2.62029
CHEMBL1078696,inactive,,-4.12144,-6.909036
CHEMBL1078749,inactive,,-13.171183,1.642434
CHEMBL1078876,inactive,,-3.883639,-6.74252
CHEMBL1082500,active,,3.123598,-6.227974
CHEMBL1082501,active,,5.656272,-4.820716
CHEMBL1082827,active,,4.153293,-7.375401
CHEMBL1082828,active,,2.5307,-6.878857
CHEMBL1083216,inactive,,-12.92987,-0.654722
CHEMBL1083363,active,,2.972026,-13.589798
CHEMBL1083364,inactive,,3.416745,-11.433933
CHEMBL1083368,active,,3.00982,-11.670448
CHEMBL1083668,active,,-0.718877,8.766457
CHEMBL1083670,active,,19.236797,0.816876
CHEMBL1083831,inactive,,-11.965916,-0.431551
CHEMBL1083832,inactive,,5.645094,-4.521268
CHEMBL1083995,inactive,,-16.450394,0.338146
CHEMBL1084136,inactive,,-9.390325,-6.423378
CHEMBL1084138,inactive,,-11.385383,-2.193714
CHEMBL1084144,inactive,,-9.942801,-0.498655
CHEMBL1084145,inactive,,-9.788517,-7.437125
CHEMBL1084274,inactive,,4.198132,-13.035448
CHEMBL1084527,inactive,,3.093352,-11.80197
CHEMBL1084667,inactive,,-7.59338,-6.039526
CHEMBL1084707,active,,3.50839,-13.979525
CHEMBL1084772,active,,2.843342,-13.345961
CHEMBL1085441,inactive,,-10.614084,-2.897956
CHEMBL1085442,inactive,,-10.594708,-3.338235
CHEMBL1085693,inactive,,-10.041698,-2.4116
CHEMBL1085694,inactive,,-11.658754,-1.928297
CHEMBL1085897,inactive,,-9.127259,-3.800126
CHEMBL1085898,inactive,,-9.377396,-3.748271
CHEMBL1085929,inactive,,-10.339813,-2.712434
CHEMBL1086005,active,,3.854493,-12.210972
CHEMBL1086411,inactive,,-9.281178,-5.811408
CHEMBL1086542,active,,5.276974,-5.573242
CHEMBL1088076,inactive,,-12.108634,-1.045535
CHEMBL1089053,inactive,,-8.753499,-6.64005
CHEMBL1089386,inactive,,-13.052388,-0.612442
CHEMBL1089387,inactive,,-10.354157,-2.219157
CHEMBL1089395,inactive,,-12.103969,-0.637831
CHEMBL1089396,inactive,,-12.12341,-0.698891
CHEMBL1089735,inactive,,-4.548609,-6.991261
CHEMBL1090416,inactive,,-8.675117,-6.139807
CHEMBL1090424,inactive,,-9.538898,-6.934507
CHEMBL1090425,inactive,,-9.41259,-7.348431
CHEMBL1091478,inactive,,-8.563024,-6.286417
CHEMBL1091479,inactive,,-8.784125,-5.712265
CHEMBL1091816,inactive,,-8.994205,-7.490816
CHEMBL1092502,inactive,,-10.027759,-2.594803
CHEMBL1093086,inactive,,-9.939488,-7.404027
CHEMBL1093385,inactive,,-9.706317,-5.637509
CHEMBL1093387,inactive,,-9.932821,-6.156919
CHEMBL1094715,inactive,,-9.605814,-5.869431
CHEMBL1095042,inactive,,-9.378142,-6.079787
