,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.396169,-0.868417
CHEMBL104127,inactive,,-6.435348,3.065087
CHEMBL104180,inactive,,-8.526569,3.163496
CHEMBL104193,active,,-16.615597,13.538761
CHEMBL104222,inactive,,-12.925942,2.222995
CHEMBL104377,inactive,,-6.235016,2.856855
CHEMBL10453,active,,-21.213312,18.504892
CHEMBL104551,inactive,,-12.677384,2.13775
CHEMBL10494,inactive,,-21.142689,18.533319
CHEMBL104981,inactive,,-9.889612,3.554675
CHEMBL105434,inactive,,-19.578337,19.265219
CHEMBL105968,inactive,,-8.2869,3.308758
CHEMBL106487,inactive,,-12.005611,4.391081
CHEMBL107681,inactive,,-9.683702,1.723419
CHEMBL1077199,inactive,,-9.131654,-3.620183
CHEMBL1077238,inactive,,-10.416345,-0.46893
CHEMBL1077273,inactive,,-9.535453,-2.256398
CHEMBL1078394,inactive,,-9.658491,-2.224922
CHEMBL1078395,inactive,,-11.006152,-3.045215
CHEMBL1078465,inactive,,-12.465014,-0.920957
CHEMBL1078495,inactive,,-11.169786,-0.623014
CHEMBL1078496,inactive,,-9.232367,-1.836372
CHEMBL1078576,inactive,,-9.403292,-2.079309
CHEMBL1078696,inactive,,-4.187571,-6.782503
CHEMBL1078749,inactive,,-12.78517,-0.570563
CHEMBL1078876,inactive,,-3.982887,-6.705871
CHEMBL1082500,active,,3.509707,-7.117016
CHEMBL1082501,active,,4.951023,-5.892971
CHEMBL1082827,active,,3.801405,-5.220901
CHEMBL1082828,active,,2.370115,-7.592466
CHEMBL1083216,inactive,,-12.83928,-0.585942
CHEMBL1083363,active,,3.015215,-13.601849
CHEMBL1083364,inactive,,3.41636,-11.561059
CHEMBL1083368,active,,3.02375,-11.822317
CHEMBL1083668,active,,-0.747093,8.757683
CHEMBL1083670,active,,19.248926,0.823141
CHEMBL1083832,inactive,,5.277646,-6.184294
CHEMBL1083995,inactive,,-16.177431,-0.549937
CHEMBL1084136,inactive,,-9.128239,-6.775882
CHEMBL1084138,inactive,,-12.362935,-1.964471
