,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.187131,-1.340727
CHEMBL104076,inactive,,-17.945768,13.359138
CHEMBL104127,inactive,,-6.184965,2.510474
CHEMBL104193,active,,-15.681706,14.134529
CHEMBL104377,inactive,,-6.100816,2.242207
CHEMBL10453,active,,-21.243288,18.469353
CHEMBL104551,inactive,,-7.767447,3.027406
CHEMBL10494,inactive,,-21.211992,18.485825
CHEMBL104981,inactive,,-9.88682,4.016106
CHEMBL105383,inactive,,-23.197365,22.088158
CHEMBL105434,inactive,,-19.558315,19.296356
CHEMBL105968,inactive,,-8.348104,3.637591
CHEMBL106487,inactive,,-11.392382,3.731572
CHEMBL107681,inactive,,-10.251297,1.053505
CHEMBL1077199,inactive,,-9.084896,-3.775106
CHEMBL1077238,inactive,,-9.358985,-1.180142
CHEMBL1077273,inactive,,-9.179377,-2.127071
CHEMBL1078394,inactive,,-9.730737,-2.270643
CHEMBL1078395,inactive,,-11.234349,-3.205048
CHEMBL1078495,inactive,,-11.11447,0.213724
CHEMBL1078496,inactive,,-10.393381,-1.894906
CHEMBL1078749,inactive,,-13.557737,2.036743
CHEMBL1082500,active,,3.121072,-7.962663
CHEMBL1082501,active,,4.495087,-7.281656
CHEMBL1082827,active,,4.557472,-9.046956
CHEMBL1082828,active,,2.747776,-6.046736
CHEMBL1083363,active,,2.968061,-13.582112
CHEMBL1083364,inactive,,3.354733,-11.749302
CHEMBL1083368,active,,3.095829,-11.938911
CHEMBL1083668,active,,-0.712305,8.753774
CHEMBL1083670,active,,19.254189,0.759298
CHEMBL1083831,inactive,,-12.512001,-0.394923
CHEMBL1083832,inactive,,5.123955,-5.801779
CHEMBL1084136,inactive,,-8.411833,-7.882435
CHEMBL1084144,inactive,,-10.842237,0.716773
CHEMBL1084145,inactive,,-9.376164,-8.672246
CHEMBL1084274,inactive,,4.067707,-12.807995
CHEMBL1084527,inactive,,2.990734,-11.897521
CHEMBL1084667,inactive,,-7.511175,-6.177338
CHEMBL1084707,active,,3.102783,-13.600562
CHEMBL1084772,active,,2.947056,-13.41565
CHEMBL1085441,inactive,,-11.082677,-1.812215
CHEMBL1085442,inactive,,-10.680501,-2.532494
CHEMBL1085694,inactive,,-9.419188,-1.772517
CHEMBL1085897,inactive,,-9.175682,-4.009213
CHEMBL1085898,inactive,,-9.530102,-3.829994
CHEMBL1085929,inactive,,-10.553457,-2.076835
CHEMBL1086005,active,,3.371067,-11.903997
CHEMBL1086411,inactive,,-9.220347,-6.482315
CHEMBL1086542,active,,4.980203,-8.704613
CHEMBL1089386,inactive,,-9.633435,-1.985486
CHEMBL1089387,inactive,,-9.709717,-1.626084
CHEMBL1089735,inactive,,-3.792465,-6.527373
CHEMBL1090425,inactive,,-8.798779,-7.902524
CHEMBL1091478,inactive,,-9.309648,-5.828342
CHEMBL1091479,inactive,,-9.006991,-5.517256
CHEMBL1091816,inactive,,-8.584395,-7.937469
CHEMBL1093086,inactive,,-9.727116,-6.887622
CHEMBL1093385,inactive,,-8.988728,-5.507648
CHEMBL1093387,inactive,,-9.647305,-6.615921
CHEMBL1094715,inactive,,-9.589565,-7.279732
CHEMBL1095042,inactive,,-9.046594,-6.47746
CHEMBL1095777,active,,-3.519411,-8.52615
CHEMBL111201,inactive,,-15.718025,13.383571
CHEMBL115280,inactive,,-0.9396,2.36031
CHEMBL11629,inactive,,-6.912111,-1.337759
CHEMBL117405,active,,14.962219,9.607118
CHEMBL11944,inactive,,-6.365281,-1.652265
CHEMBL1201237,active,,14.599001,8.14613
CHEMBL1204416,inactive,,-9.106462,-5.44417
CHEMBL1214998,inactive,,3.650485,-2.231567
CHEMBL1221543,active,,5.017899,20.380054
CHEMBL1221586,active,,19.972614,-5.571655
CHEMBL1221587,active,,-23.148279,-9.803715
CHEMBL1221590,active,,-23.674728,-8.786511
CHEMBL1221636,active,,-23.364643,-8.605946
CHEMBL1221638,active,,-23.027128,-10.127411
CHEMBL1221683,active,,5.246421,21.189157
CHEMBL1221732,active,,-23.427675,-7.909925
CHEMBL1221734,inactive,,5.317815,20.587143
CHEMBL1221803,active,,-23.009785,-9.919516
CHEMBL1221804,active,,-22.658699,-8.361618
CHEMBL1221861,active,,-23.366879,-10.142913
CHEMBL1221862,active,,5.787283,21.193621
CHEMBL124584,inactive,,-10.824744,0.436652
CHEMBL1257438,inactive,,-16.610435,-0.006895
CHEMBL1257554,inactive,,-16.612827,-0.030731
CHEMBL1257674,inactive,,-6.444448,-4.589704
CHEMBL1257798,inactive,,-16.895281,-1.191699
CHEMBL1258025,active,,-16.510372,-2.574924
CHEMBL1258143,inactive,,-16.843493,-2.195528
CHEMBL1258223,inactive,,14.27766,1.712155
CHEMBL1258452,inactive,,14.648451,2.065261
CHEMBL1258485,inactive,,-7.104965,-4.105999
CHEMBL1258486,active,,-6.042895,-5.095693
CHEMBL1258598,inactive,,-6.73485,-4.373705
CHEMBL1258599,active,,-5.877997,-5.012184
CHEMBL1258671,inactive,,14.428185,1.847175
CHEMBL1258706,inactive,,-6.470514,-4.6003
CHEMBL1258707,inactive,,-6.699675,-4.385416
CHEMBL1258825,inactive,,-16.474873,0.50948
CHEMBL1258940,inactive,,-16.425148,0.367059
CHEMBL125963,inactive,,-15.404682,13.736794
CHEMBL12633,active,,-15.3543,-12.462546
CHEMBL12674,active,,-10.734829,1.756756
CHEMBL12762,active,,-13.734365,-10.941335
CHEMBL12945,inactive,,-9.257479,2.557765
CHEMBL12994,active,,-13.972685,-11.073259
CHEMBL13102,active,,-13.033282,-10.485605
CHEMBL13238,active,,-6.143751,2.490168
CHEMBL140908,active,,13.730779,9.502224
CHEMBL142995,inactive,,-2.372135,-5.090009
CHEMBL143865,inactive,,-21.631676,25.742767
CHEMBL162095,inactive,,-5.092128,2.349644
CHEMBL162182,inactive,,-4.664209,2.657098
CHEMBL162513,active,,-4.780469,2.366871
CHEMBL163153,inactive,,-4.881518,2.432669
CHEMBL1632158,inactive,,13.977102,-7.353599
CHEMBL1632174,inactive,,13.754399,-7.209381
CHEMBL163363,inactive,,-2.620189,3.987485
CHEMBL165513,inactive,,-15.734519,6.754321
CHEMBL1684577,inactive,,-16.234064,11.553675
CHEMBL1684581,inactive,,-16.378544,11.415388
CHEMBL1788270,active,,4.604124,9.312934
