,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.322482,-0.841407
CHEMBL102194,active,,-17.413589,7.340762
CHEMBL104127,inactive,,-6.528814,3.298744
CHEMBL104180,inactive,,-8.317357,3.266986
CHEMBL104222,inactive,,-11.462942,3.638434
CHEMBL104377,inactive,,-5.761999,2.378525
CHEMBL10453,active,,-21.282482,18.448076
CHEMBL104551,inactive,,-10.253029,3.247412
CHEMBL10494,inactive,,-21.254318,18.455967
CHEMBL104981,inactive,,-9.96664,3.707959
CHEMBL105383,inactive,,-23.228603,22.057407
CHEMBL105434,inactive,,-19.427435,19.26111
CHEMBL105968,inactive,,-8.404163,3.630329
CHEMBL106487,inactive,,-12.247691,2.937561
CHEMBL107681,inactive,,-10.194439,1.841034
CHEMBL1077199,inactive,,-9.372395,-3.791187
CHEMBL1077238,inactive,,-9.506888,-0.887592
CHEMBL1077273,inactive,,-9.876958,-2.184291
CHEMBL1078394,inactive,,-9.910092,-2.386649
CHEMBL1078395,inactive,,-9.963217,-2.426225
CHEMBL1078465,inactive,,-12.520953,-0.950655
CHEMBL1078495,inactive,,-12.816226,0.438139
CHEMBL1078496,inactive,,-10.761373,-1.870832
CHEMBL1078576,inactive,,-10.52933,-2.195033
CHEMBL1078696,inactive,,-4.724003,-7.025525
CHEMBL1078749,inactive,,-11.901475,-1.191736
CHEMBL1078876,inactive,,-4.484703,-7.057023
CHEMBL1082500,active,,2.809054,-6.98322
CHEMBL1082501,active,,4.847524,-6.448815
CHEMBL1082827,active,,4.155674,-6.163805
CHEMBL1082828,active,,1.916195,-6.456053
CHEMBL1083216,inactive,,-12.466996,-1.01573
CHEMBL1083363,active,,2.91387,-13.610951
CHEMBL1083364,inactive,,3.460731,-11.723619
CHEMBL1083368,active,,3.054357,-11.807522
CHEMBL1083668,active,,-0.719585,8.782574
CHEMBL1083670,active,,19.332706,0.860462
CHEMBL1083831,inactive,,-11.301172,0.316505
CHEMBL1083832,inactive,,5.495288,-5.210771
CHEMBL1083995,inactive,,-15.557648,-1.150471
CHEMBL1084136,inactive,,-8.902905,-7.103951
CHEMBL1084138,inactive,,-10.33546,-1.629604
CHEMBL1084144,inactive,,-10.774895,0.063973
CHEMBL1084145,inactive,,-9.25716,-8.572953
CHEMBL1084274,inactive,,4.293866,-13.119171
CHEMBL1084527,inactive,,3.024652,-11.777948
CHEMBL1084667,inactive,,-7.673142,-5.906207
CHEMBL1084707,active,,3.585639,-13.906952
CHEMBL1084772,active,,2.871668,-13.288972
CHEMBL1085441,inactive,,-9.631029,-2.231866
CHEMBL1085442,inactive,,-9.932648,-2.314811
CHEMBL1085693,inactive,,-10.658276,-1.919557
CHEMBL1085694,inactive,,-10.744736,-2.339792
CHEMBL1085897,inactive,,-9.239132,-3.963061
CHEMBL1085898,inactive,,-9.274977,-3.737787
CHEMBL1085929,inactive,,-10.665365,-2.567209
CHEMBL1086005,active,,3.815596,-12.196673
CHEMBL1086411,inactive,,-9.295964,-6.525635
CHEMBL1086542,active,,5.347643,-5.100982
CHEMBL1088076,inactive,,-12.516933,-0.980394
CHEMBL1089053,inactive,,-8.812349,-7.968861
CHEMBL1089386,inactive,,-10.801738,-2.26235
CHEMBL1089387,inactive,,-9.755643,-1.784924
CHEMBL1089395,inactive,,-10.969215,-1.110225
CHEMBL1089396,inactive,,-11.294322,-1.064982
CHEMBL1089735,inactive,,-4.709747,-6.937212
CHEMBL1090416,inactive,,-9.652925,-5.920457
CHEMBL1090424,inactive,,-8.634394,-7.773091
CHEMBL1090425,inactive,,-8.940847,-7.678508
CHEMBL1091478,inactive,,-8.921714,-5.635344
CHEMBL1091479,inactive,,-8.642209,-5.616697
CHEMBL1091816,inactive,,-9.003267,-7.440268
CHEMBL1092502,inactive,,-10.16935,-2.822733
CHEMBL1093086,inactive,,-9.515121,-6.731557
CHEMBL1093385,inactive,,-9.145921,-5.691563
CHEMBL1093387,inactive,,-9.572146,-6.392972
CHEMBL1094715,inactive,,-9.460831,-5.832592
CHEMBL1095042,inactive,,-8.93735,-5.854577
CHEMBL1095777,active,,-3.477432,-8.514548
CHEMBL11629,inactive,,-6.695574,-1.501151
CHEMBL117405,active,,15.478487,10.376262
CHEMBL1192069,inactive,,-7.046025,-1.275069
CHEMBL11944,inactive,,-6.50232,-1.654047
CHEMBL1204416,inactive,,-9.177324,-5.897226
CHEMBL1214999,inactive,,3.923898,-1.706193
CHEMBL1215,inactive,,-23.038973,21.993958
CHEMBL1221541,active,,4.596684,20.911325
CHEMBL1221543,active,,4.956275,20.379662
CHEMBL1221587,active,,-23.317776,-9.627557
CHEMBL1221589,active,,-23.460604,-9.540986
CHEMBL1221590,active,,-23.680979,-9.222624
CHEMBL1221636,active,,-23.638546,-8.893885
CHEMBL1221637,active,,-23.107834,-10.168254
CHEMBL1221638,active,,-23.015114,-10.201405
CHEMBL1221679,active,,4.286651,20.732941
CHEMBL1221680,active,,-23.110893,-7.550762
CHEMBL1221732,active,,-23.841293,-8.708879
CHEMBL1221804,active,,-23.517855,-8.918095
CHEMBL1221861,active,,-23.327957,-10.105993
CHEMBL1221862,active,,-20.591982,-6.542695
CHEMBL124584,inactive,,-11.266279,0.693415
CHEMBL124929,active,,-15.857057,6.420274
CHEMBL125246,inactive,,-9.178821,2.117465
CHEMBL1257204,inactive,,-16.626194,0.102102
CHEMBL1257438,inactive,,-16.078617,-0.838473
CHEMBL1257554,inactive,,-16.372561,-0.54314
CHEMBL1257674,inactive,,-6.383849,-4.723453
