,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-6.905673,-1.403517
CHEMBL104076,inactive,,-18.961996,11.655841
CHEMBL104127,inactive,,-6.255985,2.854893
CHEMBL104180,inactive,,-8.328937,3.121663
CHEMBL104193,active,,-15.875723,13.967122
CHEMBL104222,inactive,,-11.667024,2.547312
CHEMBL104377,inactive,,-6.151645,2.653261
CHEMBL10453,active,,-21.275869,18.456377
CHEMBL104551,inactive,,-12.386378,1.645443
CHEMBL10494,inactive,,-21.159678,18.531702
CHEMBL104981,inactive,,-9.847204,3.819683
CHEMBL105968,inactive,,-8.422399,3.582408
CHEMBL106487,inactive,,-11.821956,4.141443
CHEMBL107681,inactive,,-11.256919,1.387702
CHEMBL1077199,inactive,,-9.750288,-4.228546
CHEMBL1077238,inactive,,-10.094848,-0.008753
CHEMBL1077273,inactive,,-9.535082,-4.863824
CHEMBL1078394,inactive,,-10.003006,-2.317652
CHEMBL1078395,inactive,,-11.101511,-3.140411
CHEMBL1078465,inactive,,-12.444362,-0.631237
CHEMBL1078495,inactive,,-12.093133,-0.585265
CHEMBL1078496,inactive,,-11.205986,-2.755923
CHEMBL1078576,inactive,,-12.490592,-1.720021
CHEMBL1078696,inactive,,2.774671,-6.948706
CHEMBL1078749,inactive,,-11.789289,-1.292567
CHEMBL1078876,inactive,,-3.565012,-6.781984
CHEMBL1082500,active,,3.704235,-8.703474
CHEMBL1082501,active,,4.562419,-7.7491
CHEMBL1082827,active,,4.550439,-8.52461
CHEMBL1082828,active,,2.547772,-8.65792
CHEMBL1083363,active,,2.960525,-13.572052
CHEMBL1083364,inactive,,3.432461,-11.627762
CHEMBL1083368,active,,3.032913,-11.746987
CHEMBL1083668,active,,-0.774718,8.761926
CHEMBL1083670,active,,19.164223,0.8187
CHEMBL1083831,inactive,,-14.016402,1.360318
CHEMBL1083832,inactive,,5.420691,-4.996724
CHEMBL1083995,inactive,,-16.047482,0.281681
CHEMBL1084136,inactive,,-8.490126,-7.770179
CHEMBL1084138,inactive,,-11.321343,-2.363807
CHEMBL1084144,inactive,,-10.69473,0.074771
CHEMBL1084145,inactive,,-9.452054,-8.630612
CHEMBL1084274,inactive,,4.314944,-13.106771
CHEMBL1084527,inactive,,3.104019,-11.937847
CHEMBL1084667,inactive,,-7.612625,-6.064924
CHEMBL1084707,active,,3.544071,-13.97304
CHEMBL1084772,active,,2.952193,-13.284565
CHEMBL1085442,inactive,,-9.763662,-2.353194
CHEMBL1085693,inactive,,-9.776925,-2.12289
CHEMBL1085694,inactive,,-11.470445,-2.250683
CHEMBL1085897,inactive,,-9.817471,-4.000409
CHEMBL1085898,inactive,,-9.661273,-3.779942
CHEMBL1085929,inactive,,-10.736377,-2.516614
CHEMBL1086005,active,,4.04517,-12.522614
CHEMBL1086149,inactive,,-11.215336,-2.137402
CHEMBL1086411,inactive,,-9.400917,-6.034473
CHEMBL1086542,active,,4.471733,-7.763773
CHEMBL1088076,inactive,,-12.908113,-0.574564
CHEMBL1089053,inactive,,-9.301744,-6.882509
CHEMBL1089386,inactive,,-11.929271,-2.173343
CHEMBL1089387,inactive,,-12.121675,-1.945778
CHEMBL1089395,inactive,,-11.918983,-0.667118
CHEMBL1089396,inactive,,-11.427338,-0.65242
CHEMBL1089735,inactive,,-3.918479,-6.722824
CHEMBL1090416,inactive,,-8.837664,-6.040655
CHEMBL1090424,inactive,,-8.75256,-7.479214
CHEMBL1090425,inactive,,-8.999957,-7.844702
CHEMBL1091478,inactive,,-8.844769,-5.905406
CHEMBL1091479,inactive,,-9.433339,-5.761806
CHEMBL1091816,inactive,,-9.07907,-7.456325
CHEMBL1092502,inactive,,-10.423256,-2.320344
CHEMBL1093086,inactive,,-9.757603,-6.473435
CHEMBL1093385,inactive,,-9.671714,-5.783772
CHEMBL1093387,inactive,,-9.698113,-6.868492
CHEMBL1094715,inactive,,-9.357088,-5.938825
CHEMBL1095042,inactive,,-9.631624,-6.097084
CHEMBL111201,inactive,,-17.638607,12.465459
CHEMBL115280,inactive,,-1.033477,2.31471
CHEMBL11629,inactive,,-6.411365,-1.824276
CHEMBL117405,active,,15.014122,9.659653
CHEMBL1192069,inactive,,-5.863309,-2.419224
CHEMBL11944,inactive,,-6.525623,-1.666424
CHEMBL1201237,active,,16.899643,7.062554
CHEMBL1204416,inactive,,-9.80518,-5.841528
CHEMBL1214999,inactive,,3.807575,-1.637775
CHEMBL1221541,active,,4.513193,20.852922
CHEMBL1221587,active,,-23.288826,-9.699532
CHEMBL1221589,active,,-23.402721,-9.444026
CHEMBL1221590,active,,-23.888081,-9.095342
CHEMBL1221636,active,,-23.616514,-8.520738
CHEMBL1221680,active,,-22.941408,-7.52331
CHEMBL1221682,active,,5.253975,21.205332
CHEMBL1221683,active,,5.33362,21.267467
CHEMBL1221733,inactive,,-23.01339,-7.47184
CHEMBL1221734,inactive,,5.40061,20.779686
CHEMBL1221803,active,,-23.206732,-9.942657
CHEMBL1221804,active,,-23.260223,-8.683037
CHEMBL1221861,active,,-23.207861,-10.075367
CHEMBL1221862,active,,-20.564697,-6.51973
CHEMBL124584,inactive,,-11.571307,0.600212
CHEMBL124929,active,,-17.741539,7.532802
CHEMBL125246,inactive,,-9.290851,2.18876
CHEMBL1257204,inactive,,-18.978243,2.934547
CHEMBL1257438,inactive,,-16.860331,0.172829
CHEMBL1257554,inactive,,-16.641317,0.270441
CHEMBL1257674,inactive,,-6.540857,-4.637526
CHEMBL1257798,inactive,,-17.321493,-0.017695
CHEMBL1258025,active,,-16.526733,-2.470539
CHEMBL1258143,inactive,,-16.941715,-2.08422
CHEMBL1258223,inactive,,14.362661,1.786665
CHEMBL1258260,inactive,,-16.539164,0.486551
CHEMBL1258452,inactive,,14.690856,2.121711
CHEMBL1258485,inactive,,-7.098137,-4.117693
CHEMBL1258486,active,,-6.031669,-4.960534
CHEMBL1258598,inactive,,-6.851306,-4.141485
CHEMBL1258599,active,,-5.951531,-4.995519
CHEMBL1258671,inactive,,14.448456,1.900647
CHEMBL1258706,inactive,,-6.634253,-4.453773
CHEMBL1258707,inactive,,-6.744839,-4.338795
CHEMBL1258825,inactive,,-16.428045,0.411299
CHEMBL1258940,inactive,,-16.031687,0.011885
CHEMBL125963,inactive,,-16.406004,12.949234
CHEMBL12633,active,,-13.615835,-11.572734
CHEMBL12674,active,,-12.444636,1.664773
CHEMBL12718,active,,-12.966034,1.597297
CHEMBL12762,active,,-13.976032,-11.32577
CHEMBL12945,inactive,,-9.497884,2.846556
CHEMBL12994,active,,-13.813565,-12.041091
