,activity,extra_tooltip,x,y
CHEMBL100624,inactive,,-7.110126,-1.254101
CHEMBL100624,inactive,,-7.315859,-0.952015
CHEMBL100624,inactive,,-6.952244,-1.300701
CHEMBL100624,inactive,,-7.027857,-1.3459
CHEMBL100624,inactive,,-7.046611,-1.109264
CHEMBL100624,inactive,,-6.881125,-1.455431
CHEMBL100624,inactive,,-7.019277,-1.221575
CHEMBL100624,inactive,,-7.12917,-1.197629
CHEMBL100624,inactive,,-7.227447,-1.218097
CHEMBL100624,inactive,,-6.969333,-1.444461
CHEMBL100624,inactive,,-7.120796,-1.212275
CHEMBL100624,inactive,,-7.396169,-0.868417
CHEMBL100624,inactive,,-7.187131,-1.340727
CHEMBL100624,inactive,,-7.322482,-0.841407
CHEMBL100624,inactive,,-6.905673,-1.403517
CHEMBL102194,active,,-16.692657,7.031653
CHEMBL102194,active,,-14.503745,6.55795
CHEMBL102194,active,,-15.718514,6.371914
CHEMBL102194,active,,-14.937938,6.428133
CHEMBL102194,active,,-17.1474,6.984764
CHEMBL102194,active,,-14.46039,6.612275
CHEMBL102194,active,,-15.910705,6.4094
CHEMBL102194,active,,-17.413589,7.340762
CHEMBL104,inactive,,9.712948,31.771364
CHEMBL104076,inactive,,-18.766788,11.463982
CHEMBL104076,inactive,,-15.994567,13.459103
CHEMBL104076,inactive,,-18.715977,11.505263
CHEMBL104076,inactive,,-18.913622,11.284849
CHEMBL104076,inactive,,-16.431789,13.881992
CHEMBL104076,inactive,,-18.571991,11.773441
CHEMBL104076,inactive,,-17.9086,13.288434
CHEMBL104076,inactive,,-16.26597,14.125384
CHEMBL104076,inactive,,-17.789255,12.049991
CHEMBL104076,inactive,,-15.524618,14.130393
CHEMBL104076,inactive,,-18.105877,12.177053
CHEMBL104076,inactive,,-17.945768,13.359138
CHEMBL104076,inactive,,-18.961996,11.655841
CHEMBL104127,inactive,,-6.548282,3.214288
CHEMBL104127,inactive,,-6.270583,2.935076
CHEMBL104127,inactive,,-6.386695,2.993545
CHEMBL104127,inactive,,-6.40752,3.105778
CHEMBL104127,inactive,,-6.567797,3.196794
CHEMBL104127,inactive,,-6.259501,2.865992
CHEMBL104127,inactive,,-6.132466,2.728647
CHEMBL104127,inactive,,-6.108169,2.654863
CHEMBL104127,inactive,,-6.463545,3.066575
CHEMBL104127,inactive,,-6.044421,2.816809
CHEMBL104127,inactive,,-6.554579,3.156096
CHEMBL104127,inactive,,-6.384542,3.079189
CHEMBL104127,inactive,,-6.316372,2.964261
CHEMBL104127,inactive,,-6.435348,3.065087
CHEMBL104127,inactive,,-6.184965,2.510474
CHEMBL104127,inactive,,-6.528814,3.298744
CHEMBL104127,inactive,,-6.255985,2.854893
CHEMBL104180,inactive,,-8.729351,3.364388
CHEMBL104180,inactive,,-8.624129,3.203921
CHEMBL104180,inactive,,-8.261799,3.076561
CHEMBL104180,inactive,,-7.977483,3.027122
CHEMBL104180,inactive,,-8.31459,3.436338
CHEMBL104180,inactive,,-8.372576,3.455931
CHEMBL104180,inactive,,-8.294371,3.108402
CHEMBL104180,inactive,,-8.40132,3.073499
CHEMBL104180,inactive,,-8.999985,3.064305
CHEMBL104180,inactive,,-8.436416,3.329808
CHEMBL104180,inactive,,-8.687048,3.353193
CHEMBL104180,inactive,,-8.197031,3.151177
CHEMBL104180,inactive,,-8.485671,3.279891
CHEMBL104180,inactive,,-8.526569,3.163496
CHEMBL104180,inactive,,-8.317357,3.266986
CHEMBL104180,inactive,,-8.328937,3.121663
CHEMBL104193,active,,-16.276741,13.385991
CHEMBL104193,active,,-18.837145,11.234147
CHEMBL104193,active,,-18.705732,11.633348
CHEMBL104193,active,,-18.405176,12.021367
CHEMBL104193,active,,-18.76683,11.147775
CHEMBL104193,active,,-18.504007,11.946841
CHEMBL104193,active,,-17.015244,12.953835
CHEMBL104193,active,,-17.80024,12.094472
CHEMBL104193,active,,-16.615597,13.538761
CHEMBL104193,active,,-15.681706,14.134529
CHEMBL104193,active,,-15.875723,13.967122
CHEMBL104222,inactive,,-11.344391,3.682722
CHEMBL104222,inactive,,-12.282873,3.026492
CHEMBL104222,inactive,,-11.136342,3.841907
CHEMBL104222,inactive,,-11.648972,3.873268
CHEMBL104222,inactive,,-12.022353,2.464602
CHEMBL104222,inactive,,-11.747136,3.845003
CHEMBL104222,inactive,,-13.070195,2.447084
CHEMBL104222,inactive,,-11.981704,3.523294
CHEMBL104222,inactive,,-13.164545,2.719992
CHEMBL104222,inactive,,-11.849494,3.251624
CHEMBL104222,inactive,,-12.925942,2.222995
CHEMBL104222,inactive,,-11.462942,3.638434
CHEMBL104222,inactive,,-11.667024,2.547312
CHEMBL104377,inactive,,-6.192148,2.816094
CHEMBL104377,inactive,,-6.367034,2.979802
CHEMBL104377,inactive,,-6.386011,3.040377
CHEMBL104377,inactive,,-6.294426,2.915643
CHEMBL104377,inactive,,-6.198721,2.850249
CHEMBL104377,inactive,,-6.484612,3.286453
CHEMBL104377,inactive,,-6.34459,2.912129
CHEMBL104377,inactive,,-6.290758,2.563118
CHEMBL104377,inactive,,-6.557206,3.296772
CHEMBL104377,inactive,,-6.132812,2.498898
CHEMBL104377,inactive,,-6.619612,3.360414
CHEMBL104377,inactive,,-6.209629,2.842978
CHEMBL104377,inactive,,-5.843759,2.386345
CHEMBL104377,inactive,,-6.235016,2.856855
CHEMBL104377,inactive,,-6.100816,2.242207
CHEMBL104377,inactive,,-5.761999,2.378525
CHEMBL104377,inactive,,-6.151645,2.653261
CHEMBL10453,active,,-21.341497,18.502895
CHEMBL10453,active,,-21.300253,18.460718
CHEMBL10453,active,,-21.329344,18.425283
CHEMBL10453,active,,-21.365749,18.382381
CHEMBL10453,active,,-21.158306,18.484686
CHEMBL10453,active,,-21.142649,18.559509
CHEMBL10453,active,,-21.241043,18.535658
CHEMBL10453,active,,-21.176233,18.528999
CHEMBL10453,active,,-21.215015,18.442764
CHEMBL10453,active,,-21.233715,18.488497
CHEMBL10453,active,,-21.165594,18.539345
CHEMBL10453,active,,-21.216864,18.475199
CHEMBL10453,active,,-21.242649,18.479801
CHEMBL10453,active,,-21.213312,18.504892
CHEMBL10453,active,,-21.243288,18.469353
CHEMBL10453,active,,-21.282482,18.448076
CHEMBL10453,active,,-21.275869,18.456377
CHEMBL104551,inactive,,-9.156636,3.178305
CHEMBL104551,inactive,,-9.656633,3.520212
CHEMBL104551,inactive,,-12.707401,1.938894
CHEMBL104551,inactive,,-11.391173,3.625683
CHEMBL104551,inactive,,-9.545259,3.502746
CHEMBL104551,inactive,,-12.438626,3.149402
CHEMBL104551,inactive,,-10.563072,3.490984
CHEMBL104551,inactive,,-12.717931,2.232731
CHEMBL104551,inactive,,-10.689322,3.489073
CHEMBL104551,inactive,,-9.489526,3.522916
CHEMBL104551,inactive,,-8.541002,2.467734
CHEMBL104551,inactive,,-9.238073,3.745582
CHEMBL104551,inactive,,-12.677384,2.13775
CHEMBL104551,inactive,,-7.767447,3.027406
CHEMBL104551,inactive,,-10.253029,3.247412
CHEMBL104551,inactive,,-12.386378,1.645443
CHEMBL10494,inactive,,-21.273798,18.373337
CHEMBL10494,inactive,,-21.302708,18.458349
CHEMBL10494,inactive,,-21.404074,18.336824
CHEMBL10494,inactive,,-21.280306,18.431118
CHEMBL10494,inactive,,-21.311995,18.455109
CHEMBL10494,inactive,,-21.304783,18.424271
CHEMBL10494,inactive,,-21.298088,18.442652
CHEMBL10494,inactive,,-21.231287,18.470133
CHEMBL10494,inactive,,-21.29438,18.463623
CHEMBL10494,inactive,,-21.301077,18.473061
CHEMBL10494,inactive,,-21.36072,18.523178
CHEMBL10494,inactive,,-21.166615,18.535204
CHEMBL10494,inactive,,-21.212578,18.500746
CHEMBL10494,inactive,,-21.142689,18.533319
CHEMBL10494,inactive,,-21.211992,18.485825
CHEMBL10494,inactive,,-21.254318,18.455967
CHEMBL10494,inactive,,-21.159678,18.531702
CHEMBL104981,inactive,,-10.963332,3.389645
CHEMBL104981,inactive,,-8.421647,2.891659
CHEMBL104981,inactive,,-9.713449,3.687539
CHEMBL104981,inactive,,-10.567822,3.587937
CHEMBL104981,inactive,,-9.867062,3.805512
CHEMBL104981,inactive,,-10.477602,3.871457
CHEMBL104981,inactive,,-9.846205,3.729386
CHEMBL104981,inactive,,-10.466471,4.017051
CHEMBL104981,inactive,,-10.373466,3.649175
CHEMBL104981,inactive,,-9.822105,3.672403
CHEMBL104981,inactive,,-7.236981,2.049858
CHEMBL104981,inactive,,-9.957714,3.732555
CHEMBL104981,inactive,,-9.889612,3.554675
CHEMBL104981,inactive,,-9.88682,4.016106
CHEMBL104981,inactive,,-9.96664,3.707959
CHEMBL104981,inactive,,-9.847204,3.819683
CHEMBL105383,inactive,,-23.358831,21.918194
CHEMBL105383,inactive,,-23.271263,22.011339
CHEMBL105383,inactive,,-23.246723,22.026886
CHEMBL105383,inactive,,-23.509491,21.74164
CHEMBL105383,inactive,,-23.268026,22.006832
CHEMBL105383,inactive,,-23.197365,22.088158
CHEMBL105383,inactive,,-23.228603,22.057407
CHEMBL105434,inactive,,-19.431801,19.170708
CHEMBL105434,inactive,,-19.401573,19.32736
CHEMBL105434,inactive,,-19.280666,19.414877
CHEMBL105434,inactive,,-19.639969,19.196566
CHEMBL105434,inactive,,-19.413517,19.347498
CHEMBL105434,inactive,,-19.494865,19.234121
CHEMBL105434,inactive,,-19.476042,19.344889
CHEMBL105434,inactive,,-19.444572,19.270107
CHEMBL105434,inactive,,-19.419098,19.30612
CHEMBL105434,inactive,,-19.535923,19.244711
CHEMBL105434,inactive,,-19.459938,19.288422
CHEMBL105434,inactive,,-19.722113,19.236509
CHEMBL105434,inactive,,-19.578337,19.265219
CHEMBL105434,inactive,,-19.558315,19.296356
CHEMBL105434,inactive,,-19.427435,19.26111
CHEMBL105968,inactive,,-8.518527,3.488784
CHEMBL105968,inactive,,-8.362927,3.50685
CHEMBL105968,inactive,,-8.578886,3.58828
CHEMBL105968,inactive,,-8.677635,3.507581
CHEMBL105968,inactive,,-8.875093,3.515137
CHEMBL105968,inactive,,-8.588138,3.621659
CHEMBL105968,inactive,,-8.396701,3.498324
CHEMBL105968,inactive,,-8.454728,3.585076
CHEMBL105968,inactive,,-8.420519,3.582422
CHEMBL105968,inactive,,-8.538452,3.481699
CHEMBL105968,inactive,,-8.507097,3.518698
CHEMBL105968,inactive,,-8.366954,3.555576
CHEMBL105968,inactive,,-8.2869,3.308758
CHEMBL105968,inactive,,-8.348104,3.637591
CHEMBL105968,inactive,,-8.404163,3.630329
CHEMBL105968,inactive,,-8.422399,3.582408
CHEMBL106487,inactive,,-16.435852,8.152118
CHEMBL106487,inactive,,-12.626661,4.380277
CHEMBL106487,inactive,,-10.453745,3.822162
CHEMBL106487,inactive,,-13.52747,4.175249
CHEMBL106487,inactive,,-13.823977,5.618536
CHEMBL106487,inactive,,-13.41916,3.059524
CHEMBL106487,inactive,,-10.984879,3.419174
CHEMBL106487,inactive,,-13.272264,4.993185
CHEMBL106487,inactive,,-13.540291,5.288097
CHEMBL106487,inactive,,-12.963701,4.526022
CHEMBL106487,inactive,,-12.005611,4.391081
CHEMBL106487,inactive,,-11.392382,3.731572
CHEMBL106487,inactive,,-12.247691,2.937561
CHEMBL106487,inactive,,-11.821956,4.141443
CHEMBL107681,inactive,,-9.964222,1.736391
CHEMBL107681,inactive,,-10.136649,1.562103
CHEMBL107681,inactive,,-10.210854,1.530092
CHEMBL107681,inactive,,-10.13628,1.456184
CHEMBL107681,inactive,,-10.057858,2.312558
CHEMBL107681,inactive,,-9.97306,1.638479
CHEMBL107681,inactive,,-9.778179,1.769284
CHEMBL107681,inactive,,-10.337521,1.573099
CHEMBL107681,inactive,,-10.045017,1.907059
CHEMBL107681,inactive,,-11.126749,0.739253
