,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-12.165312,3.538452
CHEMBL104127,inactive,,-6.274712,2.927014
CHEMBL104180,inactive,,-8.643271,3.200857
CHEMBL104222,inactive,,-12.601952,3.412625
CHEMBL104377,inactive,,-6.495352,3.201328
CHEMBL104551,inactive,,-10.072596,3.090281
CHEMBL104981,inactive,,-10.460485,3.91104
CHEMBL105968,inactive,,-8.455443,3.525809
CHEMBL106487,inactive,,-12.132423,3.764051
CHEMBL106746,inactive,,-10.820265,2.892735
CHEMBL1077199,inactive,,-9.892696,-4.237154
CHEMBL1077238,inactive,,-9.271525,-1.050088
CHEMBL1078394,inactive,,-9.891483,-2.267075
CHEMBL1078395,inactive,,-9.983497,-2.151259
CHEMBL1078495,inactive,,-12.056731,-0.739896
CHEMBL1078575,inactive,,-11.284087,-1.096077
CHEMBL1078696,inactive,,-4.266973,-6.969995
CHEMBL1078876,inactive,,-4.224038,-6.884781
CHEMBL1082500,active,,4.776047,-5.411117
CHEMBL1082501,active,,5.306252,-4.771237
CHEMBL1082723,inactive,,-9.932235,-18.311869
CHEMBL1082827,active,,4.187066,-7.373022
CHEMBL1082828,active,,2.641287,-7.675826
CHEMBL1083053,active,,4.188059,-12.322103
CHEMBL1083216,inactive,,-12.047419,-1.124274
CHEMBL1083363,active,,2.954808,-13.597928
CHEMBL1083364,active,,3.551605,-11.560792
CHEMBL1083366,active,,4.210314,-13.024899
CHEMBL1083666,active,,4.424749,-12.960534
CHEMBL1083667,active,,-0.818431,8.732468
CHEMBL1083668,active,,-0.758148,8.822774
CHEMBL1083669,active,,19.319176,0.911371
CHEMBL1083670,active,,19.192327,0.799058
CHEMBL1083831,inactive,,-11.014235,-0.834662
CHEMBL1083832,inactive,,5.636595,-5.864233
CHEMBL1083994,active,,4.420455,-12.197325
CHEMBL1084136,inactive,,-9.878631,-6.289667
CHEMBL1084144,inactive,,-10.627885,0.246576
CHEMBL1084145,inactive,,-9.307645,-8.68844
CHEMBL1084274,inactive,,4.319433,-13.080731
CHEMBL1084527,inactive,,3.005483,-11.828386
CHEMBL1084667,inactive,,-7.337914,-6.327174
CHEMBL1084706,active,,3.139265,-13.667479
CHEMBL1084707,active,,3.442916,-13.884728
CHEMBL1084772,active,,2.872731,-13.322042
