,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.674799,3.644403
CHEMBL104127,inactive,,-6.642344,3.407652
CHEMBL104180,inactive,,-8.438511,3.357494
CHEMBL104222,inactive,,-10.799769,3.282385
CHEMBL104377,inactive,,-6.337173,3.07385
CHEMBL104551,inactive,,-12.721417,1.900017
CHEMBL104981,inactive,,-10.102323,3.802214
CHEMBL105968,inactive,,-8.630208,3.571279
CHEMBL106746,inactive,,-10.883189,3.028153
CHEMBL1077199,inactive,,-9.111897,-3.696428
CHEMBL1077238,inactive,,-9.919279,-0.146072
CHEMBL1078394,inactive,,-9.4299,-2.131543
CHEMBL1078395,inactive,,-10.347131,-1.897596
CHEMBL1078495,inactive,,-11.033307,-0.710294
CHEMBL1078575,inactive,,-11.666258,-1.422038
CHEMBL1078695,active,,-12.193315,-1.195949
CHEMBL1078696,inactive,,-4.449673,-7.002989
CHEMBL1078876,inactive,,-4.108415,-6.864242
CHEMBL1082500,active,,4.765972,-5.396013
CHEMBL1082501,active,,5.353369,-5.428785
CHEMBL1082723,inactive,,-9.900784,-18.305822
CHEMBL1082827,active,,4.333528,-8.144866
CHEMBL1082828,active,,2.499845,-5.486869
CHEMBL1083053,active,,3.990826,-12.328353
CHEMBL1083216,inactive,,-12.138876,-1.227453
CHEMBL1083363,active,,2.953239,-13.587188
CHEMBL1083364,active,,3.50259,-11.396815
CHEMBL1083366,active,,4.227863,-13.050323
CHEMBL1083666,active,,4.351579,-12.766264
CHEMBL1083667,active,,-0.788428,8.653979
CHEMBL1083668,active,,-0.74799,8.748155
CHEMBL1083669,active,,19.296528,0.872087
CHEMBL1083670,active,,19.222528,0.871404
CHEMBL1083831,inactive,,-10.067707,-1.058169
CHEMBL1083832,inactive,,5.322122,-5.200747
CHEMBL1083994,active,,4.741694,-12.441077
CHEMBL1084136,inactive,,-9.85821,-6.361579
CHEMBL1084138,inactive,,-9.71136,-1.650944
CHEMBL1084144,inactive,,-9.494959,-0.392269
CHEMBL1084145,inactive,,-9.250282,-8.692075
CHEMBL1084274,inactive,,4.338587,-13.087771
CHEMBL1084527,inactive,,2.988364,-11.785728
CHEMBL1084667,inactive,,-7.280451,-6.411796
CHEMBL1084706,active,,3.194895,-13.746246
CHEMBL1084707,active,,3.553457,-13.902349
CHEMBL1084772,active,,2.90413,-13.230424
CHEMBL1085009,active,,14.680842,-5.276408
CHEMBL1085010,active,,15.011832,-5.349007
CHEMBL1085013,active,,3.787887,-11.825483
CHEMBL1085016,active,,4.853024,-8.186935
CHEMBL1085270,active,,5.376141,-7.976656
CHEMBL1085441,inactive,,-10.120892,-1.926262
CHEMBL1085442,inactive,,-10.403629,-2.124834
CHEMBL1085444,inactive,,-13.726547,2.824005
CHEMBL1085694,inactive,,-10.427849,-2.01139
CHEMBL1085897,inactive,,-9.183125,-3.930614
CHEMBL1085898,inactive,,-9.20271,-3.391948
CHEMBL1085928,inactive,,-9.696611,-1.737239
CHEMBL1085929,inactive,,-11.354301,-2.888809
CHEMBL1086005,active,,4.021194,-12.509727
CHEMBL1086077,active,,4.310139,-7.8401
CHEMBL1086149,inactive,,-9.697717,-1.599552
CHEMBL1086411,inactive,,-9.22558,-7.022027
CHEMBL1086542,active,,5.154737,-5.418466
CHEMBL1088076,inactive,,-12.8636,-0.452202
CHEMBL1089052,inactive,,-8.828521,-7.91353
CHEMBL1089053,inactive,,-8.393956,-7.826458
CHEMBL1089386,inactive,,-9.703191,-1.836295
CHEMBL1089387,inactive,,-9.810728,-1.704081
CHEMBL1089395,inactive,,-11.258158,-1.085318
CHEMBL1089734,active,,-11.349569,-0.954469
CHEMBL1089735,inactive,,-4.355391,-6.978181
CHEMBL1090416,inactive,,-8.531779,-6.825774
CHEMBL1090424,inactive,,-8.60009,-7.851125
CHEMBL1090425,inactive,,-9.873186,-6.258305
CHEMBL1091478,inactive,,-8.926798,-5.766253
CHEMBL1091479,inactive,,-8.535589,-5.642077
CHEMBL1091816,inactive,,-8.760512,-7.723087
CHEMBL1092502,inactive,,-9.867071,-2.524995
CHEMBL1093086,inactive,,-9.714103,-7.309278
CHEMBL1093385,inactive,,-9.96195,-5.636092
CHEMBL1093387,inactive,,-9.883353,-6.397552
CHEMBL1094715,inactive,,-8.951221,-6.551485
CHEMBL1094785,active,,-15.336162,-11.172103
CHEMBL1095042,inactive,,-8.800743,-6.608504
CHEMBL1095305,inactive,,-18.487446,-0.881843
CHEMBL117405,active,,15.047668,9.69253
CHEMBL1204009,active,,-0.490799,-5.091535
CHEMBL1204416,inactive,,-10.001469,-5.735894
CHEMBL1221540,active,,4.383254,20.538538
CHEMBL1221541,active,,4.754551,21.01642
CHEMBL1221542,active,,4.745028,20.950298
CHEMBL1221543,active,,4.893942,20.33231
CHEMBL1221586,active,,20.036833,-5.57552
CHEMBL1221587,active,,-22.7995,-9.651122
CHEMBL1221589,active,,-23.088181,-9.583305
CHEMBL1221590,active,,-22.562592,-8.106018
CHEMBL1221634,active,,-23.248182,-9.008493
CHEMBL1221635,active,,-23.394348,-9.010413
CHEMBL1221636,active,,-23.595602,-8.738263
CHEMBL1221637,active,,-22.788284,-9.960987
CHEMBL1221638,active,,-22.764093,-9.964244
CHEMBL1221681,active,,-22.898773,-7.565828
CHEMBL1221682,active,,4.953536,20.910717
CHEMBL1221683,active,,5.581317,21.472254
CHEMBL1221732,active,,-23.794106,-8.176396
CHEMBL1221736,active,,5.638885,21.50918
CHEMBL1221802,active,,6.168081,21.932779
CHEMBL1221803,active,,-22.800961,-9.877586
CHEMBL1221804,active,,-22.779644,-9.657371
