,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-12.901999,3.584721
CHEMBL104127,inactive,,-6.324082,3.003742
CHEMBL104377,inactive,,-6.351668,2.623211
CHEMBL104551,inactive,,-10.024679,3.44923
CHEMBL104981,inactive,,-10.489807,3.705159
CHEMBL105968,inactive,,-8.393568,3.403588
CHEMBL106487,inactive,,-13.753662,6.755241
CHEMBL106746,inactive,,-11.122921,3.615859
CHEMBL1077199,inactive,,-9.2591,-5.250048
CHEMBL1077238,inactive,,-10.035828,-0.456818
CHEMBL1078394,inactive,,-9.863532,-2.562512
CHEMBL1078395,inactive,,-10.157801,-2.267321
CHEMBL1078495,inactive,,-11.907223,-0.5896
CHEMBL1078575,inactive,,-11.437561,-1.078512
CHEMBL1078695,active,,-12.94758,-0.234567
CHEMBL1078696,inactive,,-4.46314,-7.046588
CHEMBL1078876,inactive,,-4.114624,-6.883244
CHEMBL1082500,active,,3.678829,-6.231046
CHEMBL1082501,active,,4.816167,-6.463122
CHEMBL1082827,active,,4.260987,-7.503115
CHEMBL1082828,active,,2.756366,-6.834559
CHEMBL1083053,active,,4.213313,-12.454302
CHEMBL1083216,inactive,,-12.652954,-0.876538
CHEMBL1083363,active,,2.982499,-13.674313
CHEMBL1083364,active,,3.739912,-11.432589
CHEMBL1083366,active,,4.200073,-13.23964
CHEMBL1083666,active,,4.406784,-12.987066
CHEMBL1083667,active,,-0.746294,8.592319
CHEMBL1083668,active,,-0.661553,8.719237
CHEMBL1083669,active,,19.343489,0.877897
CHEMBL1083670,active,,19.278851,0.840161
CHEMBL1083831,inactive,,-11.241526,-0.631869
CHEMBL1083832,inactive,,5.330904,-5.46478
CHEMBL1083994,active,,4.544076,-12.473133
CHEMBL1084136,inactive,,-8.951355,-7.078135
CHEMBL1084138,inactive,,-10.419376,-1.97807
CHEMBL1084144,inactive,,-10.580883,-0.077535
CHEMBL1084145,inactive,,-9.411375,-8.652211
CHEMBL1084274,inactive,,4.321627,-13.135915
CHEMBL1084527,inactive,,3.082401,-11.904231
CHEMBL1084667,inactive,,-7.621679,-6.045784
CHEMBL1084706,active,,3.200577,-13.7823
CHEMBL1084707,active,,3.574146,-13.829539
CHEMBL1084772,active,,2.847927,-13.375586
CHEMBL1085009,active,,14.603695,-5.273323
CHEMBL1085010,active,,14.963196,-5.524644
CHEMBL1085013,active,,3.360513,-11.53477
CHEMBL1085016,active,,4.821568,-8.171221
CHEMBL1085270,active,,5.228178,-8.120391
CHEMBL1085441,inactive,,-9.82338,-2.198375
CHEMBL1085442,inactive,,-10.400358,-2.229598
CHEMBL1085444,inactive,,-13.605332,2.733814
CHEMBL1085694,inactive,,-10.516025,-2.035058
CHEMBL1085897,inactive,,-9.080354,-3.652507
CHEMBL1085898,inactive,,-9.704967,-3.847446
CHEMBL1085928,inactive,,-11.42547,-1.460416
CHEMBL1085929,inactive,,-10.34866,-2.984817
CHEMBL1086005,active,,3.9535,-12.56593
CHEMBL1086077,active,,4.095932,-7.603047
CHEMBL1086149,inactive,,-11.010007,-2.055474
CHEMBL1086411,inactive,,-9.423334,-7.012525
CHEMBL1086542,active,,5.044265,-5.769187
CHEMBL1088076,inactive,,-12.993578,-0.402714
CHEMBL1089052,inactive,,-9.347692,-7.1614
CHEMBL1089053,inactive,,-8.917645,-7.141917
CHEMBL1089386,inactive,,-10.135126,-1.890797
CHEMBL1089387,inactive,,-9.844794,-1.933958
CHEMBL1089395,inactive,,-11.918333,-0.683281
CHEMBL1089734,active,,-12.15745,-0.664783
CHEMBL1089735,inactive,,-3.922615,-6.601976
CHEMBL1090416,inactive,,-8.878645,-6.061103
CHEMBL1090424,inactive,,-8.838644,-7.685009
CHEMBL1090425,inactive,,-8.874482,-7.596171
CHEMBL1091478,inactive,,-8.841558,-5.614724
CHEMBL1091816,inactive,,-8.984779,-7.536359
CHEMBL1092502,inactive,,-9.980884,-2.452242
CHEMBL1093086,inactive,,-9.600756,-6.443837
CHEMBL1093385,inactive,,-8.741623,-6.023807
CHEMBL1093387,inactive,,-9.769832,-6.629639
CHEMBL1094715,inactive,,-9.12184,-5.960912
CHEMBL1094785,active,,-15.314826,-11.237329
CHEMBL1095042,inactive,,-9.166877,-5.903486
CHEMBL1095305,inactive,,-18.929316,0.431566
CHEMBL117405,active,,15.472645,10.211367
CHEMBL1204009,active,,-0.964916,-5.512377
CHEMBL1204416,inactive,,-8.651303,-6.091281
CHEMBL1221540,active,,4.413999,20.51932
CHEMBL1221588,active,,-23.006199,-9.739602
CHEMBL1221589,active,,-23.368616,-9.173424
CHEMBL1221590,active,,-23.415144,-9.517841
CHEMBL1221636,active,,-23.732136,-8.474047
CHEMBL1221679,active,,4.302127,20.746815
CHEMBL1221681,active,,-22.8102,-8.423737
CHEMBL1221736,active,,5.601246,21.49828
CHEMBL1221804,active,,-23.501499,-9.018526
CHEMBL1221861,active,,-23.320164,-10.080379
CHEMBL1221862,active,,-20.621958,-6.560729
CHEMBL122990,active,,-11.773805,-15.198523
CHEMBL1233771,active,,-6.068137,-12.399782
CHEMBL124584,inactive,,-10.496424,0.230643
CHEMBL124863,active,,-11.261232,-0.382667
CHEMBL125168,active,,-7.350389,9.732718
CHEMBL125246,inactive,,-9.041944,2.036033
CHEMBL1255596,active,,-15.479621,-1.418807
CHEMBL1256786,active,,-13.758504,-10.528217
CHEMBL1257323,inactive,,-17.243399,-0.681712
CHEMBL1257554,active,,-16.446598,-0.533953
CHEMBL1257555,inactive,,-16.683853,-0.136354
CHEMBL1257675,active,,-15.957883,-0.76002
CHEMBL1257676,active,,-15.914899,-0.813384
CHEMBL1257797,active,,-16.167965,-0.387912
CHEMBL1257913,active,,-15.883554,-1.072877
CHEMBL1257914,active,,-15.649714,-1.231598
CHEMBL1257915,active,,-15.446052,-1.311836
CHEMBL1257916,inactive,,-15.783325,-1.239534
CHEMBL1258024,active,,-16.144951,-0.432558
CHEMBL1258025,active,,-16.331656,-2.593672
CHEMBL1258142,active,,-16.604134,-0.967651
CHEMBL1258143,active,,-16.710064,-2.374304
CHEMBL1258223,inactive,,14.317385,1.817741
CHEMBL1258257,active,,-15.433113,-1.383392
CHEMBL1258258,active,,-15.529055,-1.340037
CHEMBL1258260,active,,-16.552675,0.517707
CHEMBL1258370,active,,-15.60059,-1.313192
CHEMBL1258372,active,,-6.085016,-4.927445
CHEMBL1258373,inactive,,-6.464498,-4.672406
CHEMBL1258452,inactive,,14.676929,2.071227
CHEMBL1258483,active,,-16.033176,-0.772758
CHEMBL1258484,active,,-15.301512,-1.408104
CHEMBL1258596,active,,-15.873293,-0.780811
CHEMBL1258597,active,,-15.936506,-0.596689
CHEMBL1258599,active,,-5.979929,-5.056039
CHEMBL1258671,inactive,,14.359344,1.781869
CHEMBL1258704,active,,-15.375411,-1.371508
CHEMBL1258705,active,,-15.36615,-1.485729
CHEMBL12633,active,,-15.713991,-13.260653
CHEMBL12674,active,,-11.318836,2.511347
CHEMBL127422,active,,-12.5364,0.365859
CHEMBL12762,active,,-15.013998,-11.752078
CHEMBL12876,active,,-15.609891,-12.932502
CHEMBL12939,active,,-16.673996,6.501318
CHEMBL12945,inactive,,-9.407665,2.703103
CHEMBL12994,active,,-15.060498,-11.923516
CHEMBL13,inactive,,13.593141,8.113979
CHEMBL13003,active,,-11.338594,2.779594
CHEMBL13079,active,,-10.639565,2.231189
CHEMBL13102,active,,-15.293347,-12.445023
CHEMBL13132,active,,-17.718361,13.903347
CHEMBL13432,inactive,,-14.195179,6.790849
CHEMBL1346,active,,6.430083,-7.735778
CHEMBL13467,active,,-17.931782,7.640396
CHEMBL1363,active,,-14.249286,-10.997371
CHEMBL137781,inactive,,26.478127,10.531816
CHEMBL143865,inactive,,-21.640385,25.737106
CHEMBL157138,active,,26.707323,10.314202
CHEMBL1620339,inactive,,15.236247,2.209621
CHEMBL1622248,inactive,,-10.001863,-11.424531
CHEMBL1632158,inactive,,14.054288,-7.577391
CHEMBL1632174,inactive,,13.773392,-7.198726
CHEMBL165015,inactive,,-14.652569,6.811486
CHEMBL1683931,active,,-19.228098,4.175876
CHEMBL1683934,active,,-20.627777,5.742387
CHEMBL1683935,active,,-20.557657,5.735805
CHEMBL1683938,active,,-20.667463,5.771995
CHEMBL1684577,inactive,,-17.486469,10.930819
CHEMBL1684580,inactive,,-17.54353,11.031963
CHEMBL1684581,inactive,,-17.82666,10.803112
CHEMBL1684582,inactive,,-16.73967,11.192812
CHEMBL1684585,inactive,,-7.014802,-8.802633
CHEMBL177442,active,,-19.883085,1.67628
CHEMBL1794855,inactive,,19.743631,9.227172
CHEMBL1800960,inactive,,-15.287615,-13.164703
CHEMBL180672,active,,1.011061,1.00523
CHEMBL1806874,inactive,,11.834538,-8.480494
CHEMBL1824264,inactive,,-2.475128,-3.978357
CHEMBL1824265,inactive,,-2.766674,-4.069687
CHEMBL1824266,inactive,,-2.794282,-4.11768
CHEMBL183921,active,,-4.871901,-3.844105
CHEMBL183948,active,,-10.892558,0.723257
CHEMBL184407,active,,-8.658636,7.162741
CHEMBL184538,active,,-10.252574,0.331058
CHEMBL185052,active,,-10.154674,0.930057
CHEMBL185262,active,,-11.273598,0.363569
CHEMBL185836,active,,-8.68644,7.245187
CHEMBL1907082,inactive,,15.992213,5.967152
CHEMBL1940682,inactive,,-24.020662,5.300672
CHEMBL1940683,inactive,,-23.973644,5.346656
CHEMBL1940684,inactive,,-24.170488,5.127531
CHEMBL1940685,inactive,,-22.462362,5.700431
CHEMBL1940686,inactive,,-23.993261,5.317533
CHEMBL1940808,inactive,,-23.804705,5.452443
CHEMBL1940809,inactive,,-24.050539,5.249544
CHEMBL1940810,inactive,,-24.071522,5.235386
CHEMBL1940811,inactive,,-23.909615,5.378566
CHEMBL1940815,active,,-12.053827,1.840955
CHEMBL1944690,active,,-22.530437,-3.752114
CHEMBL1944693,active,,-23.493803,-3.102007
CHEMBL1944694,active,,-23.668592,-3.272842
CHEMBL1945034,active,,-23.487906,-3.378089
CHEMBL1945035,active,,-23.268499,-3.23211
CHEMBL1945041,active,,-23.425663,-3.3248
CHEMBL1945289,active,,-22.604551,-3.459115
CHEMBL1945290,active,,-23.307163,-3.149613
CHEMBL1945292,active,,-23.118374,-5.056616
CHEMBL1945294,active,,-22.870131,-6.553441
CHEMBL1946767,active,,-23.223005,-3.341835
CHEMBL1946768,active,,-23.66098,-3.465281
CHEMBL1946769,active,,-22.136406,-1.980845
CHEMBL1947150,active,,-21.894493,-2.254968
CHEMBL1947151,active,,-22.110769,-2.288728
CHEMBL1947152,active,,-21.498596,-3.105755
CHEMBL199824,active,,1.318241,-2.924048
CHEMBL2012522,active,,-17.755674,2.665284
CHEMBL201878,inactive,,3.239691,-24.235786
CHEMBL201946,inactive,,3.336271,-24.130909
CHEMBL202434,inactive,,3.997973,-23.30821
CHEMBL2031737,inactive,,3.591374,2.375043
CHEMBL2070835,inactive,,-20.651909,22.499941
CHEMBL208427,inactive,,-8.835781,1.964667
CHEMBL2088199,active,,-3.597046,-8.586452
CHEMBL2107826,inactive,,-5.895162,-7.524
CHEMBL2112075,inactive,,0.996002,0.95954
CHEMBL22345,inactive,,-14.425468,7.222837
CHEMBL22386,inactive,,-17.002928,7.932325
CHEMBL226292,inactive,,14.520401,11.084997
CHEMBL226348,active,,-11.215762,-9.380552
CHEMBL228998,inactive,,-15.89261,-13.49348
CHEMBL229388,inactive,,-15.175578,-13.562217
CHEMBL229390,inactive,,-14.357387,-13.127688
CHEMBL229391,inactive,,-15.136166,-13.034137
CHEMBL229400,inactive,,-14.121414,-12.894011
CHEMBL229442,inactive,,-15.045255,-12.914364
CHEMBL229443,inactive,,-15.128091,-12.903571
CHEMBL229615,inactive,,2.40458,19.293648
CHEMBL229616,inactive,,2.361712,19.365978
CHEMBL236514,active,,19.896425,-5.606698
