,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-12.900982,2.853096
CHEMBL104127,inactive,,-6.732414,3.417325
CHEMBL104180,inactive,,-8.273393,3.47483
CHEMBL104222,inactive,,-10.939186,2.916969
CHEMBL104377,inactive,,-6.253286,2.646517
CHEMBL104551,inactive,,-8.517203,2.769329
CHEMBL105968,inactive,,-8.271506,3.383031
CHEMBL106487,inactive,,-11.974051,3.903219
CHEMBL106746,inactive,,-12.063594,3.377946
CHEMBL1077199,inactive,,-9.100599,-3.62883
CHEMBL1077238,inactive,,-9.685369,-0.346031
CHEMBL1078394,inactive,,-9.94964,-2.539507
CHEMBL1078395,inactive,,-9.928554,-1.749032
CHEMBL1078495,inactive,,-11.316876,-0.565459
CHEMBL1078575,inactive,,-11.035596,-1.187712
CHEMBL1078695,active,,-12.488221,-0.313814
CHEMBL1078696,inactive,,-3.968712,-6.642064
CHEMBL1078876,inactive,,-4.055248,-6.777539
CHEMBL1082500,active,,3.597545,-5.652866
CHEMBL1082501,active,,5.210593,-4.608367
CHEMBL1082827,active,,4.570483,-7.369564
CHEMBL1082828,active,,2.721659,-7.019475
CHEMBL1083053,active,,4.207099,-12.41107
CHEMBL1083363,active,,2.934995,-13.622011
CHEMBL1083364,active,,3.60206,-11.72591
CHEMBL1083366,active,,3.808139,-12.713683
CHEMBL1083666,active,,4.448708,-12.666498
CHEMBL1083667,active,,-0.743694,8.645757
CHEMBL1083668,active,,-0.728393,8.72335
CHEMBL1083669,active,,19.331953,0.871733
CHEMBL1083670,active,,19.289816,0.84998
CHEMBL1083831,inactive,,-11.423659,-0.619388
CHEMBL1083832,inactive,,5.128158,-5.448067
CHEMBL1083994,active,,4.403967,-12.376454
CHEMBL1084136,inactive,,-9.139712,-7.164998
CHEMBL1084138,inactive,,-10.082078,-1.550234
CHEMBL1084145,inactive,,-9.259221,-8.684138
CHEMBL1084274,inactive,,4.239364,-13.093981
CHEMBL1084527,inactive,,3.09971,-11.935513
CHEMBL1084667,inactive,,-7.65442,-5.942155
CHEMBL1084706,active,,3.279566,-13.819121
CHEMBL1084707,active,,3.469475,-13.821577
CHEMBL1084772,active,,2.97109,-13.344345
CHEMBL1085009,active,,14.666111,-5.357318
CHEMBL1085010,active,,14.870955,-5.264535
CHEMBL1085013,active,,3.447148,-11.626791
CHEMBL1085016,active,,4.901766,-8.05336
CHEMBL1085270,active,,5.302659,-8.276068
CHEMBL1085441,inactive,,-9.988389,-2.48788
CHEMBL1085442,inactive,,-10.05082,-2.62792
CHEMBL1085444,inactive,,-13.513546,2.988112
CHEMBL1085694,inactive,,-10.090837,-2.241994
CHEMBL1085897,inactive,,-9.164345,-4.043945
CHEMBL1085898,inactive,,-9.104383,-3.340761
CHEMBL1085928,inactive,,-9.872549,-1.653612
CHEMBL1085929,inactive,,-10.298826,-2.021558
CHEMBL1086005,active,,3.984884,-12.551756
CHEMBL1086077,active,,4.266647,-6.739867
CHEMBL1086149,inactive,,-9.900986,-1.767321
CHEMBL1086411,inactive,,-9.253687,-5.991796
CHEMBL1086542,active,,5.450828,-4.734854
CHEMBL1088076,inactive,,-11.780555,-0.957125
CHEMBL1089052,inactive,,-9.1415,-7.206166
CHEMBL1089386,inactive,,-9.285216,-1.938001
CHEMBL1089395,inactive,,-9.087144,-2.022615
CHEMBL1089734,active,,-11.642826,-0.990429
CHEMBL1089735,inactive,,-4.344685,-6.782651
CHEMBL1090416,inactive,,-8.962149,-5.921884
CHEMBL1090424,inactive,,-8.975435,-7.385885
CHEMBL1090425,inactive,,-9.360801,-7.32326
CHEMBL1091478,inactive,,-8.863099,-5.668404
CHEMBL1091479,inactive,,-8.667952,-5.56007
CHEMBL1091816,inactive,,-9.068097,-7.472472
CHEMBL1093086,inactive,,-9.506812,-5.924042
CHEMBL1093385,inactive,,-8.656775,-5.500211
CHEMBL1093387,inactive,,-9.17124,-6.050878
CHEMBL1094715,inactive,,-9.610326,-7.347631
CHEMBL1095042,inactive,,-9.395992,-6.026346
CHEMBL1095305,inactive,,-18.485174,-0.820923
CHEMBL117405,active,,15.144172,9.869813
CHEMBL1204009,active,,2.14394,-6.350629
CHEMBL1204416,inactive,,-8.699816,-5.560561
CHEMBL1221540,active,,4.384743,20.553108
CHEMBL1221542,active,,4.645245,20.85169
CHEMBL1221543,active,,4.92386,20.40082
CHEMBL1221587,active,,-23.44343,-9.589399
CHEMBL1221588,active,,-23.216875,-9.834004
CHEMBL1221589,active,,-23.400196,-9.137222
CHEMBL1221590,active,,-23.924231,-8.920429
CHEMBL1221634,active,,-23.648594,-8.97808
CHEMBL1221636,active,,-23.87056,-8.605618
CHEMBL1221637,active,,-23.123825,-10.162269
CHEMBL1221638,active,,-22.989759,-10.271688
CHEMBL1221681,active,,-22.731787,-7.694455
CHEMBL1221682,active,,5.369176,21.287033
CHEMBL1221734,active,,5.402495,20.785007
CHEMBL1221736,active,,5.542372,21.434402
CHEMBL1221804,active,,-23.249147,-8.614157
CHEMBL1221862,active,,-20.634684,-6.566649
CHEMBL122990,active,,-11.719833,-15.228621
CHEMBL124584,inactive,,-10.11644,-0.114997
CHEMBL124863,active,,-12.865027,-0.020553
CHEMBL125168,active,,-7.026883,10.112906
CHEMBL125246,inactive,,-9.640578,2.511761
CHEMBL1255596,active,,-16.142838,-0.910225
CHEMBL1256786,active,,-13.524177,-10.460955
CHEMBL1257323,inactive,,-17.400719,-0.549235
CHEMBL1257554,active,,-16.584728,-0.221388
CHEMBL1257555,inactive,,-16.426254,-0.382643
CHEMBL1257675,active,,-15.807593,-1.020424
CHEMBL1257676,active,,-15.734401,-1.135978
CHEMBL1257797,active,,-16.383213,-0.012395
CHEMBL1257913,active,,-16.050081,-0.883508
CHEMBL1257914,active,,-16.073772,-0.914902
CHEMBL1257915,active,,-16.028576,-0.98928
CHEMBL1257916,inactive,,-16.223154,-0.877237
CHEMBL1258024,active,,-16.119555,-0.410561
CHEMBL1258025,active,,-16.571854,-2.55231
CHEMBL1258142,active,,-16.606569,-1.036202
CHEMBL1258143,active,,-16.758257,-2.443421
CHEMBL1258223,inactive,,14.367359,1.759539
CHEMBL1258257,active,,-16.172634,-0.935204
CHEMBL1258258,active,,-16.027138,-0.97778
CHEMBL1258260,active,,-16.531563,0.268182
CHEMBL1258370,active,,-16.205925,-1.028676
CHEMBL1258372,active,,-6.113551,-4.906069
CHEMBL1258373,inactive,,-6.428199,-4.646071
CHEMBL1258452,inactive,,14.945367,2.226477
CHEMBL1258483,active,,-16.180695,-0.530815
CHEMBL1258484,active,,-15.636023,-0.995109
CHEMBL1258596,active,,-15.827149,-0.865228
CHEMBL1258597,active,,-15.731044,-1.049786
CHEMBL1258599,active,,-5.901806,-5.024601
CHEMBL1258671,inactive,,14.414138,1.845161
CHEMBL1258704,active,,-15.708672,-1.133115
CHEMBL1258705,active,,-16.205025,-0.573193
CHEMBL126055,active,,-7.118139,10.083497
CHEMBL12633,active,,-14.790697,-12.030588
CHEMBL12674,active,,-10.458982,2.375039
CHEMBL127422,active,,-10.813046,-0.140465
CHEMBL12762,active,,-14.069027,-10.887901
CHEMBL12876,active,,-14.335912,-12.21221
CHEMBL12939,active,,-17.442583,7.103096
CHEMBL12945,inactive,,-9.258534,2.593908
CHEMBL12994,active,,-14.747094,-11.655875
CHEMBL13,inactive,,13.65636,8.049128
CHEMBL13003,active,,-10.435808,2.690272
CHEMBL13079,active,,-10.605537,1.893301
CHEMBL13102,active,,-14.149488,-11.364304
CHEMBL13132,active,,-18.827251,12.819233
CHEMBL13432,inactive,,-17.302252,6.287351
CHEMBL1346,active,,6.548498,-7.852096
CHEMBL13467,active,,-18.211658,7.019342
CHEMBL1363,active,,-13.671316,-10.568749
CHEMBL137781,inactive,,26.522223,10.484978
CHEMBL143865,inactive,,-21.628778,25.718771
CHEMBL157138,active,,26.683872,10.328774
CHEMBL1620339,inactive,,15.493835,2.583068
CHEMBL1622248,inactive,,-9.977433,-11.473985
CHEMBL1632158,inactive,,13.96424,-7.452064
CHEMBL1632174,inactive,,13.768441,-7.143481
CHEMBL165015,inactive,,-16.067425,6.756033
CHEMBL1683931,active,,-18.457981,4.235466
CHEMBL1683935,active,,-20.601646,5.810114
CHEMBL1684580,inactive,,-17.855036,10.896277
CHEMBL1684582,inactive,,-17.916019,10.808809
CHEMBL1684585,inactive,,-7.517887,-8.519564
CHEMBL177442,active,,-19.933842,1.794962
CHEMBL1794855,inactive,,19.533207,9.067454
CHEMBL1800960,inactive,,-14.243176,-12.309419
CHEMBL1806874,inactive,,11.785769,-8.465878
CHEMBL1824264,inactive,,-2.664017,-3.918969
CHEMBL1824265,inactive,,-2.982429,-3.981359
CHEMBL1824266,inactive,,-2.979033,-4.054836
CHEMBL183921,active,,-4.834976,-3.88892
CHEMBL183948,active,,-10.420327,0.912889
CHEMBL184407,active,,-8.649588,7.185387
CHEMBL185052,active,,-10.512284,1.225898
CHEMBL185836,active,,-8.668633,7.219236
CHEMBL1907082,inactive,,16.033962,5.941726
CHEMBL1940682,inactive,,-24.013075,5.323842
CHEMBL1940683,inactive,,-23.992987,5.330877
CHEMBL1940684,inactive,,-24.157866,5.147027
CHEMBL1940685,inactive,,-22.586206,5.686639
CHEMBL1940686,inactive,,-23.986549,5.330744
CHEMBL1940808,inactive,,-23.804127,5.41897
CHEMBL1940809,inactive,,-24.067102,5.262363
CHEMBL1940810,inactive,,-24.073179,5.244528
