,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,-6.330204,2.924242
CHEMBL104180,inactive,,-8.265524,3.139954
CHEMBL104222,inactive,,-13.032104,2.796423
CHEMBL104377,inactive,,-6.233732,3.009523
CHEMBL104551,inactive,,-8.837162,3.299486
CHEMBL104981,inactive,,-10.377153,3.008336
CHEMBL105968,inactive,,-8.336813,3.254212
CHEMBL106487,inactive,,-13.585508,2.32297
CHEMBL106746,inactive,,-11.089643,3.528119
CHEMBL1077199,inactive,,-8.976608,-3.416041
CHEMBL1077238,inactive,,-9.735472,-0.382689
CHEMBL1078394,inactive,,-9.698242,-1.981533
CHEMBL1078395,inactive,,-10.373504,-1.986231
CHEMBL1078495,inactive,,-10.843314,-0.81692
CHEMBL1078575,inactive,,-11.452055,-1.071048
CHEMBL1078695,active,,-11.680863,-1.13533
CHEMBL1078876,inactive,,-4.636192,-7.026548
CHEMBL1082500,active,,3.186508,-8.831086
CHEMBL1082501,active,,5.685102,-7.500399
CHEMBL1082723,inactive,,-9.97372,-18.32729
CHEMBL1082827,active,,4.414868,-7.209461
CHEMBL1082828,active,,2.917382,-8.802758
CHEMBL1083053,active,,4.110105,-12.52129
CHEMBL1083216,inactive,,-11.923516,-1.142092
CHEMBL1083363,active,,2.953327,-13.638489
CHEMBL1083364,active,,3.544684,-11.648532
CHEMBL1083366,active,,3.991491,-12.965927
CHEMBL1083666,active,,4.418704,-12.942466
CHEMBL1083667,active,,-0.772221,8.709138
CHEMBL1083668,active,,-0.738798,8.749014
CHEMBL1083669,active,,19.332575,0.887296
CHEMBL1083670,active,,19.267168,0.831337
CHEMBL1083831,inactive,,-11.157371,-0.410972
CHEMBL1083832,inactive,,5.628603,-4.431412
CHEMBL1083994,active,,4.658,-12.33913
CHEMBL1084136,inactive,,-8.625692,-7.739317
CHEMBL1084138,inactive,,-9.97215,-1.742396
CHEMBL1084144,inactive,,-9.613554,-0.729551
CHEMBL1084145,inactive,,-9.374904,-8.794685
CHEMBL1084274,inactive,,4.280863,-12.987506
CHEMBL1084527,inactive,,3.00083,-11.765426
CHEMBL1084667,inactive,,-7.340907,-7.211119
CHEMBL1084706,active,,3.278698,-13.663895
CHEMBL1084707,active,,3.532644,-13.953494
CHEMBL1084772,active,,2.973695,-13.292966
CHEMBL1085009,active,,14.646857,-5.201076
CHEMBL1085010,active,,15.133685,-5.409479
CHEMBL1085013,active,,3.442079,-11.477373
CHEMBL1085016,active,,5.142827,-7.82156
CHEMBL1085270,active,,5.099074,-8.101952
CHEMBL1085441,inactive,,-9.431101,-2.083627
CHEMBL1085442,inactive,,-9.820633,-2.09371
CHEMBL1085444,inactive,,-12.853565,3.023782
CHEMBL1085694,inactive,,-9.694793,-1.589553
CHEMBL1085898,inactive,,-9.1346,-3.204336
CHEMBL1085928,inactive,,-9.726222,-1.483599
CHEMBL1085929,inactive,,-9.828474,-1.684355
CHEMBL1086005,active,,4.095922,-12.461488
CHEMBL1086077,active,,4.151911,-7.830284
CHEMBL1086149,inactive,,-9.530111,-1.834247
CHEMBL1086411,inactive,,-8.990366,-6.496575
CHEMBL1086542,active,,4.997378,-6.019506
CHEMBL1088076,inactive,,-11.974411,-1.269066
CHEMBL1089052,inactive,,-8.840378,-7.842343
CHEMBL1089053,inactive,,-8.766121,-7.605179
CHEMBL1089386,inactive,,-9.682492,-1.773634
CHEMBL1089387,inactive,,-9.916611,-1.870498
CHEMBL1089395,inactive,,-11.149748,-1.188802
CHEMBL1089734,active,,-10.132793,-0.771435
CHEMBL1089735,inactive,,-4.299652,-6.82472
CHEMBL1090416,inactive,,-8.183575,-6.590499
CHEMBL1090424,inactive,,-8.590911,-7.736264
CHEMBL1090425,inactive,,-8.746296,-7.867781
CHEMBL1091478,inactive,,-8.754932,-5.945957
CHEMBL1091479,inactive,,-8.595278,-5.84402
CHEMBL1091816,inactive,,-8.774701,-7.705497
CHEMBL1092502,inactive,,-9.780513,-1.896937
CHEMBL1093086,inactive,,-9.583259,-7.160984
CHEMBL1093385,inactive,,-8.733812,-6.114797
CHEMBL1093387,inactive,,-9.749146,-7.175002
CHEMBL1094715,inactive,,-8.345301,-6.312753
CHEMBL1094785,active,,-15.241753,-10.84618
CHEMBL1095042,inactive,,-9.104877,-5.617855
CHEMBL1095305,inactive,,-18.520609,-0.800926
