,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.349295,3.810664
CHEMBL104127,inactive,,-6.103701,2.743157
CHEMBL104377,inactive,,-6.285136,2.990017
CHEMBL104551,inactive,,-8.044461,2.970292
CHEMBL104981,inactive,,-10.124023,3.863556
CHEMBL105968,inactive,,-8.392964,3.361838
CHEMBL106487,inactive,,-12.717943,2.722072
CHEMBL106746,inactive,,-10.740168,3.06137
CHEMBL1077199,inactive,,-9.120059,-3.670923
CHEMBL1077238,inactive,,-10.217093,0.636498
CHEMBL1078394,inactive,,-9.669748,-2.296748
CHEMBL1078495,inactive,,-11.524946,-0.564186
CHEMBL1078695,active,,-11.926176,-1.079895
CHEMBL1078696,inactive,,-3.964727,-6.729479
CHEMBL1082500,active,,3.488543,-6.556524
CHEMBL1082501,active,,5.188396,-5.29725
CHEMBL1082827,active,,4.276359,-7.456667
CHEMBL1082828,active,,2.23496,-6.379573
CHEMBL1083053,active,,3.98532,-12.436859
CHEMBL1083363,active,,2.951226,-13.606528
CHEMBL1083364,active,,3.354354,-11.549127
CHEMBL1083366,active,,4.100142,-12.961102
CHEMBL1083666,active,,4.391439,-12.916624
CHEMBL1083667,active,,-0.772043,8.56223
CHEMBL1083668,active,,-0.743013,8.759871
CHEMBL1083669,active,,19.26701,0.843898
CHEMBL1083670,active,,19.295734,0.801694
CHEMBL1083832,inactive,,5.060667,-5.418185
CHEMBL1083994,active,,4.685144,-12.327715
CHEMBL1084136,inactive,,-8.827693,-7.310197
CHEMBL1084138,inactive,,-11.007272,-1.979665
CHEMBL1084144,inactive,,-11.362476,-0.088383
CHEMBL1084145,inactive,,-9.236155,-8.680743
CHEMBL1084274,inactive,,4.195373,-13.09932
CHEMBL1084527,inactive,,2.915916,-11.750714
CHEMBL1084667,inactive,,-7.486022,-6.015035
CHEMBL1084706,active,,3.215472,-13.745181
CHEMBL1084707,active,,3.627844,-13.91924
CHEMBL1084772,active,,3.16893,-13.336543
CHEMBL1085009,active,,14.554515,-5.280746
CHEMBL1085010,active,,14.978049,-5.373175
CHEMBL1085013,active,,3.609797,-11.818387
CHEMBL1085016,active,,4.911829,-8.221363
CHEMBL1085270,active,,5.206821,-8.050147
CHEMBL1085441,inactive,,-10.142282,-2.54802
CHEMBL1085442,inactive,,-10.136365,-2.61567
CHEMBL1085444,inactive,,-13.354218,3.089075
CHEMBL1085694,inactive,,-9.891649,-2.219117
CHEMBL1085897,inactive,,-9.197988,-3.940314
CHEMBL1085898,inactive,,-9.83397,-3.967777
CHEMBL1085928,inactive,,-10.875728,-2.004775
CHEMBL1085929,inactive,,-10.21145,-1.76948
CHEMBL1086005,active,,4.019824,-12.613435
CHEMBL1086077,active,,4.140376,-7.872038
CHEMBL1086149,inactive,,-9.687707,-1.993743
CHEMBL1086411,inactive,,-8.813953,-5.961116
CHEMBL1086542,active,,4.992174,-5.448332
CHEMBL1088076,inactive,,-12.828193,-0.407994
CHEMBL1089052,inactive,,-9.550768,-6.9299
CHEMBL1089053,inactive,,-8.75297,-7.138576
CHEMBL1089386,inactive,,-10.743184,-2.206004
CHEMBL1089387,inactive,,-9.928564,-1.791633
CHEMBL1089395,inactive,,-11.067206,-1.648134
CHEMBL1089734,active,,-12.080897,-0.080298
CHEMBL1089735,inactive,,-4.525585,-6.886959
CHEMBL1090416,inactive,,-8.752294,-5.763228
CHEMBL1090424,inactive,,-9.218736,-6.889901
CHEMBL1090425,inactive,,-9.134662,-7.534831
CHEMBL1091478,inactive,,-8.619677,-6.207189
CHEMBL1091479,inactive,,-8.538961,-5.555686
CHEMBL1091816,inactive,,-9.029819,-7.39312
CHEMBL1093086,inactive,,-9.691257,-7.127599
CHEMBL1093385,inactive,,-8.912669,-5.849866
CHEMBL1093387,inactive,,-9.773455,-7.301942
CHEMBL1094715,inactive,,-9.167655,-5.806281
CHEMBL1094785,active,,-14.176705,-10.853167
CHEMBL1095042,inactive,,-8.944092,-6.16855
CHEMBL1095305,inactive,,-18.503368,-0.841256
CHEMBL117405,active,,15.396698,10.208962
CHEMBL1204009,active,,1.12349,-5.703181
CHEMBL1204416,inactive,,-8.947149,-5.920806
CHEMBL1221540,active,,4.392593,20.519634
CHEMBL1221542,active,,4.67742,20.799969
CHEMBL1221543,active,,4.948609,20.350975
CHEMBL1221590,active,,-23.657619,-9.236537
CHEMBL1221636,active,,-23.954679,-8.697622
CHEMBL1221683,active,,5.372037,21.287436
CHEMBL1221736,active,,5.614595,21.480616
CHEMBL1221802,active,,6.117559,21.911673
CHEMBL1221804,active,,-23.267626,-8.411798
CHEMBL1221862,active,,-20.583778,-6.535445
CHEMBL122990,active,,-11.749909,-15.215867
CHEMBL124584,inactive,,-11.281778,0.716367
CHEMBL124863,active,,-11.581548,-0.496561
CHEMBL1255596,active,,-15.473743,-1.437085
CHEMBL1256786,active,,-13.869069,-10.744892
CHEMBL1257554,active,,-16.391356,-0.498787
CHEMBL1257555,inactive,,-15.891369,-1.25832
CHEMBL1257675,active,,-15.619008,-1.259431
CHEMBL1257676,active,,-16.341402,-0.237098
CHEMBL1257797,active,,-15.27666,-1.538877
CHEMBL1257913,active,,-15.80829,-1.196373
CHEMBL1257914,active,,-15.493372,-1.400317
CHEMBL1257915,active,,-15.630517,-1.299356
CHEMBL1257916,inactive,,-15.564995,-1.389724
CHEMBL1258024,active,,-15.7615,-1.142139
CHEMBL1258025,active,,-16.51066,-2.581896
CHEMBL1258142,active,,-15.589334,-1.566826
CHEMBL1258143,active,,-16.741657,-2.364194
CHEMBL1258223,inactive,,14.28439,1.715034
CHEMBL1258257,active,,-15.637221,-1.271351
CHEMBL1258258,active,,-15.59483,-1.447905
CHEMBL1258260,active,,-16.422335,0.096386
CHEMBL1258370,active,,-15.672444,-1.250577
CHEMBL1258372,active,,-5.958512,-4.922671
CHEMBL1258373,inactive,,-6.436397,-4.646335
CHEMBL1258452,inactive,,14.845196,2.164145
CHEMBL1258483,active,,-15.249392,-1.607075
CHEMBL1258484,active,,-15.385032,-1.454914
CHEMBL1258596,active,,-15.486844,-1.414733
CHEMBL1258597,active,,-16.135714,-0.565028
CHEMBL1258599,active,,-5.916114,-5.078657
CHEMBL1258671,inactive,,14.389248,1.848983
CHEMBL1258704,active,,-15.951303,-0.679262
CHEMBL1258705,active,,-15.448141,-1.473497
CHEMBL12633,active,,-14.257855,-12.100585
CHEMBL12674,active,,-12.683312,1.994586
CHEMBL12762,active,,-14.321379,-11.249408
CHEMBL12876,active,,-14.159081,-12.296034
CHEMBL12939,active,,-14.33617,6.874462
CHEMBL12945,inactive,,-9.285398,2.619112
CHEMBL12994,active,,-14.826825,-11.769108
CHEMBL12998,inactive,,-16.362852,6.833524
CHEMBL13,inactive,,13.615352,8.111984
CHEMBL13003,active,,-11.498734,2.531691
CHEMBL13079,active,,-9.971026,1.44226
CHEMBL13102,active,,-14.508025,-11.314943
CHEMBL13132,active,,-18.980831,12.297471
CHEMBL13432,inactive,,-17.186356,7.943751
CHEMBL1346,active,,6.530897,-7.630352
CHEMBL13467,active,,-17.109449,7.193833
CHEMBL13560,inactive,,-21.48988,-9.952719
CHEMBL1363,active,,-14.223124,-11.080479
CHEMBL137781,inactive,,26.504896,10.489086
CHEMBL143865,inactive,,-21.607967,25.71022
CHEMBL1478530,active,,-19.201595,19.345333
CHEMBL157138,active,,26.681822,10.334785
CHEMBL1620339,inactive,,15.227972,2.127457
CHEMBL1622248,inactive,,-9.994748,-11.481339
CHEMBL1632158,inactive,,14.103607,-7.571543
CHEMBL1632174,inactive,,13.726892,-7.158438
CHEMBL165015,inactive,,-14.432799,6.673398
CHEMBL166013,inactive,,-15.098447,6.957118
CHEMBL1683931,active,,-18.862843,4.214401
CHEMBL1683934,active,,-20.493214,5.820977
CHEMBL1683935,active,,-20.61924,5.747169
CHEMBL1683938,active,,-20.536425,5.815632
CHEMBL1684577,inactive,,-16.947083,11.183349
CHEMBL1684580,inactive,,-15.704535,13.140984
CHEMBL177442,active,,-19.868383,1.969719
CHEMBL1794855,inactive,,19.565031,9.068266
CHEMBL1800960,inactive,,-15.394197,-13.102518
CHEMBL1800963,active,,-15.311901,-10.748134
CHEMBL180672,active,,1.064412,0.963176
CHEMBL1806874,inactive,,11.707296,-8.411774
CHEMBL1824264,inactive,,-2.697782,-3.922955
CHEMBL1824265,inactive,,-3.013611,-4.004913
CHEMBL1824266,inactive,,-2.863318,-4.022289
CHEMBL183921,active,,-4.834229,-3.871561
CHEMBL183948,active,,-11.169817,0.816241
CHEMBL184407,active,,-8.617364,7.142869
CHEMBL184538,active,,-9.733277,0.019219
CHEMBL185052,active,,-11.382984,1.548755
CHEMBL185262,active,,-10.381031,0.223957
CHEMBL185836,active,,-8.689322,7.237068
CHEMBL1907082,inactive,,16.083885,6.135558
CHEMBL1940682,inactive,,-24.034468,5.295476
CHEMBL1940683,inactive,,-23.981541,5.318788
CHEMBL1940684,inactive,,-24.191137,5.115199
CHEMBL1940685,inactive,,-23.24309,5.552437
CHEMBL1940686,inactive,,-24.009325,5.300798
CHEMBL1940808,inactive,,-23.797915,5.451775
CHEMBL1940809,inactive,,-24.091158,5.224195
CHEMBL1940810,inactive,,-24.029524,5.28384
CHEMBL1940811,inactive,,-23.92388,5.357718
CHEMBL1940815,active,,-12.313328,1.827947
CHEMBL1944690,active,,-21.845488,-3.990819
CHEMBL1944694,active,,-22.211515,-3.62169
CHEMBL1945034,active,,-21.862206,-4.009926
CHEMBL1945041,active,,-21.920467,-3.976489
CHEMBL1945289,active,,-21.936472,-3.886081
CHEMBL1945290,active,,-21.9918,-3.784524
CHEMBL1945292,active,,-22.699203,-5.328299
CHEMBL1945294,active,,-22.892996,-6.50498
CHEMBL1946767,active,,-22.126554,-3.635921
CHEMBL1946768,active,,-22.295654,-3.858397
CHEMBL1946769,active,,-21.900438,-1.867728
CHEMBL1947150,active,,-21.842148,-2.171962
CHEMBL1947151,active,,-22.310862,-2.458374
CHEMBL1947152,active,,-21.471315,-3.101874
CHEMBL2012522,active,,-17.358276,2.365997
CHEMBL201878,inactive,,3.237766,-24.23723
CHEMBL201946,inactive,,3.323252,-24.136105
