,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.911913,4.028559
CHEMBL104127,inactive,,-6.532049,3.25354
CHEMBL104180,inactive,,-8.53968,3.484203
CHEMBL104222,inactive,,-12.563408,2.16009
CHEMBL104377,inactive,,-6.098931,2.831071
CHEMBL104551,inactive,,-8.795802,3.503413
CHEMBL104981,inactive,,-9.864944,3.633511
CHEMBL105968,inactive,,-8.555181,3.49566
CHEMBL106487,inactive,,-13.297726,4.94176
CHEMBL106746,inactive,,-11.276375,3.789206
CHEMBL1077199,inactive,,-9.522295,-3.930932
CHEMBL1077238,inactive,,-9.560165,-0.418413
CHEMBL1078394,inactive,,-9.715006,-2.118636
CHEMBL1078395,inactive,,-9.777752,-1.643126
CHEMBL1078495,inactive,,-10.061922,-1.077943
CHEMBL1078575,inactive,,-10.155937,-1.800159
CHEMBL1078695,active,,-11.666606,-0.812639
CHEMBL1078696,inactive,,-3.988752,-6.805768
CHEMBL1078876,inactive,,-4.31617,-6.895829
CHEMBL1082500,active,,4.694815,-5.542709
CHEMBL1082501,active,,5.454169,-5.798749
CHEMBL1082827,active,,4.360849,-6.37687
CHEMBL1082828,active,,3.155284,-7.922391
CHEMBL1083216,inactive,,-12.085043,-1.21507
CHEMBL1083363,active,,2.940695,-13.515944
CHEMBL1083364,active,,3.48809,-11.758491
CHEMBL1083667,active,,-0.753346,8.609223
CHEMBL1083668,active,,-0.732727,8.753568
CHEMBL1083669,active,,19.343214,0.864556
CHEMBL1083670,active,,19.121431,0.793072
CHEMBL1083831,inactive,,-10.873077,-0.770919
CHEMBL1083832,inactive,,5.16972,-4.938269
CHEMBL1083994,active,,3.553979,-11.537127
CHEMBL1084145,inactive,,-9.393294,-8.735601
CHEMBL1084274,inactive,,0.478973,-7.700062
CHEMBL1084527,inactive,,3.012342,-11.800113
CHEMBL1084667,inactive,,-7.608735,-6.040677
CHEMBL1084706,active,,3.339667,-13.626258
CHEMBL1084707,active,,3.506498,-13.535496
CHEMBL1084772,active,,2.869858,-13.263687
CHEMBL1085009,active,,14.709022,-5.238885
CHEMBL1085010,active,,15.22055,-5.206546
CHEMBL1085013,active,,3.601975,-11.716142
CHEMBL1085016,active,,4.986287,-8.196213
CHEMBL1085270,active,,5.223423,-8.224833
CHEMBL1085441,inactive,,-9.655341,-2.418905
CHEMBL1085442,inactive,,-9.864531,-2.47504
CHEMBL1085444,inactive,,-13.419506,3.057831
CHEMBL1085694,inactive,,-10.095529,-1.544725
CHEMBL1085897,inactive,,-9.174729,-4.099817
CHEMBL1085898,inactive,,-8.869358,-2.753126
CHEMBL1085929,inactive,,-9.868312,-1.561634
CHEMBL1086005,active,,3.732068,-12.146463
CHEMBL1086077,active,,4.114339,-7.6523
CHEMBL1086149,inactive,,-9.71515,-1.904816
CHEMBL1086411,inactive,,-8.808371,-6.223178
CHEMBL1086542,active,,5.296391,-6.171686
CHEMBL1089052,inactive,,-8.965475,-7.925591
CHEMBL1089053,inactive,,-8.741595,-7.592158
CHEMBL1089386,inactive,,-9.721358,-1.689133
CHEMBL1089387,inactive,,-9.739623,-2.02895
CHEMBL1089395,inactive,,-11.053402,-0.924557
CHEMBL1089734,active,,-9.163556,-0.976883
CHEMBL1089735,inactive,,-4.606334,-6.997906
CHEMBL1090416,inactive,,-9.038024,-5.844672
CHEMBL1090424,inactive,,-7.909046,-8.126091
CHEMBL1090425,inactive,,-8.847636,-7.845772
CHEMBL1091478,inactive,,-8.813339,-5.642723
CHEMBL1091479,inactive,,-8.738101,-5.77098
CHEMBL1091816,inactive,,-8.861384,-7.606298
CHEMBL1092502,inactive,,-10.5741,-2.743424
CHEMBL1093086,inactive,,-9.541389,-5.812759
CHEMBL1093385,inactive,,-8.504828,-5.767871
CHEMBL1093387,inactive,,-9.631509,-6.952457
CHEMBL1094715,inactive,,-8.997384,-6.586191
CHEMBL1094785,active,,-14.824682,-11.075163
CHEMBL1095042,inactive,,-8.782173,-6.050625
CHEMBL1095305,inactive,,-18.525803,-0.865313
CHEMBL117405,active,,15.361584,10.199954
CHEMBL1204009,active,,1.8152,-6.417193
CHEMBL1204416,inactive,,-8.551154,-5.696702
CHEMBL1221540,active,,4.397003,20.529358
CHEMBL1221542,active,,4.708714,20.853842
