,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-10.785903,3.251044
CHEMBL104127,inactive,,-6.163685,2.581826
CHEMBL104180,inactive,,-8.432923,3.295609
CHEMBL104222,inactive,,-11.869462,2.198994
CHEMBL104377,inactive,,-6.197029,2.597682
CHEMBL104551,inactive,,-9.971978,2.786984
CHEMBL104981,inactive,,-9.771994,3.76171
CHEMBL105968,inactive,,-8.280926,3.262605
CHEMBL106487,inactive,,-10.597873,2.984553
CHEMBL106746,inactive,,-10.402736,2.574049
CHEMBL1077199,inactive,,-9.449753,-3.581142
CHEMBL1077238,inactive,,-9.641192,-0.549382
CHEMBL1078394,inactive,,-9.603832,-2.290116
CHEMBL1078495,inactive,,-11.122806,-1.257098
CHEMBL1078575,inactive,,-11.689861,-2.041733
CHEMBL1078695,active,,-12.039716,-1.165258
CHEMBL1078696,inactive,,-4.081339,-6.673933
CHEMBL1078876,inactive,,-4.280424,-6.840556
CHEMBL1082500,active,,3.182075,-7.215412
CHEMBL1082501,active,,4.649068,-8.638295
CHEMBL1082827,active,,4.397329,-7.657137
CHEMBL1082828,active,,2.627679,-8.45868
CHEMBL1083053,active,,3.944682,-12.411954
CHEMBL1083216,inactive,,-13.099228,-0.592625
CHEMBL1083363,active,,2.987403,-13.587712
CHEMBL1083364,active,,3.599761,-11.721954
CHEMBL1083366,active,,4.028605,-12.950937
CHEMBL1083666,active,,4.054314,-12.737628
CHEMBL1083667,active,,-0.785804,8.668325
CHEMBL1083668,active,,-0.720797,8.762758
CHEMBL1083669,active,,19.317163,0.854763
CHEMBL1083670,active,,19.259752,0.814355
CHEMBL1083831,inactive,,-10.837478,-0.491399
CHEMBL1083832,inactive,,5.649221,-4.860923
CHEMBL1083994,active,,4.540211,-12.559437
CHEMBL1084136,inactive,,-8.313075,-8.010697
CHEMBL1084138,inactive,,-10.543585,-1.857438
CHEMBL1084144,inactive,,-9.686709,-0.462425
CHEMBL1084145,inactive,,-9.138648,-8.641255
CHEMBL1084274,inactive,,4.053537,-12.922412
CHEMBL1084527,inactive,,3.052104,-11.872381
CHEMBL1084667,inactive,,-7.471905,-7.465034
CHEMBL1084706,active,,3.253473,-13.770252
CHEMBL1084707,active,,3.473495,-13.629615
CHEMBL1084772,active,,2.858348,-13.352852
CHEMBL1085009,active,,14.637521,-5.298834
CHEMBL1085010,active,,15.02288,-5.307655
CHEMBL1085013,active,,3.377733,-11.522654
CHEMBL1085016,active,,4.846557,-8.110713
CHEMBL1085270,active,,5.375804,-7.760893
CHEMBL1085441,inactive,,-9.951368,-2.276164
CHEMBL1085442,inactive,,-10.197474,-2.526691
CHEMBL1085444,inactive,,-13.249276,2.722457
CHEMBL1085694,inactive,,-9.734727,-1.668197
CHEMBL1085897,inactive,,-9.137676,-3.614197
CHEMBL1085898,inactive,,-9.081642,-3.157312
CHEMBL1085928,inactive,,-9.762157,-1.769644
CHEMBL1085929,inactive,,-9.349725,-1.734835
CHEMBL1086005,active,,3.951667,-12.38238
CHEMBL1086077,active,,3.723597,-7.307182
CHEMBL1086149,inactive,,-9.615619,-1.449665
CHEMBL1086411,inactive,,-8.087971,-7.084108
CHEMBL1086542,active,,4.576258,-8.772091
CHEMBL1088076,inactive,,-12.168202,-1.329103
CHEMBL1089052,inactive,,-8.694179,-7.715747
CHEMBL1089053,inactive,,-8.274281,-7.80759
CHEMBL1089386,inactive,,-9.581985,-1.819308
CHEMBL1089387,inactive,,-9.315672,-1.770896
CHEMBL1089395,inactive,,-11.495313,-1.131081
CHEMBL1089734,active,,-11.653543,-0.950886
CHEMBL1089735,inactive,,-4.3271,-6.836867
CHEMBL1090416,inactive,,-7.980368,-7.024152
CHEMBL1090424,inactive,,-8.353183,-7.938359
CHEMBL1090425,inactive,,-8.783432,-7.974233
CHEMBL1091478,inactive,,-9.017517,-5.782951
CHEMBL1091479,inactive,,-8.118644,-6.149223
CHEMBL1091816,inactive,,-9.637103,-6.865429
CHEMBL1092502,inactive,,-9.374993,-1.999166
CHEMBL1093086,inactive,,-9.668821,-7.287544
CHEMBL1093385,inactive,,-9.110557,-6.129211
CHEMBL1093387,inactive,,-9.808528,-7.302495
CHEMBL1094715,inactive,,-8.821849,-6.766149
CHEMBL1095042,inactive,,-7.957845,-6.966529
CHEMBL117405,active,,15.275053,9.847763
CHEMBL1204009,active,,1.36486,-6.27666
CHEMBL1204416,inactive,,-9.079761,-6.056502
CHEMBL1221540,active,,4.316226,20.453537
CHEMBL1221541,active,,4.429209,20.874002
CHEMBL1221589,active,,-23.684769,-9.225848
CHEMBL1221590,active,,-23.805304,-9.097576
CHEMBL1221636,active,,-23.907629,-8.645902
CHEMBL1221683,active,,5.244852,21.195553
CHEMBL1221736,active,,5.60315,21.486629
CHEMBL1221802,active,,12.735664,-8.43793
CHEMBL1221804,active,,-23.600758,-8.908303
