,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.272696,3.545613
CHEMBL104127,inactive,,-6.362316,2.973542
CHEMBL104180,inactive,,-8.449451,3.158509
CHEMBL104222,inactive,,-12.329448,3.000837
CHEMBL104551,inactive,,-10.24756,3.018342
CHEMBL104981,inactive,,-6.789091,2.263687
CHEMBL105968,inactive,,-8.436862,3.492106
CHEMBL106487,inactive,,-12.956651,2.217568
CHEMBL106746,inactive,,-10.783458,3.109134
CHEMBL1077199,inactive,,-8.900578,-3.322247
CHEMBL1077238,inactive,,-9.471607,-0.864485
CHEMBL1078394,inactive,,-10.525204,-2.937306
CHEMBL1078395,inactive,,-11.093652,-3.154495
CHEMBL1078575,inactive,,-11.864435,-1.024785
CHEMBL1078695,active,,-11.520788,-1.1856
CHEMBL1078696,inactive,,-4.308929,-6.917839
CHEMBL1078876,inactive,,-4.491613,-7.007759
CHEMBL1082500,active,,3.360578,-7.274832
CHEMBL1082501,active,,5.255989,-5.050014
CHEMBL1082827,active,,4.102687,-6.849234
CHEMBL1082828,active,,2.752601,-7.241798
CHEMBL1083053,active,,3.907096,-12.159321
CHEMBL1083363,active,,2.937701,-13.547393
CHEMBL1083364,active,,3.301179,-11.356291
CHEMBL1083366,active,,4.103035,-12.959853
CHEMBL1083666,active,,4.468922,-12.921348
CHEMBL1083667,active,,-0.755555,8.597346
CHEMBL1083668,active,,-0.742303,8.727988
CHEMBL1083669,active,,19.368746,0.901088
CHEMBL1083670,active,,19.191202,0.820621
CHEMBL1083831,inactive,,-10.71045,-0.901487
CHEMBL1083994,active,,4.46765,-12.017752
CHEMBL1084136,inactive,,-8.639598,-7.94915
CHEMBL1084138,inactive,,-9.813855,-1.727593
CHEMBL1084144,inactive,,-9.486742,-0.773419
CHEMBL1084145,inactive,,-9.34166,-8.680537
CHEMBL1084274,inactive,,4.215541,-12.964522
CHEMBL1084527,inactive,,3.032161,-11.83992
CHEMBL1084667,inactive,,-7.717957,-6.026021
CHEMBL1084706,active,,3.076154,-13.619175
CHEMBL1084707,active,,3.505171,-13.942925
CHEMBL1084772,active,,2.86942,-13.355569
CHEMBL1085009,active,,14.559529,-5.31302
CHEMBL1085010,active,,14.70647,-5.604257
CHEMBL1085013,active,,3.492182,-11.553737
CHEMBL1085016,active,,4.701052,-7.9648
CHEMBL1085270,active,,5.436938,-7.613651
CHEMBL1085442,inactive,,-10.134766,-2.700491
CHEMBL1085444,inactive,,-13.499743,3.076437
CHEMBL1085694,inactive,,-9.720227,-1.609791
CHEMBL1085897,inactive,,-9.414856,-3.947685
CHEMBL1085898,inactive,,-9.077731,-3.154045
CHEMBL1085928,inactive,,-9.619221,-1.566829
CHEMBL1085929,inactive,,-9.590285,-1.65429
CHEMBL1086005,active,,4.022085,-12.59734
CHEMBL1086077,active,,4.039487,-7.598662
CHEMBL1086149,inactive,,-9.677083,-1.693775
CHEMBL1086411,inactive,,-8.420199,-6.876101
CHEMBL1086542,active,,5.420215,-5.920338
CHEMBL1089052,inactive,,-9.248331,-6.950479
CHEMBL1089053,inactive,,-9.059967,-7.215786
CHEMBL1089386,inactive,,-9.983912,-1.790866
CHEMBL1089387,inactive,,-9.775022,-1.86283
CHEMBL1089395,inactive,,-9.446488,-2.047364
CHEMBL1089735,inactive,,-4.160542,-6.631596
CHEMBL1090416,inactive,,-9.123216,-5.74639
CHEMBL1090424,inactive,,-8.318262,-7.821995
CHEMBL1090425,inactive,,-9.437669,-6.941993
CHEMBL1091479,inactive,,-8.899704,-5.714249
CHEMBL1091816,inactive,,-9.170796,-7.283579
CHEMBL1092502,inactive,,-10.776948,-2.753646
CHEMBL1093086,inactive,,-9.560085,-6.669292
CHEMBL1093385,inactive,,-9.049953,-6.269956
CHEMBL1093387,inactive,,-9.756334,-6.783237
CHEMBL1094715,inactive,,-9.183859,-6.05201
CHEMBL1095042,inactive,,-9.013871,-5.865407
CHEMBL117405,active,,15.213254,9.809268
CHEMBL1204416,inactive,,-9.039127,-6.213909
CHEMBL1221540,active,,4.300239,20.46069
CHEMBL1221542,active,,4.539752,20.666826
CHEMBL1221587,active,,-23.5968,-9.575555
CHEMBL1221589,active,,-23.852198,-9.116875
CHEMBL1221636,active,,-23.844402,-8.821792
CHEMBL1221679,active,,4.35011,20.760138
CHEMBL1221681,active,,-23.165424,-7.903933
CHEMBL1221736,active,,5.640274,21.514755
CHEMBL1221802,active,,6.087285,21.88489
CHEMBL1221803,active,,-23.215649,-9.971621
CHEMBL1221861,active,,-23.281057,-10.128127
CHEMBL1221862,active,,-20.59713,-6.551456
CHEMBL122990,active,,-11.759661,-15.203304
CHEMBL1233771,active,,-6.101948,-12.410958
CHEMBL124584,inactive,,-10.51422,0.401086
CHEMBL124863,active,,-10.264698,-0.139436
CHEMBL125246,inactive,,-9.073162,2.030442
CHEMBL1255596,active,,-15.119166,-1.69596
CHEMBL1256786,active,,-14.333732,-11.164061
CHEMBL1257323,inactive,,-16.926891,-0.951194
