,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.42906,3.795989
CHEMBL104127,inactive,,-6.412792,3.134766
CHEMBL104180,inactive,,-8.61446,3.299733
CHEMBL104222,inactive,,-12.844588,2.78137
CHEMBL104377,inactive,,-6.318802,2.953463
CHEMBL104551,inactive,,-10.517429,3.339512
CHEMBL104981,inactive,,-10.787535,3.814164
CHEMBL105968,inactive,,-8.517603,3.467565
CHEMBL106487,inactive,,-11.76967,4.182078
CHEMBL106746,inactive,,-11.76206,2.383792
CHEMBL1077199,inactive,,-8.804976,-3.185881
CHEMBL1077238,inactive,,-10.568841,0.097053
CHEMBL1078394,inactive,,-10.084805,-2.471448
CHEMBL1078395,inactive,,-10.562783,-2.249829
CHEMBL1078495,inactive,,-10.763962,0.508595
CHEMBL1078575,inactive,,-11.117853,-1.124723
CHEMBL1078695,active,,-14.053587,2.693006
CHEMBL1078696,inactive,,-4.720818,-7.153861
CHEMBL1078876,inactive,,-4.481527,-6.915169
CHEMBL1082500,active,,3.946717,-5.895849
CHEMBL1082501,active,,5.447223,-4.662184
CHEMBL1082827,active,,4.023447,-6.567232
CHEMBL1082828,active,,2.608962,-6.499123
CHEMBL1083053,active,,4.010496,-12.369204
CHEMBL1083216,inactive,,-12.099359,-1.25188
CHEMBL1083363,active,,2.913838,-13.550563
CHEMBL1083364,active,,3.559449,-11.73479
CHEMBL1083366,active,,4.175482,-13.130553
CHEMBL1083666,active,,4.420151,-12.967446
CHEMBL1083667,active,,-0.742937,8.554979
CHEMBL1083668,active,,-0.765832,8.763553
CHEMBL1083669,active,,19.354918,0.856005
CHEMBL1083670,active,,19.297344,0.818154
CHEMBL1083831,inactive,,-11.937724,-0.191736
CHEMBL1083994,active,,4.543707,-12.433905
CHEMBL1084136,inactive,,-8.977756,-6.309311
CHEMBL1084138,inactive,,-11.066369,-2.069119
CHEMBL1084144,inactive,,-11.312174,0.013022
CHEMBL1084145,inactive,,-9.18802,-8.654169
CHEMBL1084274,inactive,,4.278297,-13.136226
CHEMBL1084527,inactive,,3.015952,-11.880132
CHEMBL1084667,inactive,,-7.476136,-6.11678
CHEMBL1084706,active,,3.269111,-13.822088
CHEMBL1084707,active,,3.522013,-13.970872
CHEMBL1084772,active,,2.813233,-13.315635
CHEMBL1085009,active,,14.683187,-5.254624
CHEMBL1085010,active,,15.097556,-5.504604
CHEMBL1085013,active,,3.410541,-11.365124
CHEMBL1085016,active,,5.027002,-7.965636
CHEMBL1085270,active,,5.520545,-7.499627
CHEMBL1085441,inactive,,-10.498199,-2.658758
CHEMBL1085442,inactive,,-9.94913,-2.592772
CHEMBL1085444,inactive,,-13.531667,3.009395
CHEMBL1085897,inactive,,-8.905581,-5.238906
CHEMBL1085898,inactive,,-9.967477,-3.787892
CHEMBL1085928,inactive,,-10.033734,-1.685991
CHEMBL1085929,inactive,,-12.08384,-2.029188
CHEMBL1086005,active,,3.928754,-12.354609
CHEMBL1086077,active,,4.154479,-7.3984
CHEMBL1086149,inactive,,-9.847836,-1.827447
CHEMBL1086411,inactive,,-8.88137,-5.920319
