,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-11.698877,3.843428
CHEMBL104127,inactive,,-6.413682,3.197444
CHEMBL104180,inactive,,-8.08887,3.103559
CHEMBL104222,inactive,,-10.964989,3.387912
CHEMBL104377,inactive,,-6.142525,2.85501
CHEMBL104551,inactive,,-12.479649,1.983162
CHEMBL104981,inactive,,-10.358768,4.025337
CHEMBL105968,inactive,,-8.529969,3.605459
CHEMBL106487,inactive,,-11.376968,3.76835
CHEMBL106746,inactive,,-12.427783,3.141642
CHEMBL1077199,inactive,,-9.34401,-3.82543
CHEMBL1077238,inactive,,-10.381406,0.219764
CHEMBL1078394,inactive,,-10.397131,-2.561674
CHEMBL1078395,inactive,,-11.02396,-2.986101
CHEMBL1078495,inactive,,-12.534973,-0.385623
CHEMBL1078575,inactive,,-10.886612,-1.196146
CHEMBL1078695,active,,-11.613039,-1.109158
CHEMBL1078696,inactive,,-4.328682,-7.049212
CHEMBL1078876,inactive,,-3.960447,-6.504772
CHEMBL1082500,active,,3.86688,-6.878975
CHEMBL1082501,active,,4.887245,-6.484141
CHEMBL1082827,active,,4.294011,-7.47009
CHEMBL1082828,active,,2.922035,-7.903405
CHEMBL1083053,active,,4.098563,-12.47806
CHEMBL1083216,inactive,,-12.000153,-1.270227
CHEMBL1083363,active,,2.947913,-13.586822
CHEMBL1083364,active,,3.510694,-11.738902
CHEMBL1083366,active,,4.30351,-13.106761
CHEMBL1083666,active,,4.369534,-12.909405
CHEMBL1083667,active,,-0.794878,8.64938
CHEMBL1083668,active,,-0.736363,8.771964
CHEMBL1083669,active,,19.349758,0.856381
CHEMBL1083670,active,,19.270475,0.819759
CHEMBL1083831,inactive,,-11.757396,-0.428917
CHEMBL1083832,inactive,,5.261705,-5.631849
CHEMBL1083994,active,,4.588451,-12.484643
CHEMBL1084136,inactive,,-9.507557,-6.822318
CHEMBL1084138,inactive,,-10.228281,-2.107357
CHEMBL1084144,inactive,,-10.195735,-0.214308
CHEMBL1084145,inactive,,-9.462899,-8.12008
CHEMBL1084274,inactive,,4.287073,-13.075701
CHEMBL1084527,inactive,,3.125696,-11.943196
CHEMBL1084667,inactive,,-7.50366,-6.064663
CHEMBL1084706,active,,3.226755,-13.755295
CHEMBL1084707,active,,3.584425,-13.932975
CHEMBL1084772,active,,3.035116,-13.325106
CHEMBL1085009,active,,14.803576,-5.18195
CHEMBL1085010,active,,15.085017,-5.230087
CHEMBL1085013,active,,3.699558,-11.984671
CHEMBL1085016,active,,4.830678,-8.289282
CHEMBL1085270,active,,5.186885,-8.284318
CHEMBL1085441,inactive,,-9.63133,-2.203318
CHEMBL1085442,inactive,,-10.462038,-2.386513
CHEMBL1085444,inactive,,-13.78045,2.882626
CHEMBL1085694,inactive,,-10.610072,-2.207939
CHEMBL1085898,inactive,,-9.872133,-3.69102
CHEMBL1085928,inactive,,-9.792625,-2.019971
CHEMBL1085929,inactive,,-10.695029,-2.067542
CHEMBL1086005,active,,4.032377,-12.502612
CHEMBL1086077,active,,4.083447,-7.485679
CHEMBL1086149,inactive,,-10.476789,-2.388505
CHEMBL1086411,inactive,,-8.982862,-5.909328
CHEMBL1086542,active,,5.20128,-6.522035
CHEMBL1088076,inactive,,-12.271982,-1.131545
CHEMBL1089052,inactive,,-9.014254,-7.475673
CHEMBL1089053,inactive,,-8.871912,-7.257547
CHEMBL1089386,inactive,,-9.835006,-1.758054
CHEMBL1089387,inactive,,-9.778491,-1.757749
CHEMBL1089395,inactive,,-11.110065,-1.107184
CHEMBL1089734,active,,-12.009678,0.051799
CHEMBL1089735,inactive,,-4.495906,-6.74715
CHEMBL1090416,inactive,,-9.11359,-6.034606
CHEMBL1090424,inactive,,-9.026329,-7.288472
CHEMBL1090425,inactive,,-9.002345,-7.488451
CHEMBL1091478,inactive,,-8.976731,-5.709905
CHEMBL1091479,inactive,,-8.617071,-5.746895
CHEMBL1091816,inactive,,-8.740833,-7.660982
CHEMBL1092502,inactive,,-9.815962,-2.355178
CHEMBL1093086,inactive,,-9.587867,-6.184532
CHEMBL1093385,inactive,,-9.220226,-5.636394
CHEMBL1093387,inactive,,-9.762631,-6.392709
CHEMBL1094715,inactive,,-9.302864,-6.173001
CHEMBL1094785,active,,-15.300756,-11.335897
CHEMBL1095042,inactive,,-9.067751,-6.095885
CHEMBL117405,active,,15.152015,9.808055
CHEMBL1201237,active,,16.067415,6.536533
CHEMBL1204009,active,,-0.052861,-4.915763
CHEMBL1204416,inactive,,-9.196909,-5.727176
CHEMBL1221540,active,,4.451753,20.548634
CHEMBL1221541,active,,4.607727,20.92642
CHEMBL1221542,active,,4.628594,20.8535
CHEMBL1221543,active,,4.960697,20.413757
CHEMBL1221586,active,,19.995897,-5.570777
CHEMBL1221587,active,,-23.304071,-9.784957
CHEMBL1221588,active,,-22.984434,-9.849809
CHEMBL1221589,active,,-23.609381,-9.140529
CHEMBL1221590,active,,-23.226643,-9.197174
CHEMBL1221634,active,,-23.668552,-8.794159
CHEMBL1221635,active,,-23.517651,-8.823801
CHEMBL1221636,active,,-23.499712,-8.310203
CHEMBL1221637,active,,-22.97444,-10.145708
CHEMBL1221638,active,,-22.957861,-9.931164
CHEMBL1221679,active,,4.220699,20.70577
CHEMBL1221681,active,,-23.081095,-7.715048
CHEMBL1221682,active,,5.293655,21.213369
CHEMBL1221732,active,,-22.86491,-7.227181
CHEMBL1221735,active,,5.356676,20.476427
CHEMBL1221736,active,,5.696387,21.559454
CHEMBL1221802,active,,6.151153,21.940098
CHEMBL1221804,active,,-23.139183,-8.580444
CHEMBL1221861,active,,-23.278984,-10.100437
CHEMBL1221862,active,,5.739878,21.053316
CHEMBL122990,active,,-11.739105,-15.212461
CHEMBL1233771,active,,-6.046008,-12.382724
CHEMBL124584,inactive,,-9.974807,-0.368919
CHEMBL125168,active,,-7.186984,9.984574
CHEMBL125246,inactive,,-9.097958,2.062938
CHEMBL1255596,active,,-15.593673,-1.265298
CHEMBL1256786,active,,-13.720609,-10.557247
CHEMBL1257323,inactive,,-17.176119,-0.959009
CHEMBL1257554,active,,-16.521551,-0.608552
CHEMBL1257555,inactive,,-16.520643,-0.358721
CHEMBL1257675,active,,-16.309597,-0.422227
CHEMBL1257676,active,,-15.955024,-0.841262
CHEMBL1257797,active,,-15.925759,-0.830268
CHEMBL1257913,active,,-15.795082,-0.9973
CHEMBL1257914,active,,-15.713914,-1.202723
CHEMBL1257915,active,,-15.748262,-1.048128
CHEMBL1257916,inactive,,-15.934188,-1.160999
CHEMBL1258024,active,,-15.969239,-0.802004
CHEMBL1258025,active,,-16.341179,-2.634867
CHEMBL1258142,active,,-16.45376,-1.284984
CHEMBL1258143,active,,-16.690905,-2.381649
CHEMBL1258223,inactive,,14.268519,1.720649
CHEMBL1258257,active,,-15.697833,-1.156116
CHEMBL1258258,active,,-15.571986,-1.32474
CHEMBL1258260,active,,-16.288671,0.00801
CHEMBL1258370,active,,-15.784895,-1.129559
CHEMBL1258372,active,,-6.030754,-4.948333
CHEMBL1258373,inactive,,-6.325353,-4.846812
CHEMBL1258452,inactive,,15.051609,2.659424
