,activity,extra_tooltip,x,y
CHEMBL104061,inactive,,-12.638263,3.554021
CHEMBL104127,inactive,,-6.254418,2.782727
CHEMBL104180,inactive,,-8.000479,2.921226
CHEMBL104377,inactive,,-6.150254,2.867785
CHEMBL104551,inactive,,-8.022428,2.827489
CHEMBL104981,inactive,,-10.143064,3.680953
CHEMBL105968,inactive,,-8.577353,3.361707
CHEMBL106487,inactive,,-12.43209,4.168612
CHEMBL106746,inactive,,-11.477785,3.345517
CHEMBL1077199,inactive,,-9.419264,-3.757836
CHEMBL1077238,inactive,,-11.070922,0.225459
CHEMBL1078394,inactive,,-9.977468,-2.598276
CHEMBL1078495,inactive,,-12.734016,-0.070201
CHEMBL1078575,inactive,,-10.769433,-1.152756
CHEMBL1078695,active,,-13.063613,-0.370285
CHEMBL1078696,inactive,,-4.228628,-6.918634
CHEMBL1078876,inactive,,-3.970549,-6.706537
CHEMBL1082500,active,,3.272717,-6.940951
CHEMBL1082501,active,,5.164827,-4.865877
CHEMBL1082827,active,,4.216375,-6.987125
CHEMBL1082828,active,,2.448806,-5.826079
CHEMBL1083053,active,,4.121799,-12.61695
CHEMBL1083216,inactive,,-12.101806,-1.219199
CHEMBL1083363,active,,2.889936,-13.562611
CHEMBL1083364,active,,3.362522,-11.608132
CHEMBL1083366,active,,4.203167,-12.975883
CHEMBL1083666,active,,4.391845,-13.04519
CHEMBL1083667,active,,-0.834591,8.698216
CHEMBL1083668,active,,-0.710131,8.791759
CHEMBL1083669,active,,19.285496,0.875458
CHEMBL1083670,active,,19.296669,0.811273
CHEMBL1083831,inactive,,-10.883018,-0.520359
CHEMBL1083832,inactive,,4.99975,-5.051057
CHEMBL1083994,active,,4.600421,-12.395618
CHEMBL1084136,inactive,,-8.411588,-7.945308
CHEMBL1084138,inactive,,-11.079896,-2.414868
CHEMBL1084144,inactive,,-10.536179,0.114873
CHEMBL1084145,inactive,,-9.356292,-8.651974
CHEMBL1084274,inactive,,4.320728,-13.110211
CHEMBL1084527,inactive,,3.05253,-11.93819
CHEMBL1084667,inactive,,-7.599521,-5.930537
CHEMBL1084706,active,,3.311105,-13.841166
CHEMBL1084707,active,,3.561597,-13.886186
CHEMBL1084772,active,,2.978562,-13.375654
CHEMBL1085009,active,,14.7365,-5.304635
CHEMBL1085010,active,,15.06577,-5.414894
CHEMBL1085013,active,,3.764455,-12.088796
CHEMBL1085016,active,,5.027757,-8.082681
CHEMBL1085270,active,,5.049856,-8.120493
CHEMBL1085441,inactive,,-10.252721,-2.526796
CHEMBL1085442,inactive,,-9.932811,-2.338688
CHEMBL1085444,inactive,,-14.06479,2.934152
CHEMBL1085694,inactive,,-10.843564,-2.349398
CHEMBL1085897,inactive,,-9.181722,-3.89039
CHEMBL1085898,inactive,,-9.400302,-4.763561
CHEMBL1085928,inactive,,-10.924048,-1.919344
CHEMBL1085929,inactive,,-11.716836,-2.264676
CHEMBL1086005,active,,3.944185,-12.408563
CHEMBL1086077,active,,4.016831,-7.765803
CHEMBL1086149,inactive,,-10.434833,-1.999876
CHEMBL1086411,inactive,,-9.331943,-5.698729
CHEMBL1086542,active,,5.061444,-5.397554
CHEMBL1088076,inactive,,-12.44625,-0.968303
CHEMBL1089052,inactive,,-8.870739,-7.559692
CHEMBL1089053,inactive,,-8.809255,-7.266178
CHEMBL1089387,inactive,,-9.970531,-1.705416
CHEMBL1089395,inactive,,-11.289907,-1.044643
CHEMBL1089734,active,,-11.357088,-1.008725
CHEMBL1089735,inactive,,-4.414747,-6.827304
CHEMBL1090416,inactive,,-8.674329,-6.140013
CHEMBL1090424,inactive,,-9.329213,-6.924625
CHEMBL1090425,inactive,,-9.095388,-7.612819
CHEMBL1091479,inactive,,-8.601825,-5.638204
CHEMBL1091816,inactive,,-9.148929,-7.402225
CHEMBL1092502,inactive,,-9.730013,-2.361734
CHEMBL1093086,inactive,,-9.605059,-6.630135
CHEMBL1093385,inactive,,-9.177469,-5.678341
CHEMBL1093387,inactive,,-9.77148,-6.604743
CHEMBL1094715,inactive,,-9.482228,-6.367269
CHEMBL1095042,inactive,,-9.015123,-6.137017
CHEMBL117405,active,,15.28643,9.92701
CHEMBL1201237,active,,16.516951,6.917565
CHEMBL1204009,active,,3.33695,-5.963626
CHEMBL1204416,inactive,,-9.102628,-5.735237
CHEMBL1221540,active,,29.222731,-2.404738
CHEMBL1221542,active,,4.610134,20.737707
CHEMBL1221543,active,,4.905882,20.299358
CHEMBL1221586,active,,20.008524,-5.580549
CHEMBL1221588,active,,-22.999544,-9.909333
CHEMBL1221589,active,,-23.43376,-9.261357
CHEMBL1221590,active,,-23.478271,-9.193106
CHEMBL1221636,active,,-23.469336,-8.45716
CHEMBL1221637,active,,-22.964891,-10.037399
CHEMBL1221679,active,,4.326259,20.679304
CHEMBL1221681,active,,-22.940844,-7.640585
CHEMBL1221683,active,,5.400865,21.319473
CHEMBL1221734,active,,5.297195,20.432621
