,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,-6.58661,3.22238
CHEMBL104180,inactive,,-8.686576,3.26043
CHEMBL104222,inactive,,-11.623853,3.656125
CHEMBL104377,inactive,,-6.38331,3.138626
CHEMBL104551,inactive,,-8.74557,3.27537
CHEMBL105968,inactive,,-8.464541,3.395277
CHEMBL106487,inactive,,-13.266476,2.848709
CHEMBL1077199,inactive,,-8.854475,-3.419034
CHEMBL1077238,inactive,,-12.298905,0.220163
CHEMBL1078394,inactive,,-9.771229,-2.340805
CHEMBL1078395,inactive,,-11.093906,-2.972846
CHEMBL1078495,inactive,,-12.487755,-0.629365
CHEMBL1078575,inactive,,-11.308949,-1.163111
CHEMBL1078695,active,,-11.877692,-0.940105
CHEMBL1078696,inactive,,-4.196666,-7.025299
CHEMBL1078876,inactive,,-4.244564,-6.916214
CHEMBL1082500,active,,2.870347,-6.628247
CHEMBL1082501,active,,5.102221,-4.872253
CHEMBL1082827,active,,4.295697,-6.720874
CHEMBL1082828,active,,2.923669,-8.221569
CHEMBL1083053,active,,4.089899,-12.433483
CHEMBL1083216,inactive,,-13.219859,-0.051683
CHEMBL1083363,active,,2.979068,-13.611901
CHEMBL1083364,active,,3.444383,-11.716876
CHEMBL1083366,active,,4.323923,-13.164041
CHEMBL1083666,active,,4.380354,-13.029655
CHEMBL1083667,active,,-0.81439,8.659968
CHEMBL1083668,active,,-0.758953,8.754625
CHEMBL1083669,active,,19.340799,0.86383
CHEMBL1083670,active,,19.325529,0.859887
CHEMBL1083831,inactive,,-10.65898,-0.822534
CHEMBL1083832,inactive,,5.265431,-5.620449
CHEMBL1083994,active,,4.424228,-12.379225
CHEMBL1084136,inactive,,-9.378172,-6.981196
CHEMBL1084138,inactive,,-11.291092,-2.345628
CHEMBL1084144,inactive,,-10.472562,-0.068118
CHEMBL1084145,inactive,,-9.790806,-7.200073
CHEMBL1084274,inactive,,4.279745,-13.075456
CHEMBL1084527,inactive,,3.020706,-11.756019
CHEMBL1084667,inactive,,-7.691593,-5.997743
CHEMBL1084706,active,,3.171337,-13.739606
CHEMBL1084707,active,,3.650574,-13.939055
CHEMBL1084772,active,,2.915587,-13.377158
CHEMBL1085009,active,,14.560307,-5.389571
CHEMBL1085010,active,,15.043762,-5.489748
CHEMBL1085013,active,,3.900437,-11.965078
CHEMBL1085016,active,,4.769633,-8.337731
CHEMBL1085270,active,,5.07405,-8.11325
CHEMBL1085441,inactive,,-9.531919,-2.177338
CHEMBL1085442,inactive,,-9.624634,-2.267535
CHEMBL1085444,inactive,,-13.688968,2.627698
CHEMBL1085694,inactive,,-11.244443,-2.289406
CHEMBL1085897,inactive,,-9.375475,-4.034042
CHEMBL1085898,inactive,,-9.314854,-3.25815
CHEMBL1085928,inactive,,-10.934857,0.036742
CHEMBL1085929,inactive,,-10.341639,-2.387462
CHEMBL1086005,active,,3.976018,-12.491949
CHEMBL1086077,active,,4.197306,-7.712085
CHEMBL1086149,inactive,,-10.720568,-2.189364
CHEMBL1086411,inactive,,-8.759516,-6.299666
CHEMBL1086542,active,,5.25455,-5.343251
CHEMBL1088076,inactive,,-12.328941,-1.156324
CHEMBL1089052,inactive,,-8.926098,-7.736877
CHEMBL1089053,inactive,,-9.018716,-7.165613
CHEMBL1089386,inactive,,-10.686351,-1.916011
CHEMBL1089387,inactive,,-9.677203,-1.831107
CHEMBL1089395,inactive,,-12.023407,-0.763488
CHEMBL1089734,active,,-11.721159,-0.987694
CHEMBL1089735,inactive,,-4.825161,-7.047264
CHEMBL1090416,inactive,,-8.830308,-6.035579
CHEMBL1090424,inactive,,-8.976795,-7.287242
CHEMBL1090425,inactive,,-9.10415,-7.616348
CHEMBL1091479,inactive,,-8.701694,-5.665502
CHEMBL1091816,inactive,,-9.048898,-7.490847
CHEMBL1092502,inactive,,-10.348201,-2.409889
CHEMBL1093086,inactive,,-9.563419,-6.816572
CHEMBL1093385,inactive,,-9.214449,-5.535767
CHEMBL1093387,inactive,,-9.65197,-6.805519
CHEMBL1094715,inactive,,-8.986763,-5.835391
CHEMBL1094785,active,,-14.184387,-10.698548
CHEMBL1095042,inactive,,-9.401339,-7.059869
CHEMBL117405,active,,15.467326,10.367309
CHEMBL1201237,active,,16.299286,6.967124
CHEMBL1204009,active,,2.282473,-6.311313
CHEMBL1204416,inactive,,-9.14522,-5.641066
CHEMBL1221540,active,,4.343616,20.564619
CHEMBL1221542,active,,4.697943,20.943083
CHEMBL1221543,active,,4.972314,20.323637
CHEMBL1221587,active,,-23.255428,-9.619426
CHEMBL1221588,active,,-22.898245,-9.910806
CHEMBL1221589,active,,-23.498749,-9.261733
CHEMBL1221590,active,,-23.300077,-8.922892
CHEMBL1221634,active,,-23.810139,-8.829445
CHEMBL1221635,active,,-23.686647,-9.136096
CHEMBL1221636,active,,-23.423925,-8.972112
CHEMBL1221637,active,,-22.964567,-10.092968
CHEMBL1221679,active,,4.394578,20.739616
CHEMBL1221682,active,,5.417758,21.339769
CHEMBL1221683,active,,5.409781,21.344128
CHEMBL1221732,active,,-23.480131,-7.88783
CHEMBL1221734,active,,5.350276,20.439356
CHEMBL1221735,active,,5.34848,20.528135
CHEMBL1221736,active,,5.686893,21.57608
CHEMBL1221802,active,,6.101958,21.890171
CHEMBL1221803,active,,-23.167023,-10.039201
CHEMBL1221804,active,,-23.3829,-8.640931
CHEMBL1221861,active,,-23.188835,-10.012307
CHEMBL1221862,active,,-20.614355,-6.55096
CHEMBL122990,active,,-11.769413,-15.198818
CHEMBL1233771,active,,-6.127346,-12.459739
CHEMBL123745,active,,-16.164778,6.214221
CHEMBL124584,inactive,,-11.116242,0.508741
CHEMBL124863,active,,-13.546527,0.605985
CHEMBL125168,active,,-7.176396,9.991858
CHEMBL125246,inactive,,-9.461153,2.076151
CHEMBL1255596,active,,-15.346971,-1.486785
CHEMBL1256786,active,,-13.649184,-10.594626
CHEMBL1257323,inactive,,-16.91765,-1.018234
CHEMBL1257554,active,,-15.583577,-1.320133
CHEMBL1257555,inactive,,-15.422854,-1.379609
CHEMBL1257675,active,,-16.044279,-0.597686
CHEMBL1257676,active,,-15.689425,-1.048572
CHEMBL1257797,active,,-15.360031,-1.35448
CHEMBL1257913,active,,-15.150085,-1.582435
CHEMBL1257914,active,,-15.273859,-1.55296
CHEMBL1257915,active,,-15.359715,-1.447158
CHEMBL1257916,inactive,,-15.17807,-1.575188
CHEMBL1258024,active,,-15.52599,-1.390705
CHEMBL1258025,active,,-16.216471,-2.703557
