,activity,extra_tooltip,x,y
CHEMBL104127,inactive,,-6.396417,2.957697
CHEMBL104180,inactive,,-8.265712,3.217959
CHEMBL104222,inactive,,-12.286131,2.934082
CHEMBL104377,inactive,,-6.352592,2.960224
CHEMBL104551,inactive,,-9.456134,3.277517
CHEMBL104981,inactive,,-10.16549,3.959368
CHEMBL105968,inactive,,-8.449935,3.509928
CHEMBL106487,inactive,,-12.924647,5.085058
CHEMBL106746,inactive,,-10.898114,3.022723
CHEMBL1077199,inactive,,-9.27556,-3.690588
CHEMBL1078394,inactive,,-9.74104,-2.289428
CHEMBL1078395,inactive,,-10.248839,-2.251743
CHEMBL1078495,inactive,,-11.505533,0.020669
CHEMBL1078575,inactive,,-11.307391,-1.188223
CHEMBL1078695,active,,-12.869488,-0.598705
CHEMBL1078696,inactive,,-4.558689,-7.115662
CHEMBL1078876,inactive,,-4.314957,-6.960896
CHEMBL1082500,active,,4.028196,-5.851764
CHEMBL1082501,active,,5.28078,-5.107368
CHEMBL1082827,active,,4.117272,-7.644644
CHEMBL1082828,active,,2.875657,-6.982844
CHEMBL1083053,active,,4.064117,-12.56854
CHEMBL1083216,inactive,,-12.758578,-0.821276
CHEMBL1083363,active,,2.956294,-13.530484
CHEMBL1083364,active,,3.804128,-11.165406
CHEMBL1083366,active,,4.289505,-13.089347
CHEMBL1083666,active,,4.332968,-12.885338
CHEMBL1083667,active,,-0.64975,8.500777
CHEMBL1083668,active,,-0.726248,8.690031
CHEMBL1083669,active,,19.352407,0.869341
CHEMBL1083670,active,,19.28965,0.839441
CHEMBL1083831,inactive,,-10.914908,-0.82379
CHEMBL1083832,inactive,,5.25933,-5.400955
CHEMBL1083994,active,,4.583306,-12.302635
CHEMBL1084136,inactive,,-9.018982,-7.126864
CHEMBL1084138,inactive,,-11.11891,-2.385684
CHEMBL1084145,inactive,,-9.566487,-6.928091
CHEMBL1084274,inactive,,4.195692,-13.041895
CHEMBL1084527,inactive,,3.011889,-11.911633
CHEMBL1084667,inactive,,-7.657249,-6.130466
CHEMBL1084706,active,,3.140299,-13.715209
CHEMBL1084707,active,,3.678231,-14.025955
CHEMBL1084772,active,,2.945952,-13.373794
CHEMBL1085009,active,,14.53898,-5.284781
CHEMBL1085010,active,,15.08977,-5.26557
CHEMBL1085013,active,,3.444406,-11.625304
CHEMBL1085016,active,,4.937879,-8.403822
CHEMBL1085270,active,,5.391554,-8.175991
CHEMBL1085441,inactive,,-9.790706,-2.369369
CHEMBL1085442,inactive,,-9.707951,-2.302191
CHEMBL1085444,inactive,,-13.706753,2.611685
CHEMBL1085694,inactive,,-10.058703,-2.274747
CHEMBL1085897,inactive,,-9.179455,-4.07285
CHEMBL1085898,inactive,,-9.56435,-3.876425
CHEMBL1085929,inactive,,-10.828576,-2.641582
CHEMBL1086005,active,,4.032191,-12.615586
CHEMBL1086077,active,,3.872753,-7.314675
CHEMBL1086149,inactive,,-10.279592,-2.44811
CHEMBL1086411,inactive,,-9.012116,-6.217684
CHEMBL1086542,active,,5.535862,-4.813847
CHEMBL1088076,inactive,,-11.901347,-1.186632
CHEMBL1089052,inactive,,-9.12429,-7.393928
CHEMBL1089053,inactive,,-8.63502,-6.189183
CHEMBL1089386,inactive,,-10.255873,-1.801459
CHEMBL1089387,inactive,,-10.131393,-2.848512
CHEMBL1089395,inactive,,-11.10669,-0.940677
CHEMBL1089734,active,,-12.112153,-1.131802
CHEMBL1089735,inactive,,-4.284374,-6.729884
CHEMBL1090416,inactive,,-8.884228,-5.965483
CHEMBL1090424,inactive,,-9.069671,-7.185338
CHEMBL1090425,inactive,,-9.166542,-7.411034
CHEMBL1091478,inactive,,-8.459742,-6.334986
CHEMBL1091479,inactive,,-8.58788,-5.665713
CHEMBL1091816,inactive,,-8.974986,-7.470568
CHEMBL1092502,inactive,,-10.026247,-2.449839
CHEMBL1093086,inactive,,-9.775198,-6.271016
CHEMBL1093385,inactive,,-9.46552,-5.569604
CHEMBL1093387,inactive,,-9.896051,-6.113819
CHEMBL1094715,inactive,,-9.761419,-6.130098
CHEMBL1095042,inactive,,-9.419988,-5.686635
CHEMBL117405,active,,15.431965,10.270707
CHEMBL1204009,active,,2.274556,-6.341527
CHEMBL1204416,inactive,,-9.382859,-5.633833
CHEMBL1221540,active,,4.42997,20.610279
CHEMBL1221541,active,,4.523615,20.914057
CHEMBL1221542,active,,4.631775,20.821255
CHEMBL1221543,active,,4.928617,20.387722
CHEMBL1221586,active,,19.989513,-5.576858
CHEMBL1221588,active,,-23.057556,-9.813972
CHEMBL1221589,active,,-23.444441,-9.39923
CHEMBL1221590,active,,-23.896233,-9.010095
CHEMBL1221635,active,,-23.486731,-8.890725
CHEMBL1221636,active,,-23.408392,-8.624285
CHEMBL1221637,active,,-23.054497,-10.188382
CHEMBL1221638,active,,-22.997316,-10.209606
CHEMBL1221732,active,,-22.973101,-7.684787
CHEMBL1221735,active,,5.291148,20.351978
CHEMBL1221736,active,,5.560194,21.461971
CHEMBL1221802,active,,6.099342,21.890112
CHEMBL1221803,active,,-23.262398,-9.90489
CHEMBL1221804,active,,-23.138803,-8.942582
CHEMBL1221861,active,,-23.332996,-10.091252
CHEMBL1221862,active,,-20.563665,-6.518486
CHEMBL122990,active,,-11.757372,-15.202039
CHEMBL1233771,active,,-6.114872,-12.463291
CHEMBL124584,inactive,,-9.764603,-0.595851
CHEMBL124863,active,,-12.910057,-0.112466
CHEMBL125168,active,,-7.198647,9.957103
CHEMBL125246,inactive,,-9.251372,2.222192
CHEMBL1255596,active,,-15.628338,-1.243206
CHEMBL1256786,active,,-13.654054,-10.475902
CHEMBL1257323,inactive,,-17.151531,-0.686517
CHEMBL1257554,active,,-16.491816,-0.231414
CHEMBL1257555,inactive,,-16.286596,-0.534439
CHEMBL1257675,active,,-16.283619,-0.438883
CHEMBL1257676,active,,-15.793628,-0.931912
CHEMBL1257797,active,,-16.085438,-0.506526
CHEMBL1257913,active,,-15.825515,-0.86417
CHEMBL1257914,active,,-16.105215,-0.705594
CHEMBL1257915,active,,-15.844963,-1.047987
CHEMBL1257916,inactive,,-16.175341,-0.738173
CHEMBL1258024,active,,-16.350737,-0.277782
CHEMBL1258025,active,,-16.353996,-2.653751
CHEMBL1258142,active,,-16.528791,-0.832178
CHEMBL1258143,active,,-16.798223,-2.451242
CHEMBL1258223,inactive,,14.337091,1.760769
CHEMBL1258257,active,,-15.914487,-0.965215
CHEMBL1258258,active,,-15.58796,-1.358437
CHEMBL1258260,active,,-16.600565,0.413532
CHEMBL1258370,active,,-15.71307,-1.179265
CHEMBL1258372,active,,-6.044924,-4.913975
CHEMBL1258373,inactive,,-6.487924,-4.616813
CHEMBL1258452,inactive,,14.841685,2.177127
CHEMBL1258483,active,,-16.019342,-0.761393
CHEMBL1258484,active,,-15.684535,-0.88214
CHEMBL1258596,active,,-15.567887,-1.262474
CHEMBL1258597,active,,-15.71348,-1.121782
CHEMBL1258599,active,,-5.934863,-5.030437
CHEMBL1258671,inactive,,14.423064,1.892113
CHEMBL1258704,active,,-15.615418,-1.08276
CHEMBL1258705,active,,-15.760572,-1.083829
CHEMBL126055,active,,-7.36235,9.720398
CHEMBL12633,active,,-15.507951,-12.404678
CHEMBL12674,active,,-12.910256,1.928168
CHEMBL127422,active,,-11.013851,0.150829
CHEMBL12876,active,,-14.668684,-12.262777
CHEMBL12939,active,,-16.866817,6.763983
CHEMBL12945,inactive,,-9.223844,2.609579
CHEMBL12994,active,,-14.470777,-11.915752
CHEMBL13,inactive,,13.678082,8.014103
CHEMBL13003,active,,-11.084621,3.123619
CHEMBL13079,active,,-12.674212,1.921642
CHEMBL13102,active,,-14.421636,-11.544043
CHEMBL13132,active,,-18.322292,13.60929
CHEMBL13432,inactive,,-17.387253,5.963646
CHEMBL1346,active,,6.542905,-7.735396
CHEMBL13467,active,,-16.953281,7.247925
CHEMBL137781,inactive,,26.546989,10.470347
CHEMBL143865,inactive,,-21.635656,25.741207
CHEMBL157138,active,,26.674671,10.35335
CHEMBL1620339,inactive,,15.266993,2.190403
CHEMBL1622248,inactive,,-9.995599,-11.447036
