,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,4.986895,-13.55587
CHEMBL101686,active,,0.264599,-10.160106
CHEMBL101690,active,,5.380483,0.905481
CHEMBL103479,inactive,,-2.055525,-0.904006
CHEMBL103503,active,,-2.308084,7.153387
CHEMBL103550,inactive,,-2.472889,-0.648854
CHEMBL104,inactive,,-3.699159,9.794714
CHEMBL104158,inactive,,1.210031,14.520432
CHEMBL104720,inactive,,-6.672545,-1.923
CHEMBL105091,inactive,,-6.441953,-2.058282
CHEMBL105369,active,,-7.793993,-7.056805
CHEMBL105556,active,,6.47099,10.56874
CHEMBL107487,active,,4.205988,5.493482
CHEMBL107511,active,,1.821806,20.842134
CHEMBL107617,active,,4.813495,10.303513
CHEMBL109360,active,,-5.32947,0.65454
CHEMBL109839,active,,2.202071,-3.495234
CHEMBL110318,active,,0.715506,-1.998488
CHEMBL110601,active,,0.009661,-1.985753
CHEMBL111150,active,,4.009359,7.005987
CHEMBL111283,active,,4.001515,9.550592
CHEMBL111284,active,,3.120176,7.739097
CHEMBL111302,active,,7.414307,-3.54559
CHEMBL111316,active,,2.106947,21.046412
CHEMBL111899,active,,-0.217432,-17.463593
CHEMBL112507,active,,-1.902966,-15.181347
CHEMBL112558,active,,-3.666591,-16.754992
CHEMBL11262,inactive,,4.767287,4.764108
CHEMBL11265,inactive,,-3.102567,-16.264576
CHEMBL113831,active,,3.45433,-14.671245
CHEMBL113868,active,,1.64735,-13.987945
CHEMBL113994,active,,-3.06558,-13.667362
CHEMBL114012,inactive,,2.022431,-14.316652
CHEMBL11425,inactive,,0.517768,-12.613959
CHEMBL114303,active,,-3.058487,-18.086153
CHEMBL114780,active,,1.47411,-7.346198
CHEMBL114877,active,,2.899107,-14.522621
CHEMBL115352,active,,-1.270473,-16.773193
CHEMBL115663,active,,-2.211006,-13.043072
CHEMBL115750,active,,-3.860786,-12.885369
CHEMBL115941,active,,-3.151223,-14.115036
CHEMBL115989,active,,-2.951511,-16.298922
CHEMBL116031,active,,-1.994508,-9.627995
CHEMBL116092,active,,-1.554654,14.16488
CHEMBL116153,active,,-4.135787,-13.497185
CHEMBL116161,active,,-1.956621,-17.332659
CHEMBL116463,inactive,,-4.45492,-17.987883
CHEMBL117046,active,,-2.704959,-16.26436
CHEMBL117397,active,,-1.416397,-13.304176
CHEMBL117579,active,,-2.583522,-13.001822
CHEMBL117633,active,,-4.845687,-4.616895
CHEMBL11787,inactive,,-5.734859,-12.986877
CHEMBL118012,active,,-1.445046,-15.869238
CHEMBL1189234,inactive,,0.505177,20.160542
CHEMBL119443,active,,2.350599,13.717648
CHEMBL119668,active,,-3.709205,-15.707115
CHEMBL119800,active,,-0.221073,10.215633
CHEMBL1201356,active,,0.165425,11.707417
CHEMBL1201939,active,,-1.952409,4.044213
CHEMBL12124,inactive,,-1.070866,5.08845
CHEMBL12264,inactive,,0.173221,-9.888144
CHEMBL12314,inactive,,-5.563857,-0.47612
CHEMBL1241548,active,,-1.277,8.884306
CHEMBL1241640,active,,-0.387264,-8.685364
