,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,-0.150824,0.509267
CHEMBL10085,inactive,,-3.68071,-11.809639
CHEMBL101686,active,,0.2579,-7.508148
CHEMBL101690,active,,6.535997,-1.641724
CHEMBL103479,inactive,,-2.862007,-0.787333
CHEMBL103503,active,,-3.357462,4.226
CHEMBL103550,inactive,,-1.931669,3.65639
CHEMBL104158,inactive,,6.239811,10.461281
CHEMBL104720,inactive,,-6.691811,-2.143205
CHEMBL105091,inactive,,-6.624492,-2.216966
CHEMBL105369,active,,-7.739052,-7.987138
CHEMBL105556,active,,-3.407208,-0.897984
CHEMBL107487,active,,-1.805944,1.648195
CHEMBL107617,active,,-1.482945,0.223263
CHEMBL109360,active,,-5.059693,0.514059
CHEMBL109839,active,,-2.454548,-0.403598
CHEMBL110318,active,,-2.276214,-11.628864
CHEMBL110601,active,,-5.491228,-8.552099
CHEMBL111150,active,,1.876762,8.965871
CHEMBL111283,active,,2.7019,8.131097
CHEMBL111284,active,,2.163403,13.434825
CHEMBL111316,active,,1.820176,21.719372
CHEMBL111376,active,,2.947291,14.48681
CHEMBL111899,active,,-0.182883,-17.394758
CHEMBL112507,active,,0.130329,-12.086146
CHEMBL112558,active,,-1.397774,-15.838503
CHEMBL11262,inactive,,4.794817,4.869924
CHEMBL11265,inactive,,-2.420469,-16.262594
CHEMBL113831,active,,-1.595269,-16.23189
CHEMBL113868,active,,1.432243,-13.916167
CHEMBL113994,active,,-3.349725,-13.58684
CHEMBL114012,inactive,,2.165915,-14.213101
CHEMBL11425,inactive,,-1.973468,-11.891072
CHEMBL114303,active,,-0.896138,-17.211843
CHEMBL114780,active,,3.109125,-3.224319
CHEMBL114877,active,,3.497496,-14.989695
CHEMBL115352,active,,-2.724215,-17.21641
CHEMBL115663,active,,-2.19328,-12.773808
CHEMBL115750,active,,1.23356,-5.823714
CHEMBL115941,active,,-6.193086,-14.065926
CHEMBL115989,active,,-1.532005,-13.949542
CHEMBL116031,active,,-2.633378,-8.240681
CHEMBL116092,active,,-1.656657,13.067661
CHEMBL116153,active,,-3.171104,-13.803265
CHEMBL116161,active,,-1.022276,-16.924221
CHEMBL116463,inactive,,-3.942772,-17.880238
CHEMBL117046,active,,-2.320913,-15.742505
CHEMBL117397,active,,2.193439,-8.883089
CHEMBL117579,active,,-1.095462,-12.54372
CHEMBL117633,active,,-3.010756,-14.134483
CHEMBL11787,inactive,,-6.45214,-14.837046
CHEMBL118012,active,,-0.494643,-16.630308
CHEMBL118360,active,,-0.740681,14.482594
