,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,4.171792,-7.726293
CHEMBL101686,active,,-2.945401,-11.63444
CHEMBL101690,active,,2.704043,4.793888
CHEMBL103479,inactive,,-2.313976,-0.876272
CHEMBL103503,active,,2.445391,8.262115
CHEMBL103550,inactive,,-2.172873,-4.774009
CHEMBL104158,inactive,,6.01045,9.580029
CHEMBL104720,inactive,,-6.587412,-2.742178
CHEMBL105091,inactive,,4.491418,4.825456
CHEMBL105369,active,,-5.698906,-3.57881
CHEMBL105556,active,,-7.721442,-2.359964
CHEMBL107487,active,,4.425407,6.067976
CHEMBL107617,active,,1.917948,4.574532
CHEMBL109360,active,,7.084788,13.420206
CHEMBL109526,active,,2.517897,19.503616
CHEMBL109839,active,,-1.661218,-5.069849
CHEMBL110317,active,,2.336665,20.717787
CHEMBL110318,active,,-0.580298,4.870535
CHEMBL110601,active,,-0.321111,-4.160937
CHEMBL111150,active,,2.634375,10.249032
CHEMBL111284,active,,2.959172,6.721668
CHEMBL111302,active,,4.60662,-8.304856
CHEMBL111316,active,,2.381813,21.101521
CHEMBL111376,active,,2.24974,17.129564
CHEMBL111899,active,,-0.840625,-17.563307
CHEMBL112507,active,,-0.368504,-12.515525
CHEMBL112558,active,,-1.797846,-16.088915
CHEMBL11262,inactive,,4.196652,6.503008
CHEMBL11265,inactive,,0.458908,-12.627001
CHEMBL113831,active,,-3.405127,-16.674109
CHEMBL113868,active,,4.810415,-8.306193
CHEMBL113994,active,,2.02265,-4.506392
CHEMBL114012,inactive,,3.104972,-12.037833
CHEMBL11425,inactive,,4.669759,-3.297191
CHEMBL114303,active,,-0.968723,-17.219332
CHEMBL114780,active,,3.006678,-7.316369
CHEMBL114877,active,,3.281994,-13.063186
CHEMBL115352,active,,-0.70216,-16.68434
CHEMBL115663,active,,2.878318,-7.80231
CHEMBL115750,active,,-1.270447,-12.294411
CHEMBL115941,active,,6.757218,-3.321025
CHEMBL115989,active,,4.295594,-13.500805
CHEMBL116031,active,,-0.598226,-14.411184
CHEMBL116092,active,,0.961771,15.452677
CHEMBL116153,active,,4.561819,-4.111942
CHEMBL116161,active,,-0.215699,-16.848106
CHEMBL116463,inactive,,0.560971,-15.212734
CHEMBL117046,active,,-1.842998,-15.727619
CHEMBL117397,active,,4.858201,-10.293877
CHEMBL117579,active,,-1.270372,-12.609493
CHEMBL117633,active,,-1.67203,-1.949569
CHEMBL11787,inactive,,-3.19932,-10.854611
CHEMBL118012,active,,0.819853,-15.68974
CHEMBL118360,active,,-2.355484,12.001426
CHEMBL1189234,inactive,,-0.469936,19.960665
CHEMBL119668,active,,3.588477,-11.212441
CHEMBL1201356,active,,-0.475574,16.107323
CHEMBL1201939,active,,-7.432599,-2.011722
CHEMBL12264,inactive,,0.215333,-10.228576
CHEMBL1241548,active,,3.058078,1.309168
CHEMBL1241640,active,,-7.19265,-1.048109
CHEMBL1241641,active,,-1.58973,8.346561
CHEMBL1255837,active,,2.512447,-16.13415
CHEMBL125745,active,,0.512222,16.414944
CHEMBL1258452,inactive,,5.672438,-3.89103
CHEMBL1258614,inactive,,0.755165,10.45603
CHEMBL1258671,inactive,,-1.247529,2.851354
CHEMBL1258722,inactive,,0.15709,9.309668
CHEMBL1258723,inactive,,-2.562648,10.690078
CHEMBL1258843,inactive,,1.867824,11.270964
CHEMBL12624,inactive,,-1.664615,-9.012113
CHEMBL12713,active,,2.212728,-0.118432
CHEMBL1277104,inactive,,2.919309,10.028731
CHEMBL1277105,inactive,,-2.709384,1.783054
CHEMBL1277837,inactive,,-1.45707,0.186447
CHEMBL1278,active,,-5.325156,3.266207
CHEMBL1279,active,,1.194824,20.253469
CHEMBL128,active,,0.546646,11.618785
CHEMBL1289394,active,,-2.859803,10.372104
CHEMBL129813,active,,2.006037,-12.56223
CHEMBL1306,inactive,,6.970708,-6.342105
CHEMBL132657,inactive,,6.019039,-1.516644
CHEMBL132878,inactive,,0.564612,7.835539
CHEMBL132970,inactive,,-0.737426,22.369591
CHEMBL133375,inactive,,2.405678,-15.203408
CHEMBL133455,inactive,,3.475071,21.831381
CHEMBL133868,inactive,,3.806056,21.811663
CHEMBL133939,inactive,,5.392786,9.033647
CHEMBL135335,inactive,,3.600423,14.90707
CHEMBL135489,inactive,,6.141562,10.024137
CHEMBL135490,inactive,,5.515026,23.499605
CHEMBL135952,inactive,,-1.858937,-12.552011
CHEMBL136072,inactive,,1.475063,19.906591
CHEMBL136108,inactive,,2.414453,15.193506
CHEMBL136236,active,,0.924993,17.387802
CHEMBL136311,inactive,,1.53189,21.475122
CHEMBL136962,inactive,,3.603618,6.258483
CHEMBL137478,inactive,,7.451336,-5.16777
CHEMBL137486,inactive,,1.993886,-15.646544
CHEMBL137621,inactive,,-1.376053,11.52383
CHEMBL137642,inactive,,3.740841,10.155539
CHEMBL137643,inactive,,3.580837,20.092562
CHEMBL138509,inactive,,0.493514,20.356712
CHEMBL138907,inactive,,2.836099,7.797976
CHEMBL139230,inactive,,5.064857,20.265907
CHEMBL139737,inactive,,-0.171492,16.002293
CHEMBL139976,inactive,,0.526855,19.281549
CHEMBL1403281,active,,2.431042,-13.839802
CHEMBL140358,inactive,,4.611647,15.72364
CHEMBL1416204,active,,2.700817,20.73374
CHEMBL141706,inactive,,0.301109,-5.882371
CHEMBL143512,active,,3.363627,17.258402
CHEMBL143767,active,,5.396511,6.926816
CHEMBL143893,active,,-0.638987,-15.219322
CHEMBL143947,active,,-0.218465,-16.65065
CHEMBL143951,active,,-2.449991,-11.405203
CHEMBL143952,active,,3.830157,-12.751648
CHEMBL143967,active,,-0.656155,-5.574369
CHEMBL145849,active,,-0.758823,-17.07353
CHEMBL145982,active,,1.929909,-14.999522
CHEMBL145997,active,,-0.648424,-15.087097
CHEMBL146023,active,,-2.254721,-17.89348
CHEMBL146024,active,,2.211293,-13.682056
CHEMBL146131,active,,4.411923,-14.662624
CHEMBL146132,active,,-3.165013,-16.832478
CHEMBL146265,active,,3.73427,-15.057181
CHEMBL146335,active,,-1.665542,-16.205458
CHEMBL146338,active,,3.051414,-14.85391
CHEMBL146391,active,,-0.701137,-17.055983
CHEMBL146396,active,,-1.147884,-14.181305
CHEMBL146483,active,,-1.072851,-17.049347
CHEMBL146502,active,,-0.033702,-16.248611
CHEMBL146628,active,,-1.543779,-16.729904
CHEMBL146729,active,,-1.731431,-15.206838
CHEMBL146891,active,,-1.682758,-15.652317
CHEMBL146991,active,,1.318982,-14.080456
CHEMBL147077,inactive,,-2.153973,-19.039293
CHEMBL147148,active,,1.772328,-14.144159
CHEMBL147503,active,,6.19297,-2.770571
CHEMBL147546,active,,3.48498,-14.672431
CHEMBL147555,active,,2.091818,-14.452013
CHEMBL147660,active,,-0.879945,-17.391003
CHEMBL147818,active,,2.181072,-13.839544
CHEMBL147853,active,,3.416246,-15.054966
CHEMBL147901,active,,-8.523988,-10.098742
CHEMBL147907,active,,-0.812579,-14.20023
CHEMBL147940,active,,-1.771359,-13.264385
CHEMBL147979,active,,1.418031,-13.108488
CHEMBL148022,active,,-6.304204,-13.890871
CHEMBL148071,active,,0.404107,-16.370548
CHEMBL148087,active,,-2.093808,-16.132397
CHEMBL148110,active,,-3.102364,-14.071278
CHEMBL148194,active,,-0.659318,-16.427618
CHEMBL148233,active,,-0.415,-14.105628
CHEMBL148325,active,,2.077707,-13.779017
CHEMBL149488,active,,-0.798074,-17.132755
CHEMBL151420,active,,-1.085423,-5.830582
CHEMBL151894,active,,4.311429,-10.508178
CHEMBL153136,active,,2.707347,-5.170832
CHEMBL157110,inactive,,-1.140267,22.203722
CHEMBL157138,active,,1.443518,7.041769
CHEMBL15837,active,,1.280114,-14.524946
CHEMBL15855,active,,7.117425,-5.302455
CHEMBL158627,inactive,,-3.100876,-5.892922
CHEMBL158638,active,,1.933659,15.262897
CHEMBL159332,active,,4.05725,7.023516
CHEMBL159396,active,,-3.42999,14.540549
CHEMBL159483,active,,-2.733978,-14.811328
CHEMBL159493,active,,-1.676458,-5.188109
CHEMBL159536,inactive,,-2.373431,4.157885
CHEMBL15961,active,,-1.876407,-10.119164
CHEMBL159627,active,,-3.238112,-3.82548
CHEMBL159650,active,,4.422422,-10.378918
CHEMBL159683,active,,-0.908708,-12.411397
CHEMBL159759,active,,-2.166996,-12.921494
CHEMBL159819,active,,-2.013513,-11.581237
CHEMBL160070,active,,2.827064,-13.97863
CHEMBL16035,active,,0.598451,6.321966
CHEMBL161045,active,,5.096669,9.509275
CHEMBL161066,active,,-2.238472,-12.356797
CHEMBL161176,active,,-0.945675,-12.221728
CHEMBL161410,active,,-1.48923,-12.827195
CHEMBL161696,active,,2.920835,-6.840043
CHEMBL161723,active,,2.463753,-10.181822
CHEMBL161735,active,,-0.133275,-11.129657
CHEMBL161780,active,,-2.233956,-10.818328
CHEMBL161969,inactive,,1.938362,-2.193568
CHEMBL161970,active,,-1.944963,-6.940355
CHEMBL162463,active,,0.390607,5.303514
CHEMBL162722,active,,-0.841551,-12.888823
CHEMBL162724,active,,1.903198,-3.2472
CHEMBL162805,active,,-0.291458,-8.153922
CHEMBL162858,active,,-3.028184,-12.105027
CHEMBL162930,active,,0.071218,12.940158
CHEMBL163114,active,,4.244926,-12.215665
CHEMBL163127,active,,3.070731,-12.98135
CHEMBL163151,active,,-1.863695,-2.105032
CHEMBL1631539,active,,-1.755175,7.940782
CHEMBL1631540,active,,5.379045,3.235918
CHEMBL1631544,active,,0.73147,4.453528
CHEMBL1631548,active,,-2.746113,-7.806162
CHEMBL1632158,inactive,,-1.237485,-2.197158
CHEMBL1632174,inactive,,0.036354,-7.923872
CHEMBL1632207,active,,1.400478,2.423706
CHEMBL1632210,active,,6.502853,0.878371
CHEMBL1632212,active,,-1.156908,-13.689748
CHEMBL1632213,active,,-2.708756,-13.985697
CHEMBL1632218,active,,4.946409,-1.461034
CHEMBL1632220,active,,-0.744113,13.059172
CHEMBL1632222,active,,-4.841873,-13.947451
CHEMBL1632223,active,,-6.947412,-14.227966
CHEMBL163386,active,,0.861361,-7.234801
CHEMBL163462,active,,1.112299,-8.905166
CHEMBL163573,active,,-1.845791,-11.498349
CHEMBL164035,active,,3.14294,-13.141992
CHEMBL164046,active,,-1.985407,-13.211287
CHEMBL164111,active,,-0.529912,-5.476456
CHEMBL1642851,inactive,,-7.622108,-4.225801
CHEMBL1642882,inactive,,-6.165195,0.741243
CHEMBL1642886,inactive,,0.744415,-2.605834
CHEMBL1642889,inactive,,-1.396758,3.714196
CHEMBL164413,active,,1.527375,4.932842
CHEMBL168635,inactive,,0.034475,11.587564
CHEMBL169328,inactive,,0.262698,-5.96171
CHEMBL169956,inactive,,4.178612,0.374506
CHEMBL170192,active,,1.505881,14.872523
CHEMBL170845,inactive,,1.178649,18.334551
CHEMBL171129,active,,2.369141,17.783123
CHEMBL1732,active,,-0.874949,-15.805607
CHEMBL173656,active,,2.095467,-5.81348
CHEMBL1743629,inactive,,-0.898732,-12.496869
CHEMBL1744073,inactive,,4.289732,19.090973
CHEMBL1744074,inactive,,4.954368,19.560678
CHEMBL1744087,active,,-7.435684,-1.916118
CHEMBL1788197,active,,-2.281403,-10.495703
CHEMBL1788231,inactive,,3.217977,-11.873973
CHEMBL1788280,inactive,,3.462323,21.788092
CHEMBL1788282,inactive,,0.31095,20.332205
CHEMBL1788284,inactive,,5.181522,19.38652
CHEMBL1788285,inactive,,2.713669,21.074076
CHEMBL1794855,inactive,,5.345937,23.85004
CHEMBL18331,inactive,,4.360469,-1.767126
CHEMBL183460,active,,1.008695,-10.492131
CHEMBL184597,inactive,,2.595977,7.514882
CHEMBL186961,inactive,,-1.579579,22.632448
CHEMBL18785,active,,-1.285489,19.764797
CHEMBL18840,active,,1.82232,20.940931
CHEMBL18855,inactive,,4.593547,20.012947
CHEMBL1909072,inactive,,-1.240463,-7.321633
CHEMBL191605,active,,4.50748,0.610231
CHEMBL191971,active,,6.290975,-1.278581
CHEMBL191980,inactive,,-2.929311,3.865049
CHEMBL19264,inactive,,2.914748,21.491331
CHEMBL194647,active,,0.035677,5.376125
CHEMBL194837,active,,-3.352608,7.410997
CHEMBL195497,active,,1.668076,2.469751
CHEMBL196140,active,,1.963637,-8.114266
CHEMBL1963527,active,,-3.813179,9.703409
CHEMBL196914,active,,5.31708,-3.744703
CHEMBL196951,active,,0.708166,-5.257998
CHEMBL196958,active,,2.023264,1.21304
CHEMBL197007,active,,2.496022,-4.081297
CHEMBL200949,active,,1.011339,-1.194578
CHEMBL200950,active,,5.129815,-8.958106
CHEMBL202420,inactive,,5.53433,5.714842
CHEMBL202939,inactive,,4.884711,8.035988
CHEMBL2031737,inactive,,1.083854,-1.059195
CHEMBL203403,inactive,,4.996832,8.558435
CHEMBL203563,inactive,,1.568388,12.050088
CHEMBL204254,inactive,,5.011549,7.409378
CHEMBL204490,inactive,,3.52447,7.601423
CHEMBL204759,inactive,,-0.627624,9.560916
CHEMBL2058415,inactive,,-5.14038,19.912294
CHEMBL2058419,inactive,,-4.959116,19.88508
CHEMBL2058420,inactive,,-4.450408,20.233564
CHEMBL2058429,inactive,,-4.500175,19.951744
CHEMBL20771,active,,0.726831,7.663686
CHEMBL2079544,inactive,,-1.233141,19.975725
CHEMBL2079545,inactive,,0.99952,-4.338406
CHEMBL2079546,inactive,,2.421383,-2.967639
CHEMBL2079596,inactive,,3.085268,3.230077
CHEMBL2079597,inactive,,4.045212,23.004709
CHEMBL2079627,active,,7.088877,-5.700107
CHEMBL2093087,inactive,,2.702477,21.046278
CHEMBL209821,inactive,,0.973013,-6.066427
CHEMBL2110300,active,,-9.435863,-7.374078
CHEMBL2110366,inactive,,-0.277694,7.309462
CHEMBL2112317,inactive,,-1.301453,-16.583244
CHEMBL2112882,active,,2.154754,-15.804577
CHEMBL2113348,inactive,,0.813735,-1.928761
CHEMBL2113352,inactive,,2.364538,-13.473748
CHEMBL2114038,active,,-1.042197,-15.923364
CHEMBL2114040,active,,5.086441,-14.442225
CHEMBL213987,inactive,,-0.59849,5.177062
CHEMBL21724,active,,-2.578865,5.279994
CHEMBL2181166,inactive,,4.201083,-16.373598
CHEMBL2181168,inactive,,4.531195,-16.851473
CHEMBL2181169,inactive,,-8.802986,-0.009393
CHEMBL2181170,inactive,,-4.40599,0.506781
CHEMBL2181171,inactive,,2.460268,7.426088
CHEMBL2181187,inactive,,6.530201,-3.852538
CHEMBL2181188,inactive,,5.775672,-7.277153
CHEMBL2181189,inactive,,6.598803,-4.473708
CHEMBL2205812,inactive,,-0.917144,20.452757
CHEMBL2205817,inactive,,0.953975,14.013027
CHEMBL2205825,inactive,,-2.697688,17.983223
CHEMBL224267,active,,-1.65846,8.828012
CHEMBL225363,active,,5.483592,-0.82786
CHEMBL2260921,inactive,,4.02889,18.732609
CHEMBL2260924,inactive,,8.852935,-0.89419
CHEMBL2260925,inactive,,3.649949,21.353807
CHEMBL2260926,inactive,,3.183651,17.984221
CHEMBL2260927,inactive,,3.54,21.705564
CHEMBL2260929,active,,-5.247155,19.587788
