,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,4.986895,-13.55587
CHEMBL100086,inactive,,-0.150824,0.509267
CHEMBL100086,inactive,,4.171792,-7.726293
CHEMBL10085,inactive,,-3.68071,-11.809639
CHEMBL101686,active,,0.264599,-10.160106
CHEMBL101686,active,,0.2579,-7.508148
CHEMBL101686,active,,-2.945401,-11.63444
CHEMBL101690,active,,5.380483,0.905481
CHEMBL101690,active,,6.535997,-1.641724
CHEMBL101690,active,,2.704043,4.793888
CHEMBL103479,inactive,,-2.055525,-0.904006
CHEMBL103479,inactive,,-2.862007,-0.787333
CHEMBL103479,inactive,,-2.313976,-0.876272
CHEMBL103503,active,,-2.308084,7.153387
CHEMBL103503,active,,-3.357462,4.226
CHEMBL103503,active,,2.445391,8.262115
CHEMBL103550,inactive,,-2.472889,-0.648854
CHEMBL103550,inactive,,-1.931669,3.65639
CHEMBL103550,inactive,,-2.172873,-4.774009
CHEMBL104,inactive,,-3.699159,9.794714
CHEMBL104158,inactive,,1.210031,14.520432
CHEMBL104158,inactive,,6.239811,10.461281
CHEMBL104158,inactive,,6.01045,9.580029
CHEMBL104720,inactive,,-6.672545,-1.923
CHEMBL104720,inactive,,-6.691811,-2.143205
CHEMBL104720,inactive,,-6.587412,-2.742178
CHEMBL105091,inactive,,-6.441953,-2.058282
CHEMBL105091,inactive,,-6.624492,-2.216966
CHEMBL105091,inactive,,4.491418,4.825456
CHEMBL105369,active,,-7.793993,-7.056805
CHEMBL105369,active,,-7.739052,-7.987138
CHEMBL105369,active,,-5.698906,-3.57881
CHEMBL105556,active,,6.47099,10.56874
CHEMBL105556,active,,-3.407208,-0.897984
CHEMBL105556,active,,-7.721442,-2.359964
CHEMBL107487,active,,4.205988,5.493482
CHEMBL107487,active,,-1.805944,1.648195
CHEMBL107487,active,,4.425407,6.067976
CHEMBL107511,active,,1.821806,20.842134
CHEMBL107617,active,,4.813495,10.303513
CHEMBL107617,active,,-1.482945,0.223263
CHEMBL107617,active,,1.917948,4.574532
CHEMBL109360,active,,-5.32947,0.65454
CHEMBL109360,active,,-5.059693,0.514059
