,activity,extra_tooltip,x,y
CHEMBL101008,active,,3.870388,19.949846
CHEMBL103479,inactive,,5.201302,-0.196069
CHEMBL105261,inactive,,1.120889,7.564425
CHEMBL1067,inactive,,-0.039385,19.303646
CHEMBL1078745,active,,0.422692,-8.707077
CHEMBL1078896,inactive,,-5.809005,-3.37777
CHEMBL1079180,inactive,,0.65261,4.096471
CHEMBL1082723,inactive,,-3.743963,17.904148
CHEMBL1084617,inactive,,-1.422866,0.863405
CHEMBL1090757,inactive,,5.355397,15.158749
CHEMBL1091105,inactive,,3.118888,9.986822
CHEMBL1091452,inactive,,-7.377947,-2.065081
CHEMBL1092029,inactive,,-1.103553,15.716509
CHEMBL1092241,active,,0.156937,15.944807
CHEMBL1112,active,,1.165429,6.026969
CHEMBL1113,active,,-0.993257,14.554901
CHEMBL114012,inactive,,1.585619,-11.753778
CHEMBL116448,inactive,,4.550787,-16.233376
CHEMBL1170237,inactive,,-3.899714,20.534063
CHEMBL119443,active,,2.997014,13.069092
CHEMBL119709,inactive,,-8.418179,0.094854
CHEMBL1201356,active,,6.92344,12.736987
CHEMBL1214830,active,,7.216605,0.976703
CHEMBL1214894,active,,-4.457703,11.389577
CHEMBL1214961,active,,5.437334,12.879315
CHEMBL1214962,active,,-0.342453,1.300881
CHEMBL1215036,active,,-2.88531,5.814577
CHEMBL1221,inactive,,-9.415064,1.41868
CHEMBL1222554,inactive,,-2.718455,1.068339
CHEMBL1222623,inactive,,4.075597,-3.673048
CHEMBL1222692,active,,3.024205,-3.497715
CHEMBL1224036,inactive,,7.630431,9.468432
CHEMBL1224101,inactive,,7.63703,9.852042
CHEMBL1224102,inactive,,7.614372,9.85839
CHEMBL1224105,inactive,,7.653295,9.62383
CHEMBL1224106,inactive,,7.592059,9.704988
CHEMBL12264,inactive,,6.212423,-7.018075
CHEMBL12314,active,,2.116116,5.410906
CHEMBL1255834,active,,-8.04681,6.564335
CHEMBL1255837,active,,4.129931,-13.824639
CHEMBL1258223,active,,0.027082,-9.333715
CHEMBL1258452,inactive,,6.646356,-5.759954
CHEMBL1258723,inactive,,2.713168,2.893363
CHEMBL12624,inactive,,3.117535,-1.694474
CHEMBL1275709,inactive,,-2.151121,11.887334
CHEMBL1275791,inactive,,-2.119707,11.445628
CHEMBL1276860,inactive,,4.979748,-2.878534
CHEMBL1276948,active,,-9.3516,-7.807656
CHEMBL1277034,active,,8.175963,-9.772921
CHEMBL1277125,inactive,,7.941723,-8.983486
CHEMBL1277126,inactive,,7.948012,-9.112724
CHEMBL1277216,inactive,,7.957235,-9.254018
CHEMBL1277217,inactive,,2.448585,-9.55865
CHEMBL1277311,inactive,,-9.560159,-8.421042
CHEMBL1277401,inactive,,5.915174,-2.392423
CHEMBL1277491,inactive,,7.492339,-1.832104
CHEMBL1277492,inactive,,-9.469215,-9.541818
CHEMBL1277565,active,,-3.567254,12.469371
CHEMBL1277584,inactive,,7.726862,-9.372847
CHEMBL1277678,inactive,,7.506206,-8.759654
CHEMBL1277769,active,,7.942688,-9.597856
CHEMBL1277854,inactive,,7.813684,-8.980287
CHEMBL1277855,inactive,,4.877563,-4.528273
CHEMBL1277935,inactive,,3.689274,1.672766
CHEMBL1278019,inactive,,3.636892,1.863213
CHEMBL1278020,inactive,,3.518677,-8.356421
CHEMBL1278021,inactive,,7.788416,-9.158611
CHEMBL1278112,inactive,,7.754891,-8.882388
CHEMBL1278113,inactive,,4.626556,-2.944101
CHEMBL1278114,inactive,,-3.717131,-3.047558
CHEMBL1278116,active,,-1.662356,11.991804
CHEMBL1278202,active,,7.952785,-9.575083
CHEMBL131495,active,,-7.145066,-3.525221
CHEMBL131736,active,,4.745245,22.378021
CHEMBL133455,active,,3.384079,21.792109
CHEMBL133868,active,,3.407853,21.838238
CHEMBL135076,active,,3.374145,21.859341
CHEMBL1368005,inactive,,4.29974,10.449027
CHEMBL137781,active,,3.757198,4.64311
CHEMBL1385840,active,,3.814259,2.357589
CHEMBL1403281,active,,2.17583,-6.342905
CHEMBL14345,active,,-0.943707,12.970571
CHEMBL14606,active,,-2.863557,7.214143
CHEMBL14652,active,,-3.558317,18.555025
CHEMBL147434,active,,4.595076,20.521088
CHEMBL147656,active,,1.202132,22.143799
CHEMBL148091,active,,5.509415,17.688519
CHEMBL148463,active,,4.070232,22.800833
CHEMBL149024,active,,3.124817,20.645185
CHEMBL149564,active,,1.845009,18.067911
CHEMBL15245,active,,-1.302949,21.279083
CHEMBL157138,active,,3.402333,4.148917
CHEMBL1626,active,,5.56111,-2.592801
CHEMBL1628227,active,,-0.095703,12.593159
CHEMBL1631545,active,,-0.926178,9.06726
CHEMBL1632174,inactive,,-0.693148,-9.022874
CHEMBL1643900,inactive,,-0.211215,12.768381
CHEMBL1643902,inactive,,-1.004029,12.982109
CHEMBL1651091,inactive,,4.917518,19.652225
CHEMBL1651092,inactive,,4.786547,19.675848
CHEMBL1651093,inactive,,3.925427,14.3344
CHEMBL1670,inactive,,8.356811,6.843155
CHEMBL17157,active,,-1.926546,-18.282934
CHEMBL1729,active,,-3.640123,-11.722441
CHEMBL1732,active,,3.986494,-4.775855
CHEMBL1788231,inactive,,1.497142,-11.502299
CHEMBL1794855,inactive,,0.443041,16.730701
CHEMBL182150,active,,-1.640355,8.679002
CHEMBL1829958,inactive,,4.884923,19.679924
CHEMBL1829959,active,,3.305969,19.078178
CHEMBL1829961,inactive,,4.219825,19.502562
CHEMBL183460,inactive,,-0.236968,-10.695578
CHEMBL187928,inactive,,4.15389,-7.008266
CHEMBL188486,inactive,,0.806026,-4.486391
CHEMBL188605,active,,-2.190124,21.823898
CHEMBL1909072,active,,5.946802,-6.192163
CHEMBL1910140,active,,2.782376,-12.474187
CHEMBL19215,active,,-4.699945,0.321934
CHEMBL1940404,inactive,,5.890511,-4.809702
CHEMBL194588,inactive,,5.110907,18.319941
CHEMBL196514,active,,2.203187,0.624216
CHEMBL197170,inactive,,-2.699614,0.15688
CHEMBL197646,active,,2.136909,18.984003
CHEMBL198015,inactive,,-1.262584,8.76777
CHEMBL198097,inactive,,-3.443982,-4.371861
CHEMBL198123,inactive,,5.967591,14.152749
CHEMBL198171,active,,-0.54672,-0.46879
CHEMBL198192,inactive,,3.712321,14.056551
CHEMBL198458,inactive,,-0.300081,2.735324
CHEMBL198617,active,,5.744222,17.949795
CHEMBL198712,inactive,,-5.246104,10.745539
CHEMBL199385,active,,4.674739,19.586519
CHEMBL199775,active,,4.516515,19.318512
CHEMBL2,inactive,,-0.175019,11.888481
CHEMBL2031737,inactive,,-2.168222,1.639039
CHEMBL2031873,inactive,,1.1583,8.339355
CHEMBL2031874,inactive,,3.43144,6.692035
CHEMBL2031876,inactive,,6.699784,-6.880778
CHEMBL2031877,inactive,,-1.944244,12.203898
CHEMBL2031884,inactive,,1.305579,-0.154719
CHEMBL2031885,inactive,,2.483211,-6.319372
CHEMBL203230,active,,-2.179619,22.455914
CHEMBL203393,active,,-2.296951,21.607796
CHEMBL2037526,inactive,,4.010137,-11.232007
CHEMBL2058408,inactive,,-4.086691,20.005167
CHEMBL2058409,inactive,,-3.900473,20.443941
CHEMBL2058415,active,,-4.420056,20.284601
CHEMBL2058427,inactive,,-4.19456,19.602554
CHEMBL2058428,inactive,,-4.474265,19.847164
CHEMBL2058699,inactive,,-5.024879,19.977491
CHEMBL2058700,inactive,,-4.763382,20.289577
CHEMBL2058703,active,,-4.811499,19.866903
CHEMBL2058704,active,,-4.511887,19.97736
CHEMBL2059590,active,,3.037237,-8.586751
CHEMBL206618,inactive,,-1.817037,16.687963
CHEMBL208894,inactive,,6.274322,-0.217866
CHEMBL209424,inactive,,4.792981,-0.80127
CHEMBL209431,inactive,,1.307732,-14.860362
CHEMBL2096711,inactive,,-2.192458,22.975105
CHEMBL209727,inactive,,-1.031915,-1.511286
CHEMBL209821,inactive,,3.599583,-2.977665
CHEMBL209900,inactive,,0.591466,-3.199433
CHEMBL210059,inactive,,6.384928,-5.163731
CHEMBL211103,inactive,,-4.687902,-8.583342
CHEMBL211190,inactive,,-8.054146,-4.041276
CHEMBL211267,inactive,,-5.89196,-4.73014
CHEMBL211466,inactive,,-0.371567,-9.655595
CHEMBL211719,inactive,,2.479453,-10.317238
CHEMBL211850,inactive,,4.114492,8.8501
CHEMBL211980,inactive,,-2.760824,-4.222845
CHEMBL212228,active,,8.57157,-0.981509
CHEMBL212506,active,,7.867979,-2.49674
