,activity,extra_tooltip,x,y
CHEMBL101008,active,,3.34007,20.382616
CHEMBL103479,inactive,,6.68223,-0.803204
CHEMBL105261,inactive,,5.237413,4.046805
CHEMBL1065,active,,3.404418,15.00224
CHEMBL1067,inactive,,0.033178,18.769426
CHEMBL1078745,active,,1.265337,4.763653
CHEMBL1078896,inactive,,2.555566,0.713489
CHEMBL1079180,inactive,,3.662292,-1.611739
CHEMBL1082723,inactive,,-3.029994,21.045315
CHEMBL1084617,inactive,,-1.348044,6.736031
CHEMBL1090397,inactive,,1.281591,14.124638
CHEMBL1090399,inactive,,0.155829,19.038345
CHEMBL1090757,inactive,,2.868187,16.169325
CHEMBL1091104,inactive,,5.640369,13.385494
CHEMBL1091105,inactive,,-0.365172,-7.706841
CHEMBL1091206,active,,-4.552223,18.820547
CHEMBL1091452,inactive,,5.934098,3.843057
CHEMBL1091919,active,,1.017503,14.632861
CHEMBL1112,active,,0.235607,5.34314
CHEMBL114012,inactive,,1.878827,-14.602724
CHEMBL116448,inactive,,4.126423,-11.065454
CHEMBL1170237,inactive,,-3.784127,20.587982
CHEMBL1172,active,,-3.207792,14.714165
CHEMBL119443,active,,2.530443,13.261186
CHEMBL119709,inactive,,8.184945,6.908384
CHEMBL1201356,active,,6.781297,12.977714
CHEMBL1214830,active,,6.298033,2.218869
CHEMBL1214894,active,,-0.637965,8.40913
CHEMBL1214961,active,,6.203402,-4.771999
CHEMBL1214962,active,,-1.424181,-1.551461
CHEMBL1215036,active,,6.809043,-4.890415
CHEMBL1221,inactive,,-9.311517,1.353787
CHEMBL1222554,inactive,,0.450717,9.891589
CHEMBL1222623,inactive,,3.968468,-7.715035
CHEMBL1222692,active,,4.602151,-6.906552
CHEMBL1222693,active,,2.124092,10.131627
CHEMBL1222694,active,,-1.9381,7.847106
CHEMBL1222762,active,,-1.848131,-1.026665
CHEMBL1224036,inactive,,7.631764,9.576591
CHEMBL1224101,inactive,,7.64492,9.771301
CHEMBL1224102,inactive,,7.628605,9.852787
CHEMBL1224105,inactive,,7.63764,9.777017
CHEMBL1224106,inactive,,7.612335,9.617375
CHEMBL12264,inactive,,6.309668,-7.046406
CHEMBL12314,active,,-5.680012,-0.951242
CHEMBL1255834,active,,-8.050744,6.541216
CHEMBL1255837,active,,3.75439,-6.582549
CHEMBL1258223,active,,5.242983,-8.940845
CHEMBL1258452,inactive,,1.671358,-7.627338
CHEMBL1258723,inactive,,4.213214,5.326296
CHEMBL1262,inactive,,-4.251664,12.796547
CHEMBL12624,inactive,,5.899804,-8.926504
CHEMBL1275709,inactive,,-0.071579,10.206011
CHEMBL1275791,inactive,,-2.234808,11.32093
CHEMBL1276860,inactive,,7.98643,-9.479223
CHEMBL1276948,active,,8.13031,-9.689773
CHEMBL1277034,active,,8.286227,-9.918936
CHEMBL1277125,inactive,,8.042012,-9.17676
CHEMBL1277126,inactive,,7.969658,-9.174318
CHEMBL1277216,inactive,,7.936121,-9.244754
CHEMBL1277217,inactive,,7.907217,-9.394095
CHEMBL1277311,inactive,,8.041471,-9.495233
CHEMBL1277401,inactive,,5.606339,-3.044602
CHEMBL1277491,inactive,,3.228803,-7.910367
CHEMBL1277492,inactive,,-9.30125,-10.376907
CHEMBL1277565,active,,-3.130122,8.179797
CHEMBL1277584,inactive,,-2.976087,-10.211232
CHEMBL1277678,inactive,,7.91938,-9.610447
CHEMBL1277769,active,,7.840518,-9.548602
CHEMBL1277854,inactive,,7.851599,-9.282009
CHEMBL1277855,inactive,,7.830592,-9.402449
CHEMBL1277935,inactive,,7.770499,-9.150536
CHEMBL1278019,inactive,,7.883268,-9.617094
CHEMBL1278020,inactive,,2.746239,-7.0166
CHEMBL1278021,inactive,,7.909534,-9.324739
CHEMBL1278112,inactive,,7.680177,-9.371546
CHEMBL1278113,inactive,,7.130264,-8.895437
CHEMBL1278114,inactive,,0.228189,-8.497885
CHEMBL1278115,inactive,,8.27968,-9.81284
CHEMBL1278116,active,,4.415296,3.262533
CHEMBL1278202,active,,8.034318,-9.694848
CHEMBL131495,active,,-5.236547,-4.062869
CHEMBL131736,active,,-0.532929,18.325481
CHEMBL133455,active,,3.594535,21.943619
CHEMBL133868,active,,3.635601,21.998976
CHEMBL135076,active,,3.426847,21.842577
CHEMBL1368005,inactive,,-2.13629,5.387355
CHEMBL137781,active,,3.535001,4.576253
CHEMBL1385840,active,,3.08596,-7.813232
CHEMBL1403281,active,,2.122189,-15.708364
CHEMBL14076,active,,-2.689624,9.244871
CHEMBL14111,active,,-2.541689,3.025998
CHEMBL14255,active,,-3.618184,15.771007
CHEMBL14345,active,,2.455755,14.573363
CHEMBL147434,active,,4.742685,20.640118
CHEMBL147656,active,,1.425852,22.340208
CHEMBL148091,active,,5.085033,20.105204
CHEMBL148463,active,,4.030167,22.776011
CHEMBL149024,active,,3.224535,20.322437
CHEMBL149564,active,,2.867576,18.690248
CHEMBL157138,active,,2.409593,5.666343
CHEMBL157910,inactive,,-7.890905,-2.305222
CHEMBL1626,active,,5.421559,-0.878215
CHEMBL1631545,active,,-0.345913,8.882513
CHEMBL1632174,inactive,,-0.484678,-9.115987
CHEMBL1642866,active,,-3.631575,12.425907
CHEMBL1643900,inactive,,0.933568,15.447028
CHEMBL1643902,inactive,,-3.166154,11.17225
CHEMBL1651092,inactive,,4.834055,19.655176
CHEMBL1672288,inactive,,-2.545412,23.611469
CHEMBL17157,active,,-1.92586,-18.591814
CHEMBL1729,active,,-1.776868,-14.448206
CHEMBL1732,active,,3.238354,-5.079407
CHEMBL1788231,inactive,,5.349773,-7.056992
CHEMBL1794855,inactive,,5.440729,23.585838
CHEMBL1829958,inactive,,4.939173,19.555962
CHEMBL1829959,active,,3.372725,19.071548
CHEMBL1829961,inactive,,4.880015,19.641338
CHEMBL183460,inactive,,5.603618,-8.459446
CHEMBL187739,active,,-2.222383,22.784492
