,activity,extra_tooltip,x,y
CHEMBL101008,active,,4.327498,19.235605
CHEMBL103479,inactive,,4.833604,3.304802
CHEMBL104,inactive,,2.694826,2.040724
CHEMBL105261,inactive,,-4.313222,11.85067
CHEMBL1065,active,,-2.736366,13.886642
CHEMBL1067,inactive,,3.301878,14.763404
CHEMBL1078896,inactive,,-2.841358,-11.797771
CHEMBL1084617,inactive,,-2.937124,2.607137
CHEMBL1090397,inactive,,3.007237,15.202219
CHEMBL1090399,inactive,,6.008098,15.459052
CHEMBL1091104,inactive,,6.311534,13.36107
CHEMBL1091105,inactive,,-1.530787,-4.497
CHEMBL1112,active,,-0.941628,-3.343646
CHEMBL114012,inactive,,4.461727,-11.602252
CHEMBL116448,inactive,,-1.035257,-9.264341
CHEMBL1170237,inactive,,-4.015009,20.307348
CHEMBL119443,active,,3.081942,12.415759
CHEMBL119709,inactive,,-8.728835,0.920187
CHEMBL1201356,active,,4.123079,11.981605
CHEMBL1214830,active,,7.095074,1.615823
CHEMBL1214891,active,,6.663167,-3.555721
CHEMBL1214894,active,,6.022681,2.617679
CHEMBL1214961,active,,6.858807,1.207159
CHEMBL1214962,active,,7.282888,0.024818
CHEMBL1215036,active,,-5.655759,-8.318788
CHEMBL1221,inactive,,-9.308182,1.388547
CHEMBL1222554,inactive,,-0.935599,11.902931
CHEMBL1222623,inactive,,1.180891,1.53444
CHEMBL1222692,active,,2.235729,1.175957
CHEMBL1222694,active,,-0.13422,10.026101
CHEMBL1222762,active,,0.076,8.030476
CHEMBL1224036,inactive,,7.641868,9.576549
CHEMBL1224101,inactive,,4.457259,14.423684
CHEMBL1224102,inactive,,7.608779,9.888039
CHEMBL1224105,inactive,,7.616633,9.586254
CHEMBL1224106,inactive,,7.632086,9.64213
CHEMBL12264,inactive,,6.025318,-3.984749
CHEMBL12314,active,,2.888026,6.473485
CHEMBL1255834,active,,-8.023287,6.713939
CHEMBL1255837,active,,3.271346,-15.143951
CHEMBL1258223,active,,-6.367136,-5.886749
CHEMBL1258452,inactive,,5.712679,-3.903235
CHEMBL12624,inactive,,0.136961,-9.678211
CHEMBL1275709,inactive,,2.229163,7.676864
CHEMBL1276860,inactive,,7.138751,-8.625565
CHEMBL1276948,active,,8.239813,-9.746454
CHEMBL1277034,active,,7.764113,-8.922411
CHEMBL1277125,inactive,,7.890972,-8.715193
CHEMBL1277126,inactive,,7.918487,-9.129329
CHEMBL1277216,inactive,,7.77591,-8.963319
CHEMBL1277217,inactive,,7.908632,-9.369524
CHEMBL1277311,inactive,,8.043904,-9.30142
CHEMBL1277401,inactive,,5.747508,-5.657041
CHEMBL1277491,inactive,,-0.224372,-14.446376
CHEMBL1277492,inactive,,4.762619,-4.759899
CHEMBL1277565,active,,2.988644,9.911785
CHEMBL1277584,inactive,,2.907698,1.828524
