,activity,extra_tooltip,x,y
CHEMBL101008,active,,3.375749,20.169085
CHEMBL103479,inactive,,-1.075797,3.282142
CHEMBL105261,inactive,,-4.467796,11.944086
CHEMBL1065,active,,0.075791,12.986813
CHEMBL1067,inactive,,-0.434983,17.357561
CHEMBL1078745,active,,-1.001956,-12.257458
CHEMBL1078896,inactive,,-2.022887,8.070225
CHEMBL1079180,inactive,,-2.365364,7.196501
CHEMBL1084617,inactive,,0.507956,7.981659
CHEMBL1090397,inactive,,-0.820377,17.729998
CHEMBL1090399,inactive,,-1.421896,16.187561
CHEMBL1090757,inactive,,5.486179,14.440606
CHEMBL1091104,inactive,,3.616055,13.327544
CHEMBL1091105,inactive,,-0.025665,-7.797936
CHEMBL1092029,inactive,,0.680402,8.151114
CHEMBL1112,active,,-3.172817,-5.759147
CHEMBL114012,inactive,,4.452297,-10.692739
CHEMBL116448,inactive,,-8.736176,0.150157
CHEMBL119443,active,,-5.395691,1.271782
CHEMBL1201356,active,,-5.582068,0.896742
CHEMBL1214830,active,,7.19806,2.158381
CHEMBL1214891,active,,-0.702649,13.391774
CHEMBL1214894,active,,3.593943,3.788953
CHEMBL1214961,active,,1.865384,13.848561
CHEMBL1214962,active,,4.409978,1.21904
CHEMBL1215036,active,,-0.830664,-1.785356
CHEMBL1221,inactive,,-9.313393,1.344854
CHEMBL1222554,inactive,,0.462122,7.498477
CHEMBL1222623,inactive,,-0.679824,-2.011827
CHEMBL1222692,active,,2.042,-7.352588
CHEMBL1222762,active,,-0.613291,4.962947
CHEMBL1224036,inactive,,7.6333,9.536795
CHEMBL1224101,inactive,,7.427369,10.076013
CHEMBL1224102,inactive,,7.568039,9.817472
CHEMBL1224105,inactive,,7.597813,9.641193
CHEMBL1224106,inactive,,7.536012,9.505463
CHEMBL12264,inactive,,6.533516,-5.579792
CHEMBL12314,active,,2.766121,6.295588
CHEMBL1255834,active,,-8.023718,6.639084
CHEMBL1258223,active,,3.63013,-6.366568
CHEMBL1258452,inactive,,6.44683,-5.536004
CHEMBL12624,inactive,,5.789069,-2.440421
CHEMBL1275709,inactive,,0.912947,11.221698
CHEMBL1275791,inactive,,2.134094,17.592854
CHEMBL1276050,inactive,,0.498649,21.10523
CHEMBL1276860,inactive,,7.840754,-9.208947
CHEMBL1276948,active,,8.15974,-9.811612
CHEMBL1277034,active,,8.270942,-10.000698
CHEMBL1277125,inactive,,2.71433,-0.808117
CHEMBL1277126,inactive,,7.983217,-9.23391
CHEMBL1277216,inactive,,7.923527,-9.261806
CHEMBL1277217,inactive,,1.46362,-2.295977
CHEMBL1277311,inactive,,8.030232,-9.467093
CHEMBL1277584,inactive,,7.868035,-9.168395
CHEMBL1277678,inactive,,7.711632,-9.404474
CHEMBL1277769,active,,6.791237,-8.7538
CHEMBL1277854,inactive,,7.830977,-9.13676
CHEMBL1277855,inactive,,7.689542,-9.068581
CHEMBL1277935,inactive,,7.751607,-9.303479
CHEMBL1278019,inactive,,4.71548,-2.856147
CHEMBL1278020,inactive,,3.073996,-7.239778
CHEMBL1278021,inactive,,7.838139,-9.130177
CHEMBL1278112,inactive,,7.941099,-9.359112
CHEMBL1278113,inactive,,5.374709,-8.108923
CHEMBL1278115,inactive,,-6.993029,-9.859796
