,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,5.73797,-11.031007
CHEMBL101008,active,,3.002738,20.447689
CHEMBL102268,active,,-4.762281,0.575276
CHEMBL103479,inactive,,2.431746,7.515963
CHEMBL104102,active,,-5.429698,-1.132611
CHEMBL104308,active,,-3.806193,5.831686
CHEMBL104636,active,,-1.658721,8.646729
CHEMBL104709,active,,-4.416572,-6.188093
CHEMBL105292,active,,-2.863203,-1.003997
CHEMBL105372,active,,-4.472239,11.448956
CHEMBL105381,active,,5.449349,11.141008
CHEMBL105580,active,,-3.475463,1.177277
CHEMBL106176,active,,-7.573632,-11.841965
CHEMBL1065,active,,1.167835,15.699497
CHEMBL106911,active,,-7.731173,-14.990593
CHEMBL107847,active,,-2.772369,-5.722226
CHEMBL107912,active,,-5.9e-05,4.410124
CHEMBL1080389,inactive,,-3.132559,9.810615
CHEMBL1080522,active,,-2.360611,-6.556873
CHEMBL1080555,active,,5.363151,-9.774699
CHEMBL1080556,inactive,,-2.451155,5.62929
CHEMBL1080683,active,,2.48632,5.483809
CHEMBL1080711,active,,3.067977,-4.529069
CHEMBL1080712,active,,1.723329,0.534229
CHEMBL1080726,active,,-3.389129,-5.641703
CHEMBL1080727,active,,3.921406,2.101505
CHEMBL1080907,inactive,,1.066002,4.617451
CHEMBL1081036,active,,-1.019234,5.959411
CHEMBL1081212,inactive,,0.906887,4.280587
CHEMBL1081254,inactive,,0.759759,-0.772039
CHEMBL1081644,active,,1.685429,-3.812098
CHEMBL1081648,inactive,,2.916543,0.722022
CHEMBL1081649,inactive,,2.051247,-8.829761
CHEMBL108173,active,,-5.856505,2.605331
CHEMBL1082210,inactive,,1.041955,2.046028
CHEMBL1082467,active,,2.711045,15.508007
CHEMBL1082473,inactive,,0.143636,-0.017063
CHEMBL1082474,inactive,,-2.966309,15.797258
CHEMBL1082723,inactive,,-2.62922,22.359621
CHEMBL1082773,active,,-2.284527,19.082287
CHEMBL1082822,inactive,,2.957248,5.647233
CHEMBL1083449,inactive,,-0.204439,13.78934
CHEMBL1083725,inactive,,-2.199279,0.996847
CHEMBL1083750,inactive,,-2.662836,13.602544
CHEMBL1083751,inactive,,-2.152173,19.422686
CHEMBL1084618,inactive,,-3.833253,3.493346
CHEMBL1084721,active,,-3.966316,5.167128
CHEMBL1084865,inactive,,-2.024716,-3.403723
CHEMBL1085155,inactive,,-0.46673,4.194883
CHEMBL1085615,inactive,,-1.973599,19.051817
CHEMBL1085627,inactive,,-2.264801,-0.136644
CHEMBL1085628,inactive,,2.770512,0.056733
CHEMBL1085854,inactive,,2.1896,5.280015
CHEMBL1086316,inactive,,-0.88603,0.578879
CHEMBL1086317,inactive,,-2.921494,10.342175
CHEMBL1086507,active,,1.485322,15.181721
CHEMBL1086555,inactive,,3.123595,-0.492088
CHEMBL1086613,active,,-5.695431,-12.652914
CHEMBL1086755,active,,-3.091447,2.743742
CHEMBL1087182,active,,0.541802,0.465828
CHEMBL1087773,active,,3.461016,2.509446
CHEMBL1088874,inactive,,-1.555469,-12.080228
CHEMBL1089793,inactive,,-1.501732,-13.62874
