,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,2.70858,-7.069482
CHEMBL101008,active,,3.344534,20.138235
CHEMBL102268,active,,-4.459558,1.897572
CHEMBL102274,active,,3.67067,11.734153
CHEMBL103479,inactive,,-4.442318,-3.933305
CHEMBL104,inactive,,-3.94758,14.174958
CHEMBL104102,active,,-6.738791,-9.022381
CHEMBL104308,active,,-1.526138,-0.936642
CHEMBL104636,active,,5.368693,-7.329803
CHEMBL105292,active,,-4.587567,-0.058737
CHEMBL105372,active,,-4.609702,-2.406685
CHEMBL105381,active,,5.346641,11.004926
CHEMBL105580,active,,-5.56271,-1.615814
CHEMBL106794,active,,0.234053,-14.412325
CHEMBL106911,active,,-8.718,-11.052931
CHEMBL1076586,inactive,,-0.995804,8.572202
CHEMBL107847,active,,-4.482918,-11.790744
CHEMBL1080155,inactive,,2.745202,-4.121891
CHEMBL1080389,inactive,,-3.279163,9.796844
CHEMBL1080522,active,,-0.228071,-5.874276
CHEMBL1080555,active,,4.485148,-10.874883
CHEMBL1080711,active,,-2.700917,-9.494125
CHEMBL1080712,active,,4.547225,-13.440822
CHEMBL1080727,active,,-2.359299,-1.530696
CHEMBL1080907,inactive,,2.901716,1.765864
CHEMBL1080926,inactive,,2.103904,3.97126
CHEMBL1081036,active,,3.811682,-8.680546
CHEMBL1081212,inactive,,1.26041,-3.363144
CHEMBL1081254,inactive,,1.107067,0.816712
CHEMBL1081648,inactive,,-2.468744,9.76422
CHEMBL108173,active,,-4.592992,0.230214
CHEMBL1082473,inactive,,2.486139,-3.943179
CHEMBL1082474,inactive,,-8.23111,-7.918542
CHEMBL1082773,active,,-3.076204,18.207653
CHEMBL1082795,inactive,,3.534095,16.17285
CHEMBL1082822,inactive,,2.993788,10.333442
CHEMBL1083725,inactive,,5.1936,-2.802966
CHEMBL1083751,inactive,,2.033268,8.221405
CHEMBL1084618,inactive,,0.075304,-0.510208
CHEMBL1084721,active,,2.393035,13.743828
CHEMBL1084865,inactive,,-5.457817,-9.138949
CHEMBL1085155,inactive,,-6.499037,-3.057879
CHEMBL1085615,inactive,,-3.143198,-3.820226
CHEMBL1085627,inactive,,-5.758641,-3.408041
CHEMBL1085628,inactive,,-7.101533,-6.16639
CHEMBL1085854,inactive,,-0.628197,3.458146
CHEMBL1086075,inactive,,-6.247248,-1.561192
CHEMBL1086316,inactive,,2.336217,4.118099
CHEMBL1086317,inactive,,-3.19437,7.607125
CHEMBL1086555,inactive,,-6.033174,-4.559571
CHEMBL1086613,active,,1.260247,-0.730627
CHEMBL1086755,active,,0.718236,-5.489762
CHEMBL1087773,active,,-1.63135,-13.256691
CHEMBL1088874,inactive,,-4.977334,-17.812342
CHEMBL1089793,inactive,,-4.467068,-16.852289
CHEMBL1089881,inactive,,-1.708396,-14.9995
CHEMBL1090398,active,,7.356783,14.511477
CHEMBL1091105,active,,2.599332,6.827628
CHEMBL1091452,active,,-7.378312,-10.406129
CHEMBL1092238,inactive,,-3.985873,-16.045485
CHEMBL1092921,inactive,,-5.079755,-18.006191
CHEMBL1092929,inactive,,-3.030757,-15.057204
CHEMBL1093469,inactive,,-4.053877,-11.626479
CHEMBL1093802,inactive,,-4.662228,-15.554358
CHEMBL109548,inactive,,0.054712,-3.669884
CHEMBL109589,active,,5.422933,9.905593
CHEMBL110740,active,,2.063916,15.002809
CHEMBL110802,active,,-1.550926,17.555206
CHEMBL110847,active,,-6.829695,-8.218347
CHEMBL111061,active,,5.005455,18.119736
CHEMBL111184,active,,1.644691,13.597445
CHEMBL111352,active,,-0.484534,-1.292235
CHEMBL111509,inactive,,3.731372,-6.384713
CHEMBL112590,active,,3.192599,15.846377
CHEMBL11262,inactive,,3.848817,6.013912
CHEMBL11265,inactive,,0.762256,-12.479127
CHEMBL113238,active,,0.895558,13.730324
CHEMBL113600,inactive,,-0.988173,19.986305
CHEMBL113624,inactive,,-1.451141,16.869366
CHEMBL114012,inactive,,2.854855,-9.229759
CHEMBL11409,inactive,,-2.906101,-18.052364
CHEMBL11425,inactive,,1.658819,-6.314134
CHEMBL116209,active,,2.253322,21.008327
CHEMBL1162962,inactive,,-1.833097,19.819601
CHEMBL116448,inactive,,6.121017,-4.260349
CHEMBL116463,inactive,,0.311405,-14.535035
CHEMBL116940,active,,0.297626,19.275988
CHEMBL1172812,inactive,,-1.206674,19.82782
CHEMBL1173334,active,,-3.909216,19.970503
CHEMBL1173408,inactive,,0.226528,16.934963
CHEMBL1173820,inactive,,0.490307,21.870354
CHEMBL117537,inactive,,-2.150628,3.276549
CHEMBL119323,active,,1.921106,20.751196
CHEMBL119443,active,,1.829762,9.676545
CHEMBL119584,active,,4.449801,19.322931
CHEMBL119709,inactive,,8.004325,6.99792
CHEMBL120055,inactive,,-2.261612,7.977084
CHEMBL1201082,active,,-5.881944,1.412312
CHEMBL1201356,active,,-0.549753,13.61883
CHEMBL1201756,active,,-0.809705,23.413513
CHEMBL1202024,inactive,,5.280413,-3.811016
CHEMBL1202025,inactive,,1.608089,5.684958
CHEMBL1202026,inactive,,2.813036,-1.477474
CHEMBL1202027,inactive,,-0.769682,3.877506
CHEMBL1202783,inactive,,6.875015,14.681119
CHEMBL1202891,active,,4.461429,5.071008
CHEMBL1203374,inactive,,-5.440118,12.687556
CHEMBL1203377,inactive,,-2.93123,17.213062
CHEMBL1203379,inactive,,-1.778234,18.759861
CHEMBL1212957,active,,-7.352719,-2.66731
CHEMBL1213675,active,,-2.783122,0.903662
CHEMBL1213676,active,,3.511319,-0.862554
CHEMBL1214176,active,,0.955567,-13.135903
CHEMBL1214178,active,,3.665639,-10.450719
CHEMBL1214302,active,,3.104442,-10.658482
CHEMBL1214303,active,,-2.995521,2.838595
CHEMBL1214305,active,,-1.462296,-4.33272
CHEMBL1214366,active,,-2.431966,-5.943497
CHEMBL1214425,active,,4.286036,1.354806
CHEMBL1214426,active,,0.468142,-8.740906
CHEMBL1214427,active,,3.785688,-0.202342
CHEMBL1214488,active,,0.470454,1.150278
CHEMBL1214656,inactive,,8.076508,7.047365
CHEMBL1214657,inactive,,-3.676376,7.549259
CHEMBL1214659,inactive,,8.221092,6.833247
CHEMBL1214729,inactive,,-7.984154,0.562855
CHEMBL1214731,inactive,,8.116305,6.968156
CHEMBL1214732,inactive,,8.08404,7.059188
CHEMBL1214808,inactive,,-8.59653,0.885905
CHEMBL1214809,inactive,,-4.281637,13.882321
CHEMBL1214879,inactive,,-8.999799,1.168567
CHEMBL1214880,inactive,,-0.070231,14.792772
CHEMBL1214882,inactive,,3.382972,1.603723
CHEMBL1214946,inactive,,0.937906,14.037788
CHEMBL1214948,inactive,,4.306659,14.249525
CHEMBL1214949,inactive,,-2.516271,14.427524
CHEMBL1214950,inactive,,8.415149,6.80783
CHEMBL1215019,inactive,,-1.3776,10.06344
CHEMBL1215726,inactive,,-8.783347,1.013538
CHEMBL1215727,inactive,,7.964725,7.00952
CHEMBL1215728,inactive,,8.142205,6.918029
CHEMBL121744,inactive,,-0.651487,-2.996398
CHEMBL1221,inactive,,-9.296509,1.483794
CHEMBL1221449,active,,0.248079,-6.094346
CHEMBL1221451,active,,2.894201,-9.003534
CHEMBL1221496,active,,-5.298656,-7.278614
CHEMBL1222231,inactive,,-1.264035,6.52685
CHEMBL1222234,active,,1.352924,5.294625
CHEMBL1222296,inactive,,0.4359,4.105982
CHEMBL1222361,active,,4.208481,-8.847731
CHEMBL1222362,active,,1.040336,1.354728
CHEMBL1222363,active,,6.090219,-0.251641
CHEMBL1222364,active,,4.376696,-5.216157
CHEMBL1222552,active,,-1.3837,19.359261
CHEMBL1222554,active,,-1.507594,6.674623
CHEMBL1222623,inactive,,2.328077,-4.840423
CHEMBL1222692,inactive,,2.01939,-2.036379
CHEMBL1222693,active,,7.400113,0.271624
CHEMBL1222694,active,,2.845145,14.016509
CHEMBL1224032,inactive,,7.405001,8.685785
CHEMBL1224033,inactive,,7.473612,9.032475
CHEMBL1224035,inactive,,6.265155,7.233916
CHEMBL1224036,inactive,,7.646721,9.541305
CHEMBL1224101,inactive,,7.647533,9.895942
CHEMBL1224103,inactive,,7.237196,10.946342
CHEMBL1224104,inactive,,7.648549,9.667217
CHEMBL1224105,inactive,,7.604618,9.631066
CHEMBL1224106,inactive,,7.572335,9.584772
CHEMBL12264,inactive,,-0.626146,-7.33863
CHEMBL122860,inactive,,0.515427,14.736123
CHEMBL12314,active,,2.741835,6.437651
CHEMBL12420,active,,3.513002,21.896708
CHEMBL1258452,inactive,,-7.811618,-8.665215
CHEMBL1258671,inactive,,-4.396986,-2.699907
CHEMBL1259172,active,,-1.136168,-2.1012
CHEMBL1259187,active,,-4.429895,-10.450695
CHEMBL1259190,active,,4.255148,-4.780126
