,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,5.73797,-11.031007
CHEMBL100086,inactive,,2.70858,-7.069482
CHEMBL101008,active,,3.002738,20.447689
CHEMBL101008,active,,3.344534,20.138235
CHEMBL102268,active,,-4.762281,0.575276
CHEMBL102268,active,,-4.459558,1.897572
CHEMBL102274,active,,3.67067,11.734153
CHEMBL103479,inactive,,2.431746,7.515963
CHEMBL103479,inactive,,-4.442318,-3.933305
CHEMBL104,inactive,,-3.94758,14.174958
CHEMBL104102,active,,-5.429698,-1.132611
CHEMBL104102,active,,-6.738791,-9.022381
CHEMBL104308,active,,-3.806193,5.831686
CHEMBL104308,active,,-1.526138,-0.936642
CHEMBL104636,active,,-1.658721,8.646729
CHEMBL104636,active,,5.368693,-7.329803
CHEMBL104709,active,,-4.416572,-6.188093
CHEMBL105292,active,,-2.863203,-1.003997
CHEMBL105292,active,,-4.587567,-0.058737
CHEMBL105372,active,,-4.472239,11.448956
CHEMBL105372,active,,-4.609702,-2.406685
CHEMBL105381,active,,5.449349,11.141008
CHEMBL105381,active,,5.346641,11.004926
CHEMBL105580,active,,-3.475463,1.177277
CHEMBL105580,active,,-5.56271,-1.615814
CHEMBL106176,active,,-7.573632,-11.841965
CHEMBL1065,active,,1.167835,15.699497
CHEMBL106794,active,,0.234053,-14.412325
CHEMBL106911,active,,-7.731173,-14.990593
CHEMBL106911,active,,-8.718,-11.052931
CHEMBL1076586,inactive,,-0.995804,8.572202
CHEMBL107847,active,,-2.772369,-5.722226
CHEMBL107847,active,,-4.482918,-11.790744
CHEMBL107912,active,,-5.9e-05,4.410124
CHEMBL1080155,inactive,,2.745202,-4.121891
CHEMBL1080389,inactive,,-3.132559,9.810615
CHEMBL1080389,inactive,,-3.279163,9.796844
CHEMBL1080522,active,,-2.360611,-6.556873
CHEMBL1080522,active,,-0.228071,-5.874276
CHEMBL1080555,active,,5.363151,-9.774699
CHEMBL1080555,active,,4.485148,-10.874883
CHEMBL1080556,inactive,,-2.451155,5.62929
CHEMBL1080683,active,,2.48632,5.483809
CHEMBL1080711,active,,3.067977,-4.529069
CHEMBL1080711,active,,-2.700917,-9.494125
CHEMBL1080712,active,,1.723329,0.534229
CHEMBL1080712,active,,4.547225,-13.440822
CHEMBL1080726,active,,-3.389129,-5.641703
CHEMBL1080727,active,,3.921406,2.101505
CHEMBL1080727,active,,-2.359299,-1.530696
CHEMBL1080907,inactive,,1.066002,4.617451
CHEMBL1080907,inactive,,2.901716,1.765864
CHEMBL1080926,inactive,,2.103904,3.97126
CHEMBL1081036,active,,-1.019234,5.959411
CHEMBL1081036,active,,3.811682,-8.680546
CHEMBL1081212,inactive,,0.906887,4.280587
CHEMBL1081212,inactive,,1.26041,-3.363144
CHEMBL1081254,inactive,,0.759759,-0.772039
CHEMBL1081254,inactive,,1.107067,0.816712
CHEMBL1081644,active,,1.685429,-3.812098
CHEMBL1081648,inactive,,2.916543,0.722022
CHEMBL1081648,inactive,,-2.468744,9.76422
CHEMBL1081649,inactive,,2.051247,-8.829761
CHEMBL108173,active,,-5.856505,2.605331
CHEMBL108173,active,,-4.592992,0.230214
CHEMBL1082210,inactive,,1.041955,2.046028
CHEMBL1082467,active,,2.711045,15.508007
CHEMBL1082473,inactive,,0.143636,-0.017063
CHEMBL1082473,inactive,,2.486139,-3.943179
CHEMBL1082474,inactive,,-2.966309,15.797258
CHEMBL1082474,inactive,,-8.23111,-7.918542
CHEMBL1082723,inactive,,-2.62922,22.359621
CHEMBL1082773,active,,-2.284527,19.082287
CHEMBL1082773,active,,-3.076204,18.207653
CHEMBL1082795,inactive,,3.534095,16.17285
CHEMBL1082822,inactive,,2.957248,5.647233
CHEMBL1082822,inactive,,2.993788,10.333442
CHEMBL1083449,inactive,,-0.204439,13.78934
CHEMBL1083725,inactive,,-2.199279,0.996847
CHEMBL1083725,inactive,,5.1936,-2.802966
CHEMBL1083750,inactive,,-2.662836,13.602544
CHEMBL1083751,inactive,,-2.152173,19.422686
CHEMBL1083751,inactive,,2.033268,8.221405
CHEMBL1084618,inactive,,-3.833253,3.493346
CHEMBL1084618,inactive,,0.075304,-0.510208
CHEMBL1084721,active,,-3.966316,5.167128
CHEMBL1084721,active,,2.393035,13.743828
CHEMBL1084865,inactive,,-2.024716,-3.403723
CHEMBL1084865,inactive,,-5.457817,-9.138949
CHEMBL1085155,inactive,,-0.46673,4.194883
CHEMBL1085155,inactive,,-6.499037,-3.057879
CHEMBL1085615,inactive,,-1.973599,19.051817
CHEMBL1085615,inactive,,-3.143198,-3.820226
CHEMBL1085627,inactive,,-2.264801,-0.136644
CHEMBL1085627,inactive,,-5.758641,-3.408041
CHEMBL1085628,inactive,,2.770512,0.056733
CHEMBL1085628,inactive,,-7.101533,-6.16639
CHEMBL1085854,inactive,,2.1896,5.280015
CHEMBL1085854,inactive,,-0.628197,3.458146
CHEMBL1086075,inactive,,-6.247248,-1.561192
CHEMBL1086316,inactive,,-0.88603,0.578879
CHEMBL1086316,inactive,,2.336217,4.118099
CHEMBL1086317,inactive,,-2.921494,10.342175
CHEMBL1086317,inactive,,-3.19437,7.607125
CHEMBL1086507,active,,1.485322,15.181721
CHEMBL1086555,inactive,,3.123595,-0.492088
CHEMBL1086555,inactive,,-6.033174,-4.559571
CHEMBL1086613,active,,-5.695431,-12.652914
CHEMBL1086613,active,,1.260247,-0.730627
CHEMBL1086755,active,,-3.091447,2.743742
CHEMBL1086755,active,,0.718236,-5.489762
CHEMBL1087182,active,,0.541802,0.465828
CHEMBL1087773,active,,3.461016,2.509446
CHEMBL1087773,active,,-1.63135,-13.256691
CHEMBL1088874,inactive,,-1.555469,-12.080228
CHEMBL1088874,inactive,,-4.977334,-17.812342
CHEMBL1089793,inactive,,-1.501732,-13.62874
CHEMBL1089793,inactive,,-4.467068,-16.852289
CHEMBL1089881,inactive,,-2.108671,-14.972039
CHEMBL1089881,inactive,,-1.708396,-14.9995
CHEMBL1090397,active,,1.159491,12.533347
CHEMBL1090398,active,,6.74923,15.220559
CHEMBL1090398,active,,7.356783,14.511477
CHEMBL1091105,active,,1.70112,12.530171
CHEMBL1091105,active,,2.599332,6.827628
CHEMBL1091452,active,,-4.110961,0.252252
CHEMBL1091452,active,,-7.378312,-10.406129
CHEMBL1092238,inactive,,0.766984,-5.754
CHEMBL1092238,inactive,,-3.985873,-16.045485
CHEMBL1092921,inactive,,2.815727,-10.897057
CHEMBL1092921,inactive,,-5.079755,-18.006191
CHEMBL1092929,inactive,,-5.702475,-17.968763
CHEMBL1092929,inactive,,-3.030757,-15.057204
CHEMBL1093469,inactive,,-5.589556,-13.887598
CHEMBL1093469,inactive,,-4.053877,-11.626479
CHEMBL1093802,inactive,,2.222394,-10.160965
CHEMBL1093802,inactive,,-4.662228,-15.554358
CHEMBL109548,inactive,,7.032835,-4.14631
CHEMBL109548,inactive,,0.054712,-3.669884
CHEMBL109589,active,,4.739874,12.799363
CHEMBL109589,active,,5.422933,9.905593
CHEMBL110740,active,,2.063916,15.002809
CHEMBL110802,active,,4.596156,16.290274
CHEMBL110802,active,,-1.550926,17.555206
CHEMBL110847,active,,-1.647518,-5.276419
CHEMBL110847,active,,-6.829695,-8.218347
CHEMBL111061,active,,5.005455,18.119736
CHEMBL111184,active,,1.644691,13.597445
CHEMBL111352,active,,-0.460591,-7.364739
CHEMBL111352,active,,-0.484534,-1.292235
CHEMBL111361,inactive,,3.325724,19.833908
CHEMBL111509,inactive,,-4.897508,-4.377202
CHEMBL111509,inactive,,3.731372,-6.384713
CHEMBL112590,active,,5.122934,10.692253
CHEMBL112590,active,,3.192599,15.846377
CHEMBL11262,inactive,,3.781382,4.842111
CHEMBL11262,inactive,,3.848817,6.013912
CHEMBL11265,inactive,,-2.063031,-16.351479
CHEMBL11265,inactive,,0.762256,-12.479127
CHEMBL113238,active,,-1.764142,20.042419
CHEMBL113238,active,,0.895558,13.730324
CHEMBL113600,inactive,,-0.988173,19.986305
CHEMBL113624,inactive,,-1.451141,16.869366
CHEMBL114012,inactive,,4.707304,-11.300427
CHEMBL114012,inactive,,2.854855,-9.229759
CHEMBL11409,inactive,,-2.023947,-16.774273
CHEMBL11409,inactive,,-2.906101,-18.052364
CHEMBL11425,inactive,,0.034797,2.277279
CHEMBL11425,inactive,,1.658819,-6.314134
CHEMBL116209,active,,2.192844,20.993809
CHEMBL116209,active,,2.253322,21.008327
CHEMBL1162962,inactive,,-2.407951,19.883484
CHEMBL1162962,inactive,,-1.833097,19.819601
CHEMBL116448,inactive,,5.556121,-11.61554
CHEMBL116448,inactive,,6.121017,-4.260349
CHEMBL116463,inactive,,-2.826532,-17.541842
CHEMBL116463,inactive,,0.311405,-14.535035
CHEMBL116940,active,,0.297626,19.275988
CHEMBL1172812,inactive,,-1.978726,20.370419
CHEMBL1172812,inactive,,-1.206674,19.82782
CHEMBL1173334,active,,-3.072431,20.053282
CHEMBL1173334,active,,-3.909216,19.970503
