,activity,extra_tooltip,x,y
CHEMBL10,inactive,,-3.011222,17.684109
CHEMBL100209,inactive,,6.608305,20.5123
CHEMBL101054,active,,7.066338,4.918432
CHEMBL102560,active,,4.373149,18.806768
CHEMBL102588,active,,3.978617,18.787752
CHEMBL10272,inactive,,2.291764,-15.324555
CHEMBL10309,active,,3.903979,-16.097126
CHEMBL103189,active,,-1.281714,-11.20957
CHEMBL103785,active,,-2.560134,-16.305088
CHEMBL104210,inactive,,-4.961234,-1.055562
CHEMBL104804,inactive,,-2.064482,16.250423
CHEMBL105136,active,,-4.698976,15.47623
CHEMBL105160,inactive,,-1.013979,8.511157
CHEMBL105457,inactive,,4.998486,18.656015
CHEMBL105945,inactive,,6.072118,14.598536
CHEMBL106224,inactive,,-1.281659,13.777693
CHEMBL107680,inactive,,-6.806191,-2.880022
CHEMBL1087089,inactive,,4.206197,5.311701
CHEMBL1088898,inactive,,1.306514,18.967337
CHEMBL1088899,inactive,,1.613946,11.835427
CHEMBL1088900,inactive,,-5.086242,-0.043003
CHEMBL1090095,inactive,,-5.307661,10.465128
CHEMBL1090096,inactive,,6.689769,1.743789
CHEMBL1090176,inactive,,-4.847628,2.050771
CHEMBL1090186,inactive,,0.305531,-6.51585
CHEMBL1090198,inactive,,1.57908,13.857404
CHEMBL1090432,inactive,,4.734585,5.983291
CHEMBL1090527,inactive,,2.875998,7.453182
CHEMBL109068,inactive,,6.880002,20.697052
CHEMBL1090759,inactive,,-3.662386,11.678144
CHEMBL109120,inactive,,8.162761,21.163141
CHEMBL1091775,inactive,,-2.168578,12.868045
CHEMBL1091776,inactive,,4.02949,6.067442
CHEMBL1091777,inactive,,1.663858,12.961877
CHEMBL1091782,inactive,,-1.905446,10.52813
CHEMBL1091790,active,,3.46986,6.953023
CHEMBL1091791,inactive,,3.873157,2.68866
CHEMBL1091792,inactive,,-5.05033,-0.566168
CHEMBL1091793,inactive,,3.254339,4.219952
CHEMBL1092,active,,3.451707,-4.283779
CHEMBL1092118,inactive,,5.046394,4.589736
CHEMBL1092126,inactive,,0.061419,13.794126
CHEMBL1092461,inactive,,-5.290448,10.413517
CHEMBL1092495,inactive,,-1.547989,-0.267227
CHEMBL1092496,inactive,,2.09043,-4.477487
CHEMBL1092598,inactive,,-0.015607,12.457972
CHEMBL1092599,inactive,,-1.851533,12.911546
CHEMBL1092649,inactive,,3.107932,10.880236
CHEMBL1092650,inactive,,-4.189923,-1.183553
CHEMBL1092651,inactive,,-4.925607,0.636915
CHEMBL1092662,inactive,,-1.030959,16.362989
CHEMBL1092663,inactive,,1.459334,6.453255
CHEMBL1092765,inactive,,-1.348571,12.381323
CHEMBL1092767,inactive,,-7.975669,-1.20584
CHEMBL1092812,inactive,,-1.921258,-5.607756
CHEMBL1092813,inactive,,3.692592,7.239982
CHEMBL1093058,inactive,,-1.856412,14.08411
CHEMBL1093775,inactive,,-5.293764,10.531725
CHEMBL1093933,inactive,,-5.171437,10.972477
CHEMBL1094510,active,,-3.806107,-4.108075
CHEMBL1095289,active,,3.901683,-2.745469
CHEMBL1095290,active,,-5.456751,-5.425603
CHEMBL109593,inactive,,6.699416,20.950415
CHEMBL109597,inactive,,6.784473,20.903397
CHEMBL109647,inactive,,0.488886,21.373373
CHEMBL109727,inactive,,6.209956,21.053526
CHEMBL1098606,inactive,,-7.61061,-8.52004
CHEMBL1098607,inactive,,-1.399943,-3.526452
CHEMBL109866,inactive,,5.973865,19.222382
CHEMBL109985,inactive,,8.40217,21.109756
