,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,3.282132,-5.809699
CHEMBL10309,inactive,,3.721686,-16.008619
CHEMBL103529,inactive,,-2.288154,-11.586919
CHEMBL104210,inactive,,3.280365,7.37796
CHEMBL104574,inactive,,-6.85907,-9.687601
CHEMBL104681,inactive,,-3.754913,3.030164
CHEMBL104803,inactive,,-2.540948,17.947491
CHEMBL105122,inactive,,7.318778,13.481772
CHEMBL105160,inactive,,2.257086,-5.892805
CHEMBL105457,inactive,,4.640031,18.514572
CHEMBL105674,inactive,,6.826228,13.453071
CHEMBL106082,inactive,,-8.862572,1.335428
CHEMBL106247,inactive,,5.094763,-12.138774
CHEMBL106259,inactive,,-0.627605,4.083833
CHEMBL106344,inactive,,-3.252899,-2.75444
CHEMBL106505,inactive,,-5.371964,-2.161242
CHEMBL106936,inactive,,-2.102467,3.338054
CHEMBL107254,inactive,,-1.047475,-0.155213
CHEMBL107680,inactive,,-8.194068,-7.57713
CHEMBL1084993,inactive,,-2.839594,-3.735577
CHEMBL1085507,inactive,,4.487434,14.115808
CHEMBL1090097,inactive,,-4.06381,14.41652
CHEMBL109051,active,,-4.190249,-17.915422
CHEMBL109068,inactive,,6.813982,20.85873
CHEMBL109120,inactive,,8.272937,21.059307
CHEMBL1092,active,,1.184322,-7.071009
CHEMBL1092461,inactive,,-5.141443,10.924172
CHEMBL1093933,inactive,,-3.425107,18.254379
CHEMBL109593,inactive,,6.769729,20.886175
CHEMBL109597,inactive,,6.847658,20.814056
CHEMBL109647,inactive,,8.366917,21.075018
CHEMBL109727,inactive,,6.187654,21.054634
CHEMBL109815,active,,1.424593,15.37082
CHEMBL109866,inactive,,5.913559,19.185318
CHEMBL109985,inactive,,8.334191,21.007872
CHEMBL110744,active,,-0.247613,-12.351468
CHEMBL110845,inactive,,8.160166,20.874388
CHEMBL111120,inactive,,0.809365,22.862476
CHEMBL111123,inactive,,6.494853,21.100718
CHEMBL111224,active,,1.2275,1.703716
CHEMBL111229,inactive,,8.388115,21.043287
CHEMBL111369,inactive,,8.385567,21.062449
CHEMBL111615,inactive,,8.219248,21.12929
CHEMBL111679,inactive,,5.041673,22.117908
CHEMBL1123,active,,2.394006,-6.166302
CHEMBL113436,inactive,,6.102552,-8.647129
CHEMBL11527,active,,3.90325,-5.264931
CHEMBL115642,active,,1.463629,-7.006725
CHEMBL115681,active,,-5.310601,-18.364061
CHEMBL115807,active,,-3.911195,-18.82085
CHEMBL1162116,active,,4.311712,18.797419
CHEMBL1162964,inactive,,2.465898,-12.75134
CHEMBL116404,active,,-3.67981,-18.705919
CHEMBL116777,active,,3.540227,-14.884965
CHEMBL116781,active,,2.552554,-9.824215
CHEMBL11690,active,,-2.696463,-17.877731
CHEMBL11710,inactive,,-0.48864,-14.650466
CHEMBL117351,active,,2.345519,-12.112926
CHEMBL117414,active,,-5.619929,-18.079624
CHEMBL11756,active,,-3.925087,-18.091301
CHEMBL117797,active,,1.970252,-14.931334
CHEMBL117817,active,,-5.646702,-18.571878
CHEMBL11794,active,,-2.951509,-16.511547
CHEMBL11816,active,,-2.367238,-17.050966
CHEMBL118391,active,,-5.666051,-18.674719
CHEMBL118553,inactive,,-3.146086,-9.980242
CHEMBL1187846,active,,6.215687,13.868089
CHEMBL11892,active,,-2.762862,-17.570856
CHEMBL11893,active,,-3.511095,-17.905376
CHEMBL119131,active,,-4.924747,-18.582285
CHEMBL119168,active,,3.593965,-16.682426
CHEMBL119294,active,,-5.293584,-17.873158
CHEMBL119508,inactive,,5.542114,17.210646
CHEMBL1197177,active,,-4.822688,0.861083
CHEMBL119985,inactive,,-0.102173,19.214241
CHEMBL1200604,active,,6.137559,12.640404
CHEMBL120080,active,,2.546605,-6.295665
CHEMBL1201024,active,,2.415102,12.881063
CHEMBL1201027,active,,7.64163,-10.647113
CHEMBL1201203,active,,4.395419,-4.777177
CHEMBL1201335,active,,7.584903,-10.687798
CHEMBL1201353,inactive,,1.391104,16.176268
CHEMBL120539,inactive,,6.955586,13.668202
CHEMBL12064,active,,-4.701064,-18.293123
CHEMBL120706,inactive,,-1.378939,21.11348
