,activity,extra_tooltip,x,y
CHEMBL10272,inactive,,-2.311091,9.92344
CHEMBL10309,inactive,,4.13559,-15.946765
CHEMBL103529,inactive,,2.423878,8.905328
CHEMBL104,inactive,,-0.758976,1.29998
CHEMBL104355,inactive,,-3.119104,4.213293
CHEMBL104681,inactive,,-4.265951,7.03888
CHEMBL105457,inactive,,4.832193,18.549181
CHEMBL106082,inactive,,-7.112899,-13.829041
CHEMBL106247,inactive,,5.068739,-12.160022
CHEMBL106344,inactive,,-5.025395,-4.430044
CHEMBL106782,inactive,,-7.465855,-9.400731
CHEMBL106932,inactive,,2.383951,6.329827
CHEMBL107254,inactive,,-2.465764,-4.153929
CHEMBL107680,inactive,,7.092792,13.609743
CHEMBL107892,inactive,,2.323171,14.673444
CHEMBL108163,inactive,,-4.294907,-2.420214
CHEMBL1083925,active,,4.093804,14.400742
CHEMBL1084993,inactive,,-5.408059,-4.663291
CHEMBL1085507,inactive,,0.385309,10.422435
CHEMBL1090097,inactive,,6.49548,-1.537325
CHEMBL109051,active,,5.504725,-11.939189
CHEMBL109068,inactive,,6.723236,20.971676
CHEMBL109120,inactive,,8.347984,21.139635
CHEMBL1092,active,,0.239971,15.033105
CHEMBL1093933,inactive,,-5.516959,10.252888
CHEMBL109593,inactive,,0.515499,17.819464
CHEMBL109597,inactive,,6.009326,22.457136
CHEMBL109727,inactive,,6.239084,20.871817
CHEMBL109815,active,,0.333144,15.778368
CHEMBL109866,inactive,,6.010457,19.234983
CHEMBL109985,inactive,,8.387682,21.140871
CHEMBL110744,active,,4.539284,-11.344348
CHEMBL110845,inactive,,5.28466,19.470644
CHEMBL111120,inactive,,0.607414,22.785433
CHEMBL111123,inactive,,5.871299,20.974953
CHEMBL111224,active,,6.237514,-5.974861
CHEMBL111229,inactive,,4.897956,21.196571
CHEMBL1113,inactive,,-3.412332,8.432809
CHEMBL111369,inactive,,-1.896806,21.519896
CHEMBL111679,inactive,,5.349074,21.758944
CHEMBL113436,inactive,,3.169923,-14.292128
CHEMBL11527,active,,3.603124,-14.704308
CHEMBL115280,inactive,,-0.934062,-0.189369
CHEMBL115642,active,,-4.113482,-18.703642
CHEMBL115681,active,,-3.414855,-9.428333
CHEMBL115807,active,,2.542539,-11.723022
CHEMBL1162964,inactive,,2.572005,-11.654363
CHEMBL116404,active,,0.279471,-17.556591
CHEMBL116777,active,,0.893546,-17.203627
CHEMBL116781,active,,0.902412,-17.15144
CHEMBL11690,active,,1.460041,-15.236586
CHEMBL1169543,active,,7.082296,-0.567722
CHEMBL11710,inactive,,0.92837,-15.85219
CHEMBL1172,active,,-1.821793,20.147614
CHEMBL117351,active,,0.729709,-16.895271
CHEMBL117414,active,,-3.618347,-18.468277
CHEMBL11756,active,,5.856908,-11.113259
CHEMBL117797,active,,2.34074,-15.491701
CHEMBL117817,active,,3.46312,-12.544369
CHEMBL11794,active,,3.781729,-7.584999
CHEMBL1180285,active,,0.184406,11.288224
CHEMBL1180343,inactive,,6.666224,13.820708
CHEMBL11816,active,,3.00713,-14.832104
CHEMBL118292,active,,0.266949,15.798332
CHEMBL118391,active,,0.790218,-16.830303
CHEMBL118553,inactive,,3.597914,4.760821
CHEMBL11892,active,,0.789199,-15.356258
CHEMBL11893,active,,6.07499,-10.955798
CHEMBL118949,inactive,,-0.715135,18.69112
CHEMBL119131,active,,1.929707,-2.892639
CHEMBL119168,active,,-3.698727,-18.814657
CHEMBL119294,active,,2.20781,-14.609318
CHEMBL1197177,active,,0.322875,12.380894
CHEMBL119985,inactive,,3.454599,17.953531
CHEMBL1200604,active,,7.134741,12.971275
CHEMBL120080,active,,-2.869574,1.483945
CHEMBL120119,active,,0.209638,11.323363
CHEMBL1201353,inactive,,3.843258,11.793717
CHEMBL120539,inactive,,-7.561227,-2.069828
CHEMBL12064,active,,0.654377,-15.300548
CHEMBL120706,inactive,,-0.818411,18.789824
CHEMBL12085,active,,5.645972,-11.668781
CHEMBL12098,active,,0.275359,-17.026108
CHEMBL121298,inactive,,2.857441,7.988199
CHEMBL12150,active,,6.626696,-7.696596
CHEMBL12153,active,,5.981296,-11.138702
CHEMBL12228,active,,4.471356,-2.89948
CHEMBL123099,inactive,,6.634098,13.805167
CHEMBL1231,active,,-4.189337,1.813391
CHEMBL12354,active,,-1.80664,-17.066563
CHEMBL12419,active,,-0.39764,-16.276548
CHEMBL12542,active,,0.908159,-15.400404
CHEMBL1258452,inactive,,6.555599,-4.401685
CHEMBL1258671,inactive,,-5.340617,-2.84054
CHEMBL1289081,active,,-1.21006,-10.508055
CHEMBL1289082,active,,-3.381136,6.904606
CHEMBL1289201,active,,-0.039237,-8.462681
CHEMBL1289202,active,,-3.105655,15.294986
CHEMBL1289314,active,,-2.836656,3.408724
CHEMBL1289315,active,,6.975135,-1.907319
CHEMBL1289432,active,,-7.557237,-2.683133
CHEMBL1289544,active,,-2.924307,-0.68625
CHEMBL1289545,active,,7.359076,-5.691435
CHEMBL1289653,active,,7.213477,-5.773616
CHEMBL1289654,active,,5.58698,-6.850541
CHEMBL1289865,active,,-1.021327,3.03726
CHEMBL1289866,active,,5.161685,-2.852379
CHEMBL1289982,active,,-1.534455,-5.279171
CHEMBL1289983,active,,4.018495,-5.606802
CHEMBL1290183,active,,7.732224,0.691553
CHEMBL1290184,active,,-3.236906,14.989182
CHEMBL1290294,active,,7.576503,0.732496
CHEMBL1290295,active,,-1.603287,15.637119
CHEMBL1290409,active,,7.64943,0.81101
CHEMBL1290410,active,,-2.89243,17.519394
CHEMBL1290634,active,,6.788072,-5.526049
CHEMBL1290635,active,,-0.329938,5.450538
CHEMBL1290752,active,,7.075866,-6.014441
CHEMBL1290753,active,,1.899378,13.018723
CHEMBL12980,active,,-5.021083,-4.938485
CHEMBL1319362,active,,3.243582,3.500925
CHEMBL135645,active,,0.455237,22.800045
CHEMBL138502,inactive,,2.99788,-12.950599
CHEMBL139311,active,,1.955427,-12.393829
CHEMBL140490,inactive,,4.413339,-12.483566
CHEMBL140827,inactive,,4.330696,-8.999625
CHEMBL143469,active,,-0.800062,-19.25996
CHEMBL144247,inactive,,2.690675,18.736742
CHEMBL144580,inactive,,-1.441344,17.839022
CHEMBL144737,inactive,,-0.129285,20.191126
CHEMBL145081,inactive,,-2.497771,18.483955
CHEMBL145301,inactive,,4.199584,18.050648
CHEMBL145488,inactive,,-0.944849,23.09642
CHEMBL145533,inactive,,-0.70481,20.943575
CHEMBL145608,inactive,,-0.379472,21.215509
CHEMBL14580,inactive,,3.804089,23.002913
CHEMBL1459098,inactive,,-4.730732,-3.749213
CHEMBL145913,active,,5.20939,-2.660911
CHEMBL146249,inactive,,1.02923,-14.240112
